time,lat,lon,rcp26_gddgrow_5_p10,rcp26_gddgrow_5_p50,rcp26_gddgrow_5_p90,rcp45_gddgrow_5_p10,rcp45_gddgrow_5_p50,rcp45_gddgrow_5_p90,rcp85_gddgrow_5_p10,rcp85_gddgrow_5_p50,rcp85_gddgrow_5_p90
1950-01-01,53.21,-114.46,1214.41,1404.00,1625.64,1214.41,1403.63,1625.64,1214.41,1403.46,1625.64
1951-01-01,53.21,-114.46,1231.72,1403.59,1530.20,1231.72,1403.24,1530.20,1231.72,1403.18,1530.20
1952-01-01,53.21,-114.46,1145.94,1363.58,1594.63,1145.94,1363.58,1594.63,1141.19,1363.58,1594.63
1953-01-01,53.21,-114.46,1147.95,1286.92,1513.59,1148.27,1286.91,1513.59,1148.87,1286.91,1513.60
1954-01-01,53.21,-114.46,1152.67,1335.39,1595.43,1152.06,1334.64,1595.43,1152.36,1335.35,1594.84
1955-01-01,53.21,-114.46,1242.90,1394.76,1508.24,1242.90,1394.76,1508.24,1242.90,1394.76,1508.24
1956-01-01,53.21,-114.46,1051.40,1378.74,1511.87,1050.65,1378.53,1511.87,1050.83,1379.08,1511.87
1957-01-01,53.21,-114.46,1125.31,1324.87,1539.06,1126.24,1323.86,1539.07,1126.22,1323.82,1539.06
1958-01-01,53.21,-114.46,1110.30,1253.02,1471.87,1110.74,1252.90,1471.87,1109.71,1253.08,1471.87
1959-01-01,53.21,-114.46,1096.15,1295.87,1440.93,1096.46,1296.03,1440.93,1096.54,1295.44,1429.34
1960-01-01,53.21,-114.46,1209.23,1325.72,1565.06,1209.23,1325.72,1565.06,1209.23,1321.29,1565.06
1961-01-01,53.21,-114.46,1200.07,1329.46,1507.30,1196.71,1329.61,1507.30,1198.24,1327.93,1507.30
1962-01-01,53.21,-114.46,1152.88,1290.52,1478.60,1152.55,1290.52,1479.84,1143.51,1290.52,1479.84
1963-01-01,53.21,-114.46,1117.98,1294.60,1498.78,1118.01,1295.21,1498.78,1117.00,1295.16,1493.62
1964-01-01,53.21,-114.46,1088.77,1245.63,1384.40,1088.52,1245.63,1384.40,1088.81,1245.64,1378.69
1965-01-01,53.21,-114.46,1141.02,1261.90,1402.24,1140.04,1262.29,1402.24,1140.98,1261.08,1402.24
1966-01-01,53.21,-114.46,1090.09,1210.88,1546.90,1089.52,1210.89,1544.91,1090.33,1210.89,1544.64
1967-01-01,53.21,-114.46,1145.55,1268.12,1453.25,1145.54,1268.12,1453.43,1145.55,1268.12,1453.41
1968-01-01,53.21,-114.46,1162.14,1259.38,1434.11,1163.77,1259.37,1433.73,1162.91,1259.38,1434.13
1969-01-01,53.21,-114.46,1047.05,1255.11,1404.80,1047.13,1255.11,1404.97,1047.37,1255.11,1389.97
1970-01-01,53.21,-114.46,1171.69,1348.41,1563.89,1171.69,1348.21,1563.89,1171.69,1340.59,1563.89
1971-01-01,53.21,-114.46,1143.07,1376.03,1535.39,1143.07,1378.54,1535.39,1143.07,1378.96,1532.28
1972-01-01,53.21,-114.46,1127.09,1312.54,1444.19,1125.82,1312.54,1443.82,1125.29,1312.54,1442.21
1973-01-01,53.21,-114.46,1068.72,1255.89,1446.35,1068.72,1255.33,1446.35,1068.72,1248.92,1446.35
1974-01-01,53.21,-114.46,1109.63,1317.55,1434.73,1109.63,1317.55,1435.83,1109.63,1309.70,1435.48
1975-01-01,53.21,-114.46,1164.63,1330.77,1520.74,1164.63,1330.77,1520.74,1164.63,1330.77,1520.74
1976-01-01,53.21,-114.46,1254.26,1343.16,1471.00,1254.26,1343.28,1471.00,1250.36,1343.44,1471.00
1977-01-01,53.21,-114.46,1101.78,1321.11,1544.95,1101.47,1320.19,1544.01,1102.40,1314.67,1543.14
1978-01-01,53.21,-114.46,1272.60,1398.98,1474.62,1272.60,1398.42,1474.62,1272.61,1398.17,1474.62
1979-01-01,53.21,-114.46,1210.00,1389.00,1661.22,1210.00,1389.00,1662.26,1210.00,1389.00,1662.26
1980-01-01,53.21,-114.46,1161.62,1313.29,1540.02,1159.91,1315.60,1537.65,1160.84,1314.62,1539.27
1981-01-01,53.21,-114.46,1158.43,1378.60,1535.59,1158.98,1380.33,1536.14,1155.64,1381.88,1534.67
1982-01-01,53.21,-114.46,1107.78,1317.93,1516.51,1108.19,1316.97,1514.94,1109.67,1310.52,1514.15
1983-01-01,53.21,-114.46,1119.25,1301.12,1527.36,1114.69,1297.51,1529.41,1119.40,1299.37,1524.26
1984-01-01,53.21,-114.46,1234.57,1410.82,1532.60,1233.66,1413.11,1535.78,1224.03,1408.00,1535.08
1985-01-01,53.21,-114.46,1160.33,1368.62,1514.67,1159.24,1367.66,1515.80,1159.92,1367.07,1519.76
1986-01-01,53.21,-114.46,1187.47,1345.02,1550.85,1182.47,1343.43,1549.50,1185.10,1346.31,1549.74
1987-01-01,53.21,-114.46,1207.54,1345.41,1479.92,1210.71,1344.80,1481.91,1204.15,1346.09,1480.14
1988-01-01,53.21,-114.46,1261.13,1403.05,1521.98,1261.72,1404.44,1520.60,1262.62,1399.00,1518.62
1989-01-01,53.21,-114.46,1235.60,1448.06,1598.79,1234.35,1446.39,1599.81,1236.05,1445.81,1600.38
1990-01-01,53.21,-114.46,1240.58,1399.24,1581.74,1239.92,1398.87,1578.14,1239.17,1398.43,1578.61
1991-01-01,53.21,-114.46,1153.63,1365.49,1526.18,1157.83,1362.99,1529.82,1154.98,1363.80,1527.60
1992-01-01,53.21,-114.46,1154.06,1332.61,1453.01,1152.47,1329.32,1452.61,1152.53,1331.42,1451.42
1993-01-01,53.21,-114.46,1234.73,1346.90,1526.29,1235.81,1344.75,1526.41,1238.62,1347.12,1523.47
1994-01-01,53.21,-114.46,1200.50,1340.02,1553.22,1201.77,1339.22,1555.56,1199.86,1338.87,1551.08
1995-01-01,53.21,-114.46,1178.29,1383.54,1494.04,1182.48,1382.55,1493.44,1182.03,1381.75,1482.16
1996-01-01,53.21,-114.46,1261.86,1395.85,1604.98,1263.26,1396.78,1603.14,1262.72,1395.71,1607.23
1997-01-01,53.21,-114.46,1263.12,1415.38,1624.99,1265.84,1414.33,1625.91,1264.50,1412.92,1625.12
1998-01-01,53.21,-114.46,1256.20,1464.33,1584.41,1256.15,1461.91,1585.42,1256.92,1462.57,1583.19
1999-01-01,53.21,-114.46,1332.41,1393.21,1521.73,1328.74,1395.54,1521.25,1329.83,1392.43,1510.70
2000-01-01,53.21,-114.46,1298.65,1452.40,1616.39,1301.96,1451.22,1618.77,1297.51,1447.40,1617.44
2001-01-01,53.21,-114.46,1219.91,1424.53,1724.42,1216.71,1422.28,1723.98,1219.16,1422.81,1727.90
2002-01-01,53.21,-114.46,1361.85,1466.28,1669.76,1362.77,1463.99,1672.01,1362.70,1464.92,1674.36
2003-01-01,53.21,-114.46,1282.01,1437.59,1646.77,1283.35,1436.59,1643.88,1279.88,1437.35,1644.74
2004-01-01,53.21,-114.46,1246.43,1505.10,1701.07,1246.73,1503.84,1704.44,1247.55,1502.04,1704.24
2005-01-01,53.21,-114.46,1342.27,1422.25,1648.52,1339.56,1424.06,1648.01,1336.68,1421.26,1646.88
2006-01-01,53.21,-114.46,1276.41,1496.78,1615.85,1330.12,1470.24,1766.67,1321.03,1468.89,1664.79
2007-01-01,53.21,-114.46,1329.94,1513.74,1668.74,1306.89,1503.50,1741.28,1313.17,1513.77,1758.71
2008-01-01,53.21,-114.46,1290.20,1418.72,1614.46,1289.57,1476.42,1672.47,1308.59,1480.88,1745.74
2009-01-01,53.21,-114.46,1312.99,1489.99,1690.66,1341.19,1576.05,1751.52,1297.61,1517.23,1742.16
2010-01-01,53.21,-114.46,1332.28,1472.05,1647.58,1308.53,1505.86,1819.42,1302.31,1461.21,1758.85
2011-01-01,53.21,-114.46,1305.84,1508.28,1724.83,1282.26,1587.20,1699.05,1296.65,1483.36,1650.79
2012-01-01,53.21,-114.46,1364.08,1583.25,1774.22,1369.12,1503.24,1608.44,1394.21,1543.54,1663.61
2013-01-01,53.21,-114.46,1307.77,1514.69,1706.18,1313.39,1474.82,1713.68,1348.63,1508.86,1640.69
2014-01-01,53.21,-114.46,1290.86,1509.02,1800.79,1393.85,1552.98,1809.16,1361.28,1556.66,1778.09
2015-01-01,53.21,-114.46,1406.15,1551.02,1754.27,1419.35,1545.39,1785.36,1372.44,1533.77,1772.77
2016-01-01,53.21,-114.46,1416.54,1609.86,1865.68,1281.12,1430.70,1667.79,1383.10,1555.53,1766.64
2017-01-01,53.21,-114.46,1431.80,1574.18,1743.89,1374.72,1580.79,1705.73,1447.79,1603.58,1799.01
2018-01-01,53.21,-114.46,1329.39,1544.81,1824.25,1468.93,1598.41,1851.94,1393.32,1513.65,1807.08
2019-01-01,53.21,-114.46,1363.97,1594.41,1707.40,1369.56,1578.34,1805.57,1471.23,1618.63,1736.92
2020-01-01,53.21,-114.46,1424.98,1534.44,1671.07,1307.84,1556.10,1773.91,1408.78,1665.72,1792.40
2021-01-01,53.21,-114.46,1420.80,1602.79,1746.43,1483.00,1625.84,1768.63,1387.46,1586.65,1773.32
2022-01-01,53.21,-114.46,1387.03,1651.91,1894.10,1443.71,1598.15,1763.84,1483.85,1662.13,1889.19
2023-01-01,53.21,-114.46,1486.47,1614.16,1792.73,1387.22,1563.37,1820.51,1471.47,1672.34,1924.34
