time,lat,lon,rcp26_rx5day_p10,rcp26_rx5day_p50,rcp26_rx5day_p90,rcp45_rx5day_p10,rcp45_rx5day_p50,rcp45_rx5day_p90,rcp85_rx5day_p10,rcp85_rx5day_p50,rcp85_rx5day_p90
1950-01-01,53.21,-114.46,34.86,60.08,93.61,35.55,55.01,91.32,35.66,60.18,92.02
1951-01-01,53.21,-114.46,35.17,54.76,92.79,38.61,54.19,92.83,37.09,54.19,92.79
1952-01-01,53.21,-114.46,45.09,68.05,86.85,45.09,68.05,87.57,45.09,68.05,87.32
1953-01-01,53.21,-114.46,37.20,52.38,93.18,36.90,56.49,88.85,36.90,54.94,89.91
1954-01-01,53.21,-114.46,42.41,65.94,93.74,42.41,66.29,93.74,45.22,66.29,93.35
1955-01-01,53.21,-114.46,38.83,56.17,92.63,37.89,56.17,88.79,38.03,56.17,88.79
1956-01-01,53.21,-114.46,39.57,52.09,86.42,40.71,52.75,86.42,41.74,54.58,86.42
1957-01-01,53.21,-114.46,45.53,63.47,77.00,45.58,61.88,79.07,44.97,61.80,78.81
1958-01-01,53.21,-114.46,39.30,69.23,93.94,39.30,69.23,93.94,40.80,69.23,94.05
1959-01-01,53.21,-114.46,39.46,63.58,123.43,39.46,64.66,123.43,39.29,65.17,123.43
1960-01-01,53.21,-114.46,38.29,62.88,113.52,37.59,69.03,112.00,37.59,67.84,112.00
1961-01-01,53.21,-114.46,48.38,67.72,111.64,46.46,65.40,104.27,45.39,65.40,109.59
1962-01-01,53.21,-114.46,46.36,60.33,83.37,45.77,60.33,83.54,45.79,60.33,83.37
1963-01-01,53.21,-114.46,32.39,60.86,89.54,33.88,61.07,89.54,32.39,62.24,89.54
1964-01-01,53.21,-114.46,48.05,63.42,95.75,44.84,63.42,92.01,48.18,62.66,97.32
1965-01-01,53.21,-114.46,43.08,63.20,95.59,42.58,64.01,95.59,42.38,63.56,108.13
1966-01-01,53.21,-114.46,40.76,67.54,97.89,40.76,66.90,96.41,40.76,68.23,99.41
1967-01-01,53.21,-114.46,38.35,57.65,101.84,38.11,57.65,101.95,42.67,57.20,101.29
1968-01-01,53.21,-114.46,36.20,58.30,87.79,36.81,58.30,87.79,35.16,58.64,87.79
1969-01-01,53.21,-114.46,31.73,50.62,110.70,33.20,50.40,110.26,33.20,49.98,111.74
1970-01-01,53.21,-114.46,56.82,75.90,99.91,56.82,75.28,99.87,56.82,75.18,98.48
1971-01-01,53.21,-114.46,40.79,55.81,76.91,40.79,54.91,76.91,40.79,54.91,79.33
1972-01-01,53.21,-114.46,40.60,58.00,100.74,41.38,57.81,100.74,43.98,57.81,104.98
1973-01-01,53.21,-114.46,42.76,66.83,119.09,42.62,66.96,119.24,41.94,65.23,119.52
1974-01-01,53.21,-114.46,51.59,67.07,95.88,50.95,65.72,100.89,51.59,65.72,95.33
1975-01-01,53.21,-114.46,45.15,62.28,89.02,45.15,63.64,89.02,46.85,63.64,89.02
1976-01-01,53.21,-114.46,41.56,73.86,103.81,42.74,68.70,97.45,43.11,68.70,97.45
1977-01-01,53.21,-114.46,38.11,63.67,87.57,38.11,63.67,90.06,39.41,60.72,88.03
1978-01-01,53.21,-114.46,38.80,67.90,104.84,38.80,62.70,104.69,38.48,62.70,105.36
1979-01-01,53.21,-114.46,41.79,57.29,116.82,41.52,54.66,105.60,41.67,54.78,105.60
1980-01-01,53.21,-114.46,41.86,58.61,84.17,41.70,58.10,83.15,41.49,57.97,80.10
1981-01-01,53.21,-114.46,40.01,58.56,96.02,41.32,58.41,95.79,41.05,58.22,95.79
1982-01-01,53.21,-114.46,46.75,63.98,106.84,49.23,66.12,106.90,47.72,66.44,106.58
1983-01-01,53.21,-114.46,47.66,64.97,95.97,47.73,65.15,96.10,47.70,61.37,92.31
1984-01-01,53.21,-114.46,50.35,61.33,111.13,51.45,61.73,112.71,49.83,61.22,113.15
1985-01-01,53.21,-114.46,46.72,61.66,102.94,45.23,62.08,103.09,44.65,61.99,101.76
1986-01-01,53.21,-114.46,35.24,52.81,86.83,35.42,53.41,91.13,36.02,53.54,92.40
1987-01-01,53.21,-114.46,38.63,57.37,116.22,39.50,57.17,114.96,39.35,57.47,108.03
1988-01-01,53.21,-114.46,33.14,59.14,81.68,32.87,58.57,82.42,32.93,59.17,82.78
1989-01-01,53.21,-114.46,39.26,54.60,83.76,37.37,53.67,85.48,37.93,51.04,89.90
1990-01-01,53.21,-114.46,36.03,56.78,98.53,36.62,57.56,98.94,36.22,58.08,96.42
1991-01-01,53.21,-114.46,49.27,64.04,120.90,50.01,64.48,117.42,50.07,64.06,119.22
1992-01-01,53.21,-114.46,31.36,64.52,86.74,33.32,67.06,87.33,33.97,66.34,87.64
1993-01-01,53.21,-114.46,41.59,63.91,94.99,41.58,63.01,97.48,41.74,64.01,97.29
1994-01-01,53.21,-114.46,41.81,60.58,74.80,41.83,57.34,75.09,43.47,61.79,73.37
1995-01-01,53.21,-114.46,39.69,65.28,94.98,41.39,64.43,95.94,40.18,64.66,89.39
1996-01-01,53.21,-114.46,41.36,60.01,118.08,41.44,61.77,115.54,40.68,61.73,115.83
1997-01-01,53.21,-114.46,37.91,55.90,95.28,38.10,56.49,90.15,37.90,54.99,90.15
1998-01-01,53.21,-114.46,37.05,54.59,94.60,35.38,55.05,93.58,35.45,55.63,94.14
1999-01-01,53.21,-114.46,47.64,64.65,106.52,47.52,65.12,107.50,47.54,62.93,105.07
2000-01-01,53.21,-114.46,39.33,73.22,96.23,38.83,72.41,97.31,38.64,72.57,96.91
2001-01-01,53.21,-114.46,41.87,65.91,115.35,43.33,65.91,115.40,42.85,66.43,116.02
2002-01-01,53.21,-114.46,40.80,60.61,93.26,40.67,60.66,93.64,40.58,59.11,90.76
2003-01-01,53.21,-114.46,40.39,66.35,93.74,39.40,66.92,94.01,39.62,65.34,108.45
2004-01-01,53.21,-114.46,48.65,60.25,112.04,49.35,61.62,112.11,47.71,61.63,115.81
2005-01-01,53.21,-114.46,41.87,70.56,116.88,41.94,72.18,117.29,41.93,69.79,117.55
2006-01-01,53.21,-114.46,48.46,62.83,99.95,45.16,67.14,102.07,37.39,57.22,84.67
2007-01-01,53.21,-114.46,45.19,71.08,108.75,38.09,54.75,90.64,42.56,61.96,134.58
2008-01-01,53.21,-114.46,47.85,68.79,104.19,38.06,63.18,110.95,44.93,71.90,125.81
2009-01-01,53.21,-114.46,47.39,63.31,105.38,46.92,65.92,114.11,41.41,69.58,111.83
2010-01-01,53.21,-114.46,51.73,69.02,89.24,35.60,59.81,103.56,38.87,66.91,106.09
2011-01-01,53.21,-114.46,49.01,70.80,95.20,41.55,58.61,91.48,41.54,60.44,100.84
2012-01-01,53.21,-114.46,43.58,69.48,104.18,43.08,55.46,92.65,41.81,76.04,127.49
2013-01-01,53.21,-114.46,47.13,62.35,133.29,39.98,72.63,114.01,41.84,55.06,113.16
2014-01-01,53.21,-114.46,41.96,61.39,106.52,42.68,60.64,86.98,42.72,56.73,88.87
2015-01-01,53.21,-114.46,44.09,60.72,113.03,44.54,62.78,106.63,45.72,67.46,95.15
2016-01-01,53.21,-114.46,45.34,64.49,122.26,47.07,64.53,109.44,46.69,65.55,97.66
2017-01-01,53.21,-114.46,52.90,65.49,107.31,35.39,53.73,97.12,42.70,72.98,114.67
2018-01-01,53.21,-114.46,47.40,71.86,109.90,50.75,63.90,96.04,37.02,62.04,92.55
2019-01-01,53.21,-114.46,38.00,70.97,113.52,45.03,67.30,103.18,43.17,62.39,120.75
2020-01-01,53.21,-114.46,43.06,60.22,103.75,45.75,62.15,102.13,37.84,61.45,77.24
2021-01-01,53.21,-114.46,45.30,69.37,120.53,49.89,70.22,116.42,50.56,68.38,103.71
2022-01-01,53.21,-114.46,46.26,69.26,109.49,36.90,58.73,128.64,39.53,70.40,121.36
2023-01-01,53.21,-114.46,50.04,69.36,112.84,46.61,70.13,111.30,42.47,62.93,96.38
2024-01-01,53.21,-114.46,43.65,57.48,116.16,56.52,74.85,109.47,44.21,67.31,98.17
2025-01-01,53.21,-114.46,42.36,65.95,108.81,35.89,64.53,115.36,42.72,77.22,101.47
2026-01-01,53.21,-114.46,39.29,67.32,103.67,47.48,71.81,111.47,44.03,59.16,101.29
2027-01-01,53.21,-114.46,46.67,71.92,110.39,54.32,72.26,111.21,43.27,62.40,81.68
2028-01-01,53.21,-114.46,33.63,59.47,109.03,50.25,67.55,103.26,44.24,65.12,89.97
2029-01-01,53.21,-114.46,31.59,59.34,103.06,46.72,66.94,100.93,48.19,74.66,108.18
2030-01-01,53.21,-114.46,41.94,58.50,81.46,49.49,74.53,94.97,38.00,64.81,97.96
2031-01-01,53.21,-114.46,45.35,68.46,95.45,47.37,59.63,98.70,54.76,79.69,120.20
2032-01-01,53.21,-114.46,38.66,71.03,91.81,62.17,77.40,114.42,44.09,66.95,89.46
2033-01-01,53.21,-114.46,44.95,67.83,90.13,40.52,56.22,88.47,44.93,61.79,101.36
2034-01-01,53.21,-114.46,40.45,67.66,120.19,35.18,51.89,85.85,44.56,58.23,98.96
2035-01-01,53.21,-114.46,35.69,65.10,97.63,41.80,64.54,97.90,40.04,73.00,95.82
2036-01-01,53.21,-114.46,40.93,78.06,116.14,39.92,67.49,103.40,40.16,60.86,107.70
2037-01-01,53.21,-114.46,49.78,74.30,108.19,45.81,66.94,97.87,54.28,75.31,153.84
2038-01-01,53.21,-114.46,48.25,67.64,117.97,54.78,71.09,104.92,36.91,58.15,98.30
2039-01-01,53.21,-114.46,44.73,60.80,89.67,44.47,71.66,117.50,40.94,62.92,84.33
2040-01-01,53.21,-114.46,48.32,62.48,97.11,37.35,69.80,96.71,44.18,56.62,112.97
2041-01-01,53.21,-114.46,38.24,66.98,82.25,43.62,59.01,101.26,56.23,75.14,112.72
2042-01-01,53.21,-114.46,39.46,69.79,98.26,44.23,76.23,98.75,43.66,73.68,105.22
2043-01-01,53.21,-114.46,38.32,56.65,103.26,44.12,68.63,91.87,50.94,79.76,111.82
2044-01-01,53.21,-114.46,44.30,68.54,107.93,42.28,76.74,144.24,47.21,73.02,128.47
2045-01-01,53.21,-114.46,44.73,61.52,104.10,51.12,72.37,108.70,33.60,64.81,86.14
2046-01-01,53.21,-114.46,44.57,66.00,144.17,52.01,63.45,119.55,50.41,69.05,118.64
