time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
1950-01-01,-114.46,53.21,18.00,24.00,40.50,18.00,24.00,40.50,18.00,24.00,40.50
1951-01-01,-114.46,53.21,16.00,25.50,42.10,16.30,25.50,42.10,16.00,25.50,42.10
1952-01-01,-114.46,53.21,22.30,29.00,34.70,21.30,29.00,36.40,21.30,28.50,36.40
1953-01-01,-114.46,53.21,19.30,25.50,41.00,19.30,26.00,42.50,19.30,25.50,41.00
1954-01-01,-114.46,53.21,18.30,25.50,40.00,18.30,25.50,40.00,18.30,25.50,40.00
1955-01-01,-114.46,53.21,17.00,27.00,44.70,17.00,27.00,44.70,16.30,27.00,44.70
1956-01-01,-114.46,53.21,17.00,25.00,34.00,17.00,24.50,34.00,17.00,22.50,34.00
1957-01-01,-114.46,53.21,19.30,23.00,29.70,19.30,23.00,31.80,19.00,23.00,35.40
1958-01-01,-114.46,53.21,21.00,27.50,38.70,20.30,26.50,38.70,21.60,26.50,38.70
1959-01-01,-114.46,53.21,19.00,26.50,33.40,16.60,26.00,33.40,16.30,25.50,33.40
1960-01-01,-114.46,53.21,20.30,29.50,48.80,19.30,28.50,48.80,20.00,29.50,53.00
1961-01-01,-114.46,53.21,17.00,25.00,39.50,17.00,24.00,39.50,16.60,27.00,39.50
1962-01-01,-114.46,53.21,18.00,25.00,35.80,18.00,23.50,36.50,18.00,26.00,36.20
1963-01-01,-114.46,53.21,19.00,25.00,39.80,17.60,25.50,39.80,17.00,25.00,39.80
1964-01-01,-114.46,53.21,13.60,26.00,38.70,13.60,25.50,38.70,13.60,23.50,36.80
1965-01-01,-114.46,53.21,17.30,26.00,33.70,17.30,26.00,33.70,18.30,26.50,33.70
1966-01-01,-114.46,53.21,20.30,25.00,45.90,20.30,26.00,45.90,20.00,26.00,45.90
1967-01-01,-114.46,53.21,21.60,27.00,38.80,22.30,26.50,38.80,22.30,26.50,36.00
1968-01-01,-114.46,53.21,17.00,26.50,34.70,17.00,26.50,34.70,17.00,25.00,34.70
1969-01-01,-114.46,53.21,17.30,25.00,33.70,17.30,26.50,33.70,17.90,26.50,33.00
1970-01-01,-114.46,53.21,19.30,27.50,38.70,19.30,27.50,40.40,20.00,29.00,38.40
1971-01-01,-114.46,53.21,16.60,23.50,36.70,16.30,25.00,36.70,16.30,25.00,36.70
1972-01-01,-114.46,53.21,16.60,24.00,33.40,17.30,24.00,33.40,18.30,24.00,32.00
1973-01-01,-114.46,53.21,18.00,24.00,35.00,16.60,24.00,37.40,16.60,24.00,35.70
1974-01-01,-114.46,53.21,17.30,25.00,39.10,18.00,24.00,37.00,17.00,25.00,37.00
1975-01-01,-114.46,53.21,18.30,25.00,38.60,19.60,26.00,38.60,18.30,26.00,38.60
1976-01-01,-114.46,53.21,20.00,27.00,32.10,20.00,25.00,30.00,20.00,24.50,33.70
1977-01-01,-114.46,53.21,19.60,27.50,35.00,21.30,29.50,37.40,22.30,29.50,38.00
1978-01-01,-114.46,53.21,17.00,23.00,37.50,17.90,25.00,37.40,17.30,24.00,39.60
1979-01-01,-114.46,53.21,19.00,24.50,36.70,18.30,24.00,34.50,18.30,24.00,34.50
1980-01-01,-114.46,53.21,17.30,24.50,34.70,17.00,24.00,34.70,17.30,24.00,34.70
1981-01-01,-114.46,53.21,18.00,23.50,29.80,18.00,23.50,29.10,18.30,23.50,30.70
1982-01-01,-114.46,53.21,19.00,25.00,40.20,19.00,24.50,39.00,17.60,25.00,40.20
1983-01-01,-114.46,53.21,17.60,29.00,37.70,17.60,25.50,37.70,17.60,25.50,37.70
1984-01-01,-114.46,53.21,18.30,26.00,45.50,17.00,26.00,46.40,17.60,26.00,42.90
1985-01-01,-114.46,53.21,20.00,26.00,33.70,19.30,25.00,33.70,18.60,24.00,32.10
1986-01-01,-114.46,53.21,16.60,28.00,35.10,16.60,28.00,34.80,16.60,28.00,33.00
1987-01-01,-114.46,53.21,19.00,25.50,35.70,19.00,25.00,35.70,18.30,24.50,35.70
1988-01-01,-114.46,53.21,18.20,26.00,36.70,21.00,26.00,35.40,21.00,26.00,35.40
1989-01-01,-114.46,53.21,18.00,26.00,36.10,18.30,26.00,32.80,18.00,26.00,36.10
1990-01-01,-114.46,53.21,17.00,25.00,37.80,17.00,25.00,34.40,17.00,22.00,34.70
1991-01-01,-114.46,53.21,20.30,25.50,35.70,18.90,25.50,35.00,20.30,24.50,35.00
1992-01-01,-114.46,53.21,22.30,28.50,37.80,20.60,28.50,37.80,20.60,28.50,37.80
1993-01-01,-114.46,53.21,20.00,28.50,48.20,20.60,26.50,42.50,20.00,26.00,42.50
1994-01-01,-114.46,53.21,21.00,26.00,49.70,20.30,26.00,48.40,21.00,26.00,48.10
1995-01-01,-114.46,53.21,16.30,25.50,49.70,17.30,25.00,37.10,17.00,24.50,40.00
1996-01-01,-114.46,53.21,20.30,29.00,36.10,18.00,28.50,36.10,19.30,24.50,36.80
1997-01-01,-114.46,53.21,19.00,24.00,35.70,19.30,24.50,35.70,19.30,24.50,36.00
1998-01-01,-114.46,53.21,19.30,27.00,42.60,20.00,23.00,42.60,20.00,24.50,42.60
1999-01-01,-114.46,53.21,20.00,27.00,38.40,19.00,26.00,38.40,19.30,27.00,38.40
2000-01-01,-114.46,53.21,13.30,23.50,36.10,13.30,24.00,36.20,13.30,24.00,33.40
2001-01-01,-114.46,53.21,18.00,25.50,42.10,18.00,27.00,42.10,16.30,27.00,42.10
2002-01-01,-114.46,53.21,19.30,25.00,33.40,17.30,23.00,34.00,18.30,23.50,33.40
2003-01-01,-114.46,53.21,15.60,23.00,32.80,15.60,24.50,33.10,16.30,22.00,30.00
2004-01-01,-114.46,53.21,19.00,27.00,33.70,19.00,27.00,33.00,19.00,27.00,33.00
2005-01-01,-114.46,53.21,18.30,23.50,35.10,18.00,23.00,34.80,17.30,22.00,36.70
2006-01-01,-114.46,53.21,16.30,24.00,35.40,19.00,26.50,37.40,18.60,24.00,41.40
2007-01-01,-114.46,53.21,18.00,25.00,36.80,16.00,25.00,39.80,17.00,23.50,30.00
2008-01-01,-114.46,53.21,18.30,24.00,32.70,18.00,23.00,32.70,18.30,25.00,36.50
2009-01-01,-114.46,53.21,17.30,24.50,32.40,16.30,20.50,34.10,16.00,23.00,33.70
2010-01-01,-114.46,53.21,20.30,28.00,40.40,15.60,23.00,37.60,20.00,27.00,41.30
2011-01-01,-114.46,53.21,17.00,27.00,36.70,19.00,24.00,39.50,14.30,22.50,41.80
2012-01-01,-114.46,53.21,19.30,24.00,32.70,17.00,22.50,37.30,19.30,27.00,35.40
2013-01-01,-114.46,53.21,18.30,31.00,41.00,17.30,27.50,36.00,19.00,26.00,31.70
2014-01-01,-114.46,53.21,16.60,23.00,36.50,16.30,24.50,41.10,19.30,26.00,41.40
2015-01-01,-114.46,53.21,18.00,23.50,37.80,17.00,24.00,37.00,18.30,25.00,36.00
2016-01-01,-114.46,53.21,17.60,25.50,38.70,17.30,24.00,32.70,18.00,25.50,35.70
2017-01-01,-114.46,53.21,17.60,26.00,40.80,18.30,25.00,35.40,19.00,24.00,37.00
2018-01-01,-114.46,53.21,16.60,22.00,31.70,19.30,28.00,38.00,16.30,22.00,34.80
2019-01-01,-114.46,53.21,20.00,25.00,36.40,17.60,28.00,43.80,20.30,27.50,44.50
2020-01-01,-114.46,53.21,15.20,26.00,34.70,16.60,23.50,37.80,16.30,22.00,33.00
2021-01-01,-114.46,53.21,18.00,23.50,36.70,18.30,25.00,33.00,16.00,22.50,35.70
2022-01-01,-114.46,53.21,18.00,27.50,41.80,17.30,23.00,34.80,18.00,24.00,39.40
2023-01-01,-114.46,53.21,21.30,30.00,39.60,17.30,25.00,39.70,21.00,28.00,36.40
2024-01-01,-114.46,53.21,15.00,25.00,36.70,18.00,22.00,40.70,17.00,25.00,43.10
2025-01-01,-114.46,53.21,15.30,24.00,38.60,17.00,27.50,39.10,17.00,25.00,34.10
2026-01-01,-114.46,53.21,16.30,21.00,36.00,19.30,24.00,42.00,17.60,24.00,33.40
2027-01-01,-114.46,53.21,16.90,24.50,36.50,17.30,24.00,43.60,16.60,22.00,30.70
2028-01-01,-114.46,53.21,21.00,27.00,38.00,17.00,24.50,39.40,16.00,21.00,31.40
2029-01-01,-114.46,53.21,20.30,24.50,37.70,16.00,26.50,34.00,17.20,24.00,34.10
2030-01-01,-114.46,53.21,18.30,26.00,42.50,15.90,26.00,34.00,18.30,21.50,33.50
2031-01-01,-114.46,53.21,18.00,22.50,38.00,20.00,27.00,33.40,16.60,22.00,41.60
2032-01-01,-114.46,53.21,17.60,23.50,30.40,18.00,23.00,33.10,17.30,25.50,32.40
2033-01-01,-114.46,53.21,17.30,24.50,35.70,18.00,22.00,29.00,18.30,29.00,39.00
2034-01-01,-114.46,53.21,21.30,29.00,43.50,17.00,24.00,37.10,18.00,24.00,34.70
2035-01-01,-114.46,53.21,18.00,23.00,32.80,14.00,23.00,31.40,19.00,24.00,35.70
2036-01-01,-114.46,53.21,17.60,25.00,44.50,17.30,24.50,37.30,15.00,24.50,33.10
2037-01-01,-114.46,53.21,20.60,28.00,37.70,17.00,24.50,32.00,18.30,23.00,45.80
2038-01-01,-114.46,53.21,17.30,25.50,39.60,16.30,22.00,29.40,18.30,25.00,38.10
2039-01-01,-114.46,53.21,18.00,23.00,35.70,18.00,27.50,36.70,18.30,25.00,35.70
2040-01-01,-114.46,53.21,16.30,26.50,34.10,15.30,25.00,33.10,15.60,26.00,36.00
2041-01-01,-114.46,53.21,18.30,24.50,41.00,18.00,25.00,54.60,17.30,27.50,43.30
2042-01-01,-114.46,53.21,19.30,26.00,32.10,17.60,25.50,37.70,19.00,25.00,36.70
2043-01-01,-114.46,53.21,18.30,25.00,36.70,18.30,27.50,45.10,19.00,24.00,37.60
2044-01-01,-114.46,53.21,18.60,26.50,36.40,17.00,23.00,41.00,16.30,26.50,39.70
2045-01-01,-114.46,53.21,19.30,24.50,34.70,20.00,26.00,34.70,17.30,26.00,38.20
2046-01-01,-114.46,53.21,19.00,24.00,33.70,17.30,26.50,35.40,16.30,22.00,33.70
2047-01-01,-114.46,53.21,18.30,25.00,43.40,15.30,20.50,34.50,20.60,27.00,36.60
2048-01-01,-114.46,53.21,16.30,24.00,34.50,18.00,25.00,37.20,17.30,23.00,32.70
2049-01-01,-114.46,53.21,18.00,23.00,37.50,18.00,23.00,33.10,15.30,25.50,42.50
2050-01-01,-114.46,53.21,16.30,21.00,31.40,17.30,23.50,34.00,18.00,23.00,32.10
2051-01-01,-114.46,53.21,16.90,24.00,43.80,18.30,23.50,40.50,18.00,24.00,36.10
2052-01-01,-114.46,53.21,18.00,25.50,36.70,17.30,25.00,32.00,19.60,25.00,35.00
2053-01-01,-114.46,53.21,20.30,25.00,33.00,17.00,24.00,33.80,19.00,22.00,36.80
2054-01-01,-114.46,53.21,15.30,25.00,28.70,17.30,23.50,31.70,16.60,23.50,35.70
2055-01-01,-114.46,53.21,19.30,27.00,37.00,16.00,21.00,29.70,17.30,24.00,33.00
2056-01-01,-114.46,53.21,17.60,25.50,37.20,18.60,23.50,34.70,17.00,27.00,49.30
2057-01-01,-114.46,53.21,16.00,23.50,32.00,16.00,22.00,28.40,19.30,25.00,39.00
2058-01-01,-114.46,53.21,19.00,26.00,40.60,13.90,23.00,36.10,17.30,25.00,45.60
2059-01-01,-114.46,53.21,15.20,24.00,35.70,17.30,24.50,33.70,16.30,24.00,36.00
2060-01-01,-114.46,53.21,16.00,24.50,37.50,18.30,24.50,34.40,15.30,23.50,38.80
2061-01-01,-114.46,53.21,20.00,26.00,39.70,18.00,23.00,38.50,16.00,25.00,39.30
