time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,53.21,-114.46,1.75,3.33,4.35,1.75,3.33,4.35,1.75,3.33,4.35
1951-01-01,53.21,-114.46,1.50,3.14,4.61,1.50,3.14,4.61,1.50,3.02,4.61
1952-01-01,53.21,-114.46,1.59,2.55,3.77,1.59,2.55,3.77,1.59,2.52,3.77
1953-01-01,53.21,-114.46,1.17,2.63,3.83,1.17,2.63,3.83,1.17,2.63,3.83
1954-01-01,53.21,-114.46,1.84,2.90,3.98,1.84,2.90,3.98,1.84,2.85,3.98
1955-01-01,53.21,-114.46,1.53,2.80,4.20,1.53,2.80,4.20,1.53,2.80,4.09
1956-01-01,53.21,-114.46,1.74,2.80,4.23,1.74,2.80,4.23,1.74,2.80,4.23
1957-01-01,53.21,-114.46,0.71,2.43,4.39,0.71,2.43,4.39,0.71,2.43,4.39
1958-01-01,53.21,-114.46,1.27,2.66,3.36,1.27,2.66,3.36,1.27,2.55,3.36
1959-01-01,53.21,-114.46,0.92,2.49,3.92,0.92,2.49,3.92,0.92,2.49,3.92
1960-01-01,53.21,-114.46,1.12,2.75,4.31,1.12,2.75,4.31,1.12,2.75,4.31
1961-01-01,53.21,-114.46,1.36,2.81,4.37,1.36,2.81,4.37,1.36,2.81,4.37
1962-01-01,53.21,-114.46,0.93,2.65,4.30,0.93,2.65,4.30,0.93,2.65,4.30
1963-01-01,53.21,-114.46,2.04,2.76,3.97,2.04,2.76,3.97,2.04,2.76,3.97
1964-01-01,53.21,-114.46,0.48,2.21,3.36,0.48,2.21,3.36,0.48,2.21,3.36
1965-01-01,53.21,-114.46,0.99,2.51,3.48,0.99,2.51,3.48,0.99,2.51,3.48
1966-01-01,53.21,-114.46,1.22,2.41,3.71,1.22,2.41,3.71,1.22,2.39,3.71
1967-01-01,53.21,-114.46,1.56,2.63,4.51,1.56,2.63,4.51,1.56,2.64,4.48
1968-01-01,53.21,-114.46,0.82,2.41,4.04,0.82,2.41,4.04,0.82,2.41,4.04
1969-01-01,53.21,-114.46,1.43,2.01,3.86,1.43,2.01,3.86,1.43,2.01,3.85
1970-01-01,53.21,-114.46,1.28,2.62,4.24,1.28,2.62,4.24,1.28,2.58,4.24
1971-01-01,53.21,-114.46,1.58,3.22,4.10,1.58,3.22,4.10,1.58,3.22,4.10
1972-01-01,53.21,-114.46,1.46,2.83,3.31,1.46,2.83,3.31,1.46,2.83,3.29
1973-01-01,53.21,-114.46,1.45,2.64,4.36,1.45,2.64,4.36,1.45,2.64,4.36
1974-01-01,53.21,-114.46,0.68,2.79,3.76,0.68,2.79,3.76,0.68,2.79,3.76
1975-01-01,53.21,-114.46,1.44,2.89,3.65,1.44,2.89,3.65,1.44,2.89,3.66
1976-01-01,53.21,-114.46,1.51,2.80,3.89,1.51,2.80,3.89,1.51,2.80,3.89
1977-01-01,53.21,-114.46,1.97,2.98,4.00,1.97,2.98,4.00,1.97,2.98,4.00
1978-01-01,53.21,-114.46,2.45,3.10,3.71,2.45,3.10,3.71,2.45,3.10,3.71
1979-01-01,53.21,-114.46,1.36,3.21,4.91,1.36,3.21,4.91,1.36,3.21,4.91
1980-01-01,53.21,-114.46,1.22,2.45,3.80,1.20,2.45,3.81,1.20,2.45,3.80
1981-01-01,53.21,-114.46,0.73,2.76,3.96,0.73,2.77,3.95,0.55,2.76,3.95
1982-01-01,53.21,-114.46,0.90,2.78,3.54,0.89,2.79,3.53,0.89,2.80,3.53
1983-01-01,53.21,-114.46,1.46,2.67,3.65,1.46,2.68,3.67,1.45,2.67,3.65
1984-01-01,53.21,-114.46,1.96,3.23,4.05,1.97,3.25,4.04,1.91,3.25,4.05
