time,lat,lon,rcp26_tn_mean_p10,rcp26_tn_mean_p50,rcp26_tn_mean_p90,rcp45_tn_mean_p10,rcp45_tn_mean_p50,rcp45_tn_mean_p90,rcp85_tn_mean_p10,rcp85_tn_mean_p50,rcp85_tn_mean_p90
1950-01-01,53.21,-114.46,-4.51,-2.83,-1.87,-4.51,-2.83,-1.87,-4.51,-2.83,-1.88
1951-01-01,53.21,-114.46,-4.53,-3.08,-1.46,-4.53,-3.08,-1.46,-4.53,-3.08,-1.46
1952-01-01,53.21,-114.46,-4.58,-3.61,-2.26,-4.58,-3.61,-2.26,-4.58,-3.61,-2.26
1953-01-01,53.21,-114.46,-4.86,-3.45,-2.06,-4.86,-3.45,-2.06,-4.86,-3.45,-2.06
1954-01-01,53.21,-114.46,-4.31,-3.16,-2.05,-4.31,-3.16,-2.05,-4.31,-3.30,-2.05
1955-01-01,53.21,-114.46,-4.48,-3.19,-2.20,-4.48,-3.19,-2.20,-4.48,-3.19,-2.20
1956-01-01,53.21,-114.46,-4.24,-3.13,-1.83,-4.24,-3.13,-1.83,-4.24,-3.13,-1.83
1957-01-01,53.21,-114.46,-5.12,-3.67,-1.78,-5.12,-3.67,-1.78,-5.13,-3.67,-1.78
1958-01-01,53.21,-114.46,-4.71,-3.45,-2.79,-4.71,-3.45,-2.79,-4.71,-3.47,-2.79
1959-01-01,53.21,-114.46,-5.36,-3.44,-2.09,-5.36,-3.44,-2.09,-5.35,-3.44,-2.09
1960-01-01,53.21,-114.46,-4.78,-3.36,-1.77,-4.78,-3.36,-1.77,-4.78,-3.36,-1.77
1961-01-01,53.21,-114.46,-4.60,-3.19,-1.91,-4.60,-3.19,-1.91,-4.59,-3.19,-1.91
1962-01-01,53.21,-114.46,-4.88,-3.48,-1.98,-4.88,-3.48,-1.98,-4.88,-3.48,-1.98
1963-01-01,53.21,-114.46,-3.90,-3.14,-2.40,-3.90,-3.14,-2.40,-3.90,-3.22,-2.40
1964-01-01,53.21,-114.46,-5.58,-3.75,-2.89,-5.58,-3.75,-2.89,-5.58,-3.95,-2.89
1965-01-01,53.21,-114.46,-4.81,-3.45,-2.66,-4.81,-3.45,-2.66,-4.98,-3.45,-2.66
1966-01-01,53.21,-114.46,-4.76,-3.75,-2.41,-4.76,-3.75,-2.41,-4.76,-3.81,-2.40
1967-01-01,53.21,-114.46,-4.37,-3.35,-1.55,-4.37,-3.35,-1.55,-4.37,-3.35,-1.55
1968-01-01,53.21,-114.46,-5.13,-3.80,-1.80,-5.13,-3.80,-1.80,-5.13,-3.79,-1.99
1969-01-01,53.21,-114.46,-5.05,-4.01,-2.12,-5.05,-4.01,-2.12,-5.05,-4.01,-2.25
1970-01-01,53.21,-114.46,-4.72,-3.43,-1.90,-4.72,-3.43,-1.90,-4.72,-3.47,-1.90
1971-01-01,53.21,-114.46,-4.41,-3.06,-2.05,-4.41,-3.06,-2.05,-4.41,-3.06,-2.05
1972-01-01,53.21,-114.46,-4.62,-3.36,-2.75,-4.62,-3.36,-2.75,-4.62,-3.36,-2.84
1973-01-01,53.21,-114.46,-4.49,-3.56,-1.52,-4.49,-3.56,-1.52,-4.49,-3.56,-1.52
1974-01-01,53.21,-114.46,-5.17,-3.38,-2.38,-5.17,-3.38,-2.38,-5.17,-3.38,-2.38
1975-01-01,53.21,-114.46,-4.52,-3.29,-2.44,-4.52,-3.29,-2.44,-4.52,-3.29,-2.44
1976-01-01,53.21,-114.46,-4.71,-3.30,-2.24,-4.71,-3.30,-2.24,-4.71,-3.30,-2.33
1977-01-01,53.21,-114.46,-4.12,-3.19,-2.06,-4.12,-3.19,-2.06,-4.12,-3.19,-2.06
1978-01-01,53.21,-114.46,-4.00,-2.95,-2.37,-4.00,-2.95,-2.37,-4.00,-2.95,-2.39
1979-01-01,53.21,-114.46,-4.82,-3.08,-1.30,-4.82,-3.08,-1.30,-4.82,-3.08,-1.38
1980-01-01,53.21,-114.46,-4.61,-3.49,-2.29,-4.66,-3.48,-2.29,-4.62,-3.50,-2.29
1981-01-01,53.21,-114.46,-5.20,-3.34,-2.09,-5.19,-3.31,-2.09,-5.56,-3.33,-2.10
1982-01-01,53.21,-114.46,-5.09,-3.21,-2.67,-5.12,-3.22,-2.66,-5.13,-3.24,-2.67
1983-01-01,53.21,-114.46,-4.30,-3.20,-2.31,-4.27,-3.22,-2.31,-4.30,-3.20,-2.33
1984-01-01,53.21,-114.46,-4.32,-2.91,-1.89,-4.31,-2.88,-1.88,-4.38,-2.90,-1.90
1985-01-01,53.21,-114.46,-4.58,-3.36,-2.67,-4.58,-3.35,-2.70,-4.57,-3.51,-2.67
1986-01-01,53.21,-114.46,-4.18,-3.23,-1.97,-4.16,-3.23,-1.97,-4.27,-3.22,-1.97
1987-01-01,53.21,-114.46,-4.27,-3.24,-2.28,-4.28,-3.24,-2.29,-4.27,-3.25,-2.30
1988-01-01,53.21,-114.46,-4.58,-2.95,-1.76,-4.59,-2.98,-1.74,-4.63,-2.95,-1.74
1989-01-01,53.21,-114.46,-4.21,-3.07,-1.83,-4.16,-3.09,-1.83,-4.24,-3.08,-1.85
1990-01-01,53.21,-114.46,-4.42,-3.18,-1.53,-4.43,-3.20,-1.50,-4.44,-3.18,-1.52
1991-01-01,53.21,-114.46,-3.95,-3.52,-1.66,-3.97,-3.51,-1.64,-3.97,-3.50,-1.64
1992-01-01,53.21,-114.46,-5.25,-3.22,-1.37,-5.26,-3.25,-1.37,-5.27,-3.22,-1.38
1993-01-01,53.21,-114.46,-3.84,-2.70,-1.82,-3.84,-2.71,-1.81,-3.84,-2.81,-1.81
1994-01-01,53.21,-114.46,-3.95,-3.01,-2.06,-3.98,-3.01,-2.03,-3.97,-3.01,-2.04
1995-01-01,53.21,-114.46,-4.70,-3.50,-1.42,-4.72,-3.50,-1.43,-4.70,-3.50,-1.42
1996-01-01,53.21,-114.46,-4.24,-2.85,-1.83,-4.25,-2.85,-1.83,-4.28,-2.89,-1.83
1997-01-01,53.21,-114.46,-4.43,-2.78,-0.95,-4.41,-2.78,-0.95,-4.43,-2.78,-0.95
1998-01-01,53.21,-114.46,-4.13,-3.00,-1.45,-4.15,-2.99,-1.44,-4.13,-2.99,-1.42
