time,lat,lon,rcp26_tn_min_p10,rcp26_tn_min_p50,rcp26_tn_min_p90,rcp45_tn_min_p10,rcp45_tn_min_p50,rcp45_tn_min_p90,rcp85_tn_min_p10,rcp85_tn_min_p50,rcp85_tn_min_p90
1950-01-01,57.87,-116.71,-46.17,-43.89,-38.58,-46.17,-43.89,-38.58,-46.21,-43.89,-38.58
1951-01-01,57.87,-116.71,-48.04,-43.73,-38.81,-48.04,-43.73,-38.81,-48.04,-43.73,-38.81
1952-01-01,57.87,-116.71,-46.15,-43.77,-41.24,-46.15,-43.77,-41.24,-46.15,-43.75,-41.24
1953-01-01,57.87,-116.71,-47.02,-42.57,-39.30,-47.02,-42.57,-39.30,-47.02,-42.57,-39.16
1954-01-01,57.87,-116.71,-47.68,-43.09,-37.49,-47.68,-43.09,-37.49,-47.68,-43.09,-37.49
1955-01-01,57.87,-116.71,-46.82,-42.71,-37.68,-46.82,-42.71,-37.68,-46.82,-42.71,-37.68
1956-01-01,57.87,-116.71,-47.56,-40.78,-38.26,-47.56,-40.78,-38.27,-47.56,-40.83,-38.26
1957-01-01,57.87,-116.71,-47.55,-42.88,-38.73,-47.55,-42.88,-38.73,-47.55,-42.88,-38.73
1958-01-01,57.87,-116.71,-47.27,-42.89,-39.18,-47.27,-42.89,-39.18,-47.27,-42.89,-39.18
1959-01-01,57.87,-116.71,-46.47,-43.96,-39.55,-46.47,-43.96,-39.55,-46.47,-43.96,-39.55
1960-01-01,57.87,-116.71,-47.19,-42.92,-39.45,-47.19,-42.92,-39.45,-47.19,-42.59,-39.45
1961-01-01,57.87,-116.71,-47.52,-43.33,-39.01,-47.52,-43.33,-39.01,-47.52,-43.33,-39.01
1962-01-01,57.87,-116.71,-46.48,-43.13,-38.57,-46.48,-43.13,-38.57,-46.48,-43.13,-38.57
1963-01-01,57.87,-116.71,-45.95,-43.08,-39.66,-45.95,-43.08,-39.66,-45.95,-43.08,-39.66
1964-01-01,57.87,-116.71,-46.66,-43.07,-39.72,-46.66,-43.07,-39.72,-46.66,-43.07,-39.72
1965-01-01,57.87,-116.71,-48.09,-45.45,-38.19,-48.09,-45.45,-38.19,-48.06,-45.45,-38.19
1966-01-01,57.87,-116.71,-47.77,-43.24,-37.57,-47.77,-43.24,-37.57,-47.77,-43.21,-37.57
1967-01-01,57.87,-116.71,-47.61,-43.56,-38.82,-47.61,-43.56,-38.82,-47.61,-43.56,-38.82
1968-01-01,57.87,-116.71,-45.81,-42.65,-40.07,-45.81,-42.65,-40.07,-45.81,-42.55,-39.67
1969-01-01,57.87,-116.71,-46.26,-42.45,-38.73,-46.26,-42.45,-38.73,-46.26,-42.45,-38.73
1970-01-01,57.87,-116.71,-46.77,-43.12,-40.66,-46.77,-43.12,-40.66,-46.77,-43.12,-40.66
1971-01-01,57.87,-116.71,-46.68,-43.34,-40.25,-46.68,-43.34,-40.25,-46.68,-43.34,-40.25
1972-01-01,57.87,-116.71,-46.65,-43.56,-38.06,-46.65,-43.56,-38.06,-46.65,-43.56,-37.94
