time,lat,lon,rcp26_gddgrow_0_p10,rcp26_gddgrow_0_p50,rcp26_gddgrow_0_p90,rcp45_gddgrow_0_p10,rcp45_gddgrow_0_p50,rcp45_gddgrow_0_p90,rcp85_gddgrow_0_p10,rcp85_gddgrow_0_p50,rcp85_gddgrow_0_p90
1950-01-01,57.87,-116.71,1932.14,2245.60,2472.06,1932.14,2245.60,2472.06,1932.14,2245.60,2472.06
1951-01-01,57.87,-116.71,1971.45,2253.11,2450.66,1971.45,2254.11,2450.66,1964.23,2253.57,2450.66
1952-01-01,57.87,-116.71,1916.61,2050.94,2498.42,1916.61,2051.71,2498.68,1916.60,2051.76,2498.56
1953-01-01,57.87,-116.71,1888.88,2080.96,2354.16,1888.88,2080.96,2354.16,1888.88,2080.96,2354.16
1954-01-01,57.87,-116.71,1992.19,2162.05,2480.87,1991.75,2162.05,2480.87,1991.98,2162.05,2480.87
1955-01-01,57.87,-116.71,2034.96,2187.42,2385.46,2035.27,2187.11,2385.46,2034.86,2187.61,2385.46
1956-01-01,57.87,-116.71,1923.73,2150.02,2374.66,1923.73,2150.10,2374.94,1923.73,2148.44,2375.05
1957-01-01,57.87,-116.71,1828.10,2170.74,2388.21,1828.10,2171.63,2388.21,1828.12,2171.63,2388.21
1958-01-01,57.87,-116.71,1960.07,2101.46,2380.30,1960.07,2101.46,2380.30,1960.07,2101.46,2380.30
1959-01-01,57.87,-116.71,1928.29,2098.27,2350.88,1928.29,2098.37,2350.88,1928.32,2098.34,2350.89
1960-01-01,57.87,-116.71,2019.58,2140.66,2432.04,2019.59,2140.05,2432.05,2019.59,2140.25,2432.05
1961-01-01,57.87,-116.71,1979.84,2206.24,2396.65,1979.83,2206.41,2396.65,1979.84,2206.54,2391.13
1962-01-01,57.87,-116.71,1910.09,2121.16,2297.45,1910.09,2121.14,2297.45,1909.39,2117.94,2297.45
1963-01-01,57.87,-116.71,1857.52,2083.89,2368.89,1857.95,2082.91,2368.89,1860.94,2084.30,2368.89
1964-01-01,57.87,-116.71,1849.25,2053.09,2221.85,1848.90,2053.10,2221.08,1850.70,2050.34,2221.35
1965-01-01,57.87,-116.71,1921.31,2133.35,2298.74,1921.31,2132.78,2298.74,1917.15,2132.96,2298.74
1966-01-01,57.87,-116.71,1930.58,2112.71,2418.74,1930.57,2112.42,2418.96,1930.57,2111.87,2414.61
1967-01-01,57.87,-116.71,1929.84,2118.54,2317.62,1929.73,2118.40,2317.68,1929.73,2118.85,2317.27
1968-01-01,57.87,-116.71,1965.18,2092.62,2257.55,1965.18,2092.62,2257.59,1965.18,2087.55,2256.29
1969-01-01,57.87,-116.71,1818.80,2054.90,2216.08,1818.80,2055.79,2215.94,1818.80,2054.93,2215.73
1970-01-01,57.87,-116.71,1991.52,2243.64,2396.85,1991.52,2243.64,2396.85,1991.52,2239.23,2396.85
1971-01-01,57.87,-116.71,1943.35,2194.21,2369.82,1943.61,2194.21,2369.81,1943.44,2194.33,2369.81
1972-01-01,57.87,-116.71,1984.88,2153.69,2366.73,1984.06,2153.69,2366.73,1984.06,2153.69,2366.73
1973-01-01,57.87,-116.71,1826.71,2189.52,2316.91,1826.71,2188.78,2316.88,1826.71,2189.29,2317.14
1974-01-01,57.87,-116.71,1936.12,2144.49,2308.54,1936.55,2144.49,2308.57,1936.54,2144.49,2308.39
1975-01-01,57.87,-116.71,1972.39,2268.91,2481.86,1973.17,2267.56,2481.87,1972.37,2263.98,2481.86
1976-01-01,57.87,-116.71,1973.00,2167.80,2365.62,1973.00,2168.41,2366.42,1973.00,2167.54,2367.19
1977-01-01,57.87,-116.71,1952.23,2154.40,2377.89,1952.23,2154.39,2377.98,1952.23,2154.40,2377.75
1978-01-01,57.87,-116.71,2058.59,2220.65,2349.36,2058.51,2220.65,2349.04,2058.50,2220.65,2349.04
1979-01-01,57.87,-116.71,2016.96,2246.43,2392.39,2016.95,2248.96,2393.20,2017.02,2248.92,2383.03
1980-01-01,57.87,-116.71,1948.47,2125.86,2418.79,1947.91,2127.12,2416.79,1952.98,2125.82,2414.14
1981-01-01,57.87,-116.71,1985.82,2148.02,2291.86,1985.05,2150.55,2292.10,1985.69,2147.28,2292.06
1982-01-01,57.87,-116.71,1954.62,2116.17,2328.85,1954.15,2117.35,2324.45,1954.06,2116.51,2325.73
1983-01-01,57.87,-116.71,1900.73,2154.09,2417.39,1902.07,2153.97,2418.53,1892.75,2155.11,2420.30
1984-01-01,57.87,-116.71,2037.92,2256.27,2419.70,2039.87,2253.28,2421.42,2038.74,2253.23,2423.76
1985-01-01,57.87,-116.71,1946.36,2198.75,2343.51,1944.02,2198.28,2338.73,1944.85,2198.44,2340.18
1986-01-01,57.87,-116.71,1903.40,2147.19,2389.73,1902.65,2148.75,2393.03,1903.22,2144.05,2391.14
1987-01-01,57.87,-116.71,1925.28,2194.83,2392.28,1924.15,2192.84,2392.05,1924.81,2192.50,2392.49
1988-01-01,57.87,-116.71,2063.05,2216.35,2426.77,2063.45,2215.32,2425.31,2062.94,2215.25,2424.55
1989-01-01,57.87,-116.71,2028.70,2193.04,2431.54,2029.61,2191.88,2431.39,2029.07,2192.87,2432.00
1990-01-01,57.87,-116.71,1971.70,2168.64,2440.89,1972.13,2163.72,2440.96,1972.42,2167.57,2436.71
1991-01-01,57.87,-116.71,1991.35,2177.06,2360.71,1992.80,2172.25,2362.78,1992.88,2176.56,2363.17
1992-01-01,57.87,-116.71,1977.68,2205.20,2308.36,1977.47,2205.63,2308.02,1976.99,2200.90,2307.92
1993-01-01,57.87,-116.71,1988.49,2238.88,2449.05,1983.81,2240.51,2454.60,1984.57,2239.62,2454.30
1994-01-01,57.87,-116.71,1954.22,2215.13,2423.48,1958.62,2214.58,2422.83,1956.09,2213.66,2424.59
1995-01-01,57.87,-116.71,2026.26,2157.86,2351.91,2029.73,2159.03,2351.90,2024.87,2159.56,2351.90
