time,lat,lon,rcp26_gddgrow_5_p10,rcp26_gddgrow_5_p50,rcp26_gddgrow_5_p90,rcp45_gddgrow_5_p10,rcp45_gddgrow_5_p50,rcp45_gddgrow_5_p90,rcp85_gddgrow_5_p10,rcp85_gddgrow_5_p50,rcp85_gddgrow_5_p90
1950-01-01,57.87,-116.71,1065.60,1289.96,1494.74,1065.60,1289.96,1494.74,1065.60,1289.96,1491.19
1951-01-01,57.87,-116.71,1097.48,1306.29,1470.56,1097.48,1306.60,1470.56,1087.23,1306.24,1470.56
1952-01-01,57.87,-116.71,1027.37,1206.59,1532.93,1027.37,1205.94,1532.46,1019.99,1204.91,1532.76
1953-01-01,57.87,-116.71,1058.54,1171.40,1423.27,1058.54,1171.40,1423.28,1058.54,1171.40,1423.27
1954-01-01,57.87,-116.71,1103.43,1224.70,1506.79,1103.37,1224.69,1506.79,1102.60,1224.70,1506.79
1955-01-01,57.87,-116.71,1144.64,1234.20,1448.71,1144.84,1233.22,1448.71,1144.74,1233.62,1448.71
1956-01-01,57.87,-116.71,1054.67,1212.11,1399.69,1054.09,1211.78,1399.69,1054.10,1212.19,1399.69
1957-01-01,57.87,-116.71,984.06,1256.24,1469.00,984.06,1255.10,1469.11,984.06,1255.72,1468.87
1958-01-01,57.87,-116.71,1080.69,1203.70,1427.03,1080.42,1203.69,1427.03,1076.29,1203.69,1427.03
1959-01-01,57.87,-116.71,1050.77,1179.34,1407.00,1050.77,1179.56,1407.00,1050.77,1179.56,1407.00
1960-01-01,57.87,-116.71,1103.14,1250.13,1475.27,1102.52,1250.13,1475.27,1102.33,1250.14,1475.27
1961-01-01,57.87,-116.71,1100.45,1295.18,1439.25,1101.20,1295.18,1439.25,1100.94,1295.18,1430.37
1962-01-01,57.87,-116.71,1039.36,1195.82,1363.70,1039.37,1196.09,1363.70,1039.36,1195.82,1363.70
1963-01-01,57.87,-116.71,1000.23,1200.23,1411.25,1000.18,1199.91,1411.25,1000.01,1199.92,1411.25
1964-01-01,57.87,-116.71,1019.89,1183.33,1312.14,1019.89,1183.33,1312.14,1019.89,1183.33,1312.14
1965-01-01,57.87,-116.71,1029.44,1205.96,1343.95,1029.44,1205.39,1343.95,1022.94,1205.39,1343.95
1966-01-01,57.87,-116.71,1053.57,1210.73,1451.03,1053.57,1210.52,1451.10,1053.57,1210.44,1451.19
1967-01-01,57.87,-116.71,1025.42,1191.01,1335.31,1025.42,1191.01,1335.52,1025.42,1191.01,1335.34
1968-01-01,57.87,-116.71,1078.55,1176.78,1327.46,1078.56,1176.78,1327.46,1078.56,1175.18,1327.46
1969-01-01,57.87,-116.71,972.79,1168.04,1293.59,972.51,1167.76,1293.16,972.53,1167.89,1292.95
1970-01-01,57.87,-116.71,1089.95,1329.62,1449.22,1089.95,1329.15,1449.22,1089.95,1328.43,1444.21
1971-01-01,57.87,-116.71,1078.68,1273.58,1423.29,1078.68,1273.58,1423.28,1078.68,1273.58,1423.29
1972-01-01,57.87,-116.71,1089.05,1236.81,1423.84,1090.58,1236.81,1423.84,1090.58,1236.80,1423.84
1973-01-01,57.87,-116.71,976.54,1241.82,1356.43,976.54,1241.82,1356.32,976.54,1241.82,1356.34
1974-01-01,57.87,-116.71,1046.13,1209.03,1364.95,1045.64,1209.03,1364.94,1045.65,1202.92,1364.94
1975-01-01,57.87,-116.71,1106.37,1334.60,1534.30,1106.37,1335.42,1534.68,1106.37,1334.59,1534.48
1976-01-01,57.87,-116.71,1084.56,1305.64,1424.41,1084.12,1305.64,1424.86,1084.36,1305.64,1425.86
1977-01-01,57.87,-116.71,1075.20,1249.53,1459.87,1075.20,1249.70,1459.52,1075.20,1249.69,1460.10
1978-01-01,57.87,-116.71,1132.89,1321.98,1428.98,1132.89,1321.98,1428.98,1128.06,1321.98,1428.98
1979-01-01,57.87,-116.71,1159.57,1298.89,1389.47,1159.57,1297.68,1389.43,1159.56,1297.19,1389.68
1980-01-01,57.87,-116.71,1076.31,1239.35,1442.90,1078.16,1240.62,1444.03,1077.32,1233.61,1442.22
1981-01-01,57.87,-116.71,1119.38,1264.11,1366.19,1120.79,1267.16,1363.39,1119.66,1262.69,1364.11
1982-01-01,57.87,-116.71,1074.85,1199.76,1390.40,1072.50,1200.66,1388.54,1074.60,1200.14,1391.02
1983-01-01,57.87,-116.71,1059.27,1255.77,1477.65,1059.35,1254.41,1481.77,1055.73,1256.91,1478.43
1984-01-01,57.87,-116.71,1151.21,1290.59,1472.28,1150.41,1291.53,1474.36,1150.60,1287.40,1474.75
1985-01-01,57.87,-116.71,1078.73,1288.50,1405.91,1078.79,1289.93,1407.43,1077.85,1289.68,1408.51
1986-01-01,57.87,-116.71,1034.53,1235.13,1415.61,1034.49,1235.07,1417.28,1034.84,1236.49,1416.56
1987-01-01,57.87,-116.71,1091.81,1269.83,1454.19,1090.09,1267.52,1455.73,1090.06,1267.87,1454.32
1988-01-01,57.87,-116.71,1187.67,1295.17,1444.42,1189.29,1295.74,1443.09,1188.97,1291.81,1442.00
1989-01-01,57.87,-116.71,1143.83,1290.90,1479.97,1144.26,1288.49,1479.89,1144.83,1290.72,1479.00
1990-01-01,57.87,-116.71,1076.17,1273.68,1445.90,1076.99,1270.77,1446.75,1067.13,1271.43,1446.36
1991-01-01,57.87,-116.71,1133.41,1254.18,1430.86,1130.87,1256.39,1431.62,1131.25,1254.98,1431.98
1992-01-01,57.87,-116.71,1085.04,1259.26,1350.38,1081.18,1259.92,1352.08,1082.46,1260.54,1347.07
1993-01-01,57.87,-116.71,1119.83,1310.56,1488.25,1117.48,1312.21,1490.12,1117.08,1304.86,1489.68
1994-01-01,57.87,-116.71,1055.15,1283.94,1457.41,1056.85,1282.60,1461.03,1057.05,1283.22,1460.20
1995-01-01,57.87,-116.71,1151.79,1248.11,1394.46,1152.24,1248.56,1394.28,1147.74,1243.88,1394.01
1996-01-01,57.87,-116.71,1141.06,1300.45,1524.71,1139.76,1300.15,1527.60,1141.72,1297.62,1527.08
1997-01-01,57.87,-116.71,1162.56,1312.07,1548.99,1162.13,1311.52,1551.19,1161.61,1310.13,1547.82
1998-01-01,57.87,-116.71,1160.68,1329.75,1425.66,1160.83,1330.24,1425.44,1156.75,1330.45,1425.34
1999-01-01,57.87,-116.71,1215.47,1317.00,1456.37,1214.81,1318.49,1457.87,1215.22,1315.60,1456.64
2000-01-01,57.87,-116.71,1152.82,1333.35,1548.04,1150.02,1332.98,1548.90,1151.12,1332.88,1549.09
2001-01-01,57.87,-116.71,1135.38,1369.76,1573.81,1136.41,1371.39,1573.61,1133.72,1369.40,1568.77
2002-01-01,57.87,-116.71,1220.75,1336.24,1533.79,1223.12,1337.49,1531.29,1220.89,1333.73,1531.24
2003-01-01,57.87,-116.71,1121.10,1349.35,1571.08,1121.07,1349.45,1571.82,1121.04,1350.12,1571.94
2004-01-01,57.87,-116.71,1203.99,1327.23,1573.75,1205.28,1325.96,1575.61,1205.15,1329.92,1574.32
2005-01-01,57.87,-116.71,1157.46,1399.94,1546.21,1156.94,1399.90,1545.65,1157.24,1399.03,1546.02
2006-01-01,57.87,-116.71,1193.56,1373.00,1530.90,1232.57,1383.58,1645.67,1236.81,1302.01,1568.37
2007-01-01,57.87,-116.71,1284.39,1441.06,1614.37,1193.08,1400.84,1579.51,1247.37,1398.99,1646.22
2008-01-01,57.87,-116.71,1159.33,1338.81,1556.42,1118.95,1367.93,1581.57,1181.73,1413.73,1577.63
2009-01-01,57.87,-116.71,1167.62,1382.72,1506.34,1226.29,1404.73,1615.52,1312.89,1452.02,1585.95
2010-01-01,57.87,-116.71,1243.00,1393.56,1457.27,1177.12,1403.28,1786.75,1183.47,1407.77,1694.24
2011-01-01,57.87,-116.71,1255.61,1410.28,1634.88,1216.21,1399.91,1645.35,1193.94,1413.69,1668.17
2012-01-01,57.87,-116.71,1259.64,1419.13,1651.24,1235.67,1384.89,1483.29,1223.88,1397.07,1589.63
2013-01-01,57.87,-116.71,1189.78,1432.00,1587.08,1170.18,1386.40,1636.56,1250.50,1357.85,1528.21
2014-01-01,57.87,-116.71,1180.08,1356.15,1603.65,1297.59,1420.63,1607.85,1301.79,1461.20,1620.14
2015-01-01,57.87,-116.71,1242.78,1412.45,1587.93,1293.85,1472.84,1695.09,1320.69,1482.17,1683.55
2016-01-01,57.87,-116.71,1271.92,1445.88,1750.90,1191.51,1376.08,1576.07,1283.12,1416.18,1700.51
2017-01-01,57.87,-116.71,1273.87,1471.86,1634.92,1271.01,1436.38,1615.71,1288.38,1503.78,1733.61
2018-01-01,57.87,-116.71,1244.65,1458.51,1777.56,1319.28,1459.69,1690.30,1225.75,1391.85,1597.85
