time,lon,lat,rcp26_rx1day_p10,rcp26_rx1day_p50,rcp26_rx1day_p90,rcp45_rx1day_p10,rcp45_rx1day_p50,rcp45_rx1day_p90,rcp85_rx1day_p10,rcp85_rx1day_p50,rcp85_rx1day_p90
1950-01-01,-116.71,57.87,15.46,27.18,47.47,15.44,26.95,47.47,15.44,27.49,47.47
1951-01-01,-116.71,57.87,13.64,21.64,68.17,13.43,21.64,68.47,13.43,21.64,68.18
1952-01-01,-116.71,57.87,16.74,28.60,44.50,16.79,28.60,44.53,16.72,28.60,45.26
1953-01-01,-116.71,57.87,15.63,25.04,43.11,15.63,25.04,43.10,15.63,25.04,42.87
1954-01-01,-116.71,57.87,16.55,25.10,43.30,16.55,24.89,42.82,16.55,24.89,42.82
1955-01-01,-116.71,57.87,14.42,21.04,50.75,14.35,21.20,50.75,14.35,21.23,50.75
1956-01-01,-116.71,57.87,18.48,24.82,49.34,18.47,24.21,47.60,18.88,24.21,48.52
1957-01-01,-116.71,57.87,16.93,24.65,46.56,16.93,24.65,46.56,16.93,24.65,46.56
1958-01-01,-116.71,57.87,15.27,25.32,48.36,15.21,25.32,54.56,15.09,25.32,54.56
1959-01-01,-116.71,57.87,18.63,25.75,42.50,18.36,25.75,42.53,18.34,25.85,42.53
1960-01-01,-116.71,57.87,13.46,28.50,47.17,13.46,29.06,47.34,13.46,29.06,47.15
1961-01-01,-116.71,57.87,15.16,22.32,39.66,14.97,22.32,39.66,14.98,22.32,39.66
1962-01-01,-116.71,57.87,16.76,22.48,41.84,16.83,22.13,40.50,16.98,22.33,40.50
1963-01-01,-116.71,57.87,17.07,25.42,55.94,17.07,24.44,54.24,17.07,24.44,53.85
1964-01-01,-116.71,57.87,16.64,24.55,47.76,16.64,24.55,47.76,16.64,24.55,47.76
1965-01-01,-116.71,57.87,18.12,29.87,73.23,18.14,27.97,73.53,18.11,30.98,73.53
1966-01-01,-116.71,57.87,17.33,26.02,49.03,17.90,25.60,48.36,16.90,25.60,48.09
1967-01-01,-116.71,57.87,16.05,27.40,39.44,16.25,27.40,39.44,16.25,27.40,39.44
1968-01-01,-116.71,57.87,16.03,25.16,43.99,16.03,26.98,44.67,16.03,25.48,43.78
1969-01-01,-116.71,57.87,14.16,23.82,39.33,14.29,24.25,39.33,14.02,24.07,39.33
1970-01-01,-116.71,57.87,15.97,26.28,45.08,15.95,26.42,47.24,16.00,26.42,47.34
1971-01-01,-116.71,57.87,14.98,23.61,53.91,14.74,23.61,57.30,14.27,23.61,56.40
1972-01-01,-116.71,57.87,15.33,23.14,43.02,15.67,23.28,43.86,15.95,23.46,42.54
1973-01-01,-116.71,57.87,18.08,24.49,46.61,17.97,24.49,46.83,18.26,24.49,46.71
1974-01-01,-116.71,57.87,14.29,21.45,46.78,14.29,21.15,46.61,14.29,21.78,46.61
1975-01-01,-116.71,57.87,12.71,25.54,35.72,12.90,25.01,35.67,12.92,25.01,35.67
1976-01-01,-116.71,57.87,17.33,25.65,42.63,17.33,26.11,42.29,17.33,26.11,42.55
1977-01-01,-116.71,57.87,16.98,23.80,52.10,16.98,23.66,52.02,16.98,23.97,51.78
1978-01-01,-116.71,57.87,16.86,22.71,32.11,17.05,23.22,32.11,16.83,23.22,32.11
1979-01-01,-116.71,57.87,18.57,35.21,54.83,18.59,35.21,54.83,19.15,35.21,54.83
1980-01-01,-116.71,57.87,13.81,23.91,44.30,13.63,23.96,43.58,13.57,23.70,44.74
1981-01-01,-116.71,57.87,15.66,21.88,47.57,13.83,21.83,50.38,13.69,21.68,46.53
