time,lat,lon,rcp26_tx_mean_p10,rcp26_tx_mean_p50,rcp26_tx_mean_p90,rcp45_tx_mean_p10,rcp45_tx_mean_p50,rcp45_tx_mean_p90,rcp85_tx_mean_p10,rcp85_tx_mean_p50,rcp85_tx_mean_p90
1950-01-01,57.87,-116.71,3.82,6.31,7.57,3.82,6.31,7.57,3.82,6.32,7.57
1951-01-01,57.87,-116.71,3.98,5.97,7.23,3.98,5.97,7.23,3.98,5.97,7.23
1952-01-01,57.87,-116.71,3.90,5.17,6.89,3.90,5.17,6.89,3.90,5.17,6.89
1953-01-01,57.87,-116.71,3.66,5.21,6.82,3.66,5.21,6.82,3.66,5.21,6.82
1954-01-01,57.87,-116.71,4.12,5.77,7.03,4.12,5.77,7.03,4.13,5.77,7.03
1955-01-01,57.87,-116.71,3.84,5.39,7.05,3.84,5.39,7.05,3.84,5.39,7.05
1956-01-01,57.87,-116.71,4.26,5.76,7.09,4.26,5.76,7.09,4.26,5.76,7.10
1957-01-01,57.87,-116.71,3.27,4.99,6.59,3.27,4.99,6.59,3.27,4.99,6.59
1958-01-01,57.87,-116.71,4.12,5.30,6.31,4.12,5.30,6.31,4.12,5.30,6.31
1959-01-01,57.87,-116.71,3.42,5.39,6.71,3.42,5.39,6.71,3.42,5.39,6.71
1960-01-01,57.87,-116.71,4.07,5.66,6.32,4.07,5.66,6.32,4.07,5.66,6.32
1961-01-01,57.87,-116.71,3.72,5.86,7.32,3.72,5.86,7.32,3.72,5.86,7.32
1962-01-01,57.87,-116.71,3.26,5.12,6.63,3.26,5.12,6.63,3.26,5.12,6.63
1963-01-01,57.87,-116.71,4.17,5.45,6.21,4.17,5.45,6.21,4.17,5.45,6.21
1964-01-01,57.87,-116.71,2.76,4.69,6.30,2.76,4.69,6.30,2.76,4.70,6.30
1965-01-01,57.87,-116.71,4.20,4.75,6.55,4.20,4.75,6.55,4.20,4.76,6.55
1966-01-01,57.87,-116.71,3.76,5.16,6.77,3.76,5.16,6.77,3.76,5.16,6.77
1967-01-01,57.87,-116.71,3.92,5.80,6.89,3.92,5.80,6.89,3.92,5.80,6.89
1968-01-01,57.87,-116.71,4.21,5.13,5.85,4.21,5.13,5.85,4.21,5.13,5.85
1969-01-01,57.87,-116.71,3.07,5.01,6.19,3.07,5.01,6.19,3.07,5.01,6.19
1970-01-01,57.87,-116.71,4.16,5.70,7.52,4.16,5.70,7.52,4.16,5.70,7.52
1971-01-01,57.87,-116.71,4.02,5.33,7.05,4.02,5.33,7.05,4.02,5.33,7.05
1972-01-01,57.87,-116.71,4.17,5.37,6.43,4.17,5.37,6.43,4.18,5.37,6.43
1973-01-01,57.87,-116.71,3.39,5.27,7.06,3.39,5.27,7.06,3.39,5.27,7.06
