time,lon,lat,rcp26_r1mm_p10,rcp26_r1mm_p50,rcp26_r1mm_p90,rcp45_r1mm_p10,rcp45_r1mm_p50,rcp45_r1mm_p90,rcp85_r1mm_p10,rcp85_r1mm_p50,rcp85_r1mm_p90
1950-01-01,-116.71,57.87,87.50,99.00,108.80,88.30,99.00,109.70,87.60,99.00,109.70
1951-01-01,-116.71,57.87,76.60,93.00,110.80,76.60,92.50,111.50,76.60,93.00,110.50
1952-01-01,-116.71,57.87,83.30,95.50,113.70,83.30,95.50,113.70,83.30,95.50,113.70
1953-01-01,-116.71,57.87,82.70,95.00,107.40,83.30,95.00,109.00,83.30,95.00,109.00
1954-01-01,-116.71,57.87,74.90,93.00,108.20,74.90,92.50,106.30,74.90,92.50,106.30
1955-01-01,-116.71,57.87,84.00,94.50,108.90,84.00,95.00,107.50,84.00,94.50,108.90
1956-01-01,-116.71,57.87,81.80,96.00,110.70,81.80,96.00,110.70,81.80,96.00,110.70
1957-01-01,-116.71,57.87,82.80,95.00,110.50,83.50,95.50,109.80,83.50,95.50,108.40
1958-01-01,-116.71,57.87,85.20,99.50,112.00,84.90,99.00,112.00,84.60,99.50,111.70
1959-01-01,-116.71,57.87,85.00,101.50,117.90,85.90,101.00,117.90,85.00,101.50,117.90
1960-01-01,-116.71,57.87,78.90,97.00,111.70,79.20,97.00,111.70,78.90,97.00,111.70
1961-01-01,-116.71,57.87,86.30,95.00,112.10,86.30,95.00,112.10,86.30,95.00,112.10
1962-01-01,-116.71,57.87,83.60,98.50,111.90,83.90,99.00,111.90,83.30,99.00,111.60
1963-01-01,-116.71,57.87,85.70,99.00,121.60,85.70,98.50,121.60,85.70,98.50,120.60
1964-01-01,-116.71,57.87,81.50,93.00,104.40,80.80,93.00,103.70,80.50,93.00,103.00
1965-01-01,-116.71,57.87,80.30,95.00,111.40,80.30,95.00,111.40,80.30,95.00,111.40
1966-01-01,-116.71,57.87,86.20,95.00,105.00,85.90,95.50,105.70,86.50,94.50,106.40
1967-01-01,-116.71,57.87,82.30,95.50,110.80,82.30,95.50,109.40,82.60,95.50,110.80
1968-01-01,-116.71,57.87,86.60,95.50,109.80,87.20,97.00,109.80,87.20,95.50,109.80
1969-01-01,-116.71,57.87,80.20,94.50,107.70,80.20,95.00,107.70,80.20,95.00,107.70
1970-01-01,-116.71,57.87,80.90,96.00,109.40,80.20,96.00,109.40,81.60,96.00,109.40
1971-01-01,-116.71,57.87,79.60,102.00,111.80,79.60,102.00,112.10,79.60,102.00,112.40
1972-01-01,-116.71,57.87,87.00,94.50,104.00,87.30,95.00,103.70,87.60,94.50,103.70
1973-01-01,-116.71,57.87,81.50,95.50,114.20,81.50,95.50,113.20,81.50,95.00,113.90
1974-01-01,-116.71,57.87,83.60,94.50,109.40,83.60,94.00,109.70,83.60,94.00,109.70
