time,lat,lon,rcp26_tn_min_p10,rcp26_tn_min_p50,rcp26_tn_min_p90,rcp45_tn_min_p10,rcp45_tn_min_p50,rcp45_tn_min_p90,rcp85_tn_min_p10,rcp85_tn_min_p50,rcp85_tn_min_p90
1950-01-01,49.54,-113.46,-35.84,-31.70,-29.19,-35.84,-31.70,-29.19,-35.84,-31.70,-29.19
1951-01-01,49.54,-113.46,-37.00,-32.89,-28.35,-37.00,-32.89,-28.35,-37.00,-32.89,-28.31
1952-01-01,49.54,-113.46,-37.51,-34.71,-28.82,-37.51,-34.71,-28.82,-37.51,-34.71,-28.82
1953-01-01,49.54,-113.46,-38.31,-34.48,-29.39,-38.31,-34.48,-29.39,-38.31,-34.48,-29.39
1954-01-01,49.54,-113.46,-38.05,-32.76,-28.68,-38.05,-32.76,-28.68,-38.05,-32.42,-28.71
1955-01-01,49.54,-113.46,-37.57,-34.84,-31.23,-37.57,-34.84,-31.23,-37.57,-35.18,-31.23
1956-01-01,49.54,-113.46,-37.28,-34.86,-31.64,-37.28,-34.86,-31.64,-37.28,-34.87,-31.64
1957-01-01,49.54,-113.46,-37.95,-34.11,-29.33,-37.95,-34.11,-29.33,-38.03,-34.11,-29.33
1958-01-01,49.54,-113.46,-38.98,-35.55,-30.20,-38.98,-35.55,-30.20,-38.98,-35.55,-30.20
1959-01-01,49.54,-113.46,-39.01,-34.50,-29.44,-39.01,-34.50,-29.44,-39.01,-34.57,-29.44
1960-01-01,49.54,-113.46,-39.92,-34.78,-28.19,-39.92,-34.78,-28.19,-39.92,-34.86,-28.19
1961-01-01,49.54,-113.46,-36.92,-33.30,-27.43,-36.92,-33.30,-27.43,-36.92,-33.78,-27.43
1962-01-01,49.54,-113.46,-38.23,-32.97,-30.02,-38.23,-32.97,-30.02,-38.23,-33.10,-30.02
1963-01-01,49.54,-113.46,-37.76,-31.94,-26.99,-37.76,-31.94,-26.99,-37.91,-31.94,-26.99
1964-01-01,49.54,-113.46,-38.53,-35.98,-31.20,-38.53,-35.98,-31.20,-38.53,-35.98,-31.20
1965-01-01,49.54,-113.46,-38.21,-34.07,-30.53,-38.21,-34.07,-30.53,-38.21,-34.07,-30.53
1966-01-01,49.54,-113.46,-41.89,-34.46,-29.49,-41.89,-34.46,-29.49,-41.89,-34.37,-29.49
1967-01-01,49.54,-113.46,-38.53,-34.55,-28.58,-38.53,-34.55,-28.58,-38.53,-34.91,-28.58
1968-01-01,49.54,-113.46,-38.55,-33.37,-28.69,-38.55,-33.37,-28.69,-38.55,-33.37,-26.90
1969-01-01,49.54,-113.46,-37.47,-34.55,-26.67,-37.47,-34.55,-26.67,-37.47,-34.55,-27.18
1970-01-01,49.54,-113.46,-39.55,-35.34,-29.26,-39.55,-35.34,-29.26,-39.55,-35.34,-29.26
1971-01-01,49.54,-113.46,-37.56,-33.99,-30.37,-37.56,-33.99,-30.37,-37.56,-33.99,-30.37
1972-01-01,49.54,-113.46,-38.65,-36.19,-29.77,-38.65,-36.19,-29.77,-38.65,-36.19,-29.83
1973-01-01,49.54,-113.46,-40.59,-33.49,-28.16,-40.59,-33.49,-28.16,-40.59,-33.49,-28.39
1974-01-01,49.54,-113.46,-38.12,-35.82,-31.58,-38.12,-35.82,-31.58,-38.12,-35.91,-31.58
1975-01-01,49.54,-113.46,-38.18,-33.81,-28.33,-38.18,-33.81,-28.33,-38.18,-33.81,-28.33
1976-01-01,49.54,-113.46,-37.45,-32.34,-29.06,-37.45,-32.34,-29.06,-37.45,-32.34,-29.06
1977-01-01,49.54,-113.46,-37.59,-33.90,-28.46,-37.59,-33.90,-28.46,-37.59,-33.90,-28.46
1978-01-01,49.54,-113.46,-38.65,-34.48,-28.87,-38.65,-34.48,-28.87,-38.65,-34.48,-29.66
1979-01-01,49.54,-113.46,-38.09,-34.00,-28.16,-38.09,-34.00,-28.16,-38.09,-34.00,-28.86
1980-01-01,49.54,-113.46,-39.00,-34.42,-29.02,-38.66,-34.35,-28.69,-38.84,-34.32,-29.13
1981-01-01,49.54,-113.46,-38.57,-34.89,-29.25,-38.64,-35.21,-29.26,-38.69,-34.88,-29.33
1982-01-01,49.54,-113.46,-39.02,-35.20,-29.60,-40.16,-34.82,-29.68,-40.16,-34.89,-29.43
1983-01-01,49.54,-113.46,-38.65,-34.52,-30.72,-38.57,-34.62,-30.09,-38.57,-34.56,-30.60
1984-01-01,49.54,-113.46,-38.84,-33.94,-29.10,-38.86,-33.93,-29.04,-38.86,-34.07,-29.05
