time,lon,lat,rcp26_frost_free_season_p10,rcp26_frost_free_season_p50,rcp26_frost_free_season_p90,rcp45_frost_free_season_p10,rcp45_frost_free_season_p50,rcp45_frost_free_season_p90,rcp85_frost_free_season_p10,rcp85_frost_free_season_p50,rcp85_frost_free_season_p90
1950-01-01,-113.46,49.54,100.70,119.50,142.00,100.70,119.50,142.00,100.70,121.00,142.00
1951-01-01,-113.46,49.54,103.50,126.00,136.70,103.50,124.00,136.70,103.50,124.00,136.70
1952-01-01,-113.46,49.54,104.60,120.00,137.90,104.60,120.00,137.90,104.00,120.00,137.90
1953-01-01,-113.46,49.54,100.30,125.00,142.40,100.30,125.00,142.10,100.30,126.00,139.70
1954-01-01,-113.46,49.54,84.70,124.00,138.50,84.70,126.50,138.50,84.70,126.50,140.00
1955-01-01,-113.46,49.54,101.80,126.00,137.70,102.50,126.00,138.70,102.50,122.50,137.10
1956-01-01,-113.46,49.54,100.00,123.00,142.00,100.00,123.00,142.70,100.00,123.00,142.00
1957-01-01,-113.46,49.54,99.50,124.00,140.60,101.30,126.00,140.90,101.30,124.00,140.90
1958-01-01,-113.46,49.54,102.30,118.00,149.70,101.80,120.50,149.70,101.80,121.00,149.70
1959-01-01,-113.46,49.54,102.50,121.00,137.40,102.50,121.00,137.40,102.50,121.00,137.40
1960-01-01,-113.46,49.54,111.30,124.00,137.10,111.30,123.00,137.10,111.30,123.00,137.10
1961-01-01,-113.46,49.54,108.40,126.00,139.10,108.40,126.00,139.10,109.30,126.00,140.70
1962-01-01,-113.46,49.54,105.60,119.50,133.10,105.60,119.50,131.00,105.60,119.50,131.00
1963-01-01,-113.46,49.54,102.50,123.00,135.20,103.90,122.50,135.20,104.60,123.00,134.50
1964-01-01,-113.46,49.54,89.50,119.00,137.60,89.50,119.00,138.30,89.50,119.00,138.30
1965-01-01,-113.46,49.54,106.30,127.50,140.20,106.90,127.50,140.20,103.40,126.00,140.20
1966-01-01,-113.46,49.54,79.30,118.50,137.90,80.70,118.50,137.90,81.30,118.50,137.20
1967-01-01,-113.46,49.54,101.80,119.50,138.70,101.80,119.50,138.70,102.40,119.50,139.00
1968-01-01,-113.46,49.54,91.80,122.00,132.70,91.80,121.50,132.70,91.80,121.00,132.70
1969-01-01,-113.46,49.54,87.90,116.00,134.70,87.90,113.00,134.70,87.90,115.50,134.70
1970-01-01,-113.46,49.54,100.00,125.00,141.50,100.00,124.00,141.50,100.00,124.00,141.50
1971-01-01,-113.46,49.54,101.60,119.50,132.70,101.60,121.00,132.70,101.30,119.50,132.40
1972-01-01,-113.46,49.54,82.20,115.50,128.70,82.20,115.50,129.40,82.20,115.50,129.40
1973-01-01,-113.46,49.54,88.50,116.00,135.70,89.20,116.00,135.70,89.20,116.00,135.70
1974-01-01,-113.46,49.54,93.20,110.00,133.00,93.20,110.00,133.00,93.20,109.50,133.00
1975-01-01,-113.46,49.54,88.90,114.50,134.70,88.90,114.50,134.70,88.90,113.00,134.70
1976-01-01,-113.46,49.54,90.60,122.00,140.00,90.60,122.00,139.70,90.60,122.00,140.00
