time,lat,lon,rcp26_tx_max_p10,rcp26_tx_max_p50,rcp26_tx_max_p90,rcp45_tx_max_p10,rcp45_tx_max_p50,rcp45_tx_max_p90,rcp85_tx_max_p10,rcp85_tx_max_p50,rcp85_tx_max_p90
1950-01-01,49.54,-113.46,29.89,32.69,35.16,29.89,32.69,35.16,29.89,32.69,35.16
1951-01-01,49.54,-113.46,30.56,31.92,35.30,30.56,31.92,35.30,30.56,31.92,35.30
1952-01-01,49.54,-113.46,29.79,32.16,33.53,29.79,32.16,33.53,29.79,32.16,33.53
1953-01-01,49.54,-113.46,30.82,31.96,34.36,30.82,31.96,34.36,30.82,31.96,34.36
1954-01-01,49.54,-113.46,30.06,32.57,34.04,30.06,32.57,34.04,30.06,32.57,34.04
1955-01-01,49.54,-113.46,31.27,32.33,34.34,31.27,32.33,34.34,31.27,32.33,34.34
1956-01-01,49.54,-113.46,30.68,32.49,34.80,30.68,32.49,34.80,30.68,32.49,34.80
1957-01-01,49.54,-113.46,29.87,32.63,34.25,29.87,32.63,34.25,29.87,32.63,34.25
1958-01-01,49.54,-113.46,29.77,32.34,34.22,29.77,32.34,34.22,29.77,32.34,34.22
1959-01-01,49.54,-113.46,29.45,31.47,33.79,29.45,31.47,33.79,29.45,31.47,33.79
1960-01-01,49.54,-113.46,30.92,32.22,34.30,30.92,32.22,34.30,30.92,32.22,34.30
1961-01-01,49.54,-113.46,29.78,32.08,35.35,29.78,32.08,35.35,29.78,32.08,35.35
1962-01-01,49.54,-113.46,29.05,32.12,34.24,29.05,32.12,34.24,29.05,32.12,34.24
1963-01-01,49.54,-113.46,29.26,31.73,34.31,29.26,31.73,34.31,29.26,31.73,34.31
1964-01-01,49.54,-113.46,29.23,31.26,33.79,29.23,31.26,33.79,29.23,31.26,33.79
1965-01-01,49.54,-113.46,29.46,31.50,33.94,29.46,31.50,33.94,29.46,31.50,33.94
1966-01-01,49.54,-113.46,29.73,31.26,33.23,29.73,31.26,33.23,29.73,31.26,33.23
1967-01-01,49.54,-113.46,30.51,32.58,34.30,30.51,32.58,34.30,30.51,32.58,34.30
1968-01-01,49.54,-113.46,30.46,31.86,33.84,30.46,31.86,33.84,30.46,31.86,33.84
1969-01-01,49.54,-113.46,29.28,31.93,33.18,29.28,31.93,33.18,29.28,31.93,33.18
1970-01-01,49.54,-113.46,30.26,31.94,35.50,30.26,31.94,35.50,30.26,31.94,35.50
1971-01-01,49.54,-113.46,29.56,31.81,33.90,29.56,31.81,33.90,29.56,31.81,33.90
1972-01-01,49.54,-113.46,29.79,31.55,33.36,29.79,31.55,33.36,29.79,31.55,33.36
1973-01-01,49.54,-113.46,29.55,31.06,33.89,29.55,31.06,33.89,29.55,31.06,33.89
1974-01-01,49.54,-113.46,30.34,31.99,33.30,30.34,31.99,33.30,30.34,31.99,33.30
1975-01-01,49.54,-113.46,29.06,31.18,32.85,29.06,31.18,32.85,29.06,31.18,32.85
1976-01-01,49.54,-113.46,30.46,32.14,34.20,30.46,32.14,34.20,30.46,32.14,34.20
1977-01-01,49.54,-113.46,31.08,32.32,34.33,31.08,32.32,34.33,31.08,32.32,34.33
1978-01-01,49.54,-113.46,30.82,33.34,35.33,30.82,33.34,35.33,30.82,33.34,35.33
1979-01-01,49.54,-113.46,30.33,31.69,34.24,30.33,31.69,34.24,30.33,31.69,34.24
