time,lat,lon,rcp26_rx5day_p10,rcp26_rx5day_p50,rcp26_rx5day_p90,rcp45_rx5day_p10,rcp45_rx5day_p50,rcp45_rx5day_p90,rcp85_rx5day_p10,rcp85_rx5day_p50,rcp85_rx5day_p90
1950-01-01,49.54,-113.46,35.06,62.24,91.16,35.06,64.39,91.05,35.06,64.39,91.05
1951-01-01,49.54,-113.46,35.07,65.36,117.22,35.07,64.23,113.25,38.88,65.96,113.25
1952-01-01,49.54,-113.46,43.28,70.94,112.10,42.52,70.36,112.10,42.52,70.12,112.10
1953-01-01,49.54,-113.46,53.02,79.54,102.21,52.71,79.29,102.21,52.71,79.29,102.21
1954-01-01,49.54,-113.46,42.88,65.49,115.99,42.88,65.49,112.22,42.88,64.95,105.00
1955-01-01,49.54,-113.46,36.79,60.24,107.49,38.16,60.44,107.49,36.64,59.50,107.49
1956-01-01,49.54,-113.46,35.19,65.92,106.20,34.89,65.92,106.20,36.66,65.92,106.20
1957-01-01,49.54,-113.46,36.00,62.15,125.25,36.00,62.46,126.00,33.87,62.12,124.49
1958-01-01,49.54,-113.46,44.07,72.55,122.49,44.07,72.55,122.10,42.34,71.49,119.58
1959-01-01,49.54,-113.46,49.26,63.89,122.31,49.77,63.89,124.15,49.77,63.89,124.15
1960-01-01,49.54,-113.46,41.41,59.03,112.48,48.04,59.03,112.44,48.25,61.24,112.44
1961-01-01,49.54,-113.46,35.63,68.43,121.73,35.66,72.46,121.73,33.77,72.46,117.36
1962-01-01,49.54,-113.46,37.48,58.02,96.26,38.46,59.94,96.26,38.46,59.94,96.26
1963-01-01,49.54,-113.46,42.63,65.38,101.45,42.61,64.95,102.12,42.61,65.01,102.02
1964-01-01,49.54,-113.46,48.60,64.37,90.04,48.60,65.15,89.23,48.60,65.61,89.05
1965-01-01,49.54,-113.46,40.25,56.09,112.08,40.26,56.63,112.08,40.26,59.27,112.08
1966-01-01,49.54,-113.46,44.83,65.28,95.57,43.09,65.27,97.83,49.10,65.28,93.35
1967-01-01,49.54,-113.46,37.48,64.12,103.68,37.75,62.72,103.68,37.39,57.46,103.68
1968-01-01,49.54,-113.46,37.19,74.04,98.77,37.08,74.62,100.93,37.08,74.62,98.77
1969-01-01,49.54,-113.46,35.30,51.53,114.19,35.30,52.08,106.11,40.26,52.08,106.11
1970-01-01,49.54,-113.46,41.17,58.19,109.20,41.17,59.18,109.83,41.10,59.18,110.02
1971-01-01,49.54,-113.46,32.37,55.26,88.53,37.00,54.17,88.53,32.50,52.57,88.53
1972-01-01,49.54,-113.46,34.20,60.19,101.62,34.66,60.19,102.10,34.20,60.24,102.29
1973-01-01,49.54,-113.46,47.21,67.55,106.25,47.21,66.92,105.22,47.21,66.92,105.74
1974-01-01,49.54,-113.46,34.03,59.28,102.95,34.86,56.14,102.95,34.86,54.24,102.95
1975-01-01,49.54,-113.46,44.38,70.95,125.02,42.16,69.63,123.62,42.16,69.63,130.40
1976-01-01,49.54,-113.46,40.70,66.87,117.26,40.77,75.87,119.38,40.67,75.87,119.37
1977-01-01,49.54,-113.46,39.18,64.20,105.48,39.18,62.33,105.48,39.18,59.94,105.48
1978-01-01,49.54,-113.46,40.13,69.27,116.94,40.41,55.66,113.11,39.57,60.26,107.77
1979-01-01,49.54,-113.46,38.13,62.77,104.08,37.35,62.52,98.86,40.14,62.52,98.36
1980-01-01,49.54,-113.46,36.91,66.92,94.53,38.60,65.58,94.58,38.90,61.29,93.44
1981-01-01,49.54,-113.46,38.36,60.28,105.10,38.23,61.36,100.59,38.09,59.85,107.22
1982-01-01,49.54,-113.46,39.65,67.51,103.23,40.25,67.29,105.19,39.87,67.74,105.40
1983-01-01,49.54,-113.46,39.46,66.72,116.37,39.38,67.75,117.05,39.05,65.43,118.01
1984-01-01,49.54,-113.46,45.27,68.26,95.53,44.74,67.41,96.37,45.24,67.62,96.02
1985-01-01,49.54,-113.46,39.12,58.82,108.67,39.22,57.19,107.91,39.64,55.57,106.90
1986-01-01,49.54,-113.46,42.96,66.64,121.65,43.01,67.03,120.08,42.20,67.35,120.36
1987-01-01,49.54,-113.46,47.88,71.33,116.90,47.83,72.02,116.09,48.14,73.88,116.41
1988-01-01,49.54,-113.46,42.17,57.28,93.01,43.05,62.01,94.91,42.63,59.93,92.80
1989-01-01,49.54,-113.46,39.58,57.43,114.64,37.94,64.81,114.02,36.60,62.66,113.69
1990-01-01,49.54,-113.46,41.18,60.28,94.18,40.74,60.22,94.72,40.92,60.05,107.24
1991-01-01,49.54,-113.46,44.86,69.10,104.98,43.46,69.83,106.03,44.49,71.48,102.30
1992-01-01,49.54,-113.46,46.52,76.41,112.21,46.26,77.53,109.81,46.42,78.33,105.43
1993-01-01,49.54,-113.46,45.39,72.92,137.31,45.20,70.69,138.44,45.40,65.88,137.93
1994-01-01,49.54,-113.46,39.34,62.81,102.38,40.30,63.18,102.78,38.19,65.12,102.75
1995-01-01,49.54,-113.46,40.05,69.70,148.25,39.18,69.92,147.74,39.47,70.28,143.86
1996-01-01,49.54,-113.46,48.83,77.75,136.55,48.61,78.32,162.65,47.66,77.66,158.46
1997-01-01,49.54,-113.46,41.56,78.00,118.80,41.68,75.26,113.19,41.82,74.40,113.62
1998-01-01,49.54,-113.46,30.37,47.72,91.60,31.58,49.53,89.27,31.46,49.54,93.85
1999-01-01,49.54,-113.46,43.06,68.15,103.22,42.70,68.08,103.02,42.74,65.70,102.09
2000-01-01,49.54,-113.46,35.16,60.65,105.56,35.66,64.32,124.09,34.85,65.15,108.52
2001-01-01,49.54,-113.46,42.99,72.99,149.87,41.22,72.00,149.14,39.92,72.57,150.43
2002-01-01,49.54,-113.46,52.02,67.37,122.25,52.03,67.67,121.50,52.02,66.33,118.97
