time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
1950-01-01,-113.46,49.54,19.00,30.00,41.40,19.00,30.50,41.40,19.00,32.00,41.40
1951-01-01,-113.46,49.54,22.30,28.50,43.10,22.30,28.00,43.10,22.30,27.50,41.00
1952-01-01,-113.46,49.54,21.60,29.00,43.70,21.00,28.50,43.70,20.30,28.50,43.70
1953-01-01,-113.46,49.54,20.60,26.50,40.70,20.60,27.50,41.70,20.60,27.50,39.70
1954-01-01,-113.46,49.54,16.60,23.50,33.70,16.60,23.50,33.70,16.90,23.00,36.10
1955-01-01,-113.46,49.54,19.30,26.50,36.20,19.00,26.50,38.00,19.00,26.50,35.90
1956-01-01,-113.46,49.54,17.30,28.00,45.10,17.30,27.50,42.40,17.30,28.00,43.00
1957-01-01,-113.46,49.54,19.00,28.50,46.10,19.00,28.50,44.60,19.00,28.50,45.20
1958-01-01,-113.46,49.54,18.30,26.00,33.80,18.30,26.00,37.80,19.00,27.00,37.70
1959-01-01,-113.46,49.54,19.60,25.50,35.50,20.30,25.00,35.20,20.30,25.00,36.10
1960-01-01,-113.46,49.54,19.30,27.00,43.10,19.30,27.00,43.10,19.30,27.00,43.10
1961-01-01,-113.46,49.54,17.60,25.00,46.90,17.90,25.00,46.60,17.60,25.00,53.90
1962-01-01,-113.46,49.54,20.00,26.50,35.00,19.30,27.50,35.00,20.00,27.00,35.00
1963-01-01,-113.46,49.54,18.30,27.00,42.80,18.00,30.00,42.80,21.00,29.50,42.80
1964-01-01,-113.46,49.54,18.30,26.00,35.70,18.00,26.00,37.10,17.30,26.00,37.10
1965-01-01,-113.46,49.54,20.30,26.50,36.00,20.30,26.50,38.80,19.30,26.50,38.80
1966-01-01,-113.46,49.54,17.30,25.50,34.00,17.30,25.00,34.00,17.30,24.50,33.40
1967-01-01,-113.46,49.54,19.00,25.00,37.80,19.30,25.00,37.80,19.30,26.00,39.00
1968-01-01,-113.46,49.54,18.00,27.00,39.00,18.00,27.00,40.40,18.00,27.00,40.40
1969-01-01,-113.46,49.54,18.60,26.00,48.20,18.60,28.00,48.20,18.60,26.00,48.20
1970-01-01,-113.46,49.54,20.30,27.50,37.00,20.30,27.50,37.00,20.00,27.50,37.00
1971-01-01,-113.46,49.54,21.00,27.00,40.70,21.00,27.00,40.70,19.30,27.00,40.70
1972-01-01,-113.46,49.54,19.30,25.00,36.10,19.30,25.50,36.10,20.00,24.00,36.10
1973-01-01,-113.46,49.54,23.30,33.00,46.60,23.30,33.00,49.70,23.30,33.00,49.70
1974-01-01,-113.46,49.54,19.30,24.00,36.00,19.30,24.50,36.00,19.30,25.00,36.00
1975-01-01,-113.46,49.54,20.00,27.00,38.70,19.30,25.50,44.60,19.30,25.50,44.60
1976-01-01,-113.46,49.54,19.30,26.50,48.40,19.30,26.50,44.80,18.60,25.00,39.70
1977-01-01,-113.46,49.54,18.50,27.50,36.70,22.00,26.00,38.10,22.00,26.00,38.80
1978-01-01,-113.46,49.54,20.60,29.50,47.10,20.00,30.00,47.10,20.60,30.50,43.70
1979-01-01,-113.46,49.54,18.00,27.50,41.00,18.30,25.50,42.40,18.00,27.50,41.00
1980-01-01,-113.46,49.54,19.30,24.50,35.40,18.30,24.50,36.70,18.30,25.00,36.70
1981-01-01,-113.46,49.54,17.30,26.00,45.60,17.30,27.00,45.60,17.30,25.50,45.60
1982-01-01,-113.46,49.54,18.30,25.50,37.00,18.30,25.50,38.40,18.30,25.50,37.70
1983-01-01,-113.46,49.54,19.00,21.50,31.70,19.00,24.00,31.70,19.00,22.50,31.70
1984-01-01,-113.46,49.54,19.20,29.50,39.80,21.30,29.50,39.80,20.60,27.50,39.50
1985-01-01,-113.46,49.54,18.30,26.00,36.40,18.00,26.00,37.10,17.30,25.50,38.70
1986-01-01,-113.46,49.54,19.00,28.50,39.90,19.00,28.50,44.40,19.00,28.50,41.50
1987-01-01,-113.46,49.54,18.60,29.00,37.10,18.60,29.00,37.80,20.00,28.50,37.80
1988-01-01,-113.46,49.54,21.60,27.00,49.00,23.00,27.00,50.20,21.60,27.00,47.40
1989-01-01,-113.46,49.54,21.30,28.00,39.00,21.30,28.50,39.00,18.90,27.00,38.40
1990-01-01,-113.46,49.54,18.30,24.50,39.10,17.00,23.50,39.10,17.30,24.00,37.70
1991-01-01,-113.46,49.54,20.00,25.00,40.30,18.60,25.00,42.40,18.00,23.00,33.70
1992-01-01,-113.46,49.54,23.00,33.50,41.10,23.00,33.00,41.10,20.90,32.50,41.10
1993-01-01,-113.46,49.54,19.00,27.50,42.70,19.00,25.50,45.50,19.00,28.00,45.50
1994-01-01,-113.46,49.54,21.20,29.50,38.40,20.30,29.50,43.90,21.90,30.50,39.70
1995-01-01,-113.46,49.54,21.00,26.00,36.10,21.00,27.00,35.10,19.60,26.00,35.10
1996-01-01,-113.46,49.54,18.00,26.00,36.10,18.00,26.00,34.70,18.00,27.00,34.00
1997-01-01,-113.46,49.54,18.30,24.00,33.90,18.30,24.00,35.40,19.60,24.50,34.80
1998-01-01,-113.46,49.54,20.30,25.50,35.70,20.30,25.00,35.70,20.00,25.50,36.70
1999-01-01,-113.46,49.54,19.00,25.50,43.70,19.30,25.00,42.20,20.30,26.50,36.20
2000-01-01,-113.46,49.54,19.60,25.50,38.20,18.30,25.00,38.20,19.30,25.00,38.20
2001-01-01,-113.46,49.54,18.00,23.50,41.70,18.00,24.00,41.70,18.00,24.00,39.90
2002-01-01,-113.46,49.54,23.00,29.00,32.00,22.30,29.00,34.40,22.30,29.00,32.70
2003-01-01,-113.46,49.54,18.00,25.00,30.70,17.30,25.50,31.00,18.30,24.00,30.70
2004-01-01,-113.46,49.54,17.30,23.00,47.10,16.60,22.00,47.10,16.60,22.00,44.40
2005-01-01,-113.46,49.54,14.60,22.50,36.40,14.60,22.00,30.10,14.60,22.50,35.70
2006-01-01,-113.46,49.54,18.60,27.00,42.30,19.30,24.00,38.70,19.00,29.00,37.70
2007-01-01,-113.46,49.54,16.30,28.00,42.00,19.30,26.00,35.10,19.00,25.50,38.10
2008-01-01,-113.46,49.54,16.00,23.50,34.70,19.20,26.50,39.50,20.00,30.00,42.50
2009-01-01,-113.46,49.54,23.00,33.00,50.10,20.00,26.00,36.40,19.90,28.00,34.00
2010-01-01,-113.46,49.54,20.00,25.50,38.40,19.60,27.00,44.80,21.30,27.50,48.10
2011-01-01,-113.46,49.54,19.20,29.00,37.00,20.60,27.50,44.00,21.00,26.50,41.50
2012-01-01,-113.46,49.54,19.90,29.00,47.40,18.90,25.50,38.40,23.00,30.00,41.80
2013-01-01,-113.46,49.54,19.30,27.00,37.00,20.00,28.00,36.00,19.00,26.00,38.40
2014-01-01,-113.46,49.54,17.90,24.50,31.70,18.30,26.00,38.20,19.60,26.00,34.70
2015-01-01,-113.46,49.54,19.30,26.50,36.70,18.00,23.00,35.40,18.60,29.00,35.00
2016-01-01,-113.46,49.54,21.00,26.00,45.40,17.60,27.50,35.00,19.30,25.50,34.70
2017-01-01,-113.46,49.54,19.00,30.50,42.70,18.90,26.00,35.70,21.30,29.00,41.00
2018-01-01,-113.46,49.54,17.00,24.00,39.00,18.30,30.00,41.00,18.30,31.00,59.10
2019-01-01,-113.46,49.54,20.30,29.50,47.20,19.00,25.50,45.70,20.20,29.00,36.80
2020-01-01,-113.46,49.54,19.90,27.00,39.50,17.30,24.50,48.20,20.30,25.50,39.00
2021-01-01,-113.46,49.54,20.30,27.50,36.00,18.60,27.00,36.00,20.30,25.00,37.40
2022-01-01,-113.46,49.54,19.30,26.50,38.40,18.00,25.50,40.70,19.00,26.00,46.70
2023-01-01,-113.46,49.54,19.30,29.00,49.40,22.30,28.00,42.70,22.30,30.00,37.00
2024-01-01,-113.46,49.54,17.20,27.50,48.00,19.00,30.00,43.40,20.20,32.00,44.20
2025-01-01,-113.46,49.54,19.00,25.00,37.90,20.00,26.50,31.70,19.30,30.00,42.10
2026-01-01,-113.46,49.54,23.00,31.50,38.70,18.00,25.50,45.70,18.30,25.50,36.40
2027-01-01,-113.46,49.54,21.00,25.50,35.70,19.00,24.50,41.10,18.30,23.00,31.80
2028-01-01,-113.46,49.54,18.30,27.00,42.50,17.60,26.00,39.50,17.90,26.00,42.70
2029-01-01,-113.46,49.54,18.30,27.50,46.00,19.00,24.50,29.70,17.90,26.00,44.70
2030-01-01,-113.46,49.54,19.30,26.00,43.70,17.90,28.00,36.70,19.00,25.50,39.50
2031-01-01,-113.46,49.54,17.30,25.50,35.40,20.00,27.00,39.40,21.30,29.50,39.70
2032-01-01,-113.46,49.54,20.60,26.00,37.40,21.30,31.50,51.80,20.00,28.00,39.10
2033-01-01,-113.46,49.54,20.00,27.00,40.40,17.30,26.00,39.10,18.30,31.00,45.80
2034-01-01,-113.46,49.54,22.00,28.00,41.80,21.30,26.50,31.70,20.30,27.50,43.20
2035-01-01,-113.46,49.54,19.30,26.50,39.10,20.30,24.00,35.70,19.30,25.50,36.70
2036-01-01,-113.46,49.54,18.60,26.50,37.00,20.00,29.50,37.40,17.30,25.50,39.60
2037-01-01,-113.46,49.54,16.90,26.00,38.80,20.00,26.50,39.40,18.90,29.00,38.70
2038-01-01,-113.46,49.54,19.00,24.50,31.40,19.00,26.00,37.10,18.00,29.00,37.40
2039-01-01,-113.46,49.54,19.30,25.50,36.80,17.90,28.00,36.40,17.30,25.00,34.00
2040-01-01,-113.46,49.54,20.00,26.50,34.70,17.30,31.00,46.80,18.00,27.50,40.70
2041-01-01,-113.46,49.54,18.90,31.00,44.30,20.60,29.50,43.20,20.90,29.50,40.40
2042-01-01,-113.46,49.54,20.00,25.50,36.70,18.00,28.00,47.20,19.00,28.00,38.10
2043-01-01,-113.46,49.54,21.30,28.00,37.70,21.00,31.00,41.00,19.00,24.50,36.70
2044-01-01,-113.46,49.54,18.00,23.50,32.00,20.30,26.50,42.10,20.30,25.50,41.70
2045-01-01,-113.46,49.54,21.50,28.00,39.70,19.60,27.50,41.40,21.30,28.50,41.00
2046-01-01,-113.46,49.54,19.00,25.00,35.70,18.00,28.00,35.00,20.30,28.50,41.30
2047-01-01,-113.46,49.54,19.00,24.00,38.00,20.00,25.00,37.90,20.00,29.00,43.60
2048-01-01,-113.46,49.54,21.00,32.00,51.70,20.30,31.50,43.70,17.00,27.00,38.70
2049-01-01,-113.46,49.54,20.00,25.00,39.40,18.90,24.00,29.70,17.60,24.50,44.80
2050-01-01,-113.46,49.54,18.00,29.00,42.50,21.00,27.50,45.80,19.30,26.50,35.70
2051-01-01,-113.46,49.54,22.30,27.00,36.00,16.60,23.00,39.40,19.30,26.00,42.20
2052-01-01,-113.46,49.54,19.00,27.00,35.70,18.00,24.50,40.70,17.00,24.50,37.70
2053-01-01,-113.46,49.54,22.00,30.00,41.00,21.30,27.00,42.40,21.00,28.00,44.70
2054-01-01,-113.46,49.54,19.90,28.00,41.00,17.90,25.00,31.40,18.00,25.00,41.90
2055-01-01,-113.46,49.54,18.00,25.00,46.60,18.60,28.00,42.80,16.30,27.50,40.80
2056-01-01,-113.46,49.54,18.30,25.00,34.40,19.00,25.00,36.10,19.30,27.50,43.80
2057-01-01,-113.46,49.54,22.00,28.00,36.40,18.00,26.50,41.90,17.20,29.00,52.00
2058-01-01,-113.46,49.54,19.30,26.00,36.00,20.00,28.00,36.70,22.00,30.50,43.40
2059-01-01,-113.46,49.54,17.60,28.00,38.90,19.00,23.00,40.10,18.00,24.00,37.10
2060-01-01,-113.46,49.54,17.20,32.00,43.10,21.30,30.50,45.00,18.30,25.00,35.40
2061-01-01,-113.46,49.54,20.00,25.50,32.00,17.50,26.00,35.40,15.30,23.00,33.00
2062-01-01,-113.46,49.54,18.00,22.00,36.50,18.00,24.00,36.70,20.30,29.00,46.80
2063-01-01,-113.46,49.54,16.60,23.00,37.70,18.30,27.00,45.40,18.30,25.00,40.70
2064-01-01,-113.46,49.54,20.30,28.00,48.10,21.30,29.00,38.70,17.30,23.00,40.40
2065-01-01,-113.46,49.54,20.00,26.00,37.40,18.00,26.00,35.00,20.00,28.50,41.60
2066-01-01,-113.46,49.54,19.30,28.50,39.10,19.00,29.00,40.50,20.00,25.50,39.40
2067-01-01,-113.46,49.54,15.30,23.50,39.70,16.30,24.50,37.70,16.60,26.50,31.00
2068-01-01,-113.46,49.54,22.60,28.00,43.80,17.60,28.00,37.00,19.30,29.50,37.70
2069-01-01,-113.46,49.54,23.00,29.00,41.70,17.30,24.50,35.70,17.00,26.00,37.70
2070-01-01,-113.46,49.54,19.00,25.50,35.40,19.60,27.50,46.90,19.00,27.00,41.10
2071-01-01,-113.46,49.54,20.30,25.50,40.70,18.30,26.50,36.80,17.30,25.50,51.60
2072-01-01,-113.46,49.54,18.00,25.50,39.20,19.30,25.00,41.40,16.00,24.50,45.10
2073-01-01,-113.46,49.54,21.30,26.50,35.40,17.00,25.00,37.80,19.30,27.00,36.40
2074-01-01,-113.46,49.54,19.00,29.50,46.50,20.60,28.00,40.40,17.90,24.00,31.00
2075-01-01,-113.46,49.54,20.30,28.50,43.40,21.30,28.00,39.70,17.30,25.50,34.90
2076-01-01,-113.46,49.54,20.00,31.50,47.20,18.00,27.00,41.60,17.30,25.50,43.70
2077-01-01,-113.46,49.54,17.00,23.50,32.70,18.00,27.50,42.70,20.30,25.00,37.70
2078-01-01,-113.46,49.54,17.30,23.00,34.70,18.60,25.00,41.10,20.00,26.00,40.00
2079-01-01,-113.46,49.54,19.60,25.00,43.70,18.30,28.00,37.80,17.30,24.00,49.10
2080-01-01,-113.46,49.54,18.30,24.00,32.00,19.00,24.00,40.20,16.00,30.00,41.70
2081-01-01,-113.46,49.54,18.30,26.00,52.10,18.00,25.00,38.40,18.30,24.50,35.00
2082-01-01,-113.46,49.54,21.00,26.00,37.80,17.60,25.00,42.70,20.30,26.50,45.40
2083-01-01,-113.46,49.54,17.60,25.00,43.90,16.60,25.50,36.70,18.30,25.50,38.10
2084-01-01,-113.46,49.54,20.60,26.50,41.20,19.00,26.00,41.00,19.30,30.00,48.40
2085-01-01,-113.46,49.54,19.00,25.50,36.10,20.00,23.50,38.70,17.00,26.00,31.70
2086-01-01,-113.46,49.54,21.00,27.50,38.40,18.00,23.50,35.70,23.60,31.50,37.40
2087-01-01,-113.46,49.54,18.00,26.00,39.70,20.00,27.50,45.80,18.30,24.00,41.10
2088-01-01,-113.46,49.54,18.60,24.00,34.00,18.30,24.50,33.00,20.30,28.50,49.90
2089-01-01,-113.46,49.54,20.00,29.00,43.10,19.30,25.00,35.40,19.90,26.50,45.50
2090-01-01,-113.46,49.54,18.00,27.00,35.70,16.90,27.50,40.10,16.60,25.00,43.50
2091-01-01,-113.46,49.54,19.30,27.00,37.20,18.00,29.00,39.10,20.30,29.00,46.70
2092-01-01,-113.46,49.54,18.30,26.50,34.70,18.60,28.00,45.30,19.00,26.00,35.50
2093-01-01,-113.46,49.54,16.60,22.00,39.50,16.00,23.00,32.10,20.00,29.50,37.10
2094-01-01,-113.46,49.54,19.00,25.00,35.70,20.00,26.00,35.00,22.00,28.00,42.00
2095-01-01,-113.46,49.54,18.00,27.50,39.70,19.00,28.00,41.40,18.60,26.50,52.70
2096-01-01,-113.46,49.54,17.60,24.50,36.70,19.00,27.00,36.40,18.60,27.00,39.10
2097-01-01,-113.46,49.54,19.30,26.00,45.80,19.00,26.50,45.70,18.00,27.50,44.40
2098-01-01,-113.46,49.54,20.00,29.50,38.00,20.00,26.50,43.70,21.00,28.00,42.00
2099-01-01,-113.46,49.54,20.30,26.50,46.00,17.60,30.00,38.70,19.30,28.00,46.10
2100-01-01,-113.46,49.54,17.60,29.50,46.00,19.00,27.00,38.80,18.00,26.00,37.80
1950-01-01,-112.38,49.54,21.00,33.50,50.00,21.00,34.00,51.40,21.00,33.50,51.40
1951-01-01,-112.38,49.54,22.00,29.50,44.80,21.30,29.50,44.80,22.30,29.50,44.80
1952-01-01,-112.38,49.54,24.30,28.50,43.70,24.00,29.50,43.70,24.30,29.50,45.40
1953-01-01,-112.38,49.54,22.30,33.00,42.70,22.30,32.50,42.70,22.30,33.00,43.70
1954-01-01,-112.38,49.54,18.30,25.00,31.00,18.30,24.50,32.40,18.30,25.00,32.40
1955-01-01,-112.38,49.54,22.00,27.00,45.70,22.00,27.50,45.40,22.00,28.50,45.40
1956-01-01,-112.38,49.54,22.30,28.00,44.70,21.30,27.50,44.70,22.30,27.50,44.70
1957-01-01,-112.38,49.54,21.30,28.50,47.80,22.30,28.50,47.80,23.00,28.50,46.90
1958-01-01,-112.38,49.54,18.60,28.00,36.70,18.60,28.00,36.70,18.60,28.50,36.70
1959-01-01,-112.38,49.54,16.30,26.00,34.40,18.30,26.00,34.40,18.20,27.00,34.40
1960-01-01,-112.38,49.54,22.00,30.50,39.70,22.00,29.00,39.70,20.60,28.50,39.40
1961-01-01,-112.38,49.54,22.30,28.00,46.20,22.00,27.50,46.20,22.30,29.00,46.20
1962-01-01,-112.38,49.54,19.30,28.50,44.40,21.00,29.00,44.40,19.60,28.50,44.40
1963-01-01,-112.38,49.54,20.30,30.00,40.70,20.00,30.00,40.70,20.00,30.00,40.70
1964-01-01,-112.38,49.54,18.00,25.50,39.70,18.30,26.50,39.70,18.30,26.50,39.00
1965-01-01,-112.38,49.54,20.00,28.00,36.00,20.00,28.00,36.00,20.00,28.00,36.00
1966-01-01,-112.38,49.54,19.30,28.50,42.70,19.30,28.00,42.70,19.30,28.00,41.50
1967-01-01,-112.38,49.54,21.30,29.00,48.70,21.60,29.00,48.70,22.30,29.00,48.40
1968-01-01,-112.38,49.54,19.30,28.50,44.00,20.00,28.50,44.00,20.00,27.00,44.00
1969-01-01,-112.38,49.54,17.30,30.00,48.10,18.30,30.00,48.10,18.30,32.00,51.10
1970-01-01,-112.38,49.54,20.30,27.00,47.40,20.30,27.00,46.80,21.00,27.50,46.50
1971-01-01,-112.38,49.54,22.00,26.50,39.70,19.60,26.50,39.70,21.30,26.50,41.40
1972-01-01,-112.38,49.54,20.00,26.50,42.10,20.00,26.50,48.60,20.30,26.50,42.10
1973-01-01,-112.38,49.54,23.00,34.50,56.10,23.00,34.00,56.10,23.00,34.50,56.10
1974-01-01,-112.38,49.54,19.30,26.50,40.90,20.30,26.00,43.00,20.30,26.50,43.00
1975-01-01,-112.38,49.54,19.00,26.50,46.10,19.30,28.50,44.00,19.00,26.50,42.80
1976-01-01,-112.38,49.54,20.60,32.50,48.70,22.00,31.50,47.70,20.60,32.00,47.70
1977-01-01,-112.38,49.54,19.30,27.00,38.50,19.00,28.50,38.50,20.30,28.50,35.00
1978-01-01,-112.38,49.54,20.30,30.50,48.20,20.30,31.50,50.50,20.30,30.50,49.10
1979-01-01,-112.38,49.54,19.30,27.00,41.00,19.30,26.50,41.00,20.00,27.50,41.00
1980-01-01,-112.38,49.54,19.30,30.50,43.40,18.30,31.00,48.30,19.30,28.50,43.80
1981-01-01,-112.38,49.54,17.60,25.00,34.70,19.30,24.50,35.00,18.30,23.50,34.70
1982-01-01,-112.38,49.54,19.30,28.50,35.00,19.30,28.00,34.40,19.30,28.50,34.40
1983-01-01,-112.38,49.54,19.30,27.00,39.00,19.00,27.00,37.80,19.00,27.00,32.00
1984-01-01,-112.38,49.54,20.30,31.00,44.70,20.30,32.50,44.70,18.60,33.50,44.00
1985-01-01,-112.38,49.54,20.00,30.50,38.70,20.00,30.50,37.40,20.00,31.00,37.40
1986-01-01,-112.38,49.54,23.00,31.00,43.40,23.00,31.00,43.40,23.00,31.00,44.00
1987-01-01,-112.38,49.54,22.60,31.50,49.10,22.90,31.50,49.10,22.60,31.50,46.70
1988-01-01,-112.38,49.54,20.90,27.50,45.80,23.30,31.50,44.40,20.90,32.00,46.40
1989-01-01,-112.38,49.54,19.90,29.50,47.40,18.90,30.00,47.10,21.30,29.50,44.40
1990-01-01,-112.38,49.54,20.60,27.50,43.00,17.90,27.50,43.00,20.90,27.00,43.00
1991-01-01,-112.38,49.54,20.30,31.00,46.70,21.30,31.50,46.70,20.30,31.00,46.00
1992-01-01,-112.38,49.54,22.30,33.00,42.40,24.20,33.00,42.40,20.90,33.00,44.40
1993-01-01,-112.38,49.54,19.60,28.50,54.40,21.00,29.50,48.70,19.60,29.50,45.90
1994-01-01,-112.38,49.54,24.30,33.00,46.40,23.00,33.00,47.00,25.30,33.50,44.40
1995-01-01,-112.38,49.54,18.60,26.50,37.70,20.30,26.50,38.70,18.60,27.00,38.70
1996-01-01,-112.38,49.54,21.00,27.50,42.20,21.00,28.00,38.70,21.00,30.00,36.70
1997-01-01,-112.38,49.54,20.00,26.50,37.70,20.00,27.00,37.10,20.30,26.00,35.00
1998-01-01,-112.38,49.54,19.30,25.00,40.40,20.00,25.00,40.40,20.00,24.50,40.70
1999-01-01,-112.38,49.54,23.30,30.00,43.80,23.30,29.00,40.40,24.30,28.00,38.40
2000-01-01,-112.38,49.54,22.30,27.00,39.70,21.30,27.00,38.10,21.00,27.00,39.70
2001-01-01,-112.38,49.54,19.30,28.00,40.70,20.60,28.50,40.70,19.30,28.00,40.70
2002-01-01,-112.38,49.54,24.00,29.50,37.00,21.30,29.50,36.70,24.00,30.00,35.40
2003-01-01,-112.38,49.54,18.00,24.50,34.10,18.30,24.50,38.50,18.00,25.00,31.70
2004-01-01,-112.38,49.54,20.30,27.50,41.40,20.00,29.00,41.40,20.30,29.00,44.80
