time,lat,lon,rcp26_txgt_25_p10,rcp26_txgt_25_p50,rcp26_txgt_25_p90,rcp45_txgt_25_p10,rcp45_txgt_25_p50,rcp45_txgt_25_p90,rcp85_txgt_25_p10,rcp85_txgt_25_p50,rcp85_txgt_25_p90
1950-01-01,49.54,-113.46,32.30,51.00,66.50,32.30,51.00,66.50,32.30,51.00,66.50
1951-01-01,49.54,-113.46,26.30,49.00,63.70,26.30,49.00,63.70,26.30,49.00,63.70
1952-01-01,49.54,-113.46,27.00,36.50,53.40,27.00,36.50,53.40,27.00,36.50,53.40
1953-01-01,49.54,-113.46,26.30,36.50,59.20,26.30,36.50,59.20,26.30,36.50,59.20
1954-01-01,49.54,-113.46,26.60,42.00,59.00,26.60,42.00,59.00,26.60,42.00,59.00
1955-01-01,49.54,-113.46,26.60,43.00,53.40,26.60,43.00,53.40,26.60,43.00,53.40
1956-01-01,49.54,-113.46,21.50,44.00,60.10,21.50,44.00,60.10,21.50,44.00,60.10
1957-01-01,49.54,-113.46,25.20,38.00,57.30,25.20,38.00,57.30,25.20,38.00,57.30
1958-01-01,49.54,-113.46,24.20,37.50,45.00,24.20,37.50,45.00,24.20,37.50,45.00
1959-01-01,49.54,-113.46,19.30,34.50,51.00,19.30,34.50,51.00,19.30,34.50,51.00
1960-01-01,49.54,-113.46,30.30,42.50,55.90,30.30,42.50,55.90,30.30,42.50,55.90
1961-01-01,49.54,-113.46,27.00,37.00,57.70,27.00,37.00,57.70,27.00,37.00,57.70
1962-01-01,49.54,-113.46,17.80,35.50,56.40,17.80,35.50,56.40,17.80,35.50,56.40
1963-01-01,49.54,-113.46,18.90,33.00,54.80,18.90,33.00,54.80,18.90,33.00,54.80
1964-01-01,49.54,-113.46,21.30,33.50,50.20,21.30,33.50,50.20,21.30,33.50,50.20
1965-01-01,49.54,-113.46,19.20,35.50,55.10,19.20,35.50,55.10,19.20,35.50,55.10
1966-01-01,49.54,-113.46,20.60,34.00,52.20,20.60,34.00,52.20,20.60,34.00,52.20
1967-01-01,49.54,-113.46,25.50,37.50,47.80,25.50,37.50,47.80,25.50,37.50,47.80
1968-01-01,49.54,-113.46,24.50,35.50,47.80,24.50,35.50,47.80,24.50,35.50,47.80
1969-01-01,49.54,-113.46,24.00,36.00,55.10,24.00,36.00,55.10,24.00,36.00,55.10
1970-01-01,49.54,-113.46,29.60,43.00,62.20,29.60,43.00,62.20,29.60,43.00,62.20
1971-01-01,49.54,-113.46,19.50,37.00,58.70,19.50,37.00,58.70,19.50,37.00,58.70
1972-01-01,49.54,-113.46,26.00,39.50,45.40,26.00,39.50,45.40,26.00,39.50,45.40
1973-01-01,49.54,-113.46,20.50,35.50,58.40,20.50,35.50,58.40,20.50,35.50,58.40
1974-01-01,49.54,-113.46,20.70,36.50,47.00,20.70,36.50,47.00,20.70,36.50,47.00
1975-01-01,49.54,-113.46,19.90,38.00,51.10,19.90,38.00,51.10,19.90,38.00,51.10
1976-01-01,49.54,-113.46,26.30,44.00,57.10,26.30,44.00,57.10,26.30,44.00,57.10
1977-01-01,49.54,-113.46,30.00,41.50,62.50,30.00,41.50,62.50,30.00,41.50,62.50
1978-01-01,49.54,-113.46,31.90,46.50,56.80,31.90,46.50,56.80,31.90,46.50,56.80
1979-01-01,49.54,-113.46,27.80,42.50,64.10,27.80,42.50,64.10,27.80,42.50,64.10
1980-01-01,49.54,-113.46,30.30,45.00,55.10,30.30,45.00,55.10,30.30,44.00,55.10
1981-01-01,49.54,-113.46,26.90,50.00,66.70,25.50,50.00,65.70,26.20,50.00,66.00
1982-01-01,49.54,-113.46,22.30,38.00,51.80,22.30,38.00,52.10,22.00,38.50,52.10
1983-01-01,49.54,-113.46,11.80,36.00,51.60,11.80,36.00,50.90,11.10,35.00,51.60
1984-01-01,49.54,-113.46,27.30,45.00,53.40,26.30,45.00,53.40,27.30,45.00,52.00
1985-01-01,49.54,-113.46,25.30,40.00,69.10,25.30,40.00,68.40,25.30,40.00,68.40
1986-01-01,49.54,-113.46,24.60,40.00,65.20,24.60,40.00,65.50,24.30,40.00,65.20
1987-01-01,49.54,-113.46,23.60,41.50,56.40,23.60,42.00,55.70,23.60,41.50,56.00
1988-01-01,49.54,-113.46,30.00,50.00,60.70,30.00,50.50,60.70,30.00,50.00,60.70
1989-01-01,49.54,-113.46,29.60,47.00,69.60,30.30,47.50,69.60,31.00,47.50,69.60
1990-01-01,49.54,-113.46,25.30,41.00,58.00,25.60,41.50,57.70,25.30,41.00,58.40
1991-01-01,49.54,-113.46,20.30,39.00,59.40,20.30,39.50,58.70,20.30,39.50,60.10
1992-01-01,49.54,-113.46,19.90,31.50,52.80,19.60,31.00,52.80,19.60,32.00,53.20
1993-01-01,49.54,-113.46,21.00,34.00,52.10,21.30,34.50,52.10,21.00,34.50,52.40
1994-01-01,49.54,-113.46,24.90,43.50,65.60,24.90,44.00,66.30,25.60,44.00,65.60
1995-01-01,49.54,-113.46,26.80,46.00,62.00,26.80,45.50,62.70,26.80,45.50,62.70
1996-01-01,49.54,-113.46,29.80,41.50,57.10,29.80,42.00,57.10,29.50,41.50,57.10
1997-01-01,49.54,-113.46,28.00,41.50,61.70,27.00,40.50,61.70,27.30,40.50,61.70
1998-01-01,49.54,-113.46,33.00,51.50,66.40,34.00,50.50,66.70,33.30,50.50,66.40
1999-01-01,49.54,-113.46,30.20,43.00,62.70,29.50,42.50,62.70,30.20,43.00,62.70
2000-01-01,49.54,-113.46,33.00,50.50,78.20,33.00,50.50,78.20,33.00,50.00,78.90
2001-01-01,49.54,-113.46,26.20,48.50,69.20,26.20,47.50,69.20,25.90,48.50,68.90
2002-01-01,49.54,-113.46,38.20,55.00,65.10,38.90,55.00,65.40,38.20,55.00,65.40
2003-01-01,49.54,-113.46,36.30,51.00,72.50,35.60,51.00,72.50,34.90,50.00,72.80
2004-01-01,49.54,-113.46,33.20,49.50,73.10,31.80,49.50,72.70,31.80,49.50,73.80
2005-01-01,49.54,-113.46,39.30,49.50,65.80,38.60,49.50,64.40,38.60,50.00,64.40
2006-01-01,49.54,-113.46,34.90,53.00,71.90,31.30,53.00,62.70,43.30,54.50,70.70
2007-01-01,49.54,-113.46,37.20,52.00,72.60,39.40,55.00,69.40,40.20,57.50,77.50
2008-01-01,49.54,-113.46,32.60,47.00,61.70,33.60,54.00,69.70,34.60,59.50,74.40
2009-01-01,49.54,-113.46,36.20,52.00,62.70,26.50,60.00,73.40,33.30,52.00,68.70
2010-01-01,49.54,-113.46,30.90,45.00,62.70,26.10,49.50,65.20,34.30,47.50,67.10
2011-01-01,49.54,-113.46,32.60,49.00,74.70,28.30,48.00,74.90,33.60,50.00,65.10
2012-01-01,49.54,-113.46,35.90,55.50,78.00,35.70,52.00,72.20,34.20,54.00,70.40
2013-01-01,49.54,-113.46,39.00,51.50,69.00,34.50,52.00,68.40,35.00,53.50,64.70
2014-01-01,49.54,-113.46,32.20,51.00,63.00,28.50,48.50,72.10,26.50,54.50,74.00
2015-01-01,49.54,-113.46,37.80,56.50,75.10,34.00,58.00,70.00,29.80,54.50,78.50
2016-01-01,49.54,-113.46,42.90,57.00,75.40,30.30,44.50,65.50,37.30,51.00,70.00
2017-01-01,49.54,-113.46,37.30,59.00,79.10,39.30,55.00,71.10,38.60,54.50,76.40
2018-01-01,49.54,-113.46,34.00,53.00,72.70,44.30,66.00,79.50,36.90,59.00,88.70
2019-01-01,49.54,-113.46,37.00,57.00,71.70,31.60,52.00,76.00,40.30,58.00,71.00
2020-01-01,49.54,-113.46,39.10,52.00,71.10,31.30,53.00,76.80,44.90,65.00,86.10
