time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,49.54,-113.46,4.03,5.13,6.56,4.03,5.13,6.56,4.03,5.13,6.56
1951-01-01,49.54,-113.46,3.90,5.22,6.53,3.90,5.22,6.53,3.90,5.20,6.53
1952-01-01,49.54,-113.46,3.44,4.58,5.75,3.44,4.58,5.75,3.44,4.58,5.75
1953-01-01,49.54,-113.46,3.50,4.85,5.87,3.50,4.85,5.87,3.50,4.85,5.87
1954-01-01,49.54,-113.46,3.87,4.73,6.06,3.87,4.73,6.06,3.87,4.69,6.06
1955-01-01,49.54,-113.46,3.33,4.80,5.92,3.33,4.80,5.92,3.33,4.80,5.92
1956-01-01,49.54,-113.46,3.71,4.84,6.03,3.71,4.84,6.03,3.71,4.83,6.03
1957-01-01,49.54,-113.46,2.73,4.66,6.31,2.73,4.66,6.31,2.73,4.66,6.31
1958-01-01,49.54,-113.46,3.07,4.56,5.73,3.07,4.56,5.73,3.07,4.56,5.73
1959-01-01,49.54,-113.46,2.66,4.43,5.39,2.66,4.43,5.39,2.65,4.43,5.39
1960-01-01,49.54,-113.46,2.94,4.49,6.20,2.94,4.49,6.20,2.94,4.49,6.20
1961-01-01,49.54,-113.46,3.40,5.02,6.35,3.40,5.02,6.35,3.40,5.02,6.35
1962-01-01,49.54,-113.46,3.20,4.88,6.22,3.20,4.88,6.22,3.20,4.88,6.22
1963-01-01,49.54,-113.46,3.87,4.87,6.58,3.87,4.87,6.58,3.87,4.83,6.58
1964-01-01,49.54,-113.46,2.66,3.91,5.27,2.66,3.91,5.27,2.66,3.91,5.25
1965-01-01,49.54,-113.46,2.94,4.44,5.20,2.94,4.44,5.20,2.94,4.44,5.20
1966-01-01,49.54,-113.46,3.09,4.27,5.94,3.09,4.27,5.94,3.09,4.27,5.94
1967-01-01,49.54,-113.46,3.78,4.79,5.89,3.78,4.79,5.89,3.78,4.79,5.89
1968-01-01,49.54,-113.46,2.60,4.54,5.85,2.60,4.54,5.85,2.60,4.54,5.84
1969-01-01,49.54,-113.46,3.09,4.46,6.09,3.09,4.46,6.09,3.09,4.46,6.05
1970-01-01,49.54,-113.46,3.24,4.75,6.11,3.24,4.75,6.11,3.24,4.75,6.11
1971-01-01,49.54,-113.46,3.64,4.94,6.07,3.64,4.94,6.07,3.64,4.94,6.07
1972-01-01,49.54,-113.46,3.31,4.54,5.18,3.31,4.54,5.18,3.31,4.54,5.18
1973-01-01,49.54,-113.46,3.45,4.49,6.22,3.45,4.49,6.22,3.45,4.49,6.22
1974-01-01,49.54,-113.46,2.84,4.71,5.87,2.84,4.71,5.87,2.84,4.71,5.82
1975-01-01,49.54,-113.46,3.86,4.59,5.52,3.86,4.59,5.52,3.86,4.59,5.52
1976-01-01,49.54,-113.46,3.89,5.08,6.19,3.89,5.08,6.19,3.89,5.08,6.19
1977-01-01,49.54,-113.46,3.67,4.97,6.26,3.67,4.97,6.26,3.67,4.97,6.26
1978-01-01,49.54,-113.46,4.48,5.03,6.03,4.48,5.03,6.03,4.48,5.03,6.03
1979-01-01,49.54,-113.46,3.51,5.24,6.91,3.51,5.24,6.91,3.51,5.24,6.88
1980-01-01,49.54,-113.46,3.51,4.54,6.12,3.49,4.54,6.12,3.50,4.54,6.12
1981-01-01,49.54,-113.46,2.92,5.00,6.20,2.90,5.00,6.21,2.91,5.00,6.22
1982-01-01,49.54,-113.46,3.06,4.70,5.77,3.07,4.68,5.76,3.07,4.68,5.76
1983-01-01,49.54,-113.46,3.50,4.40,5.61,3.48,4.41,5.60,3.47,4.40,5.60
1984-01-01,49.54,-113.46,3.83,5.27,6.01,3.85,5.25,5.99,3.84,5.25,5.99
1985-01-01,49.54,-113.46,3.11,4.44,5.98,3.10,4.44,5.99,3.10,4.43,5.98
1986-01-01,49.54,-113.46,4.24,5.18,6.63,4.28,5.17,6.61,4.29,5.17,6.61
1987-01-01,49.54,-113.46,3.57,4.94,5.96,3.59,4.97,5.99,3.59,4.97,5.97
1988-01-01,49.54,-113.46,3.36,4.89,5.94,3.37,4.88,5.93,3.35,4.88,5.93
1989-01-01,49.54,-113.46,4.22,5.12,6.32,4.20,5.13,6.32,4.20,5.12,6.33
1990-01-01,49.54,-113.46,3.31,5.22,6.01,3.32,5.21,6.00,3.26,5.21,6.00
1991-01-01,49.54,-113.46,3.40,5.00,6.64,3.40,4.99,6.62,3.33,4.98,6.62
1992-01-01,49.54,-113.46,3.26,4.35,6.65,3.27,4.37,6.65,3.28,4.34,6.65
1993-01-01,49.54,-113.46,3.57,4.99,6.27,3.56,4.98,6.28,3.56,4.97,6.28
1994-01-01,49.54,-113.46,3.62,5.05,6.31,3.61,5.06,6.30,3.61,5.03,6.29
1995-01-01,49.54,-113.46,3.17,4.56,6.62,3.17,4.56,6.62,3.16,4.55,6.62
1996-01-01,49.54,-113.46,3.62,4.97,5.91,3.64,4.97,5.90,3.66,4.97,5.91
1997-01-01,49.54,-113.46,3.65,5.19,6.94,3.65,5.20,6.93,3.64,5.19,6.92
1998-01-01,49.54,-113.46,4.24,5.34,6.46,4.25,5.37,6.47,4.23,5.33,6.47
1999-01-01,49.54,-113.46,4.38,5.54,6.44,4.42,5.53,6.41,4.44,5.49,6.41
2000-01-01,49.54,-113.46,4.57,5.61,6.87,4.58,5.62,6.89,4.58,5.59,6.89
2001-01-01,49.54,-113.46,4.11,5.38,6.38,4.10,5.36,6.39,4.09,5.36,6.39
2002-01-01,49.54,-113.46,4.04,6.10,7.01,4.00,6.12,7.00,4.01,6.14,7.00
2003-01-01,49.54,-113.46,4.10,5.46,7.31,4.10,5.51,7.32,4.11,5.51,7.30
2004-01-01,49.54,-113.46,4.57,5.53,7.11,4.56,5.53,7.11,4.56,5.51,7.10
2005-01-01,49.54,-113.46,4.10,5.66,7.29,3.91,5.65,7.30,4.24,5.65,7.27
2006-01-01,49.54,-113.46,4.18,5.90,6.83,4.86,6.20,7.61,5.16,6.15,7.13
2007-01-01,49.54,-113.46,4.51,5.29,7.35,4.58,5.83,6.96,4.59,6.20,7.65
2008-01-01,49.54,-113.46,5.11,6.11,6.79,3.86,5.79,6.99,4.35,5.72,7.07
2009-01-01,49.54,-113.46,4.96,6.23,7.45,4.86,6.06,7.36,4.36,6.03,7.68
2010-01-01,49.54,-113.46,3.60,5.61,7.30,4.72,5.73,6.96,3.74,5.53,6.68
2011-01-01,49.54,-113.46,4.15,5.58,7.07,4.81,5.99,7.23,4.51,5.35,7.07
2012-01-01,49.54,-113.46,5.04,6.16,7.56,4.59,5.49,6.74,4.52,5.62,7.40
2013-01-01,49.54,-113.46,4.71,5.85,7.30,4.16,5.66,6.72,4.10,5.90,6.85
2014-01-01,49.54,-113.46,4.23,6.37,7.40,4.40,5.42,7.32,4.45,5.83,7.43
2015-01-01,49.54,-113.46,5.02,6.14,7.07,4.17,5.98,7.00,3.94,5.85,7.12
2016-01-01,49.54,-113.46,5.23,6.36,8.19,4.18,5.65,6.91,4.99,6.10,7.34
2017-01-01,49.54,-113.46,4.38,6.16,7.57,4.91,6.28,7.54,4.78,6.30,8.11
