time,lon,lat,rcp26_r10mm_p10,rcp26_r10mm_p50,rcp26_r10mm_p90,rcp45_r10mm_p10,rcp45_r10mm_p50,rcp45_r10mm_p90,rcp85_r10mm_p10,rcp85_r10mm_p50,rcp85_r10mm_p90
1950-01-01,-113.46,49.54,4.30,10.00,12.70,4.30,10.00,13.40,3.60,10.00,13.40
1951-01-01,-113.46,49.54,6.30,11.00,17.40,6.30,11.00,17.40,6.30,11.00,17.40
1952-01-01,-113.46,49.54,5.30,11.50,17.70,5.30,11.00,17.70,5.30,11.00,17.70
1953-01-01,-113.46,49.54,6.00,11.00,17.70,5.30,11.00,17.70,6.00,11.00,17.70
1954-01-01,-113.46,49.54,5.30,11.00,15.00,5.30,11.00,15.00,5.30,11.00,15.00
1955-01-01,-113.46,49.54,4.30,9.00,15.00,4.30,10.00,14.70,4.30,9.50,14.70
1956-01-01,-113.46,49.54,4.30,9.50,14.70,4.30,9.50,14.70,4.30,9.50,14.70
1957-01-01,-113.46,49.54,6.60,12.00,15.00,8.00,12.00,15.00,8.00,12.00,15.00
1958-01-01,-113.46,49.54,6.30,11.50,18.00,6.00,11.50,18.00,6.30,11.50,18.00
1959-01-01,-113.46,49.54,7.30,11.00,16.70,6.60,11.00,17.00,7.30,11.00,17.00
1960-01-01,-113.46,49.54,5.30,10.50,18.40,5.30,10.50,18.40,5.30,10.00,18.40
1961-01-01,-113.46,49.54,7.00,11.00,15.70,7.30,11.00,15.70,7.30,11.00,15.70
1962-01-01,-113.46,49.54,7.00,10.50,16.00,7.00,10.50,16.00,7.00,11.00,16.00
1963-01-01,-113.46,49.54,6.60,12.00,17.00,6.60,11.50,17.00,6.60,11.50,17.00
1964-01-01,-113.46,49.54,7.00,10.00,15.40,7.00,10.00,15.40,7.00,10.00,15.40
1965-01-01,-113.46,49.54,7.30,11.00,15.40,8.00,11.50,15.70,8.00,11.00,15.40
1966-01-01,-113.46,49.54,5.60,9.00,15.80,5.60,9.50,16.10,5.60,9.00,16.40
1967-01-01,-113.46,49.54,4.30,9.00,14.70,4.00,9.00,14.70,4.00,9.00,14.70
1968-01-01,-113.46,49.54,5.60,11.00,17.70,5.60,11.00,17.70,5.60,11.00,17.70
1969-01-01,-113.46,49.54,6.30,11.50,16.70,6.30,12.00,16.70,6.30,12.00,16.70
1970-01-01,-113.46,49.54,5.00,10.00,15.70,5.00,10.00,15.70,5.00,10.00,15.70
1971-01-01,-113.46,49.54,6.00,9.00,14.70,6.30,9.50,14.70,6.00,9.50,14.70
1972-01-01,-113.46,49.54,5.30,10.00,14.70,5.30,9.50,14.70,5.30,10.00,14.70
1973-01-01,-113.46,49.54,6.30,9.50,16.50,6.30,9.50,16.50,6.30,9.50,16.50
1974-01-01,-113.46,49.54,6.30,11.00,16.00,6.00,11.00,16.70,6.00,11.00,16.70
1975-01-01,-113.46,49.54,7.60,11.00,14.00,7.30,11.00,14.70,7.30,11.00,14.70
