time,lat,lon,rcp26_rx5day_p10,rcp26_rx5day_p50,rcp26_rx5day_p90,rcp45_rx5day_p10,rcp45_rx5day_p50,rcp45_rx5day_p90,rcp85_rx5day_p10,rcp85_rx5day_p50,rcp85_rx5day_p90
1950-01-01,49.62,-120.04,35.48,44.39,58.21,35.51,44.39,56.63,34.57,44.39,59.47
1951-01-01,49.62,-120.04,31.43,46.39,55.95,29.79,46.39,56.02,30.05,46.39,56.02
1952-01-01,49.62,-120.04,34.40,46.69,54.13,33.89,46.86,54.42,33.89,46.86,52.90
1953-01-01,49.62,-120.04,37.33,45.53,56.16,36.08,45.53,56.64,36.01,45.24,56.62
1954-01-01,49.62,-120.04,35.90,46.22,63.14,35.91,45.64,64.31,35.78,46.29,64.31
1955-01-01,49.62,-120.04,33.24,41.02,57.50,34.03,41.00,58.48,34.28,41.00,55.48
1956-01-01,49.62,-120.04,32.92,43.57,56.23,32.92,43.55,56.23,32.92,43.38,56.23
1957-01-01,49.62,-120.04,37.95,44.60,56.50,37.39,45.58,56.98,36.72,44.99,56.04
1958-01-01,49.62,-120.04,33.41,43.81,58.46,32.97,43.81,60.60,32.97,46.59,58.89
1959-01-01,49.62,-120.04,37.89,42.46,62.66,36.86,41.43,62.06,37.21,40.62,62.06
1960-01-01,49.62,-120.04,34.03,47.94,68.82,34.03,47.94,69.40,34.21,49.08,69.70
1961-01-01,49.62,-120.04,37.56,47.62,56.00,37.56,47.62,56.00,37.56,47.62,55.65
1962-01-01,49.62,-120.04,32.40,44.20,48.59,32.98,43.03,48.59,32.24,43.03,48.59
1963-01-01,49.62,-120.04,34.51,45.52,56.28,34.51,45.61,56.28,35.15,45.61,56.80
1964-01-01,49.62,-120.04,33.35,44.58,62.52,33.35,44.93,63.88,33.35,44.39,62.21
1965-01-01,49.62,-120.04,36.92,43.83,56.59,36.92,43.51,55.74,36.27,42.85,54.41
1966-01-01,49.62,-120.04,34.29,44.17,59.83,34.29,43.88,60.65,35.55,43.54,60.65
1967-01-01,49.62,-120.04,33.04,44.23,53.88,34.28,42.11,53.88,33.41,42.76,53.88
1968-01-01,49.62,-120.04,35.58,42.98,58.50,35.03,43.58,57.17,35.05,43.58,57.40
1969-01-01,49.62,-120.04,39.17,48.18,62.94,39.17,48.51,61.71,34.85,47.82,61.72
1970-01-01,49.62,-120.04,33.47,42.93,57.07,33.65,43.05,58.08,33.98,43.00,58.08
1971-01-01,49.62,-120.04,33.33,39.11,51.90,33.02,39.83,51.90,33.02,41.10,51.90
1972-01-01,49.62,-120.04,37.72,46.63,60.97,36.81,46.92,60.97,36.33,44.33,60.97
1973-01-01,49.62,-120.04,36.11,49.40,60.38,35.56,48.66,60.79,35.56,46.29,60.38
1974-01-01,49.62,-120.04,31.75,40.22,54.84,32.58,40.03,54.16,33.06,40.61,53.46
1975-01-01,49.62,-120.04,35.64,46.31,68.72,35.64,46.31,67.16,36.29,46.31,70.10
1976-01-01,49.62,-120.04,39.03,44.48,65.62,39.15,46.34,65.62,39.88,48.64,65.62
1977-01-01,49.62,-120.04,36.22,45.64,58.07,36.22,46.14,59.17,36.22,46.24,59.17
1978-01-01,49.62,-120.04,33.82,44.64,57.03,33.71,43.89,57.67,33.48,43.99,57.18
1979-01-01,49.62,-120.04,37.13,43.75,64.13,35.86,43.65,61.93,36.48,43.75,62.58
1980-01-01,49.62,-120.04,36.00,42.37,56.96,36.07,42.43,55.82,35.74,41.81,58.13
1981-01-01,49.62,-120.04,36.06,43.74,55.86,36.59,44.84,55.95,36.54,45.07,55.83
1982-01-01,49.62,-120.04,33.20,43.86,60.04,33.25,44.18,57.91,31.81,44.45,57.98
1983-01-01,49.62,-120.04,37.79,45.62,62.74,37.01,45.09,62.39,37.28,47.00,62.12
1984-01-01,49.62,-120.04,37.92,42.37,55.39,37.87,42.72,55.29,37.14,42.07,55.13
1985-01-01,49.62,-120.04,32.37,45.62,57.55,32.83,45.89,57.30,31.39,45.44,60.80
1986-01-01,49.62,-120.04,38.42,47.52,62.13,37.22,47.42,64.76,38.76,47.64,65.66
1987-01-01,49.62,-120.04,34.52,45.55,67.15,34.60,46.09,68.30,34.91,46.44,66.92
1988-01-01,49.62,-120.04,32.66,46.89,61.96,32.47,46.01,64.57,34.38,44.23,60.87
1989-01-01,49.62,-120.04,34.91,43.35,56.97,34.66,42.80,57.05,33.87,43.77,55.12
1990-01-01,49.62,-120.04,34.89,44.43,65.14,34.33,44.90,65.44,34.44,44.08,66.65
1991-01-01,49.62,-120.04,34.92,45.59,56.36,33.88,44.02,56.48,34.09,45.14,56.74
1992-01-01,49.62,-120.04,37.94,45.51,56.58,38.80,45.86,56.83,39.09,45.90,56.49
1993-01-01,49.62,-120.04,36.17,44.81,59.57,36.51,45.41,58.70,36.16,45.51,59.45
1994-01-01,49.62,-120.04,34.80,43.96,57.52,34.48,44.02,57.28,35.13,46.28,56.03
1995-01-01,49.62,-120.04,33.59,43.65,54.25,33.19,43.13,54.17,32.70,43.75,54.29
1996-01-01,49.62,-120.04,36.78,47.75,61.10,36.89,46.73,59.86,37.49,47.50,61.03
1997-01-01,49.62,-120.04,36.69,45.86,65.78,37.73,46.18,65.71,37.60,46.92,65.64
1998-01-01,49.62,-120.04,35.42,46.12,58.89,34.50,46.25,57.86,34.17,46.12,59.74
1999-01-01,49.62,-120.04,38.01,44.53,50.51,38.25,44.81,50.49,37.85,44.84,50.49
2000-01-01,49.62,-120.04,37.96,47.02,62.73,38.17,47.78,62.80,37.06,47.20,61.61
2001-01-01,49.62,-120.04,34.30,43.47,54.88,34.15,44.27,56.38,33.85,44.55,55.62
2002-01-01,49.62,-120.04,36.19,49.92,60.98,36.17,50.68,61.53,36.19,50.09,60.99
2003-01-01,49.62,-120.04,34.97,47.48,66.34,35.12,47.19,67.25,34.97,47.05,62.75
2004-01-01,49.62,-120.04,33.33,43.38,54.38,33.24,44.02,54.27,34.21,43.79,58.02
2005-01-01,49.62,-120.04,32.69,44.51,54.31,32.54,44.90,54.59,34.60,44.22,54.59
2006-01-01,49.62,-120.04,38.08,46.59,65.86,37.59,44.53,60.74,39.87,51.62,76.30
2007-01-01,49.62,-120.04,32.60,42.08,52.87,35.55,44.29,68.16,36.61,42.68,65.34
2008-01-01,49.62,-120.04,35.73,47.88,57.03,36.24,45.35,62.85,35.76,45.00,57.43
2009-01-01,49.62,-120.04,37.47,45.81,56.24,33.66,42.44,60.27,37.39,44.59,70.11
2010-01-01,49.62,-120.04,37.84,44.29,59.60,34.36,42.91,57.11,37.41,45.50,66.34
2011-01-01,49.62,-120.04,36.29,48.38,62.34,36.42,46.97,65.49,35.11,47.88,63.06
2012-01-01,49.62,-120.04,35.82,45.44,64.51,34.22,45.15,69.84,32.38,45.54,61.72
2013-01-01,49.62,-120.04,35.21,45.40,61.28,34.87,45.25,58.33,31.92,45.78,64.21
2014-01-01,49.62,-120.04,37.78,45.13,57.46,33.33,42.04,53.78,35.14,47.91,59.00
2015-01-01,49.62,-120.04,40.34,46.05,57.87,30.97,45.90,56.97,33.16,45.69,63.72
2016-01-01,49.62,-120.04,37.45,44.90,63.25,33.88,46.70,56.50,32.75,46.98,70.26
2017-01-01,49.62,-120.04,37.08,44.86,59.36,34.78,49.96,71.44,36.47,49.54,60.91
2018-01-01,49.62,-120.04,40.33,48.30,60.65,34.56,45.25,62.52,35.00,48.73,63.12
2019-01-01,49.62,-120.04,41.57,53.79,59.17,34.89,46.66,57.77,40.39,47.85,59.83
2020-01-01,49.62,-120.04,35.70,43.89,59.51,37.36,48.99,65.22,34.77,46.17,60.61
2021-01-01,49.62,-120.04,32.15,44.85,54.19,36.89,45.20,53.87,33.22,43.47,76.90
2022-01-01,49.62,-120.04,32.84,46.02,61.87,39.54,49.60,59.07,33.30,42.43,60.84
2023-01-01,49.62,-120.04,33.91,41.77,63.79,36.02,45.62,59.56,35.63,50.71,66.94
2024-01-01,49.62,-120.04,36.64,48.29,61.23,38.57,46.04,67.70,36.38,46.02,61.77
2025-01-01,49.62,-120.04,41.10,51.29,66.91,35.29,44.90,58.92,34.46,42.55,59.65
2026-01-01,49.62,-120.04,37.66,45.20,62.16,37.46,48.49,67.32,34.70,45.84,65.45
2027-01-01,49.62,-120.04,41.07,50.70,61.01,37.99,49.07,73.85,39.31,46.03,53.04
2028-01-01,49.62,-120.04,36.46,49.33,58.33,38.00,50.61,61.16,40.83,48.23,59.81
2029-01-01,49.62,-120.04,35.32,44.15,63.50,43.34,53.37,65.59,40.33,52.59,67.30
2030-01-01,49.62,-120.04,36.83,47.30,65.42,33.58,48.05,65.33,34.80,46.00,71.87
2031-01-01,49.62,-120.04,42.22,52.45,64.60,36.93,45.07,59.86,36.02,47.54,57.93
2032-01-01,49.62,-120.04,38.09,45.57,62.50,34.24,49.75,68.94,39.88,46.41,67.61
2033-01-01,49.62,-120.04,36.80,44.80,69.69,37.37,48.72,66.58,35.90,45.05,57.10
2034-01-01,49.62,-120.04,34.93,45.26,63.76,36.78,45.78,64.86,35.92,47.71,61.76
2035-01-01,49.62,-120.04,37.72,49.87,58.60,38.62,45.83,53.48,38.89,45.06,64.04
2036-01-01,49.62,-120.04,40.48,47.50,52.94,33.34,44.62,65.67,35.42,44.33,54.38
2037-01-01,49.62,-120.04,39.31,46.47,66.53,38.66,46.04,61.63,36.96,44.21,55.28
2038-01-01,49.62,-120.04,39.37,48.84,73.11,36.47,46.12,62.98,37.31,46.48,63.31
2039-01-01,49.62,-120.04,41.68,47.53,59.11,38.34,46.34,59.92,34.40,51.59,64.32
2040-01-01,49.62,-120.04,35.41,44.57,59.73,36.49,47.31,58.79,32.73,52.04,65.81
2041-01-01,49.62,-120.04,32.51,45.06,54.64,38.67,49.49,59.84,37.17,44.62,66.25
2042-01-01,49.62,-120.04,36.56,44.75,58.66,36.18,47.55,56.66,37.31,43.30,55.95
2043-01-01,49.62,-120.04,39.94,51.75,70.18,32.18,41.92,49.94,36.36,45.94,66.34
2044-01-01,49.62,-120.04,39.43,46.40,67.73,35.90,45.76,54.07,37.55,46.34,61.56
2045-01-01,49.62,-120.04,39.40,49.43,57.39,34.09,48.65,72.77,35.85,47.17,60.54
2046-01-01,49.62,-120.04,35.50,47.13,69.78,39.64,51.03,74.99,38.55,46.31,64.31
2047-01-01,49.62,-120.04,36.19,48.96,67.27,38.08,47.76,71.19,36.93,49.84,62.37
2048-01-01,49.62,-120.04,34.88,52.08,66.74,35.94,47.99,68.88,41.31,49.19,65.83
2049-01-01,49.62,-120.04,35.45,45.80,67.07,37.26,50.50,61.89,38.86,49.71,72.36
2050-01-01,49.62,-120.04,33.73,48.30,68.93,36.79,45.66,62.54,39.43,47.75,62.62
2051-01-01,49.62,-120.04,34.87,47.53,68.45,37.94,49.76,66.02,36.35,48.33,61.90
2052-01-01,49.62,-120.04,35.66,49.06,62.51,38.78,53.88,69.32,39.76,50.07,59.82
2053-01-01,49.62,-120.04,37.41,48.68,63.20,36.22,44.19,60.73,35.21,50.03,67.91
2054-01-01,49.62,-120.04,38.87,48.70,65.80,37.45,48.89,64.23,36.56,45.95,54.97
2055-01-01,49.62,-120.04,36.21,48.21,60.83,38.23,51.93,62.71,39.87,52.47,76.19
2056-01-01,49.62,-120.04,36.16,45.64,65.84,38.26,50.95,83.72,39.89,45.56,68.55
2057-01-01,49.62,-120.04,39.00,44.87,58.26,37.43,45.58,71.78,39.66,49.30,64.15
2058-01-01,49.62,-120.04,42.27,48.47,64.36,36.01,52.25,65.28,36.24,55.20,72.87
2059-01-01,49.62,-120.04,35.93,48.75,59.59,35.60,47.84,61.17,40.90,46.39,69.37
2060-01-01,49.62,-120.04,33.32,46.52,59.84,40.15,47.38,73.41,35.57,47.25,67.38
2061-01-01,49.62,-120.04,40.74,51.59,65.63,44.19,53.53,60.95,39.52,52.70,70.13
2062-01-01,49.62,-120.04,34.84,47.88,56.79,40.90,52.22,64.06,37.79,50.26,76.90
2063-01-01,49.62,-120.04,39.60,52.78,71.40,34.99,48.68,69.29,37.41,48.25,67.24
2064-01-01,49.62,-120.04,35.11,43.73,61.82,38.27,47.30,78.13,41.49,57.25,77.47
2065-01-01,49.62,-120.04,36.41,49.26,73.46,37.65,50.75,60.33,39.31,50.26,72.87
2066-01-01,49.62,-120.04,37.70,52.67,71.51,35.46,50.28,60.51,38.48,56.18,75.29
2067-01-01,49.62,-120.04,39.26,49.89,67.94,38.74,47.51,68.06,36.81,51.37,64.61
2068-01-01,49.62,-120.04,42.74,50.35,70.41,38.69,47.83,61.20,38.13,47.40,60.84
2069-01-01,49.62,-120.04,35.61,45.26,55.03,35.14,48.36,67.20,44.12,59.01,70.82
2070-01-01,49.62,-120.04,33.36,45.90,68.23,39.55,47.43,61.14,39.01,48.21,67.88
2071-01-01,49.62,-120.04,37.22,46.89,67.44,37.45,44.47,65.70,39.64,53.32,73.51
2072-01-01,49.62,-120.04,35.95,46.80,68.19,40.95,53.33,67.06,41.15,60.70,72.40
2073-01-01,49.62,-120.04,35.66,47.08,62.81,39.38,47.91,74.33,38.93,47.33,61.76
2074-01-01,49.62,-120.04,34.92,46.19,63.19,36.45,49.94,62.89,39.09,47.06,65.03
2075-01-01,49.62,-120.04,37.87,48.97,64.24,34.09,47.54,71.97,42.48,51.44,76.27
2076-01-01,49.62,-120.04,38.70,48.95,65.04,38.52,44.96,59.57,38.18,47.67,60.74
2077-01-01,49.62,-120.04,36.24,49.62,61.34,38.10,49.37,60.83,36.00,47.55,69.77
2078-01-01,49.62,-120.04,35.48,47.15,64.86,35.08,51.53,66.80,39.33,48.35,58.11
2079-01-01,49.62,-120.04,37.66,47.16,64.55,36.45,52.99,65.38,38.77,50.93,70.08
2080-01-01,49.62,-120.04,37.68,45.15,58.47,37.77,47.69,65.78,40.13,51.06,80.96
2081-01-01,49.62,-120.04,38.59,53.18,62.63,39.87,49.78,64.93,40.34,51.62,71.88
2082-01-01,49.62,-120.04,38.28,46.99,64.19,38.39,51.42,69.38,44.20,48.79,69.90
2083-01-01,49.62,-120.04,37.63,48.72,66.65,41.60,48.33,61.12,36.90,52.13,73.26
2084-01-01,49.62,-120.04,37.52,44.88,58.22,35.74,48.69,66.83,37.33,53.43,67.20
2085-01-01,49.62,-120.04,38.08,46.38,66.44,37.46,48.64,73.80,41.23,51.54,76.64
2086-01-01,49.62,-120.04,39.26,49.99,60.51,37.68,47.50,61.14,38.01,50.42,73.13
2087-01-01,49.62,-120.04,39.24,48.23,67.38,35.10,48.02,70.50,41.11,50.40,82.80
2088-01-01,49.62,-120.04,32.20,40.23,54.43,42.68,50.62,71.79,38.73,49.67,77.26
2089-01-01,49.62,-120.04,35.83,49.65,67.99,43.32,52.37,64.14,43.35,51.30,71.19
2090-01-01,49.62,-120.04,33.75,52.63,65.63,37.74,48.49,69.92,40.07,56.47,75.17
2091-01-01,49.62,-120.04,35.62,50.53,61.55,36.70,46.69,65.35,40.73,49.38,74.32
2092-01-01,49.62,-120.04,38.07,45.09,56.84,36.67,51.78,70.63,43.83,61.68,73.66
2093-01-01,49.62,-120.04,38.36,51.54,75.08,34.56,49.76,74.28,37.00,53.64,76.43
2094-01-01,49.62,-120.04,36.81,45.11,74.89,40.41,49.82,74.30,43.67,51.98,69.33
2095-01-01,49.62,-120.04,39.53,50.84,73.63,38.99,48.55,67.16,40.26,48.64,66.38
2096-01-01,49.62,-120.04,40.54,45.40,68.00,38.07,53.63,74.99,41.17,58.94,84.31
2097-01-01,49.62,-120.04,39.52,51.43,64.74,35.18,47.75,64.29,44.06,55.92,68.79
2098-01-01,49.62,-120.04,37.47,44.93,58.87,40.78,53.29,69.09,41.05,47.24,66.05
2099-01-01,49.62,-120.04,35.09,44.71,54.75,39.53,47.13,61.45,40.04,52.25,73.21
2100-01-01,49.62,-120.04,39.34,48.36,66.56,38.49,56.64,76.66,39.18,51.89,71.87
1950-01-01,49.62,-118.54,42.22,50.66,57.86,42.47,50.66,58.36,42.47,50.66,58.72
1951-01-01,49.62,-118.54,37.54,53.20,63.22,37.54,53.75,62.70,37.54,53.38,63.56
1952-01-01,49.62,-118.54,41.08,50.98,61.68,40.65,50.29,61.76,40.45,50.29,62.05
1953-01-01,49.62,-118.54,40.63,50.62,59.66,39.90,51.46,61.32,40.25,51.46,61.32
1954-01-01,49.62,-118.54,42.12,52.12,65.91,42.12,51.12,65.37,42.12,50.22,66.14
1955-01-01,49.62,-118.54,41.04,50.29,62.88,40.28,50.71,61.17,40.28,50.71,58.91
1956-01-01,49.62,-118.54,39.02,48.10,59.09,39.02,48.35,56.47,39.02,47.90,57.12
1957-01-01,49.62,-118.54,45.10,49.70,66.39,44.18,49.70,65.88,45.18,49.70,63.63
1958-01-01,49.62,-118.54,40.84,51.05,67.23,37.72,51.05,67.17,37.72,51.68,68.10
1959-01-01,49.62,-118.54,41.40,48.27,66.50,41.72,48.46,66.50,41.29,48.72,64.91
1960-01-01,49.62,-118.54,44.56,53.72,66.70,44.56,53.72,65.42,44.58,54.81,66.37
1961-01-01,49.62,-118.54,43.45,53.04,64.33,43.86,53.30,64.37,43.86,53.60,63.81
1962-01-01,49.62,-118.54,39.18,49.10,60.66,39.17,49.64,60.66,39.04,49.93,60.66
1963-01-01,49.62,-118.54,40.81,51.09,62.75,40.81,51.30,60.72,41.98,52.12,64.12
1964-01-01,49.62,-118.54,39.02,47.08,58.34,39.25,48.11,58.34,39.25,47.33,58.34
1965-01-01,49.62,-118.54,45.21,50.21,62.56,45.21,50.21,62.44,45.21,50.21,62.44
1966-01-01,49.62,-118.54,42.12,49.52,70.16,41.92,49.71,69.24,40.87,50.12,70.35
1967-01-01,49.62,-118.54,43.16,49.96,60.91,42.51,50.18,60.91,43.24,47.86,60.91
1968-01-01,49.62,-118.54,41.55,49.68,64.80,41.83,49.55,64.80,42.44,50.10,64.80
1969-01-01,49.62,-118.54,42.52,51.50,64.31,44.27,51.50,64.31,43.62,50.89,64.31
1970-01-01,49.62,-118.54,40.59,47.35,61.30,41.91,47.35,62.04,38.28,47.20,62.04
