time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
1950-01-01,-120.04,49.62,14.30,22.50,38.10,15.00,22.50,38.10,14.30,22.00,38.10
1951-01-01,-120.04,49.62,11.30,24.00,40.80,11.30,24.50,40.80,13.60,24.00,40.80
1952-01-01,-120.04,49.62,13.30,18.50,22.70,13.30,18.50,23.00,13.30,18.50,23.00
1953-01-01,-120.04,49.62,14.30,21.00,27.70,13.30,20.50,27.70,13.30,19.50,27.70
1954-01-01,-120.04,49.62,13.30,17.00,30.10,13.30,17.00,30.10,13.30,17.00,32.40
1955-01-01,-120.04,49.62,14.00,20.00,33.70,14.00,20.00,33.70,14.00,20.00,33.70
1956-01-01,-120.04,49.62,13.60,19.00,28.40,13.00,18.50,28.40,13.30,18.00,29.70
1957-01-01,-120.04,49.62,13.30,21.00,30.70,12.60,23.00,30.70,12.60,23.00,32.40
1958-01-01,-120.04,49.62,14.30,21.00,27.70,14.00,21.00,29.80,14.00,19.50,29.80
1959-01-01,-120.04,49.62,13.00,16.50,25.70,13.00,18.00,25.70,13.00,16.50,25.70
1960-01-01,-120.04,49.62,14.00,19.00,28.70,14.00,18.50,29.00,14.00,18.50,29.00
1961-01-01,-120.04,49.62,14.30,18.00,31.20,14.00,18.00,31.20,14.30,18.00,26.70
1962-01-01,-120.04,49.62,14.30,18.00,29.80,14.30,18.00,27.00,14.00,18.00,29.80
1963-01-01,-120.04,49.62,14.00,17.00,37.40,14.00,17.50,37.40,14.00,17.50,34.70
1964-01-01,-120.04,49.62,15.60,23.00,37.20,15.90,23.00,37.20,15.90,23.00,37.20
1965-01-01,-120.04,49.62,14.30,18.50,27.40,14.30,18.50,27.40,14.00,19.00,27.40
1966-01-01,-120.04,49.62,15.30,19.00,26.70,15.30,18.50,26.70,15.30,19.00,25.40
1967-01-01,-120.04,49.62,15.30,18.00,29.40,15.30,18.00,29.40,16.00,18.00,29.40
1968-01-01,-120.04,49.62,16.30,20.50,33.80,16.30,20.50,33.50,16.30,19.50,33.50
1969-01-01,-120.04,49.62,15.00,20.50,38.00,15.00,21.50,38.00,14.30,21.50,38.00
1970-01-01,-120.04,49.62,14.60,20.00,29.70,14.60,20.00,29.70,16.00,20.00,31.10
1971-01-01,-120.04,49.62,16.30,22.00,30.70,16.00,21.50,29.70,16.00,21.00,29.00
1972-01-01,-120.04,49.62,12.30,16.50,25.00,12.30,16.50,25.00,12.30,17.00,25.00
1973-01-01,-120.04,49.62,16.00,19.50,31.80,16.30,19.50,30.00,16.30,20.00,27.00
1974-01-01,-120.04,49.62,15.00,20.00,29.00,15.00,20.00,29.00,15.00,20.00,28.40
1975-01-01,-120.04,49.62,14.00,21.00,28.70,14.00,20.50,28.70,15.00,21.00,28.70
1976-01-01,-120.04,49.62,16.00,20.50,34.40,16.00,20.50,35.00,16.00,20.50,34.70
1977-01-01,-120.04,49.62,14.00,20.50,36.00,14.00,20.00,35.10,14.00,20.00,35.10
1978-01-01,-120.04,49.62,14.60,21.50,31.00,14.60,22.00,31.00,16.00,21.50,31.00
1979-01-01,-120.04,49.62,15.30,21.50,36.80,15.30,21.50,36.80,15.00,20.50,37.10
1980-01-01,-120.04,49.62,14.30,20.00,34.00,14.00,19.00,33.10,14.00,19.00,32.40
1981-01-01,-120.04,49.62,13.30,19.50,36.20,14.00,19.50,35.50,14.00,20.00,36.20
1982-01-01,-120.04,49.62,12.30,19.00,26.70,12.30,19.50,28.40,12.00,18.50,26.70
1983-01-01,-120.04,49.62,13.00,19.00,30.00,12.30,19.50,30.00,13.60,19.50,32.80
1984-01-01,-120.04,49.62,15.30,20.00,30.70,16.00,20.00,31.70,16.00,20.00,31.70
1985-01-01,-120.04,49.62,14.30,18.00,30.40,14.30,18.50,28.10,14.00,19.00,28.10
1986-01-01,-120.04,49.62,14.30,18.00,25.70,15.30,19.00,27.40,13.00,18.00,27.40
1987-01-01,-120.04,49.62,13.30,19.50,33.60,13.30,20.00,33.60,13.60,19.50,33.60
1988-01-01,-120.04,49.62,15.00,19.50,33.40,14.30,19.50,33.40,13.30,19.00,33.40
1989-01-01,-120.04,49.62,15.30,20.00,27.70,14.30,20.00,27.70,14.30,20.00,30.80
1990-01-01,-120.04,49.62,12.30,20.50,32.40,13.30,20.00,33.00,13.00,20.50,42.10
1991-01-01,-120.04,49.62,14.30,19.00,29.00,14.30,19.00,29.00,15.30,19.00,29.00
1992-01-01,-120.04,49.62,13.00,20.00,29.80,13.00,20.00,29.50,13.00,19.50,29.80
1993-01-01,-120.04,49.62,14.00,18.00,29.10,14.00,18.50,30.00,14.00,18.00,30.00
1994-01-01,-120.04,49.62,14.30,21.00,31.00,15.30,21.00,31.70,15.30,21.00,31.10
1995-01-01,-120.04,49.62,15.00,20.50,35.00,14.30,19.50,35.00,15.00,20.50,35.00
1996-01-01,-120.04,49.62,14.30,22.00,33.00,15.00,21.00,35.80,14.30,21.50,35.80
1997-01-01,-120.04,49.62,13.00,21.00,29.00,13.00,21.00,29.00,13.00,20.00,29.00
1998-01-01,-120.04,49.62,16.00,20.00,31.10,16.00,20.00,31.40,16.00,20.00,29.10
1999-01-01,-120.04,49.62,13.30,20.00,31.20,13.30,20.00,31.20,13.00,19.00,31.20
2000-01-01,-120.04,49.62,15.30,20.00,26.40,16.00,21.00,26.40,16.00,21.00,26.40
2001-01-01,-120.04,49.62,13.90,21.00,27.70,13.60,19.00,27.70,15.30,21.00,28.70
2002-01-01,-120.04,49.62,16.00,20.00,32.70,15.30,19.50,30.00,15.30,19.50,31.00
2003-01-01,-120.04,49.62,13.90,19.50,33.10,15.30,19.50,31.70,13.00,20.00,31.70
2004-01-01,-120.04,49.62,13.30,21.00,31.40,14.00,20.50,31.40,14.30,21.00,31.40
2005-01-01,-120.04,49.62,14.30,19.00,31.40,14.30,22.50,31.40,14.30,18.50,29.40
2006-01-01,-120.04,49.62,15.00,19.50,37.10,13.30,21.00,37.80,13.30,21.50,42.60
2007-01-01,-120.04,49.62,14.00,20.50,29.70,12.30,18.00,35.50,16.30,21.00,37.00
2008-01-01,-120.04,49.62,12.00,16.50,24.00,15.00,21.00,42.40,14.60,21.00,42.80
2009-01-01,-120.04,49.62,14.00,19.00,34.10,12.30,21.50,35.10,17.00,19.50,24.40
2010-01-01,-120.04,49.62,14.30,21.00,34.80,13.30,22.00,32.00,13.30,21.50,30.10
2011-01-01,-120.04,49.62,16.30,21.50,35.90,15.00,17.00,26.10,13.30,19.00,32.20
2012-01-01,-120.04,49.62,14.00,20.00,34.60,17.00,22.00,31.40,14.30,18.50,36.20
2013-01-01,-120.04,49.62,14.00,20.00,36.20,14.60,19.50,25.80,13.60,19.00,38.80
2014-01-01,-120.04,49.62,14.00,19.50,32.80,14.30,20.00,29.90,15.00,19.50,28.70
2015-01-01,-120.04,49.62,14.30,20.50,31.10,13.00,20.50,33.50,14.00,19.00,28.40
2016-01-01,-120.04,49.62,15.00,19.00,30.20,15.00,19.50,28.00,13.00,17.50,26.80
2017-01-01,-120.04,49.62,15.00,21.50,25.40,16.60,21.00,39.00,15.00,20.50,28.00
2018-01-01,-120.04,49.62,16.00,20.00,28.00,15.00,20.50,42.70,16.30,24.00,36.70
2019-01-01,-120.04,49.62,14.00,19.50,39.10,12.00,18.50,28.10,14.30,21.00,38.00
2020-01-01,-120.04,49.62,13.60,22.00,31.40,14.30,20.50,32.80,18.30,22.50,30.70
2021-01-01,-120.04,49.62,12.30,17.00,24.00,14.00,20.00,32.70,14.30,20.00,29.40
2022-01-01,-120.04,49.62,14.90,21.50,25.00,14.60,20.50,32.70,16.00,19.00,37.20
2023-01-01,-120.04,49.62,13.30,20.00,39.90,13.00,19.00,33.10,17.00,19.00,40.00
2024-01-01,-120.04,49.62,14.00,23.00,42.40,15.00,17.00,33.00,14.30,20.00,33.70
2025-01-01,-120.04,49.62,14.00,19.00,29.10,15.60,21.00,28.40,14.30,18.50,26.00
2026-01-01,-120.04,49.62,14.00,18.00,31.70,15.30,22.00,37.70,14.30,20.50,35.30
2027-01-01,-120.04,49.62,14.30,19.00,27.00,12.00,20.00,28.70,15.00,20.00,31.70
2028-01-01,-120.04,49.62,14.30,20.00,35.70,15.30,20.00,26.00,13.00,20.00,28.00
2029-01-01,-120.04,49.62,15.30,19.00,30.40,15.00,19.50,31.80,14.30,20.50,34.90
2030-01-01,-120.04,49.62,13.00,19.50,29.10,16.30,21.00,36.40,15.00,19.50,32.20
2031-01-01,-120.04,49.62,13.60,23.00,40.10,12.30,18.50,26.70,15.30,21.00,25.10
2032-01-01,-120.04,49.62,14.30,20.50,26.00,14.00,18.50,29.10,14.60,22.50,35.50
2033-01-01,-120.04,49.62,14.30,21.50,32.40,15.30,20.00,39.10,12.30,19.00,29.50
2034-01-01,-120.04,49.62,14.00,20.00,33.20,17.00,20.00,37.10,15.00,19.50,45.00
2035-01-01,-120.04,49.62,14.00,20.50,35.00,13.30,17.50,28.00,13.00,19.50,41.70
2036-01-01,-120.04,49.62,15.30,19.50,32.70,18.00,22.50,35.10,12.30,19.00,27.70
2037-01-01,-120.04,49.62,14.30,20.50,31.00,13.00,23.00,36.00,14.30,23.00,31.00
2038-01-01,-120.04,49.62,13.00,16.00,24.70,16.00,19.50,34.40,14.30,19.50,29.00
2039-01-01,-120.04,49.62,12.90,19.50,25.70,14.00,21.00,34.20,12.60,22.50,32.40
2040-01-01,-120.04,49.62,15.30,19.50,25.00,14.00,21.00,35.50,17.30,21.00,32.80
2041-01-01,-120.04,49.62,12.00,18.50,34.10,15.30,22.50,33.10,14.30,17.50,34.80
2042-01-01,-120.04,49.62,15.00,20.50,32.40,13.60,20.50,27.80,12.30,18.00,27.00
2043-01-01,-120.04,49.62,15.00,20.00,36.80,17.00,26.50,36.80,14.30,19.00,29.40
2044-01-01,-120.04,49.62,14.00,19.50,27.10,15.30,21.50,27.00,14.30,18.50,43.90
2045-01-01,-120.04,49.62,13.30,18.00,27.10,14.00,19.00,35.90,13.30,23.50,28.70
2046-01-01,-120.04,49.62,16.00,20.50,35.70,12.60,18.00,32.00,13.30,21.00,32.00
2047-01-01,-120.04,49.62,14.00,24.00,33.00,16.60,23.00,34.40,13.30,21.50,33.00
