time,lat,lon,rcp26_txgt_25_p10,rcp26_txgt_25_p50,rcp26_txgt_25_p90,rcp45_txgt_25_p10,rcp45_txgt_25_p50,rcp45_txgt_25_p90,rcp85_txgt_25_p10,rcp85_txgt_25_p50,rcp85_txgt_25_p90
1950-01-01,49.62,-120.04,5.60,14.50,25.00,5.60,14.50,25.00,5.60,14.50,25.00
1951-01-01,49.62,-120.04,6.30,14.50,23.50,6.30,14.50,23.50,6.30,14.50,23.50
1952-01-01,49.62,-120.04,3.00,11.00,20.20,3.00,11.00,20.20,3.00,11.00,20.20
1953-01-01,49.62,-120.04,4.30,8.50,16.00,4.30,8.50,16.00,4.30,8.50,16.00
1954-01-01,49.62,-120.04,3.60,8.50,21.80,3.60,8.50,21.80,3.60,8.50,21.80
1955-01-01,49.62,-120.04,2.20,11.00,20.80,2.20,11.00,20.80,2.20,11.00,20.80
1956-01-01,49.62,-120.04,7.00,12.00,18.70,7.00,12.00,18.70,7.00,12.00,18.70
1957-01-01,49.62,-120.04,6.30,13.00,15.00,6.30,13.00,15.00,6.30,13.00,15.00
1958-01-01,49.62,-120.04,3.30,9.00,15.00,3.30,9.00,15.00,3.30,9.00,15.00
1959-01-01,49.62,-120.04,0.30,8.50,18.80,0.30,8.50,18.80,0.30,8.50,18.80
1960-01-01,49.62,-120.04,1.60,11.00,21.80,1.60,11.00,21.80,1.60,11.00,21.80
1961-01-01,49.62,-120.04,2.60,9.50,19.10,2.60,9.50,19.10,2.60,9.50,19.10
1962-01-01,49.62,-120.04,2.30,10.00,19.80,2.30,10.00,19.80,2.30,10.00,19.80
1963-01-01,49.62,-120.04,0.30,9.50,15.00,0.30,9.50,15.00,0.30,9.50,15.00
1964-01-01,49.62,-120.04,1.00,5.00,15.70,1.00,5.00,15.70,1.00,5.00,15.70
1965-01-01,49.62,-120.04,3.00,9.50,18.10,3.00,9.50,18.10,3.00,9.50,18.10
1966-01-01,49.62,-120.04,3.30,9.00,14.70,3.30,9.00,14.70,3.30,9.00,14.70
1967-01-01,49.62,-120.04,1.00,6.50,15.70,1.00,6.50,15.70,1.00,6.50,15.70
1968-01-01,49.62,-120.04,3.00,8.00,12.00,3.00,8.00,12.00,3.00,8.00,12.00
1969-01-01,49.62,-120.04,0.30,8.00,22.80,0.30,8.00,22.80,0.30,8.00,22.80
1970-01-01,49.62,-120.04,2.00,9.00,19.00,2.00,9.00,19.00,2.00,9.00,19.00
1971-01-01,49.62,-120.04,3.30,8.00,15.00,3.30,8.00,15.00,3.30,8.00,15.00
1972-01-01,49.62,-120.04,3.00,7.50,13.70,3.00,7.50,13.70,3.00,7.50,13.70
1973-01-01,49.62,-120.04,4.00,8.50,23.40,4.00,8.50,23.40,4.00,8.50,23.40
1974-01-01,49.62,-120.04,2.30,8.50,16.10,2.30,8.50,16.10,2.30,8.50,16.10
1975-01-01,49.62,-120.04,0.30,8.50,21.40,0.30,8.50,21.40,0.30,8.50,21.40
1976-01-01,49.62,-120.04,4.00,13.00,19.10,4.00,13.00,19.10,4.00,13.00,19.10
1977-01-01,49.62,-120.04,3.60,10.50,24.00,3.60,10.50,24.00,3.60,10.50,24.00
1978-01-01,49.62,-120.04,4.30,12.00,22.00,4.30,12.00,22.00,4.30,12.00,22.00
1979-01-01,49.62,-120.04,2.30,13.00,18.70,2.30,13.00,18.70,2.30,13.00,18.70
1980-01-01,49.62,-120.04,4.00,8.50,15.00,4.00,9.00,15.00,4.30,8.50,14.70
1981-01-01,49.62,-120.04,2.60,13.00,25.20,2.30,13.00,24.50,2.60,13.00,25.90
1982-01-01,49.62,-120.04,1.60,9.00,19.40,1.60,9.00,19.00,1.60,9.00,19.00
1983-01-01,49.62,-120.04,1.00,8.00,13.40,1.00,8.50,13.40,1.00,8.50,13.70
1984-01-01,49.62,-120.04,3.00,8.50,24.80,3.00,9.00,25.50,3.00,9.00,24.10
1985-01-01,49.62,-120.04,5.30,12.50,23.40,5.30,12.50,22.70,5.30,12.50,23.00
1986-01-01,49.62,-120.04,5.00,10.50,17.10,5.00,10.50,17.10,4.30,10.50,16.70
1987-01-01,49.62,-120.04,3.30,9.50,25.20,3.00,9.50,25.20,3.00,9.50,25.20
