time,lat,lon,rcp26_tx_mean_p10,rcp26_tx_mean_p50,rcp26_tx_mean_p90,rcp45_tx_mean_p10,rcp45_tx_mean_p50,rcp45_tx_mean_p90,rcp85_tx_mean_p10,rcp85_tx_mean_p50,rcp85_tx_mean_p90
1950-01-01,49.62,-120.04,6.49,7.55,8.52,6.49,7.55,8.52,6.49,7.55,8.52
1951-01-01,49.62,-120.04,6.35,7.63,8.84,6.35,7.63,8.84,6.35,7.63,8.84
1952-01-01,49.62,-120.04,6.08,7.08,7.96,6.08,7.08,7.96,6.08,7.08,7.96
1953-01-01,49.62,-120.04,6.29,7.11,8.19,6.29,7.11,8.19,6.29,7.11,8.19
1954-01-01,49.62,-120.04,6.20,7.01,8.53,6.20,7.01,8.53,6.20,7.01,8.53
1955-01-01,49.62,-120.04,6.04,7.52,8.34,6.04,7.52,8.34,6.04,7.52,8.34
1956-01-01,49.62,-120.04,6.44,7.17,8.06,6.44,7.17,8.06,6.44,7.17,8.06
1957-01-01,49.62,-120.04,6.05,6.90,8.20,6.05,6.90,8.20,6.05,6.90,8.20
1958-01-01,49.62,-120.04,5.88,6.71,7.95,5.88,6.71,7.95,5.88,6.71,7.95
1959-01-01,49.62,-120.04,5.96,6.89,7.71,5.96,6.89,7.71,5.96,6.89,7.71
1960-01-01,49.62,-120.04,5.97,7.08,7.84,5.97,7.08,7.84,5.97,7.07,7.84
1961-01-01,49.62,-120.04,6.05,7.31,8.22,6.05,7.31,8.22,6.05,7.31,8.22
1962-01-01,49.62,-120.04,6.54,7.04,8.01,6.54,7.04,8.01,6.54,7.04,8.01
1963-01-01,49.62,-120.04,6.26,6.96,8.46,6.26,6.96,8.46,6.26,6.96,8.46
1964-01-01,49.62,-120.04,5.12,6.78,7.59,5.12,6.78,7.59,5.12,6.78,7.59
1965-01-01,49.62,-120.04,5.57,6.83,7.70,5.57,6.83,7.70,5.57,6.83,7.70
1966-01-01,49.62,-120.04,5.98,6.72,7.90,5.98,6.72,7.90,5.98,6.72,7.90
1967-01-01,49.62,-120.04,5.50,7.06,7.79,5.50,7.06,7.79,5.50,7.06,7.79
1968-01-01,49.62,-120.04,5.76,6.67,7.58,5.76,6.67,7.58,5.76,6.67,7.58
1969-01-01,49.62,-120.04,5.76,7.08,8.27,5.76,7.08,8.27,5.76,7.08,8.27
1970-01-01,49.62,-120.04,5.87,7.16,8.60,5.87,7.16,8.60,5.87,7.16,8.60
1971-01-01,49.62,-120.04,5.78,7.19,8.18,5.78,7.19,8.18,5.78,7.19,8.18
1972-01-01,49.62,-120.04,5.90,6.91,7.52,5.90,6.91,7.52,5.90,6.91,7.52
1973-01-01,49.62,-120.04,5.95,7.03,8.24,5.95,7.03,8.24,5.95,7.03,8.24
1974-01-01,49.62,-120.04,5.86,7.16,8.15,5.86,7.16,8.15,5.86,7.15,8.15
1975-01-01,49.62,-120.04,5.98,7.05,8.65,5.98,7.05,8.65,5.98,7.05,8.65
1976-01-01,49.62,-120.04,6.52,7.46,8.58,6.52,7.46,8.58,6.52,7.46,8.58
1977-01-01,49.62,-120.04,6.43,7.19,8.20,6.43,7.19,8.20,6.43,7.19,8.20
1978-01-01,49.62,-120.04,6.38,7.30,8.26,6.38,7.30,8.26,6.38,7.30,8.26
1979-01-01,49.62,-120.04,5.99,7.56,8.83,5.99,7.56,8.83,5.99,7.56,8.83
1980-01-01,49.62,-120.04,5.99,7.23,8.21,5.99,7.22,8.21,6.01,7.22,8.22
1981-01-01,49.62,-120.04,5.78,7.23,7.97,5.78,7.22,7.98,5.79,7.23,7.97
1982-01-01,49.62,-120.04,6.14,7.00,8.06,6.14,6.99,8.06,6.12,7.01,8.06
1983-01-01,49.62,-120.04,5.82,6.93,7.74,5.82,6.93,7.74,5.81,6.93,7.74
1984-01-01,49.62,-120.04,6.36,7.49,8.85,6.39,7.49,8.86,6.35,7.51,8.84
1985-01-01,49.62,-120.04,6.06,7.37,8.04,6.05,7.39,8.02,6.04,7.37,8.03
1986-01-01,49.62,-120.04,6.79,7.71,8.35,6.78,7.70,8.36,6.80,7.70,8.35
1987-01-01,49.62,-120.04,6.16,7.39,8.70,6.15,7.39,8.70,6.15,7.39,8.70
1988-01-01,49.62,-120.04,6.09,7.37,8.43,6.09,7.37,8.42,6.11,7.37,8.43
1989-01-01,49.62,-120.04,6.34,7.66,8.56,6.34,7.64,8.56,6.34,7.66,8.58
1990-01-01,49.62,-120.04,6.04,7.23,8.24,6.06,7.23,8.23,6.04,7.24,8.24
1991-01-01,49.62,-120.04,6.33,7.32,8.49,6.33,7.34,8.50,6.34,7.32,8.49
1992-01-01,49.62,-120.04,6.40,6.90,8.09,6.39,6.92,8.08,6.41,6.92,8.08
1993-01-01,49.62,-120.04,6.28,7.27,8.77,6.26,7.28,8.76,6.26,7.26,8.77
1994-01-01,49.62,-120.04,6.15,6.98,7.68,6.16,6.99,7.67,6.16,6.97,7.68
1995-01-01,49.62,-120.04,6.00,7.48,8.36,6.02,7.48,8.36,6.01,7.48,8.37
1996-01-01,49.62,-120.04,6.23,7.14,8.24,6.22,7.14,8.23,6.24,7.14,8.24
1997-01-01,49.62,-120.04,6.41,7.81,8.93,6.42,7.82,8.92,6.42,7.83,8.93
1998-01-01,49.62,-120.04,7.04,8.01,8.42,7.05,8.00,8.42,7.03,8.00,8.42
1999-01-01,49.62,-120.04,6.93,7.66,8.36,6.92,7.65,8.35,6.93,7.66,8.35
2000-01-01,49.62,-120.04,6.74,7.65,8.92,6.74,7.64,8.90,6.74,7.65,8.91
2001-01-01,49.62,-120.04,7.13,7.89,9.15,7.13,7.91,9.16,7.12,7.89,9.15
2002-01-01,49.62,-120.04,7.10,8.32,9.10,7.12,8.33,9.13,7.10,8.34,9.08
2003-01-01,49.62,-120.04,6.42,8.04,9.32,6.42,8.05,9.32,6.43,8.03,9.32
2004-01-01,49.62,-120.04,6.54,7.93,9.17,6.55,7.93,9.18,6.55,7.92,9.17
2005-01-01,49.62,-120.04,7.15,8.16,8.97,7.11,8.16,8.97,7.21,8.14,8.96
2006-01-01,49.62,-120.04,7.07,8.22,8.90,7.20,8.50,9.93,7.54,8.60,9.39
2007-01-01,49.62,-120.04,7.19,8.10,9.34,6.93,7.76,9.26,7.22,8.46,9.84
2008-01-01,49.62,-120.04,6.94,8.02,9.44,6.44,8.18,8.99,6.83,7.93,9.68
2009-01-01,49.62,-120.04,7.30,8.38,9.61,7.45,8.62,9.44,6.89,8.03,9.47
2010-01-01,49.62,-120.04,7.11,8.14,9.80,7.25,8.17,9.70,6.58,8.06,9.18
2011-01-01,49.62,-120.04,6.86,8.23,9.28,6.85,8.49,9.04,7.03,7.97,9.02
2012-01-01,49.62,-120.04,7.74,8.46,9.46,7.45,7.84,8.75,7.02,8.23,9.64
2013-01-01,49.62,-120.04,7.57,8.17,9.75,7.41,7.94,9.04,7.24,8.22,8.80
2014-01-01,49.62,-120.04,7.21,8.29,9.66,6.89,8.17,9.47,7.25,8.09,9.62
2015-01-01,49.62,-120.04,7.40,8.47,10.09,7.71,8.54,9.21,6.98,8.42,9.35
2016-01-01,49.62,-120.04,7.13,8.71,9.96,6.96,7.80,9.38,7.67,8.55,9.58
2017-01-01,49.62,-120.04,6.89,8.41,9.44,7.12,8.50,9.63,8.15,8.80,9.75
2018-01-01,49.62,-120.04,6.93,8.95,10.08,7.12,8.62,9.96,7.09,8.70,9.55
2019-01-01,49.62,-120.04,7.23,8.48,9.69,7.33,8.48,9.69,6.99,8.39,9.43
2020-01-01,49.62,-120.04,7.12,8.43,9.95,6.85,8.21,9.68,7.45,8.71,9.60
2021-01-01,49.62,-120.04,7.21,8.51,9.67,7.70,8.52,9.48,6.74,8.53,9.27
2022-01-01,49.62,-120.04,7.56,8.73,10.60,7.36,8.54,9.83,7.76,8.77,10.14
2023-01-01,49.62,-120.04,7.77,8.84,9.88,7.32,8.97,10.12,7.65,9.15,10.21
2024-01-01,49.62,-120.04,7.56,8.97,9.93,7.88,8.94,9.86,7.86,8.50,10.00
2025-01-01,49.62,-120.04,7.27,8.54,9.65,7.95,8.72,9.49,7.66,9.04,9.80
2026-01-01,49.62,-120.04,7.90,8.97,9.67,7.26,8.97,10.71,7.99,8.76,9.97
2027-01-01,49.62,-120.04,6.77,8.79,10.72,7.25,8.74,9.88,7.75,9.17,9.93
2028-01-01,49.62,-120.04,7.92,8.76,10.03,7.64,9.12,10.10,7.80,8.99,10.87
2029-01-01,49.62,-120.04,7.43,8.83,10.26,7.76,8.69,10.24,8.53,9.27,10.43
2030-01-01,49.62,-120.04,7.89,8.81,10.04,8.26,8.93,9.75,7.85,9.09,10.35
2031-01-01,49.62,-120.04,7.74,8.88,9.85,7.80,8.68,9.94,7.68,8.96,10.14
2032-01-01,49.62,-120.04,7.73,8.82,10.19,7.86,9.04,10.93,7.19,9.07,9.88
2033-01-01,49.62,-120.04,7.57,8.94,10.26,7.64,9.04,10.42,7.82,9.51,10.34
2034-01-01,49.62,-120.04,8.33,9.48,10.33,8.02,9.11,10.57,7.83,9.47,10.91
2035-01-01,49.62,-120.04,8.03,8.81,10.20,7.40,9.19,10.18,8.35,9.58,10.90
2036-01-01,49.62,-120.04,7.85,9.21,10.41,7.54,9.15,10.36,7.83,8.94,10.15
2037-01-01,49.62,-120.04,7.58,8.89,9.93,8.27,9.43,10.76,8.70,9.63,10.76
2038-01-01,49.62,-120.04,7.85,8.97,10.41,8.47,9.03,10.28,8.64,9.52,11.12
2039-01-01,49.62,-120.04,8.10,8.98,10.64,8.05,9.28,9.86,8.33,9.56,11.11
2040-01-01,49.62,-120.04,7.64,9.17,10.60,8.11,9.19,9.84,8.23,9.35,10.42
2041-01-01,49.62,-120.04,7.73,8.69,10.53,7.80,9.13,9.89,8.24,9.47,10.93
2042-01-01,49.62,-120.04,7.82,8.83,10.77,7.91,9.16,10.23,8.03,9.36,10.69
2043-01-01,49.62,-120.04,7.93,9.01,9.85,7.87,9.34,10.78,8.93,9.97,11.42
2044-01-01,49.62,-120.04,7.27,9.03,10.36,7.85,9.51,11.26,8.35,9.27,10.72
2045-01-01,49.62,-120.04,8.53,9.19,10.45,8.01,9.07,11.43,8.40,9.72,11.09
2046-01-01,49.62,-120.04,8.33,9.36,10.38,8.08,9.37,11.04,8.88,9.66,10.99
2047-01-01,49.62,-120.04,7.47,9.20,10.15,8.33,9.83,11.02,9.08,9.91,11.20
2048-01-01,49.62,-120.04,7.52,9.30,10.63,8.15,9.34,10.92,8.84,10.17,11.48
2049-01-01,49.62,-120.04,7.45,9.01,10.71,8.14,9.81,11.13,8.74,10.48,11.23
2050-01-01,49.62,-120.04,7.51,8.97,10.09,8.67,9.58,10.72,8.35,10.05,11.50
2051-01-01,49.62,-120.04,8.03,9.07,10.48,8.35,10.11,10.58,9.06,10.11,11.48
2052-01-01,49.62,-120.04,7.82,9.29,11.12,9.17,10.06,11.73,8.59,10.05,11.75
2053-01-01,49.62,-120.04,7.73,8.77,10.70,8.80,10.39,11.38,9.17,10.52,11.82
2054-01-01,49.62,-120.04,7.83,9.54,10.43,8.16,9.57,11.14,9.32,10.35,11.25
2055-01-01,49.62,-120.04,7.85,9.67,11.47,8.44,10.08,11.27,9.11,10.54,11.95
2056-01-01,49.62,-120.04,8.39,9.50,10.90,8.27,9.44,11.05,9.39,10.78,11.76
2057-01-01,49.62,-120.04,8.11,9.53,10.81,8.06,9.69,10.81,9.15,10.36,11.93
2058-01-01,49.62,-120.04,7.67,9.20,10.45,8.69,10.56,11.40,9.46,10.67,12.29
2059-01-01,49.62,-120.04,8.03,9.20,10.84,8.13,10.28,11.73,9.77,11.26,12.53
2060-01-01,49.62,-120.04,8.50,9.62,10.57,8.61,10.24,11.12,9.50,10.78,12.30
2061-01-01,49.62,-120.04,8.29,9.47,10.40,8.88,10.00,10.82,8.68,11.18,12.33
2062-01-01,49.62,-120.04,8.20,9.01,10.67,8.29,10.36,11.59,9.52,10.60,12.85
2063-01-01,49.62,-120.04,7.93,9.21,10.38,8.31,10.30,11.40,9.11,11.00,13.11
2064-01-01,49.62,-120.04,7.78,9.09,10.23,8.77,10.42,11.63,9.56,11.06,12.79
2065-01-01,49.62,-120.04,8.14,8.67,10.35,8.88,9.87,11.91,9.32,11.38,13.05
2066-01-01,49.62,-120.04,8.33,8.93,10.30,9.47,10.18,11.32,9.69,11.86,13.35
2067-01-01,49.62,-120.04,7.76,8.93,10.54,9.02,9.81,11.77,9.63,11.94,13.60
2068-01-01,49.62,-120.04,7.87,8.86,10.25,8.48,10.32,11.48,10.11,11.83,13.04
2069-01-01,49.62,-120.04,8.03,9.38,10.72,8.71,9.70,11.49,10.85,12.16,13.26
2070-01-01,49.62,-120.04,7.92,9.28,10.63,9.06,9.90,11.76,9.68,11.42,12.74
2071-01-01,49.62,-120.04,8.22,9.22,10.26,9.67,10.57,11.73,9.70,11.56,12.89
2072-01-01,49.62,-120.04,7.42,8.91,10.29,8.72,10.39,12.35,9.35,11.64,13.38
2073-01-01,49.62,-120.04,8.19,9.18,10.76,9.16,10.25,11.95,10.23,11.89,13.03
2074-01-01,49.62,-120.04,8.49,9.59,10.55,8.56,9.89,11.88,9.98,11.44,12.75
2075-01-01,49.62,-120.04,7.85,9.52,10.51,8.94,10.30,11.17,10.55,12.34,13.17
2076-01-01,49.62,-120.04,8.34,9.01,10.92,8.98,10.61,11.65,10.79,11.94,13.80
2077-01-01,49.62,-120.04,7.75,9.04,10.14,8.74,10.50,11.51,10.46,11.92,13.51
2078-01-01,49.62,-120.04,7.31,9.02,10.17,8.56,10.94,11.91,10.36,12.05,14.02
2079-01-01,49.62,-120.04,7.74,9.01,10.25,8.95,10.79,12.18,10.16,12.04,14.00
2080-01-01,49.62,-120.04,7.68,9.11,10.33,8.93,10.36,11.58,10.54,11.93,14.22
2081-01-01,49.62,-120.04,8.31,9.23,10.42,9.19,10.25,12.40,10.68,12.17,14.22
2082-01-01,49.62,-120.04,8.21,9.37,10.49,9.10,10.16,11.52,10.99,12.84,14.11
2083-01-01,49.62,-120.04,7.66,9.32,10.52,8.36,10.55,11.85,9.98,12.80,14.38
2084-01-01,49.62,-120.04,7.72,9.26,10.31,8.65,10.89,12.16,10.54,12.44,14.10
2085-01-01,49.62,-120.04,8.34,9.29,10.67,8.43,10.41,11.86,10.62,12.68,14.10
2086-01-01,49.62,-120.04,8.06,9.37,10.39,8.97,9.80,12.19,11.36,12.74,14.19
2087-01-01,49.62,-120.04,8.08,9.10,10.69,7.88,10.13,11.73,11.35,12.90,14.23
2088-01-01,49.62,-120.04,7.97,9.51,10.76,8.92,10.18,11.90,10.60,12.75,14.29
2089-01-01,49.62,-120.04,8.29,9.40,10.48,8.80,10.53,12.20,11.46,13.15,14.55
2090-01-01,49.62,-120.04,7.87,8.91,10.44,9.21,10.58,12.07,11.72,12.76,14.79
2091-01-01,49.62,-120.04,8.09,9.28,10.33,9.14,10.26,11.35,11.16,13.17,15.06
2092-01-01,49.62,-120.04,8.02,8.86,10.08,8.82,10.72,12.33,11.39,13.05,14.56
2093-01-01,49.62,-120.04,8.25,9.26,10.51,8.84,10.22,11.28,11.58,13.17,14.50
2094-01-01,49.62,-120.04,7.59,9.48,10.45,8.94,10.25,11.35,11.15,13.33,14.67
2095-01-01,49.62,-120.04,7.99,9.57,10.44,9.66,10.72,11.78,11.10,12.82,14.72
2096-01-01,49.62,-120.04,7.86,9.00,10.68,9.22,10.76,11.94,11.70,13.38,14.87
2097-01-01,49.62,-120.04,8.37,9.56,10.56,8.96,10.56,12.44,12.13,13.71,15.58
2098-01-01,49.62,-120.04,7.58,8.91,10.69,9.10,10.91,11.62,11.28,13.88,15.70
2099-01-01,49.62,-120.04,8.11,9.54,10.74,9.19,10.90,12.48,11.23,13.50,15.98
2100-01-01,49.62,-120.04,7.73,9.59,10.28,8.97,10.74,11.74,11.83,14.14,15.88
1950-01-01,49.62,-118.54,5.93,6.96,7.98,5.93,6.96,7.98,5.93,6.96,7.98
1951-01-01,49.62,-118.54,5.84,7.04,8.15,5.84,7.04,8.15,5.84,7.04,8.15
1952-01-01,49.62,-118.54,5.50,6.42,7.33,5.50,6.42,7.33,5.50,6.42,7.33
1953-01-01,49.62,-118.54,5.75,6.56,7.40,5.75,6.56,7.40,5.75,6.56,7.40
1954-01-01,49.62,-118.54,5.68,6.58,7.77,5.68,6.58,7.77,5.68,6.58,7.77
1955-01-01,49.62,-118.54,5.52,6.89,7.75,5.52,6.89,7.75,5.52,6.89,7.75
