time,lat,lon,rcp26_tnlt_-15_p10,rcp26_tnlt_-15_p50,rcp26_tnlt_-15_p90,rcp45_tnlt_-15_p10,rcp45_tnlt_-15_p50,rcp45_tnlt_-15_p90,rcp85_tnlt_-15_p10,rcp85_tnlt_-15_p50,rcp85_tnlt_-15_p90
1950-01-01,49.62,-120.04,7.20,20.50,36.20,7.20,20.50,36.20,7.80,20.50,36.20
1951-01-01,49.62,-120.04,7.30,19.00,36.20,7.30,19.00,36.20,7.30,19.00,36.20
1952-01-01,49.62,-120.04,16.30,23.50,36.70,16.30,23.50,36.70,16.30,23.50,36.70
1953-01-01,49.62,-120.04,9.30,20.50,33.10,9.30,20.50,33.10,10.00,20.50,33.10
1954-01-01,49.62,-120.04,9.20,19.00,29.70,9.20,19.00,29.70,9.20,19.00,30.00
1955-01-01,49.62,-120.04,9.00,23.00,38.10,9.00,23.00,38.10,9.90,23.00,38.10
1956-01-01,49.62,-120.04,10.90,21.50,34.70,10.90,21.50,34.70,10.90,21.50,34.70
1957-01-01,49.62,-120.04,11.00,23.50,34.90,11.00,23.50,34.90,11.00,23.50,35.20
1958-01-01,49.62,-120.04,13.30,22.00,31.40,13.30,22.00,31.40,13.30,22.00,31.40
1959-01-01,49.62,-120.04,12.90,21.00,37.00,12.90,21.00,37.00,12.90,21.00,37.70
1960-01-01,49.62,-120.04,12.00,23.00,42.90,12.00,23.00,42.90,12.00,23.00,42.90
1961-01-01,49.62,-120.04,9.60,20.00,33.10,9.60,20.00,33.10,9.60,20.00,33.10
1962-01-01,49.62,-120.04,8.00,18.50,32.00,8.00,18.50,32.00,8.00,18.50,32.00
1963-01-01,49.62,-120.04,6.50,20.00,31.40,6.50,20.00,31.40,6.50,20.00,31.40
1964-01-01,49.62,-120.04,15.00,24.50,38.00,15.00,24.50,38.00,15.00,24.50,38.00
1965-01-01,49.62,-120.04,12.30,21.00,34.10,12.30,21.00,34.10,12.30,21.00,34.10
1966-01-01,49.62,-120.04,12.30,25.00,39.70,12.30,25.00,39.70,13.30,25.00,39.70
1967-01-01,49.62,-120.04,8.50,22.00,35.80,8.50,22.00,35.80,8.50,22.00,35.80
1968-01-01,49.62,-120.04,12.20,23.00,39.70,12.20,23.00,39.70,15.00,23.00,39.70
1969-01-01,49.62,-120.04,12.30,21.50,36.00,12.30,21.50,36.00,12.30,21.50,36.00
1970-01-01,49.62,-120.04,11.00,21.00,40.10,11.00,21.00,40.10,11.30,21.00,40.10
1971-01-01,49.62,-120.04,11.90,25.00,34.80,11.90,25.00,34.80,11.90,25.50,34.80
