time,lat,lon,rcp26_tn_mean_p10,rcp26_tn_mean_p50,rcp26_tn_mean_p90,rcp45_tn_mean_p10,rcp45_tn_mean_p50,rcp45_tn_mean_p90,rcp85_tn_mean_p10,rcp85_tn_mean_p50,rcp85_tn_mean_p90
1950-01-01,49.62,-120.04,-3.83,-2.79,-1.49,-3.83,-2.79,-1.49,-3.83,-2.79,-1.65
1951-01-01,49.62,-120.04,-3.65,-2.61,-1.44,-3.65,-2.61,-1.44,-3.65,-2.62,-1.44
1952-01-01,49.62,-120.04,-4.01,-2.86,-2.26,-4.01,-2.86,-2.26,-4.01,-2.90,-2.26
1953-01-01,49.62,-120.04,-3.61,-2.99,-1.87,-3.61,-2.99,-1.87,-3.61,-2.99,-1.92
1954-01-01,49.62,-120.04,-3.45,-3.01,-1.73,-3.45,-3.01,-1.73,-3.54,-3.07,-1.73
1955-01-01,49.62,-120.04,-4.04,-2.96,-2.24,-4.04,-2.96,-2.24,-4.04,-2.96,-2.36
1956-01-01,49.62,-120.04,-3.91,-2.98,-2.01,-3.91,-2.98,-2.01,-3.91,-2.98,-2.04
1957-01-01,49.62,-120.04,-4.09,-3.00,-1.65,-4.09,-3.00,-1.65,-4.09,-3.07,-1.65
1958-01-01,49.62,-120.04,-3.72,-3.04,-2.44,-3.72,-3.04,-2.44,-3.78,-3.04,-2.44
1959-01-01,49.62,-120.04,-3.81,-3.19,-1.82,-3.81,-3.19,-1.82,-3.90,-3.19,-1.82
1960-01-01,49.62,-120.04,-4.01,-2.94,-2.03,-4.01,-2.94,-2.03,-4.01,-2.94,-2.26
1961-01-01,49.62,-120.04,-3.66,-2.64,-1.88,-3.66,-2.64,-1.88,-3.66,-2.64,-1.88
1962-01-01,49.62,-120.04,-3.93,-2.83,-1.95,-3.93,-2.83,-1.95,-3.93,-2.83,-1.97
1963-01-01,49.62,-120.04,-3.52,-2.82,-2.09,-3.52,-2.82,-2.09,-3.52,-2.82,-2.09
1964-01-01,49.62,-120.04,-4.64,-3.15,-2.42,-4.64,-3.15,-2.42,-4.64,-3.15,-2.52
1965-01-01,49.62,-120.04,-3.99,-3.11,-2.37,-3.99,-3.11,-2.37,-4.18,-3.11,-2.37
1966-01-01,49.62,-120.04,-4.04,-3.39,-2.15,-4.04,-3.39,-2.15,-4.04,-3.39,-2.29
1967-01-01,49.62,-120.04,-4.09,-2.99,-1.88,-4.09,-2.99,-1.88,-4.09,-2.99,-2.01
1968-01-01,49.62,-120.04,-4.38,-3.20,-2.40,-4.38,-3.20,-2.40,-4.38,-3.20,-2.42
1969-01-01,49.62,-120.04,-3.88,-3.18,-2.16,-3.88,-3.18,-2.16,-3.88,-3.18,-2.16
1970-01-01,49.62,-120.04,-4.10,-3.01,-2.00,-4.10,-3.01,-2.00,-4.10,-3.04,-2.00
1971-01-01,49.62,-120.04,-3.74,-3.10,-2.01,-3.74,-3.10,-2.01,-3.74,-3.10,-2.03
1972-01-01,49.62,-120.04,-4.16,-2.97,-2.33,-4.16,-2.97,-2.33,-4.16,-2.97,-2.40
1973-01-01,49.62,-120.04,-4.04,-2.93,-2.09,-4.04,-2.93,-2.09,-4.04,-2.93,-2.18
1974-01-01,49.62,-120.04,-4.02,-2.73,-1.95,-4.02,-2.73,-1.95,-4.02,-2.73,-2.01
1975-01-01,49.62,-120.04,-3.70,-2.80,-2.01,-3.70,-2.80,-2.01,-3.70,-2.80,-2.01
