time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-120.04,49.62,543.16,600.95,765.28,539.74,604.02,760.01,542.87,604.12,767.89
1951-01-01,-120.04,49.62,560.14,625.65,755.06,560.15,625.64,755.64,560.14,625.87,755.42
1952-01-01,-120.04,49.62,506.58,639.49,726.51,506.58,637.59,726.28,506.58,636.77,726.57
1953-01-01,-120.04,49.62,570.92,668.31,742.09,570.92,667.05,740.21,570.92,666.11,738.52
1954-01-01,-120.04,49.62,537.10,623.10,747.81,537.57,623.10,747.81,537.57,623.10,747.81
1955-01-01,-120.04,49.62,500.91,590.71,713.97,500.91,590.70,714.93,500.91,590.70,706.68
1956-01-01,-120.04,49.62,492.68,615.81,786.26,491.42,615.81,786.25,491.69,615.81,786.26
1957-01-01,-120.04,49.62,520.81,661.34,756.72,520.81,661.92,756.72,520.81,661.76,756.71
1958-01-01,-120.04,49.62,521.53,647.63,751.59,522.24,647.63,748.52,522.24,647.63,744.18
1959-01-01,-120.04,49.62,536.11,633.86,810.45,535.18,633.86,810.46,535.18,633.86,810.45
1960-01-01,-120.04,49.62,574.86,682.95,779.34,572.77,682.45,779.34,575.27,683.93,779.34
1961-01-01,-120.04,49.62,578.33,646.01,799.68,578.33,646.01,794.82,578.33,646.01,793.63
1962-01-01,-120.04,49.62,550.33,635.67,794.05,550.33,636.77,794.04,550.33,637.41,794.05
1963-01-01,-120.04,49.62,583.23,642.39,783.27,587.11,641.67,785.60,583.96,641.66,780.66
1964-01-01,-120.04,49.62,458.68,613.91,743.60,458.48,613.91,743.93,458.15,613.91,743.93
1965-01-01,-120.04,49.62,528.79,626.37,714.20,528.79,628.21,719.61,528.79,628.20,716.99
1966-01-01,-120.04,49.62,539.78,621.67,727.12,539.82,621.22,729.08,539.16,622.29,720.02
1967-01-01,-120.04,49.62,529.79,640.58,748.80,529.79,639.99,751.11,529.79,639.56,752.18
1968-01-01,-120.04,49.62,540.38,671.80,776.71,540.69,671.68,776.70,541.96,671.69,776.70
1969-01-01,-120.04,49.62,529.30,648.85,746.61,526.89,649.46,747.99,524.88,649.46,747.45
1970-01-01,-120.04,49.62,519.26,638.92,751.84,519.11,636.77,751.64,519.87,636.58,751.65
1971-01-01,-120.04,49.62,509.05,615.82,778.01,507.32,615.82,778.01,506.66,615.82,778.01
1972-01-01,-120.04,49.62,582.96,667.22,765.68,582.86,667.23,764.22,581.58,667.23,764.21
1973-01-01,-120.04,49.62,571.84,653.35,724.52,572.72,653.35,726.65,571.84,653.35,725.59
1974-01-01,-120.04,49.62,530.25,611.74,803.06,530.26,612.10,803.90,530.26,612.91,802.90
1975-01-01,-120.04,49.62,611.08,652.61,774.03,610.55,651.57,775.54,610.07,651.58,782.74
1976-01-01,-120.04,49.62,551.56,628.58,720.39,552.70,628.58,721.17,552.91,628.58,722.96
1977-01-01,-120.04,49.62,552.30,647.97,717.18,552.71,647.97,717.17,552.86,647.97,717.17
1978-01-01,-120.04,49.62,530.46,621.81,776.19,530.38,621.81,776.19,530.38,621.80,776.19
1979-01-01,-120.04,49.62,556.64,621.89,732.01,556.64,619.29,730.94,556.58,623.70,730.94
1980-01-01,-120.04,49.62,503.55,623.40,802.59,500.92,621.83,801.57,504.15,620.23,801.47
1981-01-01,-120.04,49.62,565.27,652.28,748.16,564.75,654.13,750.76,566.22,655.61,750.03
1982-01-01,-120.04,49.62,482.73,636.96,756.69,481.04,639.11,760.78,485.36,638.80,761.16
1983-01-01,-120.04,49.62,578.57,674.95,762.26,578.92,676.31,761.94,581.09,674.75,772.74
1984-01-01,-120.04,49.62,521.87,635.88,744.78,523.49,633.75,748.13,525.40,636.32,749.51
1985-01-01,-120.04,49.62,542.26,638.19,731.61,540.52,639.13,733.37,542.90,637.20,733.97
1986-01-01,-120.04,49.62,540.02,681.89,790.80,535.41,681.81,789.47,531.78,685.52,789.91
1987-01-01,-120.04,49.62,525.50,634.67,768.86,524.10,636.79,763.94,528.29,636.49,767.84
1988-01-01,-120.04,49.62,521.31,649.12,785.50,526.88,648.95,782.38,524.60,644.57,780.23
1989-01-01,-120.04,49.62,551.32,626.66,723.27,554.26,626.47,724.94,550.44,623.74,723.13
1990-01-01,-120.04,49.62,572.55,654.98,812.55,572.89,652.96,812.62,570.51,658.78,812.99
1991-01-01,-120.04,49.62,595.33,650.64,747.57,596.92,651.54,748.20,596.78,654.93,749.08
1992-01-01,-120.04,49.62,557.14,650.74,745.71,559.42,651.14,745.57,559.47,654.56,741.07
1993-01-01,-120.04,49.62,558.38,644.47,712.24,557.51,647.60,710.39,558.48,646.99,719.30
1994-01-01,-120.04,49.62,558.62,628.79,764.01,557.95,634.85,764.51,558.26,631.10,764.72
1995-01-01,-120.04,49.62,515.50,629.66,756.50,514.05,631.84,755.08,515.56,633.48,756.30
1996-01-01,-120.04,49.62,558.61,667.00,785.74,560.49,666.34,785.50,559.95,666.95,786.46
1997-01-01,-120.04,49.62,530.74,655.54,807.86,531.46,659.35,807.00,535.79,655.95,808.61
1998-01-01,-120.04,49.62,512.79,623.62,722.88,509.49,630.39,725.50,509.25,631.67,721.70
1999-01-01,-120.04,49.62,543.93,646.31,766.70,543.32,646.63,765.20,545.33,644.79,765.48
2000-01-01,-120.04,49.62,565.21,678.46,819.96,569.59,676.12,821.17,565.82,676.05,822.52
2001-01-01,-120.04,49.62,520.26,613.59,761.31,524.53,613.05,766.68,522.04,614.95,766.25
2002-01-01,-120.04,49.62,570.71,645.12,775.98,572.56,642.80,777.66,569.03,640.58,776.80
2003-01-01,-120.04,49.62,547.43,630.66,727.61,545.70,634.11,732.67,545.52,634.46,730.50
2004-01-01,-120.04,49.62,469.71,631.90,749.89,468.31,631.29,751.20,469.41,630.29,750.05
2005-01-01,-120.04,49.62,522.79,668.51,780.37,519.44,669.33,759.79,520.35,668.10,778.03
2006-01-01,-120.04,49.62,534.82,633.86,758.23,534.56,648.43,748.66,560.66,653.86,735.65
2007-01-01,-120.04,49.62,554.47,634.10,794.62,534.17,643.62,812.20,516.86,655.87,776.34
2008-01-01,-120.04,49.62,555.22,688.12,737.58,518.73,605.70,708.20,495.67,625.70,783.92
2009-01-01,-120.04,49.62,539.67,655.60,757.17,533.18,624.08,742.43,594.49,671.93,764.19
2010-01-01,-120.04,49.62,564.59,644.59,736.28,499.82,629.90,763.90,526.22,624.79,760.71
2011-01-01,-120.04,49.62,552.47,646.29,708.12,577.32,699.04,811.32,536.45,618.70,814.53
2012-01-01,-120.04,49.62,563.48,643.03,714.94,510.78,649.24,837.32,541.72,650.47,817.59
2013-01-01,-120.04,49.62,539.26,627.74,747.79,510.78,609.41,754.29,553.72,622.22,760.03
2014-01-01,-120.04,49.62,572.07,682.79,791.95,570.32,653.35,766.10,543.61,677.70,808.83
2015-01-01,-120.04,49.62,537.84,625.09,762.80,512.20,645.67,793.02,539.84,621.14,775.73
2016-01-01,-120.04,49.62,555.82,659.15,795.33,543.35,678.96,777.15,546.53,683.71,814.52
2017-01-01,-120.04,49.62,544.92,636.80,746.11,537.15,691.11,803.73,537.43,687.65,767.39
2018-01-01,-120.04,49.62,540.01,656.83,791.01,510.18,616.50,742.34,485.64,673.73,798.80
2019-01-01,-120.04,49.62,559.88,668.13,751.83,565.74,652.99,779.05,555.27,668.98,734.21
2020-01-01,-120.04,49.62,558.50,666.19,751.13,551.77,662.85,756.06,543.67,608.28,751.28
2021-01-01,-120.04,49.62,555.70,637.46,734.21,560.80,648.59,838.48,521.58,632.69,834.32
2022-01-01,-120.04,49.62,527.41,616.38,801.29,541.63,675.07,769.61,535.87,689.53,839.21
2023-01-01,-120.04,49.62,523.14,637.31,733.48,553.28,660.52,802.02,523.50,607.38,778.63
2024-01-01,-120.04,49.62,545.46,655.01,850.18,589.58,669.71,815.92,537.84,649.37,727.23
2025-01-01,-120.04,49.62,573.68,671.41,740.03,537.06,669.08,770.17,552.33,652.50,784.68
2026-01-01,-120.04,49.62,558.20,659.55,774.30,576.81,658.95,824.00,579.42,662.17,780.98
2027-01-01,-120.04,49.62,607.55,693.24,766.43,529.42,639.99,762.05,586.44,641.37,792.06
2028-01-01,-120.04,49.62,506.04,666.69,765.59,622.47,698.81,776.22,573.14,675.87,810.71
2029-01-01,-120.04,49.62,570.83,646.40,770.24,546.34,647.72,755.62,610.28,710.07,798.32
2030-01-01,-120.04,49.62,562.49,665.63,866.00,546.09,640.34,768.15,539.62,673.20,792.26
2031-01-01,-120.04,49.62,526.40,677.03,788.66,579.75,654.61,774.65,531.06,634.38,777.99
2032-01-01,-120.04,49.62,575.69,678.26,786.72,542.94,703.08,796.62,581.12,663.85,780.10
2033-01-01,-120.04,49.62,542.09,696.43,823.58,576.97,659.99,779.28,550.21,641.76,793.43
2034-01-01,-120.04,49.62,490.48,617.98,755.66,569.96,688.01,787.76,548.88,624.59,792.74
2035-01-01,-120.04,49.62,546.46,662.02,816.52,572.81,687.11,760.86,560.71,667.94,817.60
2036-01-01,-120.04,49.62,559.90,694.78,762.55,496.64,596.85,793.50,550.87,690.48,798.52
2037-01-01,-120.04,49.62,566.85,656.09,837.24,559.85,637.20,801.84,542.41,651.40,779.63
2038-01-01,-120.04,49.62,608.50,719.87,787.96,565.85,665.43,838.43,570.12,663.56,740.03
2039-01-01,-120.04,49.62,603.56,700.18,758.42,562.69,700.40,769.60,558.79,704.70,806.42
2040-01-01,-120.04,49.62,550.81,648.98,821.71,573.74,652.43,798.93,502.12,646.33,831.13
2041-01-01,-120.04,49.62,522.70,653.97,770.45,528.18,660.50,782.88,558.93,689.93,799.54
2042-01-01,-120.04,49.62,577.51,652.26,806.79,520.04,640.46,786.96,558.51,663.94,810.16
2043-01-01,-120.04,49.62,580.82,672.69,814.25,457.21,623.93,720.54,532.74,674.95,804.15
2044-01-01,-120.04,49.62,585.39,669.50,890.89,563.13,689.53,750.94,604.42,690.73,849.73
2045-01-01,-120.04,49.62,552.47,688.92,851.69,501.91,672.71,850.19,535.59,675.54,796.44
2046-01-01,-120.04,49.62,579.29,683.71,825.78,628.80,730.26,836.45,566.86,687.46,778.77
2047-01-01,-120.04,49.62,607.69,694.11,773.52,577.24,699.10,828.71,531.48,687.83,769.51
2048-01-01,-120.04,49.62,594.53,705.18,827.63,561.45,646.75,738.96,539.91,690.21,797.69
2049-01-01,-120.04,49.62,577.82,669.15,817.20,556.43,666.64,834.36,541.67,691.09,843.69
2050-01-01,-120.04,49.62,568.38,681.45,841.90,539.99,665.02,841.49,590.35,666.30,764.37
