time,lat,lon,rcp26_tn_min_p10,rcp26_tn_min_p50,rcp26_tn_min_p90,rcp45_tn_min_p10,rcp45_tn_min_p50,rcp45_tn_min_p90,rcp85_tn_min_p10,rcp85_tn_min_p50,rcp85_tn_min_p90
1950-01-01,58.96,-129.71,-48.03,-43.87,-39.05,-48.03,-43.87,-39.05,-48.03,-43.87,-39.05
1951-01-01,58.96,-129.71,-49.81,-45.34,-39.30,-49.81,-45.34,-39.30,-49.81,-45.34,-39.30
1952-01-01,58.96,-129.71,-50.27,-45.69,-42.65,-50.27,-45.69,-42.65,-49.97,-45.69,-42.65
1953-01-01,58.96,-129.71,-49.25,-45.54,-40.70,-49.25,-45.54,-40.70,-49.25,-45.27,-40.70
1954-01-01,58.96,-129.71,-48.46,-44.52,-39.96,-48.46,-44.52,-39.96,-48.46,-44.52,-39.96
1955-01-01,58.96,-129.71,-50.21,-46.66,-38.11,-50.21,-46.66,-38.11,-50.21,-46.66,-39.08
1956-01-01,58.96,-129.71,-48.77,-44.26,-40.44,-48.77,-44.26,-40.44,-48.77,-44.26,-40.44
1957-01-01,58.96,-129.71,-49.54,-44.68,-39.19,-49.54,-44.68,-39.19,-49.25,-44.68,-39.19
1958-01-01,58.96,-129.71,-49.10,-44.18,-41.25,-49.10,-44.18,-41.25,-49.10,-44.18,-41.25
1959-01-01,58.96,-129.71,-48.92,-42.65,-40.58,-48.92,-42.65,-40.58,-48.92,-42.75,-40.58
1960-01-01,58.96,-129.71,-48.63,-45.62,-40.48,-48.63,-45.62,-40.48,-48.63,-45.62,-40.48
1961-01-01,58.96,-129.71,-48.63,-45.07,-39.33,-48.63,-45.07,-39.33,-48.63,-45.07,-39.33
1962-01-01,58.96,-129.71,-49.20,-44.68,-39.81,-49.20,-44.68,-39.81,-49.20,-44.68,-39.81
1963-01-01,58.96,-129.71,-48.57,-43.63,-41.08,-48.57,-43.63,-41.08,-48.57,-43.63,-41.17
1964-01-01,58.96,-129.71,-47.60,-44.69,-39.44,-47.60,-44.69,-39.44,-47.52,-44.69,-39.44
1965-01-01,58.96,-129.71,-49.19,-44.43,-37.47,-49.19,-44.43,-37.47,-49.35,-44.43,-37.47
1966-01-01,58.96,-129.71,-48.01,-44.51,-38.73,-48.01,-44.51,-38.73,-48.01,-44.51,-38.73
1967-01-01,58.96,-129.71,-48.23,-44.80,-37.85,-48.23,-44.80,-37.85,-48.23,-44.80,-37.85
1968-01-01,58.96,-129.71,-48.55,-45.01,-39.65,-48.55,-45.01,-39.65,-48.63,-45.01,-39.65
1969-01-01,58.96,-129.71,-48.98,-44.12,-39.52,-48.98,-44.12,-39.52,-48.98,-44.12,-39.52
1970-01-01,58.96,-129.71,-49.43,-43.81,-39.84,-49.43,-43.81,-39.84,-49.43,-43.81,-39.84
1971-01-01,58.96,-129.71,-48.53,-44.59,-38.62,-48.53,-44.59,-38.62,-48.18,-44.59,-38.62
