time,lat,lon,rcp26_gddgrow_5_p10,rcp26_gddgrow_5_p50,rcp26_gddgrow_5_p90,rcp45_gddgrow_5_p10,rcp45_gddgrow_5_p50,rcp45_gddgrow_5_p90,rcp85_gddgrow_5_p10,rcp85_gddgrow_5_p50,rcp85_gddgrow_5_p90
1950-01-01,58.96,-129.71,243.56,399.70,537.87,243.56,400.34,538.60,243.56,400.89,538.60
1951-01-01,58.96,-129.71,314.64,408.04,509.69,314.64,406.94,509.69,305.37,407.79,509.69
1952-01-01,58.96,-129.71,268.56,365.21,480.09,268.78,364.58,480.09,269.22,364.58,480.10
1953-01-01,58.96,-129.71,204.78,317.70,420.71,206.33,317.70,420.71,205.57,317.70,420.71
1954-01-01,58.96,-129.71,270.71,348.11,500.33,270.71,348.11,500.33,270.71,348.11,500.33
1955-01-01,58.96,-129.71,249.11,335.50,420.70,249.11,335.50,420.70,249.11,332.08,420.70
1956-01-01,58.96,-129.71,223.30,336.00,447.43,223.49,336.00,447.43,223.45,336.00,447.43
1957-01-01,58.96,-129.71,231.33,356.76,577.64,230.62,355.87,577.47,230.25,351.35,577.90
1958-01-01,58.96,-129.71,255.61,325.65,544.13,255.61,327.11,544.13,255.61,327.11,544.13
1959-01-01,58.96,-129.71,251.68,354.67,540.46,251.68,354.67,541.13,251.68,354.67,540.75
1960-01-01,58.96,-129.71,273.38,352.77,614.30,273.38,352.77,615.18,273.38,352.83,615.18
1961-01-01,58.96,-129.71,284.99,397.22,566.80,284.99,397.22,566.80,284.99,397.22,566.80
1962-01-01,58.96,-129.71,182.27,348.65,468.91,182.89,349.34,468.91,181.43,349.37,468.91
1963-01-01,58.96,-129.71,201.40,318.77,505.01,202.39,318.77,505.01,201.81,318.77,505.01
1964-01-01,58.96,-129.71,149.54,295.86,515.06,148.75,295.86,513.83,149.26,295.86,514.14
1965-01-01,58.96,-129.71,220.48,300.71,468.57,219.95,300.45,468.57,219.95,300.98,468.57
1966-01-01,58.96,-129.71,236.49,330.67,522.63,236.49,330.83,522.63,236.48,331.09,522.67
1967-01-01,58.96,-129.71,250.22,353.25,439.21,250.48,353.26,439.21,250.02,353.25,439.21
1968-01-01,58.96,-129.71,194.90,336.53,430.23,194.83,336.97,430.22,195.10,336.44,430.22
