time,lat,lon,rcp26_tx_max_p10,rcp26_tx_max_p50,rcp26_tx_max_p90,rcp45_tx_max_p10,rcp45_tx_max_p50,rcp45_tx_max_p90,rcp85_tx_max_p10,rcp85_tx_max_p50,rcp85_tx_max_p90
1950-01-01,58.96,-129.71,21.91,23.71,29.54,21.91,23.71,29.54,21.91,23.71,29.54
1951-01-01,58.96,-129.71,22.04,23.77,26.50,22.04,23.77,26.50,22.04,23.77,26.50
1952-01-01,58.96,-129.71,20.91,23.71,27.89,20.91,23.71,27.89,20.91,23.71,27.89
1953-01-01,58.96,-129.71,19.37,23.15,26.87,19.37,23.15,26.87,19.37,23.15,26.87
1954-01-01,58.96,-129.71,20.43,22.85,26.82,20.43,22.85,26.82,20.43,22.85,26.82
1955-01-01,58.96,-129.71,22.04,23.31,26.24,22.04,23.31,26.24,22.04,23.31,26.24
1956-01-01,58.96,-129.71,18.91,23.45,26.53,18.91,23.45,26.53,18.91,23.45,26.53
1957-01-01,58.96,-129.71,21.13,22.88,26.96,21.13,22.88,26.96,21.13,22.88,26.96
1958-01-01,58.96,-129.71,21.24,22.82,26.03,21.24,22.82,26.03,21.24,22.82,26.03
1959-01-01,58.96,-129.71,21.49,24.80,27.12,21.49,24.80,27.12,21.49,24.80,27.12
1960-01-01,58.96,-129.71,20.40,23.68,27.70,20.40,23.68,27.70,20.40,23.68,27.70
1961-01-01,58.96,-129.71,21.26,24.11,25.97,21.26,24.11,25.97,21.26,24.11,25.97
1962-01-01,58.96,-129.71,20.27,23.40,27.68,20.27,23.40,27.68,20.27,23.40,27.68
1963-01-01,58.96,-129.71,20.45,22.41,26.03,20.45,22.41,26.03,20.45,22.41,26.02
1964-01-01,58.96,-129.71,19.14,22.32,27.19,19.14,22.32,27.19,19.14,22.32,27.19
1965-01-01,58.96,-129.71,19.52,22.68,26.13,19.52,22.68,26.13,19.52,22.68,26.13
1966-01-01,58.96,-129.71,20.76,22.83,26.49,20.76,22.83,26.49,20.76,22.83,26.49
1967-01-01,58.96,-129.71,20.25,24.29,26.16,20.25,24.29,26.16,20.25,24.29,26.16
1968-01-01,58.96,-129.71,19.27,23.66,26.73,19.27,23.66,26.73,19.27,23.66,26.73
1969-01-01,58.96,-129.71,20.08,22.88,25.68,20.08,22.88,25.68,20.08,22.88,25.68
1970-01-01,58.96,-129.71,20.82,23.76,26.68,20.82,23.76,26.68,20.82,23.76,26.68
1971-01-01,58.96,-129.71,20.47,23.02,24.71,20.47,23.02,24.71,20.47,23.02,24.71
1972-01-01,58.96,-129.71,21.05,23.16,27.34,21.05,23.16,27.34,21.05,23.16,27.34
1973-01-01,58.96,-129.71,20.72,23.10,27.65,20.72,23.10,27.65,20.72,23.10,27.65
1974-01-01,58.96,-129.71,21.32,22.79,27.87,21.32,22.79,27.87,21.32,22.79,27.87
1975-01-01,58.96,-129.71,19.95,23.99,26.96,19.95,23.99,26.96,19.95,23.99,26.96
1976-01-01,58.96,-129.71,21.15,23.83,27.52,21.15,23.83,27.52,21.15,23.83,27.52
