time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,58.96,-129.71,-5.63,-4.00,-2.61,-5.63,-4.00,-2.61,-5.63,-4.00,-2.61
1951-01-01,58.96,-129.71,-5.40,-3.99,-2.62,-5.40,-3.99,-2.62,-5.40,-3.99,-2.62
1952-01-01,58.96,-129.71,-5.95,-4.76,-2.76,-5.95,-4.76,-2.76,-5.95,-4.76,-2.76
1953-01-01,58.96,-129.71,-6.27,-4.47,-3.13,-6.27,-4.47,-3.13,-6.27,-4.47,-3.19
1954-01-01,58.96,-129.71,-5.40,-4.02,-3.02,-5.40,-4.02,-3.02,-5.41,-4.02,-3.02
1955-01-01,58.96,-129.71,-5.81,-4.67,-2.92,-5.81,-4.67,-2.92,-5.81,-4.67,-3.02
1956-01-01,58.96,-129.71,-5.48,-4.13,-2.84,-5.48,-4.13,-2.84,-5.48,-4.13,-2.86
1957-01-01,58.96,-129.71,-6.21,-4.55,-2.82,-6.21,-4.55,-2.82,-6.21,-4.64,-2.82
1958-01-01,58.96,-129.71,-5.31,-4.38,-3.07,-5.31,-4.38,-3.07,-5.31,-4.38,-3.07
1959-01-01,58.96,-129.71,-5.92,-4.12,-2.62,-5.92,-4.12,-2.62,-5.92,-4.12,-2.62
1960-01-01,58.96,-129.71,-5.68,-4.49,-2.61,-5.68,-4.49,-2.61,-5.68,-4.49,-2.61
1961-01-01,58.96,-129.71,-5.59,-3.82,-2.81,-5.59,-3.82,-2.81,-5.59,-3.82,-2.81
1962-01-01,58.96,-129.71,-5.60,-4.58,-2.91,-5.60,-4.58,-2.91,-5.60,-4.58,-2.91
1963-01-01,58.96,-129.71,-5.62,-4.44,-3.82,-5.62,-4.44,-3.82,-5.62,-4.47,-3.82
1964-01-01,58.96,-129.71,-6.15,-4.72,-3.48,-6.15,-4.72,-3.48,-6.15,-4.72,-3.48
1965-01-01,58.96,-129.71,-5.76,-4.34,-2.75,-5.76,-4.34,-2.75,-5.76,-4.34,-2.75
1966-01-01,58.96,-129.71,-5.89,-4.54,-3.33,-5.89,-4.54,-3.33,-5.89,-4.54,-3.33
1967-01-01,58.96,-129.71,-5.44,-3.87,-2.72,-5.44,-3.87,-2.72,-5.44,-3.87,-2.72
1968-01-01,58.96,-129.71,-6.12,-4.66,-3.78,-6.12,-4.66,-3.78,-6.12,-4.66,-3.78
1969-01-01,58.96,-129.71,-5.90,-4.14,-3.00,-5.90,-4.14,-3.00,-5.90,-4.14,-3.00
1970-01-01,58.96,-129.71,-5.76,-3.99,-2.43,-5.76,-3.99,-2.43,-5.76,-3.99,-2.43
1971-01-01,58.96,-129.71,-5.39,-4.14,-2.41,-5.39,-4.14,-2.41,-5.39,-4.14,-2.41
1972-01-01,58.96,-129.71,-5.80,-4.42,-3.34,-5.80,-4.42,-3.34,-5.80,-4.52,-3.34
1973-01-01,58.96,-129.71,-6.05,-4.25,-2.62,-6.05,-4.25,-2.62,-6.05,-4.25,-2.62
1974-01-01,58.96,-129.71,-5.74,-4.10,-3.39,-5.74,-4.10,-3.39,-5.74,-4.10,-3.39
1975-01-01,58.96,-129.71,-5.47,-4.07,-2.65,-5.47,-4.07,-2.65,-5.47,-4.07,-2.65
1976-01-01,58.96,-129.71,-5.96,-3.92,-2.63,-5.96,-3.92,-2.63,-5.96,-4.01,-2.63
1977-01-01,58.96,-129.71,-5.31,-3.75,-2.77,-5.31,-3.75,-2.77,-5.31,-3.75,-2.84
1978-01-01,58.96,-129.71,-5.40,-3.79,-2.95,-5.40,-3.79,-2.95,-5.40,-3.79,-2.95
1979-01-01,58.96,-129.71,-5.78,-3.84,-2.55,-5.78,-3.84,-2.55,-5.78,-3.84,-2.55
1980-01-01,58.96,-129.71,-6.23,-4.13,-3.20,-6.23,-4.12,-3.18,-6.30,-4.10,-3.20
1981-01-01,58.96,-129.71,-5.90,-4.43,-2.97,-5.88,-4.46,-2.95,-5.86,-4.41,-2.97
1982-01-01,58.96,-129.71,-5.71,-4.40,-3.46,-5.72,-4.40,-3.46,-5.73,-4.41,-3.46
1983-01-01,58.96,-129.71,-5.92,-3.87,-2.94,-5.92,-3.86,-2.95,-5.92,-3.89,-2.95
1984-01-01,58.96,-129.71,-5.32,-3.89,-2.35,-5.32,-3.89,-2.35,-5.45,-3.91,-2.36
1985-01-01,58.96,-129.71,-5.51,-4.39,-3.58,-5.52,-4.38,-3.60,-5.56,-4.36,-3.70
1986-01-01,58.96,-129.71,-5.51,-4.55,-3.19,-5.52,-4.56,-3.19,-5.57,-4.57,-3.21
1987-01-01,58.96,-129.71,-5.39,-3.93,-2.83,-5.39,-3.92,-2.81,-5.40,-3.92,-2.84
1988-01-01,58.96,-129.71,-5.42,-3.96,-2.81,-5.43,-3.96,-2.83,-5.43,-3.96,-2.84
1989-01-01,58.96,-129.71,-5.36,-3.96,-2.63,-5.35,-3.98,-2.62,-5.36,-3.99,-2.76
1990-01-01,58.96,-129.71,-5.48,-4.08,-1.49,-5.48,-4.09,-1.44,-5.49,-4.09,-1.44
1991-01-01,58.96,-129.71,-5.29,-4.51,-2.91,-5.29,-4.52,-2.89,-5.41,-4.51,-2.90
1992-01-01,58.96,-129.71,-5.29,-4.25,-2.49,-5.30,-4.27,-2.50,-5.27,-4.28,-2.50
1993-01-01,58.96,-129.71,-5.01,-3.79,-2.19,-5.00,-3.79,-2.18,-5.00,-3.80,-2.17
1994-01-01,58.96,-129.71,-5.05,-4.32,-3.09,-5.05,-4.33,-3.08,-5.02,-4.34,-3.08
1995-01-01,58.96,-129.71,-5.77,-4.24,-2.78,-5.76,-4.23,-2.78,-5.77,-4.23,-2.77
1996-01-01,58.96,-129.71,-5.52,-4.34,-2.66,-5.51,-4.33,-2.65,-5.53,-4.32,-2.64
1997-01-01,58.96,-129.71,-5.25,-3.66,-2.23,-5.25,-3.66,-2.24,-5.26,-3.68,-2.21
1998-01-01,58.96,-129.71,-4.71,-3.66,-2.55,-4.71,-3.66,-2.55,-4.69,-3.66,-2.67
1999-01-01,58.96,-129.71,-4.48,-3.48,-2.32,-4.49,-3.50,-2.32,-4.53,-3.52,-2.34
2000-01-01,58.96,-129.71,-5.28,-3.43,-1.83,-5.27,-3.42,-1.83,-5.27,-3.42,-1.88
2001-01-01,58.96,-129.71,-5.24,-3.71,-1.60,-5.22,-3.69,-1.60,-5.22,-3.71,-1.61
2002-01-01,58.96,-129.71,-4.42,-3.55,-1.92,-4.42,-3.53,-1.90,-4.44,-3.54,-2.05
2003-01-01,58.96,-129.71,-5.18,-3.81,-1.52,-5.18,-3.82,-1.54,-5.19,-3.81,-1.55
2004-01-01,58.96,-129.71,-4.53,-3.18,-1.72,-4.51,-3.20,-1.72,-4.50,-3.19,-1.72
2005-01-01,58.96,-129.71,-4.41,-2.90,-2.07,-4.39,-2.90,-2.10,-4.50,-2.89,-2.07
2006-01-01,58.96,-129.71,-4.58,-3.00,-1.62,-3.94,-2.91,-1.29,-4.34,-3.18,-1.91
2007-01-01,58.96,-129.71,-5.04,-2.94,-1.55,-4.72,-4.11,-2.14,-4.67,-3.42,-1.33
2008-01-01,58.96,-129.71,-4.98,-3.29,-1.58,-4.42,-3.43,-2.42,-5.39,-3.77,-1.57
2009-01-01,58.96,-129.71,-4.18,-3.00,-1.35,-5.09,-2.98,-1.41,-4.47,-3.01,-1.49
2010-01-01,58.96,-129.71,-4.21,-2.88,-1.70,-4.53,-2.93,-1.15,-4.99,-2.96,-1.62
2011-01-01,58.96,-129.71,-4.55,-3.01,-1.76,-4.94,-2.81,-1.80,-4.60,-3.21,-1.75
2012-01-01,58.96,-129.71,-4.44,-2.79,-1.56,-5.22,-3.30,-2.57,-4.57,-3.21,-1.73
