time,lat,lon,rcp26_tnlt_-15_p10,rcp26_tnlt_-15_p50,rcp26_tnlt_-15_p90,rcp45_tnlt_-15_p10,rcp45_tnlt_-15_p50,rcp45_tnlt_-15_p90,rcp85_tnlt_-15_p10,rcp85_tnlt_-15_p50,rcp85_tnlt_-15_p90
1950-01-01,58.96,-129.71,92.30,106.00,126.40,92.30,106.00,126.40,92.30,106.00,126.40
1951-01-01,58.96,-129.71,89.00,108.00,122.90,89.00,108.00,122.90,89.30,108.00,122.90
1952-01-01,58.96,-129.71,95.60,112.50,124.20,95.60,112.50,124.20,95.60,112.50,124.80
1953-01-01,58.96,-129.71,86.60,112.50,136.90,86.60,112.50,136.90,86.60,112.50,136.90
1954-01-01,58.96,-129.71,87.20,107.50,125.40,87.20,107.50,125.40,87.20,107.50,126.00
1955-01-01,58.96,-129.71,92.30,112.50,128.80,92.30,112.50,128.80,93.30,112.50,128.80
1956-01-01,58.96,-129.71,81.30,105.50,124.20,81.30,105.50,124.20,81.30,105.50,124.20
1957-01-01,58.96,-129.71,95.20,108.00,127.40,95.20,108.00,127.40,95.20,108.00,127.40
1958-01-01,58.96,-129.71,91.30,109.50,121.70,91.30,109.50,121.70,91.30,109.50,121.70
1959-01-01,58.96,-129.71,85.40,108.00,127.80,85.40,108.00,127.80,85.40,108.00,128.40
1960-01-01,58.96,-129.71,90.60,106.50,127.40,90.60,106.50,127.40,90.60,108.50,127.40
1961-01-01,58.96,-129.71,92.30,103.50,123.00,92.30,103.50,123.00,92.30,103.00,123.00
1962-01-01,58.96,-129.71,91.20,109.50,127.70,91.20,109.50,127.70,91.20,109.50,127.70
1963-01-01,58.96,-129.71,97.10,111.50,124.80,97.10,111.50,124.80,97.10,111.50,124.80
1964-01-01,58.96,-129.71,92.10,113.50,127.70,92.10,113.50,127.70,92.10,113.50,127.70
1965-01-01,58.96,-129.71,92.30,105.50,125.70,92.30,105.50,125.70,92.30,105.50,125.70
1966-01-01,58.96,-129.71,94.80,109.00,121.80,94.80,109.00,121.80,94.80,111.50,121.80
1967-01-01,58.96,-129.71,88.00,105.50,129.40,88.00,105.50,129.40,88.00,105.50,129.40
1968-01-01,58.96,-129.71,100.00,111.50,128.10,100.00,111.50,128.10,100.60,111.50,128.10
1969-01-01,58.96,-129.71,91.60,110.00,126.70,91.60,110.00,126.70,91.60,110.00,126.70
1970-01-01,58.96,-129.71,84.50,105.00,131.40,84.50,105.00,131.40,84.50,108.00,131.40
