time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-129.71,58.96,537.32,642.63,739.06,537.32,642.94,739.06,537.33,642.89,739.06
1951-01-01,-129.71,58.96,538.36,618.14,677.56,538.14,618.36,677.56,534.10,618.36,677.56
1952-01-01,-129.71,58.96,516.30,598.18,715.07,516.32,598.18,716.38,516.32,598.18,715.45
1953-01-01,-129.71,58.96,543.19,611.14,732.09,543.19,611.32,732.08,543.19,611.29,732.10
1954-01-01,-129.71,58.96,509.93,617.13,716.67,509.67,615.25,716.73,509.68,614.49,716.74
1955-01-01,-129.71,58.96,498.58,624.30,695.93,498.12,624.30,695.81,498.66,624.31,695.16
1956-01-01,-129.71,58.96,556.84,637.24,729.27,556.82,637.66,729.27,556.83,636.54,729.27
1957-01-01,-129.71,58.96,543.38,589.04,665.94,543.36,589.04,663.02,543.11,589.05,665.39
1958-01-01,-129.71,58.96,544.62,616.69,709.56,544.62,616.90,710.06,544.62,616.61,709.27
1959-01-01,-129.71,58.96,552.22,641.21,714.96,553.80,644.93,714.96,553.36,643.37,714.95
1960-01-01,-129.71,58.96,524.39,562.77,662.78,523.88,562.93,662.79,523.86,562.32,662.79
1961-01-01,-129.71,58.96,555.54,613.50,683.85,555.56,614.22,684.79,555.54,614.11,683.95
1962-01-01,-129.71,58.96,539.47,619.21,720.55,537.77,622.97,720.55,540.44,623.41,720.56
1963-01-01,-129.71,58.96,544.68,601.98,700.31,544.56,601.97,699.62,544.68,601.97,699.48
1964-01-01,-129.71,58.96,507.50,589.62,672.43,505.65,590.19,672.44,505.91,590.19,672.41
1965-01-01,-129.71,58.96,509.96,595.53,667.37,509.87,596.37,664.65,509.88,595.25,663.99
1966-01-01,-129.71,58.96,524.40,629.16,698.87,523.12,629.06,700.38,523.14,629.88,700.09
1967-01-01,-129.71,58.96,554.69,617.77,720.17,554.69,617.36,719.45,554.69,615.98,719.69
1968-01-01,-129.71,58.96,529.77,617.78,721.87,530.47,617.54,721.87,530.47,617.37,721.88
1969-01-01,-129.71,58.96,513.39,597.50,673.30,513.38,597.09,672.30,513.37,596.50,676.69
1970-01-01,-129.71,58.96,482.29,616.17,680.91,482.29,616.17,680.90,482.29,616.17,680.91
1971-01-01,-129.71,58.96,527.41,622.71,749.82,527.41,624.02,750.63,527.40,624.04,750.63
1972-01-01,-129.71,58.96,575.05,618.62,655.13,575.40,618.62,655.15,574.51,618.62,655.13
1973-01-01,-129.71,58.96,526.86,614.36,666.39,527.89,612.25,666.51,526.18,612.24,666.12
1974-01-01,-129.71,58.96,546.51,633.32,699.05,546.51,633.30,697.75,546.51,633.31,698.12
1975-01-01,-129.71,58.96,507.35,589.43,727.53,506.83,589.45,726.56,507.20,589.45,726.55
1976-01-01,-129.71,58.96,485.06,587.69,674.87,485.06,587.68,674.87,485.07,587.69,674.87
1977-01-01,-129.71,58.96,549.89,657.87,744.56,549.89,659.17,744.56,549.90,659.35,744.56
1978-01-01,-129.71,58.96,551.90,626.94,687.87,551.90,624.56,690.01,551.90,625.98,685.55
1979-01-01,-129.71,58.96,541.79,644.18,762.31,541.79,644.17,761.14,541.80,644.18,761.74
1980-01-01,-129.71,58.96,507.26,592.21,728.47,508.33,593.49,726.76,507.98,592.80,728.13
1981-01-01,-129.71,58.96,523.08,590.36,727.26,526.60,591.53,726.63,526.17,592.44,721.44
1982-01-01,-129.71,58.96,518.46,642.64,714.32,520.27,642.22,713.69,520.80,643.06,717.53
1983-01-01,-129.71,58.96,493.51,592.08,678.68,502.81,591.71,674.36,497.38,591.01,673.89
1984-01-01,-129.71,58.96,517.34,630.26,738.97,517.94,627.34,741.30,519.27,631.45,739.69
1985-01-01,-129.71,58.96,511.38,619.79,745.50,513.51,618.74,745.70,511.62,621.88,746.53
1986-01-01,-129.71,58.96,519.27,599.45,693.67,521.20,602.72,696.09,519.55,603.00,694.91
1987-01-01,-129.71,58.96,491.53,602.92,681.92,492.35,604.46,680.37,491.47,604.02,679.64
1988-01-01,-129.71,58.96,565.74,674.02,735.09,564.69,678.09,735.50,565.31,674.02,735.85
1989-01-01,-129.71,58.96,550.29,636.33,711.87,549.39,637.22,713.33,549.28,638.21,711.29
1990-01-01,-129.71,58.96,519.94,603.91,699.55,520.68,606.20,701.52,521.28,606.64,702.36
1991-01-01,-129.71,58.96,531.92,618.73,688.03,534.88,618.82,688.43,534.60,620.34,687.31
1992-01-01,-129.71,58.96,529.77,602.91,690.12,529.76,603.89,690.78,529.19,603.88,684.27
1993-01-01,-129.71,58.96,562.51,636.44,689.34,562.47,634.86,694.42,562.73,636.41,692.52
1994-01-01,-129.71,58.96,542.72,598.40,715.02,543.67,602.58,712.85,543.72,603.20,718.43
1995-01-01,-129.71,58.96,530.28,598.46,705.23,531.31,598.85,704.27,531.51,598.84,706.66
1996-01-01,-129.71,58.96,505.17,614.64,746.29,507.90,618.54,748.76,506.34,618.92,748.17
1997-01-01,-129.71,58.96,573.70,624.72,738.72,573.42,625.12,739.02,573.31,625.75,739.74
1998-01-01,-129.71,58.96,515.02,649.64,732.00,516.98,652.01,733.80,517.78,651.31,732.86
1999-01-01,-129.71,58.96,486.40,643.71,735.58,485.79,643.98,732.96,489.43,643.67,730.89
2000-01-01,-129.71,58.96,533.76,665.80,723.00,533.67,667.03,724.66,532.83,667.28,723.70
2001-01-01,-129.71,58.96,537.45,648.88,738.43,538.66,653.60,738.73,536.91,654.52,737.62
2002-01-01,-129.71,58.96,569.86,637.58,769.11,569.67,636.81,772.36,570.13,636.91,773.18
2003-01-01,-129.71,58.96,563.50,639.91,752.47,565.28,640.88,758.35,564.29,639.99,757.73
2004-01-01,-129.71,58.96,548.46,693.03,781.43,550.71,695.55,780.40,549.27,692.58,781.33
2005-01-01,-129.71,58.96,561.64,635.54,704.84,560.23,634.48,707.50,560.20,636.51,707.25
2006-01-01,-129.71,58.96,570.78,642.27,743.49,552.58,692.42,778.29,585.82,692.17,816.11
2007-01-01,-129.71,58.96,557.41,681.68,754.79,600.27,638.73,737.42,583.37,626.06,704.90
2008-01-01,-129.71,58.96,591.19,699.93,759.17,545.30,605.06,762.61,549.45,650.25,748.56
2009-01-01,-129.71,58.96,608.74,677.22,749.75,583.45,661.95,740.53,577.63,648.45,747.94
2010-01-01,-129.71,58.96,540.24,631.32,748.67,513.15,634.00,779.90,522.11,618.63,732.47
2011-01-01,-129.71,58.96,592.16,639.56,721.81,547.87,654.44,768.25,539.22,660.46,783.46
2012-01-01,-129.71,58.96,578.28,664.32,738.38,557.74,643.02,753.75,573.53,655.07,773.87
2013-01-01,-129.71,58.96,556.97,659.69,757.81,543.81,637.43,742.13,531.97,669.39,767.73
2014-01-01,-129.71,58.96,558.14,631.06,750.19,557.05,623.81,743.07,553.06,609.33,730.54
2015-01-01,-129.71,58.96,553.48,654.93,763.71,535.07,651.84,768.26,588.00,657.81,752.94
2016-01-01,-129.71,58.96,552.18,644.33,722.56,580.69,627.88,715.09,583.39,666.90,737.17
2017-01-01,-129.71,58.96,543.47,643.99,757.47,540.60,682.61,769.88,552.23,671.62,738.43
2018-01-01,-129.71,58.96,481.58,641.78,726.52,586.41,655.52,749.13,555.63,691.14,783.42
2019-01-01,-129.71,58.96,579.04,634.08,725.33,567.13,677.62,791.69,559.69,663.37,719.11
2020-01-01,-129.71,58.96,560.94,641.20,721.98,536.84,674.90,778.24,566.90,690.41,762.66
2021-01-01,-129.71,58.96,571.50,649.76,776.18,578.38,669.45,732.04,561.80,682.83,783.57
2022-01-01,-129.71,58.96,549.70,638.16,741.71,573.58,638.11,727.40,524.10,680.07,791.05
2023-01-01,-129.71,58.96,555.05,642.00,721.05,533.47,660.68,815.42,528.18,689.27,754.13
2024-01-01,-129.71,58.96,586.26,666.23,778.51,565.93,707.89,785.59,561.05,686.32,789.05
2025-01-01,-129.71,58.96,588.17,666.00,727.25,531.69,651.48,742.58,561.83,647.35,769.97
2026-01-01,-129.71,58.96,589.14,660.11,734.69,615.14,653.94,765.12,575.65,645.33,739.24
2027-01-01,-129.71,58.96,536.33,643.29,814.31,575.63,684.65,735.97,529.47,654.91,767.95
2028-01-01,-129.71,58.96,555.86,680.23,773.77,566.05,673.35,748.22,591.54,655.48,776.57
2029-01-01,-129.71,58.96,588.45,693.17,769.91,592.37,658.35,752.67,574.40,670.06,757.10
2030-01-01,-129.71,58.96,565.68,654.41,759.50,579.61,643.94,747.46,564.24,662.79,742.00
2031-01-01,-129.71,58.96,556.51,683.80,785.56,569.79,648.54,769.79,621.19,676.67,758.25
2032-01-01,-129.71,58.96,587.97,650.09,782.41,592.92,692.85,792.74,609.70,705.96,766.03
2033-01-01,-129.71,58.96,599.93,691.77,737.97,626.20,714.14,809.80,600.02,676.63,768.47
2034-01-01,-129.71,58.96,572.44,665.81,788.37,616.52,688.99,774.96,609.12,722.04,799.72
2035-01-01,-129.71,58.96,589.17,688.13,733.35,567.56,695.86,798.78,582.00,689.31,798.17
2036-01-01,-129.71,58.96,571.50,648.52,760.73,551.71,674.18,802.87,577.49,689.31,773.93
2037-01-01,-129.71,58.96,596.43,664.19,775.21,595.65,675.73,786.48,623.65,731.60,837.76
2038-01-01,-129.71,58.96,594.79,739.88,818.76,619.49,689.81,783.39,605.33,703.70,797.69
2039-01-01,-129.71,58.96,557.50,722.76,854.12,537.62,668.14,821.19,572.62,650.22,783.04
2040-01-01,-129.71,58.96,592.86,636.01,722.80,545.73,641.84,784.87,574.59,657.23,815.23
2041-01-01,-129.71,58.96,574.99,650.16,729.67,589.69,658.02,831.65,578.11,685.26,764.68
2042-01-01,-129.71,58.96,572.85,647.78,774.96,554.94,686.35,783.78,581.42,688.45,745.89
2043-01-01,-129.71,58.96,555.78,669.98,804.25,589.75,679.49,789.73,571.56,688.17,800.95
2044-01-01,-129.71,58.96,577.30,678.96,742.69,569.14,669.78,812.28,534.11,703.60,816.94
2045-01-01,-129.71,58.96,588.95,688.14,891.03,578.03,672.72,768.74,617.72,696.35,793.42
2046-01-01,-129.71,58.96,573.90,649.48,802.78,570.82,697.05,777.59,619.14,676.22,799.79
2047-01-01,-129.71,58.96,635.65,716.93,786.40,589.29,714.65,808.49,557.84,690.79,770.70
2048-01-01,-129.71,58.96,600.91,680.46,763.31,560.41,664.83,820.96,583.52,707.84,851.13
2049-01-01,-129.71,58.96,572.06,651.22,850.07,601.07,675.83,777.36,643.28,704.96,844.65
2050-01-01,-129.71,58.96,617.53,682.44,744.20,573.18,687.58,810.65,622.95,713.80,879.32
2051-01-01,-129.71,58.96,636.56,711.31,796.01,540.34,689.02,790.94,592.39,713.56,801.06
2052-01-01,-129.71,58.96,584.64,669.46,773.87,640.12,690.30,802.69,558.75,678.12,788.80
2053-01-01,-129.71,58.96,520.01,654.27,805.46,627.23,726.54,797.08,596.97,692.24,849.96
2054-01-01,-129.71,58.96,545.28,696.30,771.00,584.56,686.24,829.65,611.08,731.19,823.45
2055-01-01,-129.71,58.96,557.58,693.12,848.89,635.01,673.52,767.34,638.93,722.19,836.80
2056-01-01,-129.71,58.96,542.18,703.43,789.99,573.16,671.47,768.87,585.48,711.02,913.03
2057-01-01,-129.71,58.96,593.98,675.62,819.80,607.23,702.86,835.25,642.28,719.19,793.85
2058-01-01,-129.71,58.96,567.76,689.98,774.44,643.27,710.74,824.16,606.70,734.91,868.35
2059-01-01,-129.71,58.96,570.99,733.72,863.08,580.70,688.21,788.09,601.79,707.27,786.46
2060-01-01,-129.71,58.96,600.63,701.22,798.63,611.55,694.04,798.99,617.07,742.42,857.78
2061-01-01,-129.71,58.96,574.04,717.89,794.68,615.07,713.96,818.55,637.32,767.45,839.91
2062-01-01,-129.71,58.96,556.10,705.92,828.41,624.06,689.38,812.99,643.18,742.93,934.54
2063-01-01,-129.71,58.96,564.42,692.31,799.84,625.66,737.15,844.78,641.67,753.05,945.92
2064-01-01,-129.71,58.96,614.42,689.83,755.27,629.37,710.51,829.33,634.10,742.38,850.70
2065-01-01,-129.71,58.96,581.28,660.53,778.00,608.25,690.35,856.20,650.55,731.91,846.94
2066-01-01,-129.71,58.96,593.10,703.87,755.05,637.75,728.29,796.26,636.25,736.61,813.12
2067-01-01,-129.71,58.96,530.11,671.02,790.89,589.75,695.41,815.99,666.89,790.82,880.52
2068-01-01,-129.71,58.96,610.59,675.78,795.86,645.60,718.32,846.68,652.69,750.88,933.24
2069-01-01,-129.71,58.96,554.89,670.53,804.23,598.20,724.66,843.36,636.50,778.56,910.93
2070-01-01,-129.71,58.96,563.32,676.88,829.31,637.03,715.69,848.53,613.99,711.18,889.46
2071-01-01,-129.71,58.96,608.09,667.30,781.66,610.08,726.01,778.15,618.24,734.24,856.80
2072-01-01,-129.71,58.96,527.38,667.76,773.86,627.70,699.09,854.34,675.08,751.14,842.06
2073-01-01,-129.71,58.96,604.85,671.38,817.02,606.18,726.00,800.74,647.38,757.03,847.71
2074-01-01,-129.71,58.96,608.45,718.16,781.05,662.87,713.09,792.12,669.05,787.22,858.10
2075-01-01,-129.71,58.96,594.39,672.27,766.77,626.31,698.68,805.52,644.81,779.51,876.29
