time,lon,lat,rcp26_r1mm_p10,rcp26_r1mm_p50,rcp26_r1mm_p90,rcp45_r1mm_p10,rcp45_r1mm_p50,rcp45_r1mm_p90,rcp85_r1mm_p10,rcp85_r1mm_p50,rcp85_r1mm_p90
1950-01-01,-129.71,58.96,147.30,164.00,179.00,147.60,163.00,179.00,147.00,163.50,179.00
1951-01-01,-129.71,58.96,149.30,161.50,182.00,149.30,162.00,182.00,149.30,162.00,182.00
1952-01-01,-129.71,58.96,147.30,164.00,175.40,147.30,164.00,175.40,147.00,165.50,175.40
1953-01-01,-129.71,58.96,145.00,164.50,180.30,144.40,164.50,180.30,144.40,164.50,180.30
1954-01-01,-129.71,58.96,145.60,164.50,181.70,145.00,165.00,182.00,145.00,164.50,182.00
1955-01-01,-129.71,58.96,144.50,165.00,178.10,144.20,165.50,178.10,144.20,165.50,178.10
1956-01-01,-129.71,58.96,153.30,164.00,186.50,151.60,164.00,184.40,152.30,164.00,184.40
1957-01-01,-129.71,58.96,146.30,162.00,173.70,146.30,161.50,174.40,146.30,161.50,174.40
1958-01-01,-129.71,58.96,153.20,166.50,177.00,153.20,166.50,177.00,153.20,166.50,177.00
1959-01-01,-129.71,58.96,147.20,162.00,184.40,146.90,163.00,184.10,148.30,163.50,184.10
1960-01-01,-129.71,58.96,141.20,159.00,179.80,141.20,159.00,179.80,141.20,159.00,179.80
1961-01-01,-129.71,58.96,141.30,165.00,180.40,141.30,166.00,180.10,141.60,165.50,180.70
1962-01-01,-129.71,58.96,149.00,166.00,190.70,148.30,165.50,190.70,148.30,165.50,190.70
1963-01-01,-129.71,58.96,146.00,161.50,181.90,146.00,161.50,182.50,146.00,161.50,182.50
1964-01-01,-129.71,58.96,139.30,158.50,173.40,139.30,158.50,174.10,139.30,158.50,175.50
1965-01-01,-129.71,58.96,143.90,158.50,169.70,145.30,158.00,169.40,145.30,158.50,167.70
1966-01-01,-129.71,58.96,143.60,164.50,181.70,143.60,163.50,181.70,142.60,164.50,181.70
1967-01-01,-129.71,58.96,150.50,167.50,186.40,149.60,169.00,186.40,149.60,167.50,186.40
1968-01-01,-129.71,58.96,144.30,158.50,178.70,144.90,158.50,179.00,144.90,158.00,179.00
1969-01-01,-129.71,58.96,136.90,159.00,172.00,139.00,159.00,172.00,139.00,159.50,172.00
1970-01-01,-129.71,58.96,141.00,162.50,178.70,141.00,164.00,178.70,139.60,162.50,178.70
1971-01-01,-129.71,58.96,151.30,165.00,182.40,151.30,165.00,182.40,151.30,165.00,182.40
1972-01-01,-129.71,58.96,154.60,166.00,182.10,154.60,166.00,182.10,154.60,166.00,182.10
1973-01-01,-129.71,58.96,146.20,161.00,175.00,143.90,161.00,175.00,144.90,161.00,175.00
1974-01-01,-129.71,58.96,151.30,164.00,178.70,151.30,164.00,178.00,151.30,163.50,178.00
1975-01-01,-129.71,58.96,138.50,157.50,181.10,138.50,157.50,180.70,138.50,157.50,180.70
1976-01-01,-129.71,58.96,138.50,161.00,175.70,138.50,161.50,175.00,138.50,161.50,175.70
1977-01-01,-129.71,58.96,155.30,172.50,187.40,155.30,172.50,186.70,155.30,172.50,187.40
1978-01-01,-129.71,58.96,146.00,167.50,182.40,146.00,168.50,182.40,146.00,167.50,182.40
1979-01-01,-129.71,58.96,142.80,168.00,194.50,146.00,169.00,194.50,146.00,169.50,194.50
1980-01-01,-129.71,58.96,143.60,164.00,179.80,143.20,163.00,181.10,143.20,164.00,179.40
1981-01-01,-129.71,58.96,151.60,162.50,179.00,150.90,163.50,180.40,150.90,163.00,180.10
1982-01-01,-129.71,58.96,153.20,164.00,180.50,153.80,164.50,181.20,153.20,164.00,181.50
1983-01-01,-129.71,58.96,138.60,158.50,177.40,138.90,158.50,179.50,138.60,158.00,178.10
1984-01-01,-129.71,58.96,151.30,165.00,183.70,149.20,165.00,182.40,149.90,165.00,180.70
1985-01-01,-129.71,58.96,144.00,165.00,182.60,144.00,165.50,182.20,144.00,164.00,181.20
1986-01-01,-129.71,58.96,145.30,160.50,175.70,145.50,161.00,175.70,145.20,161.00,175.70
1987-01-01,-129.71,58.96,143.30,160.00,175.70,145.30,159.50,176.10,143.30,159.00,174.70
1988-01-01,-129.71,58.96,147.20,173.00,182.70,147.20,171.00,183.00,147.20,173.00,183.70
1989-01-01,-129.71,58.96,141.60,164.50,175.80,139.20,165.00,175.50,141.30,165.00,175.80
1990-01-01,-129.71,58.96,142.30,162.00,179.60,142.30,161.00,181.40,142.30,161.50,179.40
1991-01-01,-129.71,58.96,144.30,164.50,181.00,145.60,163.50,181.70,145.60,164.00,181.00
1992-01-01,-129.71,58.96,144.00,163.00,176.90,146.10,163.00,177.20,146.80,163.00,176.90
1993-01-01,-129.71,58.96,153.30,165.50,173.70,153.30,166.00,173.00,153.30,166.00,172.70
1994-01-01,-129.71,58.96,149.30,158.00,190.00,150.00,159.00,190.00,150.30,159.00,191.00
1995-01-01,-129.71,58.96,141.60,158.50,185.70,142.60,159.00,184.40,142.30,158.50,186.40
