time,lat,lon,rcp26_nr_cdd_p10,rcp26_nr_cdd_p50,rcp26_nr_cdd_p90,rcp45_nr_cdd_p10,rcp45_nr_cdd_p50,rcp45_nr_cdd_p90,rcp85_nr_cdd_p10,rcp85_nr_cdd_p50,rcp85_nr_cdd_p90
1950-01-01,53.37,-124.29,10.30,13.00,17.00,10.00,13.00,17.00,10.00,13.00,16.70
1951-01-01,53.37,-124.29,11.00,14.00,16.70,11.00,14.00,16.70,11.00,14.00,16.70
1952-01-01,53.37,-124.29,10.00,13.00,15.00,10.00,13.00,16.00,10.00,13.00,15.00
1953-01-01,53.37,-124.29,11.00,13.00,14.70,11.00,13.00,14.70,10.30,13.00,14.70
1954-01-01,53.37,-124.29,10.00,13.00,15.70,10.00,13.00,15.70,10.00,13.00,15.00
1955-01-01,53.37,-124.29,11.30,13.00,16.40,11.30,14.00,15.70,11.30,13.50,15.70
1956-01-01,53.37,-124.29,12.00,14.50,17.00,12.00,14.00,17.70,13.00,15.00,17.00
1957-01-01,53.37,-124.29,10.00,13.00,15.00,10.00,12.50,14.70,10.00,12.00,15.40
1958-01-01,53.37,-124.29,10.00,13.00,15.70,10.00,13.00,15.70,9.30,13.00,15.70
1959-01-01,53.37,-124.29,9.00,13.00,15.00,9.00,13.00,16.00,9.00,13.00,15.70
1960-01-01,53.37,-124.29,10.00,13.00,16.00,9.30,13.00,16.00,9.30,13.00,16.00
1961-01-01,53.37,-124.29,10.30,13.00,16.00,11.00,13.00,16.00,11.00,13.50,16.00
1962-01-01,53.37,-124.29,11.00,14.00,16.00,11.00,14.00,16.00,11.00,14.00,16.00
1963-01-01,53.37,-124.29,9.60,13.00,16.00,9.30,13.00,15.40,9.30,13.00,15.70
1964-01-01,53.37,-124.29,12.00,13.50,16.00,12.00,13.50,16.70,12.00,14.00,16.70
1965-01-01,53.37,-124.29,11.00,14.00,16.70,10.00,13.50,16.70,10.30,13.00,16.00
1966-01-01,53.37,-124.29,11.00,12.50,16.00,11.00,13.00,16.00,11.00,13.00,16.00
1967-01-01,53.37,-124.29,11.30,13.00,16.00,11.00,13.00,16.00,11.30,13.00,16.00
1968-01-01,53.37,-124.29,11.30,13.00,17.00,11.00,13.00,17.00,11.00,12.50,17.00
1969-01-01,53.37,-124.29,11.00,13.00,16.00,11.00,13.50,16.00,10.30,14.00,16.00
1970-01-01,53.37,-124.29,10.30,13.00,16.70,10.30,13.50,16.70,10.30,13.00,16.00
1971-01-01,53.37,-124.29,11.30,13.50,16.70,11.30,13.50,16.00,10.30,13.50,16.70
1972-01-01,53.37,-124.29,9.30,12.50,16.00,10.00,12.00,15.70,10.00,13.00,15.70
1973-01-01,53.37,-124.29,12.00,13.00,16.70,12.00,13.00,17.00,11.30,13.00,17.00
1974-01-01,53.37,-124.29,10.30,14.00,16.00,10.00,13.50,16.00,10.00,13.50,15.70
1975-01-01,53.37,-124.29,10.30,13.00,16.00,10.30,13.00,16.00,11.30,13.50,16.00
1976-01-01,53.37,-124.29,11.00,13.00,15.70,11.30,13.50,16.00,11.00,13.00,16.70
1977-01-01,53.37,-124.29,10.00,12.00,15.00,10.00,12.00,15.70,10.00,12.00,15.70
1978-01-01,53.37,-124.29,9.00,13.50,17.70,9.00,13.50,17.00,9.00,12.50,17.00
1979-01-01,53.37,-124.29,10.00,13.00,17.00,10.30,14.00,17.00,10.30,14.00,16.70
1980-01-01,53.37,-124.29,9.30,12.00,16.00,10.00,12.00,16.00,9.30,12.00,16.00
1981-01-01,53.37,-124.29,9.00,12.50,16.40,10.00,12.00,16.70,9.30,12.50,16.70
1982-01-01,53.37,-124.29,11.00,13.50,16.00,11.00,14.00,16.00,11.00,13.50,16.00
1983-01-01,53.37,-124.29,10.00,12.00,15.00,10.00,12.00,15.00,10.00,12.00,15.00
1984-01-01,53.37,-124.29,10.30,13.00,16.70,10.30,13.50,16.70,10.00,13.50,16.70
1985-01-01,53.37,-124.29,9.30,13.50,16.00,10.00,13.00,16.70,10.00,13.50,16.00
1986-01-01,53.37,-124.29,11.00,12.50,15.70,11.00,13.00,16.00,11.00,12.50,15.70
1987-01-01,53.37,-124.29,10.30,13.00,17.00,10.00,13.00,16.70,11.00,13.00,16.00
1988-01-01,53.37,-124.29,11.00,13.00,16.70,9.60,13.50,17.00,9.60,13.00,16.70
1989-01-01,53.37,-124.29,12.00,14.00,16.00,12.00,14.50,16.00,12.00,14.00,16.00
1990-01-01,53.37,-124.29,11.00,13.00,15.70,11.00,13.00,15.70,11.00,13.00,15.70
1991-01-01,53.37,-124.29,10.30,13.00,17.00,11.00,13.00,16.00,11.00,13.00,17.00
1992-01-01,53.37,-124.29,10.30,13.00,16.00,10.30,13.00,16.00,10.30,13.00,16.00
1993-01-01,53.37,-124.29,10.00,13.00,16.00,10.00,13.00,16.00,9.30,13.00,15.70
1994-01-01,53.37,-124.29,10.30,12.00,15.40,10.30,13.00,16.70,11.00,12.00,15.70
1995-01-01,53.37,-124.29,10.30,14.00,16.70,10.30,13.50,16.70,10.30,14.00,16.70
1996-01-01,53.37,-124.29,12.00,14.00,16.00,10.30,14.00,16.00,11.30,14.00,16.00
1997-01-01,53.37,-124.29,10.00,13.00,16.00,10.00,12.50,16.70,10.00,12.50,15.70
1998-01-01,53.37,-124.29,10.00,14.00,16.00,10.00,14.00,16.00,10.00,14.00,16.00
1999-01-01,53.37,-124.29,10.60,13.50,16.70,12.00,14.00,16.00,12.00,14.00,17.00
2000-01-01,53.37,-124.29,8.90,13.00,16.00,8.90,13.00,16.70,8.90,13.00,16.00
2001-01-01,53.37,-124.29,10.00,13.00,16.40,10.00,13.50,16.40,10.30,13.50,16.40
2002-01-01,53.37,-124.29,10.00,12.00,16.70,10.00,13.00,16.00,10.00,12.00,17.00
2003-01-01,53.37,-124.29,11.00,13.00,15.00,10.30,13.00,15.00,11.00,13.00,15.70
2004-01-01,53.37,-124.29,11.30,14.00,17.40,12.00,14.00,17.40,11.30,14.00,16.70
2005-01-01,53.37,-124.29,10.00,12.50,17.70,10.00,13.00,17.70,10.00,13.00,17.40
2006-01-01,53.37,-124.29,10.30,13.00,15.70,10.00,11.50,15.00,10.30,14.00,16.00
2007-01-01,53.37,-124.29,10.60,13.50,16.70,9.30,12.00,15.00,10.00,13.00,16.00
2008-01-01,53.37,-124.29,9.00,12.00,15.70,9.30,12.00,17.40,11.00,13.00,15.70
2009-01-01,53.37,-124.29,11.00,14.00,15.00,10.00,13.00,15.00,10.00,13.00,15.70
2010-01-01,53.37,-124.29,9.30,14.00,16.00,10.30,12.00,15.00,12.00,14.00,17.00
