time,lat,lon,rcp26_rx5day_p10,rcp26_rx5day_p50,rcp26_rx5day_p90,rcp45_rx5day_p10,rcp45_rx5day_p50,rcp45_rx5day_p90,rcp85_rx5day_p10,rcp85_rx5day_p50,rcp85_rx5day_p90
1950-01-01,53.37,-124.29,29.86,37.09,48.18,29.86,36.46,48.16,29.86,37.45,48.01
1951-01-01,53.37,-124.29,25.78,31.04,41.87,25.78,31.04,41.87,25.78,31.04,41.87
1952-01-01,53.37,-124.29,28.04,33.37,50.31,28.27,33.42,50.77,27.33,33.71,50.77
1953-01-01,53.37,-124.29,25.07,35.85,45.41,25.07,35.85,45.78,25.79,35.85,46.20
1954-01-01,53.37,-124.29,25.42,34.23,42.58,25.42,33.76,43.90,25.42,33.83,43.90
1955-01-01,53.37,-124.29,33.29,37.07,51.57,32.68,37.44,51.49,32.70,37.01,51.48
1956-01-01,53.37,-124.29,27.15,34.53,45.89,28.34,34.07,45.89,28.34,34.27,45.30
1957-01-01,53.37,-124.29,26.21,37.43,46.58,26.35,37.43,46.58,26.35,36.79,45.18
1958-01-01,53.37,-124.29,27.25,35.00,43.96,27.16,35.99,44.33,28.35,35.75,41.66
1959-01-01,53.37,-124.29,27.40,36.05,53.30,27.21,36.54,52.92,26.10,34.88,52.39
1960-01-01,53.37,-124.29,26.58,33.34,45.50,26.58,33.42,45.37,26.58,33.50,46.46
1961-01-01,53.37,-124.29,29.00,35.67,48.85,29.06,36.49,48.96,28.21,36.49,46.87
1962-01-01,53.37,-124.29,25.17,34.96,44.21,25.30,34.44,43.07,25.30,34.95,44.21
1963-01-01,53.37,-124.29,29.76,36.65,46.31,29.76,37.48,46.31,28.98,36.17,46.31
1964-01-01,53.37,-124.29,24.86,31.29,40.48,24.96,31.29,39.00,25.99,31.29,39.84
1965-01-01,53.37,-124.29,25.62,32.24,38.53,25.24,32.15,37.42,25.72,31.26,37.42
1966-01-01,53.37,-124.29,23.99,32.55,47.85,23.99,33.04,47.85,23.99,32.53,47.85
1967-01-01,53.37,-124.29,26.61,33.20,46.71,26.06,32.68,46.71,26.06,33.42,49.72
1968-01-01,53.37,-124.29,24.36,33.55,45.33,24.36,33.01,45.33,23.85,33.34,45.42
1969-01-01,53.37,-124.29,31.45,37.18,44.10,31.40,36.62,46.58,32.40,37.69,46.99
1970-01-01,53.37,-124.29,26.34,39.54,49.70,26.34,39.76,49.70,24.90,39.76,51.25
1971-01-01,53.37,-124.29,27.85,32.39,46.89,27.85,32.39,46.87,27.72,32.39,46.61
