time,lat,lon,rcp26_gddgrow_10_p10,rcp26_gddgrow_10_p50,rcp26_gddgrow_10_p90,rcp45_gddgrow_10_p10,rcp45_gddgrow_10_p50,rcp45_gddgrow_10_p90,rcp85_gddgrow_10_p10,rcp85_gddgrow_10_p50,rcp85_gddgrow_10_p90
1950-01-01,53.37,-124.29,207.85,271.04,405.24,207.85,270.96,405.24,207.85,270.96,403.47
1951-01-01,53.37,-124.29,226.66,305.40,408.94,226.66,305.40,408.94,226.56,305.40,408.94
1952-01-01,53.37,-124.29,167.56,240.99,393.10,167.09,240.99,393.21,167.93,240.99,393.10
1953-01-01,53.37,-124.29,164.36,216.10,358.25,164.36,215.34,358.41,164.36,215.34,358.58
1954-01-01,53.37,-124.29,194.95,253.60,410.56,194.95,253.60,410.55,194.95,252.53,410.55
1955-01-01,53.37,-124.29,161.05,253.76,340.27,160.92,253.76,340.27,160.92,253.76,340.27
1956-01-01,53.37,-124.29,186.34,255.84,341.46,182.94,257.25,341.55,182.94,257.41,341.46
1957-01-01,53.37,-124.29,145.59,275.63,408.93,145.59,275.63,408.93,145.59,275.63,408.93
1958-01-01,53.37,-124.29,153.70,237.37,321.57,152.47,237.37,321.57,153.70,237.37,321.57
1959-01-01,53.37,-124.29,140.16,233.92,349.32,140.16,233.49,354.39,140.16,233.97,348.53
1960-01-01,53.37,-124.29,152.76,260.20,401.29,152.76,260.35,399.26,152.76,259.89,399.26
1961-01-01,53.37,-124.29,193.25,279.36,378.68,193.98,279.36,378.76,193.98,279.36,379.61
1962-01-01,53.37,-124.29,184.08,256.05,383.71,184.47,256.05,383.71,182.99,256.05,383.71
1963-01-01,53.37,-124.29,180.93,230.57,342.61,179.74,231.50,342.60,179.75,231.26,342.60
1964-01-01,53.37,-124.29,121.97,242.22,339.26,121.96,241.31,339.26,121.96,242.92,339.26
1965-01-01,53.37,-124.29,147.60,209.73,317.61,147.60,209.09,317.65,147.60,208.97,316.74
1966-01-01,53.37,-124.29,181.94,237.58,349.80,181.94,236.88,349.81,181.94,237.35,349.80
1967-01-01,53.37,-124.29,170.23,254.11,325.59,168.22,254.11,325.59,169.40,254.11,325.59
1968-01-01,53.37,-124.29,135.38,224.05,290.51,135.38,224.04,290.51,135.38,221.92,290.51
1969-01-01,53.37,-124.29,150.96,202.88,331.25,149.80,202.88,331.25,150.82,202.82,331.25
1970-01-01,53.37,-124.29,186.54,268.89,362.03,186.13,268.89,362.03,185.86,268.89,362.03
1971-01-01,53.37,-124.29,173.92,268.14,347.36,173.98,267.94,347.40,173.98,268.53,347.59
1972-01-01,53.37,-124.29,159.10,260.64,334.04,159.10,261.03,334.04,159.10,260.79,330.17
1973-01-01,53.37,-124.29,152.01,232.14,345.80,152.01,232.25,345.82,152.01,231.95,346.26
1974-01-01,53.37,-124.29,173.63,223.86,351.72,173.63,223.70,351.72,173.63,223.52,349.39
1975-01-01,53.37,-124.29,139.38,284.12,443.64,139.38,283.82,444.03,139.38,283.49,443.59
1976-01-01,53.37,-124.29,200.04,259.70,368.17,200.04,259.70,367.35,200.04,259.70,367.35
1977-01-01,53.37,-124.29,179.76,245.19,353.86,179.76,243.43,353.86,179.74,243.43,353.16
1978-01-01,53.37,-124.29,217.91,271.76,351.64,219.08,272.52,351.63,219.08,272.07,351.63
1979-01-01,53.37,-124.29,182.30,277.15,431.23,182.30,277.15,431.40,182.30,277.15,431.41
1980-01-01,53.37,-124.29,149.13,297.39,350.95,147.43,296.89,350.37,148.21,294.97,347.61
1981-01-01,53.37,-124.29,192.86,258.20,376.88,193.35,258.45,376.04,191.24,257.79,377.09
1982-01-01,53.37,-124.29,184.09,250.34,342.27,183.45,249.65,342.82,179.39,247.80,343.99
1983-01-01,53.37,-124.29,160.69,269.91,353.37,159.79,269.47,352.33,159.60,269.40,356.77
1984-01-01,53.37,-124.29,196.15,248.06,403.13,196.02,248.05,400.68,196.74,247.10,404.46
1985-01-01,53.37,-124.29,196.96,293.96,398.78,197.61,291.83,398.41,197.41,293.11,399.55
1986-01-01,53.37,-124.29,205.20,275.58,340.47,205.83,275.34,339.07,206.65,274.64,339.44
1987-01-01,53.37,-124.29,202.84,288.15,409.24,203.66,287.97,409.47,203.90,285.24,408.06
1988-01-01,53.37,-124.29,192.28,291.36,339.20,192.15,292.42,340.77,192.57,291.24,338.71
1989-01-01,53.37,-124.29,224.51,272.56,400.56,225.87,270.04,400.77,224.97,271.69,398.21
1990-01-01,53.37,-124.29,182.12,272.62,405.17,180.75,271.86,404.55,181.72,271.69,403.20
1991-01-01,53.37,-124.29,207.07,295.60,383.76,206.05,296.39,383.48,205.92,297.53,376.74
1992-01-01,53.37,-124.29,151.64,252.29,347.53,149.68,252.77,345.91,151.48,251.89,343.97
1993-01-01,53.37,-124.29,207.63,289.29,408.32,207.39,289.43,407.00,207.54,289.07,413.31
1994-01-01,53.37,-124.29,185.60,232.66,338.03,185.35,233.44,338.05,184.95,232.89,337.47
1995-01-01,53.37,-124.29,215.39,282.30,362.50,216.62,282.21,358.95,216.24,282.31,360.42
1996-01-01,53.37,-124.29,203.46,265.56,461.28,203.29,264.78,459.98,202.84,264.58,457.07
1997-01-01,53.37,-124.29,198.12,286.54,472.34,196.99,287.84,472.67,196.75,285.63,473.34
1998-01-01,53.37,-124.29,211.58,307.78,453.16,210.14,307.48,449.83,212.00,307.05,451.54
1999-01-01,53.37,-124.29,256.55,296.12,374.93,257.93,296.60,374.93,256.99,296.16,377.70
2000-01-01,53.37,-124.29,242.51,302.12,443.53,242.85,302.04,439.87,241.31,303.93,441.03
2001-01-01,53.37,-124.29,220.17,335.37,482.79,219.90,332.84,482.03,219.50,332.81,479.33
2002-01-01,53.37,-124.29,274.56,366.11,440.71,272.63,366.01,438.65,274.04,363.83,437.88
2003-01-01,53.37,-124.29,197.28,306.63,481.61,197.42,306.37,481.40,197.06,306.55,482.30
2004-01-01,53.37,-124.29,229.42,320.96,447.74,229.26,320.54,450.86,229.95,319.89,448.80
2005-01-01,53.37,-124.29,251.61,343.12,435.81,253.32,343.78,437.34,256.74,341.74,436.11
2006-01-01,53.37,-124.29,205.92,331.75,421.10,248.28,367.66,509.78,221.77,315.89,442.06
2007-01-01,53.37,-124.29,297.40,373.56,523.23,250.61,337.47,435.01,243.45,349.56,550.83
2008-01-01,53.37,-124.29,223.57,274.61,414.07,212.29,341.51,456.70,220.71,355.76,530.20
2009-01-01,53.37,-124.29,209.12,311.19,363.39,269.69,353.68,456.04,223.83,341.02,489.18
2010-01-01,53.37,-124.29,277.89,332.18,449.91,271.59,347.08,504.16,229.53,353.54,527.67
2011-01-01,53.37,-124.29,272.67,371.51,494.73,217.19,329.18,570.22,255.15,319.10,468.87
2012-01-01,53.37,-124.29,286.22,376.37,507.90,264.90,344.12,449.51,250.74,359.53,483.70
2013-01-01,53.37,-124.29,231.68,363.06,465.11,233.33,348.90,464.37,277.04,327.32,474.92
2014-01-01,53.37,-124.29,252.67,356.73,495.81,296.32,356.31,493.06,298.75,367.64,490.84
2015-01-01,53.37,-124.29,291.61,381.98,579.21,270.66,341.22,508.06,310.79,387.16,547.66
2016-01-01,53.37,-124.29,252.84,409.97,562.86,250.24,371.86,485.09,258.55,396.44,584.76
2017-01-01,53.37,-124.29,245.67,324.63,535.22,277.12,379.45,509.85,321.05,393.58,534.02
2018-01-01,53.37,-124.29,252.57,395.20,575.40,256.69,380.14,496.53,230.47,326.17,490.48
2019-01-01,53.37,-124.29,252.92,386.04,524.55,221.85,411.45,522.41,224.80,403.97,522.72
2020-01-01,53.37,-124.29,277.82,360.81,490.91,274.06,373.81,533.89,288.24,374.57,572.12
2021-01-01,53.37,-124.29,262.85,379.62,535.47,363.46,397.19,499.14,295.96,397.60,556.77
2022-01-01,53.37,-124.29,336.23,428.20,582.28,255.92,400.64,476.89,275.14,433.36,559.92
2023-01-01,53.37,-124.29,328.18,436.16,587.19,299.54,400.80,543.56,320.84,426.66,574.72
2024-01-01,53.37,-124.29,293.42,368.56,614.45,272.40,431.09,552.13,320.61,400.10,500.61
2025-01-01,53.37,-124.29,296.16,384.43,496.90,317.88,417.60,567.33,328.35,418.83,599.66
2026-01-01,53.37,-124.29,324.41,414.65,555.18,301.68,426.89,590.45,329.07,434.70,540.95
2027-01-01,53.37,-124.29,298.50,408.48,601.67,290.82,439.39,592.77,347.54,452.34,596.33
2028-01-01,53.37,-124.29,287.11,425.51,571.36,315.62,405.95,562.76,271.90,402.00,576.95
2029-01-01,53.37,-124.29,301.21,403.51,572.68,320.95,460.87,592.62,338.35,437.49,581.82
2030-01-01,53.37,-124.29,316.39,405.46,585.61,351.51,423.28,591.08,292.94,416.43,559.46
2031-01-01,53.37,-124.29,331.22,402.27,554.57,326.27,449.26,582.10,278.83,427.59,582.32
2032-01-01,53.37,-124.29,292.56,408.58,596.42,243.52,458.96,578.35,276.01,433.76,680.14
2033-01-01,53.37,-124.29,264.94,433.68,638.24,317.03,457.81,650.85,319.97,466.68,679.44
2034-01-01,53.37,-124.29,370.21,456.46,579.08,281.45,445.82,581.25,279.60,464.47,606.40
2035-01-01,53.37,-124.29,331.42,431.69,559.81,365.94,467.42,571.55,312.20,452.20,706.13
2036-01-01,53.37,-124.29,331.36,440.31,600.90,302.98,471.35,608.40,338.29,501.82,628.79
2037-01-01,53.37,-124.29,312.21,440.50,566.55,385.52,516.05,630.39,361.50,508.19,586.62
2038-01-01,53.37,-124.29,360.40,428.89,618.34,310.10,424.57,537.49,428.87,499.01,621.29
2039-01-01,53.37,-124.29,357.57,430.34,572.10,369.97,462.54,589.47,357.19,514.05,677.11
2040-01-01,53.37,-124.29,348.15,484.10,641.25,356.52,485.23,608.00,327.03,531.25,615.28
2041-01-01,53.37,-124.29,317.85,501.51,711.67,321.28,456.62,680.26,375.93,525.57,716.31
2042-01-01,53.37,-124.29,284.57,449.85,649.26,297.74,473.82,602.01,313.92,517.09,704.56
2043-01-01,53.37,-124.29,342.53,458.02,586.95,370.77,455.18,579.95,338.09,584.05,752.93
2044-01-01,53.37,-124.29,377.67,475.80,596.44,396.80,494.06,783.69,387.22,583.94,697.82
2045-01-01,53.37,-124.29,327.07,464.31,612.98,291.10,462.86,622.62,356.48,538.47,763.97
2046-01-01,53.37,-124.29,338.71,481.03,613.99,324.39,459.57,672.32,430.38,549.60,703.16
2047-01-01,53.37,-124.29,343.59,463.50,619.45,380.17,519.71,664.50,405.65,537.14,749.84
2048-01-01,53.37,-124.29,323.84,454.75,631.81,342.89,455.99,767.58,435.40,596.32,759.83
2049-01-01,53.37,-124.29,330.97,496.08,635.34,360.40,523.59,718.63,416.51,560.39,720.91
2050-01-01,53.37,-124.29,252.00,404.93,639.20,388.08,480.84,660.81,384.09,569.13,793.87
2051-01-01,53.37,-124.29,300.53,483.36,535.64,445.07,558.12,715.01,471.44,604.98,818.70
2052-01-01,53.37,-124.29,319.28,446.42,700.38,379.43,540.04,713.69,498.82,607.82,828.75
2053-01-01,53.37,-124.29,306.76,415.74,605.59,374.10,515.52,662.74,521.96,630.62,835.18
2054-01-01,53.37,-124.29,366.69,478.98,664.10,375.58,505.21,670.77,489.43,633.06,817.43
2055-01-01,53.37,-124.29,349.76,493.75,718.22,432.59,536.88,801.90,512.51,644.99,881.96
2056-01-01,53.37,-124.29,331.88,431.72,680.06,373.60,489.24,765.96,584.67,683.01,808.55
2057-01-01,53.37,-124.29,347.56,479.25,570.04,386.10,518.72,678.29,492.29,644.65,897.69
2058-01-01,53.37,-124.29,331.03,457.11,598.23,343.42,608.21,717.75,425.00,691.69,886.52
2059-01-01,53.37,-124.29,311.32,418.97,637.53,399.23,550.65,757.06,456.22,672.13,877.87
2060-01-01,53.37,-124.29,362.77,470.08,656.24,399.79,570.72,747.47,568.98,707.74,972.71
2061-01-01,53.37,-124.29,388.62,514.69,687.06,409.66,556.67,749.32,445.99,706.42,905.65
2062-01-01,53.37,-124.29,315.22,489.01,585.33,375.85,552.97,808.67,551.79,691.16,944.02
2063-01-01,53.37,-124.29,342.96,471.57,625.41,378.23,591.64,794.75,513.40,705.98,1033.62
2064-01-01,53.37,-124.29,284.25,443.84,607.70,393.39,582.85,737.80,432.78,721.17,923.94
2065-01-01,53.37,-124.29,367.00,476.69,600.87,436.69,523.76,669.77,476.47,760.83,924.79
2066-01-01,53.37,-124.29,324.09,434.64,635.45,468.18,587.82,753.44,550.60,822.64,1089.35
2067-01-01,53.37,-124.29,337.74,451.45,650.71,448.37,577.43,744.95,515.26,797.20,1145.87
2068-01-01,53.37,-124.29,301.70,426.72,603.65,458.62,531.00,738.90,608.92,779.63,952.77
2069-01-01,53.37,-124.29,365.22,479.52,645.24,427.05,581.67,794.20,651.44,763.46,933.97
2070-01-01,53.37,-124.29,332.53,486.75,621.31,356.09,566.93,737.47,571.74,719.97,1014.73
2071-01-01,53.37,-124.29,344.97,466.78,624.07,456.17,606.02,783.50,508.19,833.53,1041.62
2072-01-01,53.37,-124.29,281.40,484.25,619.52,435.05,656.23,865.31,581.84,861.49,1104.61
2073-01-01,53.37,-124.29,318.12,443.98,580.91,420.33,578.43,823.33,605.49,824.16,1121.06
2074-01-01,53.37,-124.29,312.17,463.42,596.22,367.33,563.80,810.52,561.68,771.91,1070.18
2075-01-01,53.37,-124.29,396.41,480.46,610.34,395.90,545.33,825.26,585.82,801.60,1089.65
2076-01-01,53.37,-124.29,367.27,470.08,608.54,396.80,561.44,758.92,652.31,842.25,1134.39
2077-01-01,53.37,-124.29,342.19,474.13,645.90,432.46,591.33,856.83,651.67,880.87,1114.21
2078-01-01,53.37,-124.29,330.85,473.30,609.93,366.67,642.34,786.54,606.31,849.60,1241.58
2079-01-01,53.37,-124.29,322.05,451.38,659.68,407.78,606.20,821.43,592.42,920.20,1182.65
2080-01-01,53.37,-124.29,322.31,440.16,633.01,414.08,627.20,805.59,621.90,897.07,1317.07
2081-01-01,53.37,-124.29,331.56,463.53,562.68,432.33,661.74,795.14,598.80,873.14,1259.83
2082-01-01,53.37,-124.29,367.56,487.50,589.08,397.49,580.15,800.71,659.28,926.28,1213.90
2083-01-01,53.37,-124.29,335.91,485.08,685.42,435.71,628.89,852.03,607.51,923.81,1313.22
2084-01-01,53.37,-124.29,327.92,462.18,547.43,442.52,616.41,837.81,577.51,928.21,1319.02
2085-01-01,53.37,-124.29,317.98,477.79,640.62,404.76,589.63,879.03,648.14,999.24,1299.84
2086-01-01,53.37,-124.29,296.12,461.88,602.96,418.97,625.69,811.02,713.82,969.38,1284.90
2087-01-01,53.37,-124.29,348.52,481.60,645.30,380.55,591.10,872.80,719.92,993.32,1262.71
2088-01-01,53.37,-124.29,337.39,514.26,615.30,419.14,611.71,895.67,701.93,901.07,1191.55
2089-01-01,53.37,-124.29,332.04,439.69,673.17,485.85,671.02,845.81,692.43,971.83,1446.07
2090-01-01,53.37,-124.29,313.01,452.23,617.21,480.93,659.50,803.22,654.87,978.87,1374.81
2091-01-01,53.37,-124.29,397.74,484.47,697.81,436.00,570.33,827.48,790.90,1012.72,1311.52
2092-01-01,53.37,-124.29,356.99,449.50,599.47,467.63,629.75,799.33,719.14,1074.65,1338.27
2093-01-01,53.37,-124.29,334.41,483.66,698.73,368.97,551.14,744.12,724.32,1041.25,1363.22
2094-01-01,53.37,-124.29,296.77,458.96,628.35,446.54,624.95,742.61,736.00,1026.54,1267.92
2095-01-01,53.37,-124.29,357.65,456.62,602.14,471.99,636.45,874.59,763.50,964.29,1449.88
2096-01-01,53.37,-124.29,318.58,455.12,595.76,520.14,716.51,814.84,673.99,1102.21,1378.63
2097-01-01,53.37,-124.29,329.50,465.83,615.49,444.64,635.75,859.57,826.74,1084.73,1413.13
2098-01-01,53.37,-124.29,311.75,412.45,694.75,537.84,658.04,883.01,831.83,1141.82,1521.75
2099-01-01,53.37,-124.29,307.21,426.21,680.42,473.19,704.91,827.48,741.06,1159.11,1497.58
2100-01-01,53.37,-124.29,315.35,465.40,658.88,501.58,596.35,869.66,767.70,1147.21,1557.94
1950-01-01,53.37,-121.54,218.43,289.98,414.74,218.04,289.98,414.75,218.91,289.98,415.25
1951-01-01,53.37,-121.54,225.64,317.39,422.58,225.64,316.69,420.12,225.30,318.77,420.12
1952-01-01,53.37,-121.54,185.51,245.58,409.11,185.20,245.58,409.11,188.50,245.58,409.11
1953-01-01,53.37,-121.54,176.18,233.85,339.79,175.70,234.58,339.08,175.70,234.84,339.50
1954-01-01,53.37,-121.54,192.42,275.88,394.55,192.04,275.26,394.55,192.04,276.74,394.55
1955-01-01,53.37,-121.54,166.23,275.50,367.53,167.05,275.49,367.05,165.04,275.50,367.88
1956-01-01,53.37,-121.54,184.90,286.63,361.48,185.16,284.74,361.49,184.83,285.25,361.48
1957-01-01,53.37,-121.54,168.11,281.90,402.59,168.28,281.50,402.60,168.28,281.26,402.60
1958-01-01,53.37,-121.54,164.05,252.46,338.80,163.39,252.47,338.80,160.67,252.46,338.79
1959-01-01,53.37,-121.54,143.62,246.77,354.57,143.62,247.24,356.86,143.62,246.29,356.35
1960-01-01,53.37,-121.54,173.09,274.49,398.91,172.82,274.57,398.91,172.54,275.09,398.91
1961-01-01,53.37,-121.54,199.08,289.32,356.00,199.49,289.32,356.00,199.49,289.32,356.00
1962-01-01,53.37,-121.54,178.03,255.16,337.80,178.03,255.16,337.80,177.20,255.16,337.80
1963-01-01,53.37,-121.54,193.16,252.92,365.84,194.93,252.92,365.84,194.72,252.92,365.58
1964-01-01,53.37,-121.54,128.64,262.76,343.29,127.71,262.76,342.71,128.18,262.76,342.99
1965-01-01,53.37,-121.54,157.04,234.87,324.36,157.16,234.32,324.44,156.92,234.20,324.03
1966-01-01,53.37,-121.54,178.46,240.69,353.85,178.27,240.91,353.85,178.65,240.77,354.65
1967-01-01,53.37,-121.54,166.00,254.12,304.26,165.91,253.75,304.48,166.00,254.31,305.19
1968-01-01,53.37,-121.54,137.73,244.62,298.79,137.73,244.62,298.78,137.73,244.62,298.78
1969-01-01,53.37,-121.54,148.57,198.03,329.90,148.57,198.03,329.91,148.57,198.03,329.90
1970-01-01,53.37,-121.54,202.49,273.75,375.05,201.70,273.75,375.05,201.94,273.75,373.21
1971-01-01,53.37,-121.54,201.92,282.40,357.29,201.92,281.58,357.27,201.92,280.20,357.27
1972-01-01,53.37,-121.54,160.70,267.81,358.19,162.31,267.82,358.19,162.34,267.82,358.19
1973-01-01,53.37,-121.54,158.61,251.83,385.51,158.61,251.76,385.38,158.61,251.76,385.35
1974-01-01,53.37,-121.54,167.43,235.76,362.03,167.24,236.14,362.03,167.85,235.84,362.03
1975-01-01,53.37,-121.54,140.38,284.25,446.13,140.38,284.25,446.21,140.38,284.76,446.21
1976-01-01,53.37,-121.54,206.83,291.30,360.52,206.83,291.23,360.82,206.83,291.19,360.62
1977-01-01,53.37,-121.54,175.34,263.00,400.81,175.34,263.00,401.72,175.34,263.00,401.32
1978-01-01,53.37,-121.54,236.50,298.79,367.04,236.50,298.48,367.04,236.50,299.32,367.04
1979-01-01,53.37,-121.54,208.51,281.36,474.46,208.51,281.36,475.16,208.51,281.36,475.16
1980-01-01,53.37,-121.54,185.11,304.58,360.89,184.67,303.01,362.66,184.74,304.36,362.98
1981-01-01,53.37,-121.54,200.18,275.96,386.83,200.71,274.59,389.47,200.42,274.10,388.46
1982-01-01,53.37,-121.54,188.85,267.33,374.48,188.47,268.50,374.84,189.43,265.49,373.80
1983-01-01,53.37,-121.54,173.87,280.94,368.53,174.34,281.16,367.64,174.03,280.47,371.96
1984-01-01,53.37,-121.54,202.75,267.98,416.55,203.23,267.02,416.78,203.99,266.77,417.26
1985-01-01,53.37,-121.54,199.41,329.50,401.45,200.16,326.87,400.90,200.52,328.34,402.86
1986-01-01,53.37,-121.54,209.90,271.85,345.40,210.49,272.45,344.06,208.31,270.49,345.85
1987-01-01,53.37,-121.54,231.37,287.36,400.15,231.56,286.36,403.36,233.24,286.57,401.28
1988-01-01,53.37,-121.54,207.16,297.12,350.73,206.56,296.40,352.89,208.47,295.59,350.20
1989-01-01,53.37,-121.54,244.52,289.07,413.01,245.66,286.32,415.50,244.96,289.46,413.58
1990-01-01,53.37,-121.54,185.45,293.70,401.90,183.93,294.94,399.90,185.30,293.60,400.23
1991-01-01,53.37,-121.54,196.02,298.03,364.88,198.63,297.19,365.78,197.97,296.00,366.24
1992-01-01,53.37,-121.54,200.11,269.88,334.45,197.53,270.37,334.02,198.90,270.90,332.46
1993-01-01,53.37,-121.54,218.24,299.10,423.59,217.03,299.57,422.03,216.21,299.51,429.87
1994-01-01,53.37,-121.54,196.54,253.27,361.41,196.71,252.86,363.39,196.23,253.99,363.46
1995-01-01,53.37,-121.54,239.04,307.95,369.37,239.96,308.88,365.94,238.31,307.66,368.81
1996-01-01,53.37,-121.54,226.94,281.15,453.82,227.47,280.50,453.54,226.90,280.11,453.03
1997-01-01,53.37,-121.54,219.71,296.09,454.98,219.58,295.52,456.17,220.50,294.93,454.82
1998-01-01,53.37,-121.54,228.98,333.37,439.41,228.76,333.14,437.83,228.27,333.62,439.85
1999-01-01,53.37,-121.54,262.78,317.84,382.61,263.51,316.29,382.13,261.10,315.30,384.15
2000-01-01,53.37,-121.54,250.41,328.61,449.71,249.89,328.53,448.30,248.46,330.34,449.68
