time,lat,lon,rcp26_tx_max_p10,rcp26_tx_max_p50,rcp26_tx_max_p90,rcp45_tx_max_p10,rcp45_tx_max_p50,rcp45_tx_max_p90,rcp85_tx_max_p10,rcp85_tx_max_p50,rcp85_tx_max_p90
1950-01-01,53.37,-124.29,26.93,30.07,33.63,26.93,30.07,33.63,26.93,30.07,33.63
1951-01-01,53.37,-124.29,26.42,28.63,31.27,26.42,28.63,31.27,26.42,28.63,31.27
1952-01-01,53.37,-124.29,26.67,29.08,32.36,26.67,29.08,32.36,26.67,29.08,32.36
1953-01-01,53.37,-124.29,26.36,29.08,31.11,26.36,29.08,31.11,26.36,29.08,31.11
1954-01-01,53.37,-124.29,26.35,28.81,31.25,26.35,28.81,31.25,26.35,28.81,31.25
1955-01-01,53.37,-124.29,26.61,28.51,31.78,26.61,28.51,31.78,26.61,28.51,31.78
1956-01-01,53.37,-124.29,27.65,29.80,32.11,27.65,29.80,32.11,27.65,29.80,32.11
1957-01-01,53.37,-124.29,26.95,29.51,31.15,26.95,29.51,31.15,26.95,29.51,31.15
1958-01-01,53.37,-124.29,25.76,28.73,32.47,25.76,28.73,32.47,25.76,28.73,32.47
1959-01-01,53.37,-124.29,25.80,28.94,30.59,25.80,28.94,30.59,25.80,28.94,30.59
1960-01-01,53.37,-124.29,26.77,29.49,31.28,26.77,29.49,31.28,26.77,29.49,31.28
1961-01-01,53.37,-124.29,26.45,29.33,31.56,26.45,29.33,31.56,26.45,29.33,31.56
1962-01-01,53.37,-124.29,26.06,28.36,32.09,26.06,28.36,32.09,26.06,28.36,32.09
1963-01-01,53.37,-124.29,25.82,28.73,31.72,25.82,28.73,31.72,25.82,28.73,31.72
1964-01-01,53.37,-124.29,25.03,29.04,32.09,25.03,29.04,32.09,25.03,29.04,32.09
1965-01-01,53.37,-124.29,24.69,29.26,31.46,24.69,29.26,31.46,24.69,29.26,31.46
1966-01-01,53.37,-124.29,27.27,29.25,31.88,27.27,29.25,31.88,27.27,29.25,31.88
1967-01-01,53.37,-124.29,27.28,28.88,30.62,27.28,28.88,30.62,27.28,28.88,30.62
1968-01-01,53.37,-124.29,26.54,28.75,31.24,26.54,28.75,31.24,26.54,28.75,31.24
1969-01-01,53.37,-124.29,25.29,28.26,30.30,25.29,28.26,30.30,25.29,28.26,30.30
1970-01-01,53.37,-124.29,26.50,28.98,31.60,26.50,28.98,31.60,26.50,28.98,31.60
1971-01-01,53.37,-124.29,26.95,28.83,30.69,26.95,28.83,30.69,26.95,28.83,30.69
1972-01-01,53.37,-124.29,25.53,28.75,30.16,25.53,28.75,30.16,25.53,28.75,30.16
1973-01-01,53.37,-124.29,26.89,28.53,31.41,26.89,28.53,31.41,26.89,28.53,31.41
1974-01-01,53.37,-124.29,26.27,28.79,30.76,26.27,28.79,30.76,26.27,28.79,30.76
1975-01-01,53.37,-124.29,26.95,28.90,30.60,26.95,28.90,30.60,26.95,28.90,30.60
1976-01-01,53.37,-124.29,27.56,28.79,32.59,27.56,28.79,32.59,27.56,28.79,32.59
1977-01-01,53.37,-124.29,27.41,28.94,31.52,27.41,28.94,31.52,27.41,28.94,31.52
1978-01-01,53.37,-124.29,27.80,29.99,32.76,27.80,29.99,32.76,27.80,29.99,32.76
1979-01-01,53.37,-124.29,25.53,29.50,32.54,25.53,29.50,32.54,25.53,29.50,32.54
1980-01-01,53.37,-124.29,25.93,29.76,32.41,25.94,29.66,31.84,25.96,29.76,31.84
1981-01-01,53.37,-124.29,26.71,28.99,31.56,26.72,28.99,30.90,26.73,28.99,31.36
1982-01-01,53.37,-124.29,26.13,27.97,30.41,26.12,27.98,30.40,26.12,27.98,30.42
1983-01-01,53.37,-124.29,26.48,28.47,31.41,26.50,28.37,31.41,26.52,28.44,31.22
1984-01-01,53.37,-124.29,27.45,28.86,32.39,27.47,28.91,32.39,27.52,28.69,32.39
1985-01-01,53.37,-124.29,26.69,29.94,32.88,26.66,30.04,32.86,26.69,30.03,32.84
1986-01-01,53.37,-124.29,26.33,29.00,31.15,26.25,29.01,31.14,26.46,29.11,31.35
1987-01-01,53.37,-124.29,26.72,29.11,31.29,26.75,29.13,31.33,26.76,29.14,31.33
1988-01-01,53.37,-124.29,25.79,28.42,30.68,25.70,28.38,30.66,25.67,28.37,30.70
1989-01-01,53.37,-124.29,26.92,29.72,31.86,26.66,29.76,31.38,26.83,29.77,31.86
