time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
1950-01-01,-124.29,53.37,14.00,18.00,30.90,14.00,18.00,30.90,14.00,19.00,30.60
1951-01-01,-124.29,53.37,14.30,19.50,30.70,14.30,20.50,30.00,14.30,19.50,30.00
1952-01-01,-124.29,53.37,18.00,22.50,29.00,18.00,22.50,30.40,18.00,22.50,29.00
1953-01-01,-124.29,53.37,13.60,18.50,27.00,13.60,19.50,27.00,13.60,19.00,27.00
1954-01-01,-124.29,53.37,16.00,20.50,33.00,16.00,21.00,33.00,16.00,21.00,33.00
1955-01-01,-124.29,53.37,18.30,21.00,29.00,18.30,21.00,29.00,18.30,21.50,29.00
1956-01-01,-124.29,53.37,15.00,20.50,25.40,15.00,21.00,25.40,15.00,19.00,23.70
1957-01-01,-124.29,53.37,17.00,21.00,34.10,16.30,21.00,34.10,17.00,22.00,34.70
1958-01-01,-124.29,53.37,15.00,20.00,27.10,14.30,20.00,27.40,14.30,20.00,27.10
1959-01-01,-124.29,53.37,13.00,19.00,24.70,13.30,19.00,24.70,13.00,19.00,24.70
1960-01-01,-124.29,53.37,15.00,18.50,28.70,15.00,20.00,28.00,15.00,20.00,28.00
1961-01-01,-124.29,53.37,15.30,20.50,31.20,15.30,20.00,31.20,15.30,20.00,31.20
1962-01-01,-124.29,53.37,14.00,20.50,26.00,14.60,20.50,26.00,14.60,20.00,26.00
1963-01-01,-124.29,53.37,16.00,21.00,30.80,16.30,22.50,30.50,16.00,21.00,26.70
1964-01-01,-124.29,53.37,16.30,23.00,29.00,16.30,23.00,29.00,16.00,21.00,29.00
1965-01-01,-124.29,53.37,16.30,20.50,28.70,16.30,20.50,28.40,16.30,20.50,29.70
1966-01-01,-124.29,53.37,16.00,19.00,28.40,16.00,19.00,28.40,14.60,19.00,28.40
1967-01-01,-124.29,53.37,14.00,18.00,29.10,14.00,18.00,29.10,14.00,19.00,29.10
1968-01-01,-124.29,53.37,15.30,18.00,28.70,15.30,19.50,28.70,15.00,19.50,28.70
1969-01-01,-124.29,53.37,15.00,20.00,26.70,15.00,20.00,26.70,14.30,20.50,26.70
1970-01-01,-124.29,53.37,14.30,21.00,35.70,14.00,20.50,35.70,14.00,21.00,35.70
1971-01-01,-124.29,53.37,15.00,21.50,34.70,15.00,23.00,34.70,17.00,22.50,34.70
1972-01-01,-124.29,53.37,14.30,21.00,30.40,14.30,21.50,28.70,14.60,21.00,28.70
1973-01-01,-124.29,53.37,15.30,21.00,29.40,15.30,21.00,29.40,15.30,19.00,29.40
1974-01-01,-124.29,53.37,14.00,19.50,33.10,14.00,19.50,33.10,14.00,19.50,29.50
1975-01-01,-124.29,53.37,16.00,19.50,32.70,15.00,19.00,32.70,15.00,19.00,32.00
1976-01-01,-124.29,53.37,14.60,17.50,26.70,14.00,17.50,28.00,14.60,20.00,27.70
1977-01-01,-124.29,53.37,16.30,21.00,26.00,16.30,21.00,26.00,16.30,21.00,26.00
