time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-124.29,53.37,398.96,461.35,615.91,399.31,461.35,615.91,399.79,461.35,615.91
1951-01-01,-124.29,53.37,402.16,470.26,533.27,402.16,469.28,533.28,402.16,467.55,533.28
1952-01-01,-124.29,53.37,388.82,455.82,568.78,389.40,456.93,568.79,389.59,456.93,568.79
1953-01-01,-124.29,53.37,404.75,478.14,555.71,403.53,478.74,552.84,403.21,478.75,555.72
1954-01-01,-124.29,53.37,374.39,450.40,526.17,374.38,445.71,526.17,374.38,446.61,526.17
1955-01-01,-124.29,53.37,359.47,450.37,578.62,358.13,450.37,578.63,358.13,450.37,578.63
1956-01-01,-124.29,53.37,393.86,446.78,524.74,393.86,446.78,525.22,393.86,446.78,525.15
1957-01-01,-124.29,53.37,408.00,477.51,546.29,409.05,476.98,546.28,408.42,476.98,546.64
1958-01-01,-124.29,53.37,424.33,498.45,549.94,423.77,498.45,549.29,423.78,498.45,548.47
1959-01-01,-124.29,53.37,417.73,489.61,580.45,417.73,489.60,580.45,417.74,489.60,580.45
1960-01-01,-124.29,53.37,385.86,477.43,562.66,385.86,479.03,562.66,385.86,479.15,562.67
1961-01-01,-124.29,53.37,410.59,463.82,565.31,410.05,462.34,565.31,410.60,464.16,565.31
1962-01-01,-124.29,53.37,386.04,487.54,601.66,386.21,487.40,601.67,385.80,488.41,601.66
1963-01-01,-124.29,53.37,389.00,499.20,527.57,389.00,499.21,524.44,389.00,499.21,524.17
1964-01-01,-124.29,53.37,391.22,434.58,467.49,391.21,434.58,467.50,391.83,434.01,467.51
1965-01-01,-124.29,53.37,371.65,452.06,532.59,371.31,453.53,532.07,371.95,453.81,531.69
1966-01-01,-124.29,53.37,400.88,462.02,524.70,400.88,462.93,524.70,400.88,464.26,524.71
1967-01-01,-124.29,53.37,398.87,473.03,585.09,398.87,473.02,583.81,398.87,470.79,582.79
1968-01-01,-124.29,53.37,379.05,476.17,555.04,378.28,477.84,554.89,379.13,478.16,554.90
1969-01-01,-124.29,53.37,400.45,458.21,535.09,400.44,457.74,535.10,400.44,458.15,535.09
1970-01-01,-124.29,53.37,358.45,474.94,544.86,358.52,475.79,544.86,358.63,475.79,544.87
1971-01-01,-124.29,53.37,405.63,461.95,514.10,404.01,461.13,514.99,404.01,461.99,513.50
1972-01-01,-124.29,53.37,386.52,469.32,555.08,386.52,469.32,555.07,386.52,469.32,555.09
1973-01-01,-124.29,53.37,396.19,470.84,546.95,396.44,470.99,546.95,394.13,471.83,546.95
1974-01-01,-124.29,53.37,371.91,465.45,582.02,371.91,465.46,584.74,371.91,465.45,584.22
1975-01-01,-124.29,53.37,401.54,441.96,553.57,399.10,441.95,553.46,402.11,441.96,554.04
1976-01-01,-124.29,53.37,399.26,440.67,512.79,399.27,440.66,508.28,399.26,440.67,508.28
1977-01-01,-124.29,53.37,374.47,460.45,560.69,373.83,460.45,560.69,376.51,460.45,560.69
1978-01-01,-124.29,53.37,394.39,495.90,606.00,394.39,495.89,606.45,394.39,495.89,606.48
1979-01-01,-124.29,53.37,398.44,480.53,568.31,398.44,480.61,568.31,398.44,482.26,568.32
1980-01-01,-124.29,53.37,371.94,474.67,546.51,375.22,472.73,549.32,375.33,474.86,548.31
1981-01-01,-124.29,53.37,424.52,524.26,564.46,428.03,518.55,565.82,429.52,519.10,561.47
1982-01-01,-124.29,53.37,417.10,490.22,547.08,420.33,486.80,549.69,418.12,491.28,549.47
1983-01-01,-124.29,53.37,410.88,465.68,538.30,412.08,463.63,539.50,411.20,465.90,541.76
1984-01-01,-124.29,53.37,383.83,438.24,567.36,390.17,438.06,568.26,388.95,441.25,569.06
1985-01-01,-124.29,53.37,402.48,463.47,579.34,401.42,465.57,576.97,404.94,464.22,579.69
1986-01-01,-124.29,53.37,408.26,506.18,549.34,412.56,506.69,550.07,410.28,507.12,551.92
1987-01-01,-124.29,53.37,382.34,454.22,551.86,384.24,455.96,550.19,386.46,455.91,548.87
1988-01-01,-124.29,53.37,389.75,479.95,554.04,389.43,482.86,561.45,391.57,480.82,561.13
1989-01-01,-124.29,53.37,391.74,468.47,519.79,398.14,469.72,522.29,397.92,471.40,520.47
1990-01-01,-124.29,53.37,419.07,482.47,585.27,417.61,481.25,587.11,415.41,481.72,585.47
1991-01-01,-124.29,53.37,437.98,499.40,559.71,439.09,500.66,558.89,439.54,499.91,561.80
1992-01-01,-124.29,53.37,398.36,464.99,548.82,398.53,465.10,550.74,400.48,460.95,550.59
1993-01-01,-124.29,53.37,381.43,471.71,559.14,382.41,471.71,557.94,380.65,469.61,560.61
1994-01-01,-124.29,53.37,431.71,486.47,551.95,431.82,489.49,553.71,431.11,489.82,554.27
1995-01-01,-124.29,53.37,396.82,470.17,609.88,396.48,469.79,610.53,401.85,470.86,612.17
1996-01-01,-124.29,53.37,348.85,467.58,553.29,351.86,468.16,553.82,348.69,470.39,557.43
1997-01-01,-124.29,53.37,411.98,454.10,556.65,414.30,455.22,555.98,416.96,453.76,562.06
1998-01-01,-124.29,53.37,414.29,469.34,516.92,414.69,467.03,517.36,414.69,467.70,516.63
