"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1920","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1190","","","t","0"
"1921","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1140","","","t","0"
"1922","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1455","","","t","0"
"1923","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1475","","","t","0"
"1924","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1345","","","t","0"
"1925","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1255","","","t","0"
"1926","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1445","","","t","0"
"1927","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1435","","","t","0"
"1928","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1475","","","t","0"
"1929","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","840","","","t","0"
"1930","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1240","","","t","0"
"1931","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","845","","","t","0"
"1932","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1075","","","t","0"
"1933","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","840","","","t","0"
"1934","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","815","","","t","0"
"1935","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1055","","","t","0"
"1936","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","760","","","t","0"
"1937","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","940","","","t","0"
"1938","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1170","","","t","0"
"1939","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1210","","","t","0"
"1940","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1235","","","t","0"
"1941","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1075","","","t","0"
"1942","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","2020","","","t","0"
"1943","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1385","","","t","0"
"1944","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1420","","","t","0"
"1945","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1130","","","t","0"
"1946","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1240","","","t","0"
"1947","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1000","","","t","0"
"1948","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1255","","","t","0"
"1949","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1045","","","t","0"
"1950","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1360","","","t","0"
"1951","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1670","","","t","0"
"1952","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1855","","","t","0"
"1953","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1570","","","t","0"
"1954","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1185","","","t","0"
"1955","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1360","","","t","0"
"1956","Prairie Provinces","2016A00014","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114369","8.18.6","1725","","","t","0"
