time,lat,lon,rcp26_tn_min_p10,rcp26_tn_min_p50,rcp26_tn_min_p90,rcp45_tn_min_p10,rcp45_tn_min_p50,rcp45_tn_min_p90,rcp85_tn_min_p10,rcp85_tn_min_p50,rcp85_tn_min_p90
1950-01-01,54.71,-104.29,-43.88,-40.14,-37.95,-43.88,-40.14,-37.95,-43.88,-40.14,-37.95
1951-01-01,54.71,-104.29,-43.62,-41.42,-39.75,-43.62,-41.42,-39.75,-43.62,-41.42,-39.75
1952-01-01,54.71,-104.29,-44.06,-41.30,-39.52,-44.06,-41.30,-39.52,-44.06,-41.30,-39.52
1953-01-01,54.71,-104.29,-44.62,-41.97,-38.06,-44.62,-41.97,-38.06,-44.62,-41.97,-38.01
1954-01-01,54.71,-104.29,-44.82,-41.79,-37.81,-44.82,-41.79,-37.81,-44.82,-41.79,-37.81
1955-01-01,54.71,-104.29,-44.02,-41.23,-38.76,-44.02,-41.23,-38.76,-44.02,-41.23,-38.76
1956-01-01,54.71,-104.29,-44.21,-40.97,-37.47,-44.21,-40.97,-37.47,-44.21,-40.97,-37.24
1957-01-01,54.71,-104.29,-44.67,-41.65,-36.58,-44.67,-41.65,-36.58,-44.49,-41.65,-36.58
1958-01-01,54.71,-104.29,-45.39,-41.95,-40.00,-45.39,-41.95,-40.00,-44.99,-41.95,-40.00
1959-01-01,54.71,-104.29,-44.27,-42.22,-38.62,-44.27,-42.22,-38.62,-44.27,-42.22,-38.62
1960-01-01,54.71,-104.29,-44.64,-41.53,-38.61,-44.64,-41.53,-38.61,-44.64,-41.53,-38.61
1961-01-01,54.71,-104.29,-46.15,-41.08,-38.40,-46.15,-41.08,-38.40,-45.49,-41.08,-38.40
1962-01-01,54.71,-104.29,-44.74,-41.55,-37.77,-44.74,-41.55,-37.77,-44.70,-41.55,-37.77
1963-01-01,54.71,-104.29,-44.45,-41.65,-39.02,-44.45,-41.65,-39.02,-44.20,-41.65,-39.02
1964-01-01,54.71,-104.29,-44.31,-41.30,-39.53,-44.31,-41.30,-39.53,-44.31,-41.30,-39.53
1965-01-01,54.71,-104.29,-42.83,-41.23,-36.25,-42.83,-41.23,-36.25,-42.83,-41.16,-36.25
1966-01-01,54.71,-104.29,-44.71,-42.15,-37.64,-44.71,-42.15,-37.64,-44.71,-42.44,-37.64
1967-01-01,54.71,-104.29,-46.01,-41.42,-38.54,-46.01,-41.42,-38.54,-45.20,-41.42,-38.54
1968-01-01,54.71,-104.29,-43.98,-41.47,-39.48,-43.98,-41.47,-39.48,-43.98,-41.47,-39.48
1969-01-01,54.71,-104.29,-43.58,-40.44,-38.01,-43.58,-40.44,-38.01,-43.58,-40.44,-38.39
1970-01-01,54.71,-104.29,-44.24,-41.59,-39.50,-44.24,-41.59,-39.50,-44.24,-41.59,-39.52
1971-01-01,54.71,-104.29,-44.43,-41.57,-38.70,-44.43,-41.57,-38.70,-44.45,-41.57,-38.70
1972-01-01,54.71,-104.29,-44.58,-41.06,-38.20,-44.58,-41.06,-38.20,-44.58,-41.06,-38.20
1973-01-01,54.71,-104.29,-44.02,-42.37,-39.35,-44.02,-42.37,-39.35,-44.02,-42.37,-39.35
1974-01-01,54.71,-104.29,-44.43,-41.88,-39.76,-44.43,-41.88,-39.76,-44.43,-41.88,-39.76
1975-01-01,54.71,-104.29,-43.76,-41.52,-37.97,-43.76,-41.52,-37.97,-43.76,-41.52,-37.97
1976-01-01,54.71,-104.29,-43.99,-42.24,-38.51,-43.99,-42.24,-38.51,-43.99,-42.24,-38.51
1977-01-01,54.71,-104.29,-43.39,-40.55,-37.24,-43.39,-40.55,-37.24,-43.39,-40.71,-37.24
1978-01-01,54.71,-104.29,-44.12,-41.02,-37.55,-44.12,-41.02,-37.55,-44.13,-41.02,-37.55
1979-01-01,54.71,-104.29,-45.01,-41.66,-38.86,-45.01,-41.66,-38.86,-45.01,-41.66,-38.86
1980-01-01,54.71,-104.29,-44.08,-41.70,-39.56,-44.08,-41.74,-39.55,-44.08,-41.76,-39.45
1981-01-01,54.71,-104.29,-44.69,-41.72,-39.61,-44.76,-41.82,-39.66,-44.71,-41.95,-39.50
1982-01-01,54.71,-104.29,-44.63,-41.84,-38.98,-44.81,-41.82,-39.06,-43.85,-41.82,-39.07
1983-01-01,54.71,-104.29,-44.90,-40.70,-37.27,-44.90,-40.70,-37.32,-44.50,-40.76,-37.22
1984-01-01,54.71,-104.29,-43.49,-40.15,-38.51,-43.56,-40.18,-38.45,-43.10,-40.33,-38.47
1985-01-01,54.71,-104.29,-44.68,-41.19,-39.14,-44.68,-41.22,-39.13,-44.68,-41.29,-39.12
1986-01-01,54.71,-104.29,-44.77,-41.41,-36.82,-45.10,-41.38,-36.83,-45.10,-41.64,-36.72
1987-01-01,54.71,-104.29,-44.00,-40.89,-35.91,-44.07,-40.82,-36.04,-43.98,-40.98,-35.92
1988-01-01,54.71,-104.29,-46.36,-41.40,-38.16,-46.36,-41.40,-38.07,-46.36,-41.40,-38.15
1989-01-01,54.71,-104.29,-43.49,-41.38,-37.97,-43.49,-41.40,-37.92,-43.49,-41.36,-37.84
1990-01-01,54.71,-104.29,-44.68,-39.72,-37.21,-45.13,-39.81,-37.22,-45.13,-39.73,-37.21
1991-01-01,54.71,-104.29,-42.26,-40.82,-38.42,-42.29,-40.80,-38.43,-42.21,-40.80,-38.39
1992-01-01,54.71,-104.29,-44.28,-39.46,-38.17,-44.30,-39.40,-38.21,-44.27,-39.38,-38.17
1993-01-01,54.71,-104.29,-44.05,-39.43,-36.58,-44.06,-39.60,-36.65,-44.09,-39.42,-36.67
1994-01-01,54.71,-104.29,-44.13,-40.55,-38.74,-44.12,-40.55,-38.66,-44.61,-40.63,-38.68
1995-01-01,54.71,-104.29,-44.66,-40.57,-38.63,-44.72,-40.75,-38.54,-44.66,-40.88,-38.45
1996-01-01,54.71,-104.29,-45.38,-41.08,-37.75,-45.38,-41.03,-37.77,-45.38,-41.03,-38.00
1997-01-01,54.71,-104.29,-43.37,-39.71,-36.47,-43.63,-39.65,-36.58,-42.93,-39.59,-36.44
1998-01-01,54.71,-104.29,-43.73,-39.98,-36.73,-44.23,-39.86,-36.71,-43.73,-39.92,-36.73
1999-01-01,54.71,-104.29,-41.95,-39.87,-35.17,-41.95,-39.86,-35.16,-41.95,-39.87,-35.24
2000-01-01,54.71,-104.29,-42.92,-40.15,-37.82,-42.65,-40.16,-37.77,-42.65,-40.13,-37.86
2001-01-01,54.71,-104.29,-44.37,-40.87,-37.33,-43.97,-40.87,-37.34,-43.91,-41.00,-37.39
2002-01-01,54.71,-104.29,-43.06,-39.97,-36.79,-43.06,-39.98,-36.81,-43.03,-40.06,-36.86
2003-01-01,54.71,-104.29,-42.25,-40.56,-37.32,-42.24,-40.49,-37.38,-42.22,-40.65,-37.44
2004-01-01,54.71,-104.29,-43.25,-40.10,-35.96,-43.65,-40.26,-36.07,-43.17,-40.11,-36.05
2005-01-01,54.71,-104.29,-42.52,-39.22,-37.09,-42.31,-39.10,-37.05,-42.25,-39.14,-37.08
2006-01-01,54.71,-104.29,-42.70,-40.27,-36.51,-42.89,-38.83,-35.17,-41.57,-38.32,-35.01
2007-01-01,54.71,-104.29,-44.67,-40.49,-37.05,-43.29,-40.27,-35.81,-41.59,-39.52,-36.67
2008-01-01,54.71,-104.29,-44.16,-39.95,-36.51,-42.21,-39.59,-37.71,-41.72,-39.26,-36.01
2009-01-01,54.71,-104.29,-41.08,-38.58,-35.50,-43.79,-39.24,-35.62,-41.87,-39.67,-37.09
2010-01-01,54.71,-104.29,-42.30,-38.47,-36.39,-42.63,-39.04,-36.25,-43.31,-38.97,-36.72
2011-01-01,54.71,-104.29,-43.03,-39.45,-35.26,-41.74,-38.34,-36.01,-41.64,-39.06,-35.15
2012-01-01,54.71,-104.29,-41.75,-39.83,-37.34,-41.97,-39.52,-36.36,-43.32,-39.96,-35.85
2013-01-01,54.71,-104.29,-43.44,-39.13,-36.69,-42.59,-40.41,-36.96,-43.75,-40.08,-36.41
2014-01-01,54.71,-104.29,-41.83,-39.11,-35.84,-42.49,-39.60,-35.38,-42.32,-38.48,-33.79
2015-01-01,54.71,-104.29,-41.41,-38.68,-34.94,-43.92,-39.49,-37.06,-41.75,-39.74,-37.70
2016-01-01,54.71,-104.29,-41.05,-38.16,-35.73,-43.43,-39.83,-36.08,-40.37,-38.07,-35.04
2017-01-01,54.71,-104.29,-42.27,-39.68,-34.67,-43.25,-38.87,-36.15,-42.00,-38.76,-34.86
2018-01-01,54.71,-104.29,-41.71,-39.18,-35.07,-42.42,-39.64,-37.10,-41.51,-38.88,-35.35
2019-01-01,54.71,-104.29,-41.20,-39.04,-36.46,-40.86,-39.10,-34.73,-40.74,-38.79,-36.14
2020-01-01,54.71,-104.29,-40.90,-37.74,-36.10,-42.63,-38.60,-35.58,-41.76,-38.33,-35.60
2021-01-01,54.71,-104.29,-43.79,-39.75,-35.27,-42.54,-38.95,-36.28,-42.52,-38.65,-35.45
2022-01-01,54.71,-104.29,-43.59,-40.16,-35.19,-43.72,-39.96,-37.25,-40.68,-38.82,-34.99
2023-01-01,54.71,-104.29,-42.76,-39.29,-36.28,-44.74,-39.00,-35.27,-41.17,-38.43,-35.10
2024-01-01,54.71,-104.29,-41.51,-38.81,-34.66,-41.17,-39.00,-34.09,-42.16,-38.86,-36.04
2025-01-01,54.71,-104.29,-41.65,-39.91,-35.78,-42.77,-39.39,-35.77,-41.85,-38.25,-34.76
2026-01-01,54.71,-104.29,-41.19,-39.07,-35.16,-42.47,-38.33,-35.33,-42.10,-37.74,-35.46
2027-01-01,54.71,-104.29,-41.79,-38.64,-34.24,-40.89,-38.23,-35.72,-41.59,-38.46,-34.28
2028-01-01,54.71,-104.29,-40.17,-38.04,-35.04,-40.99,-37.14,-33.33,-41.34,-38.23,-34.22
2029-01-01,54.71,-104.29,-41.30,-38.87,-34.93,-42.20,-39.77,-36.61,-41.32,-38.85,-36.14
2030-01-01,54.71,-104.29,-40.76,-37.38,-33.63,-39.53,-37.84,-34.45,-40.88,-37.46,-32.30
2031-01-01,54.71,-104.29,-42.71,-39.32,-34.79,-41.46,-39.21,-36.69,-40.69,-38.54,-36.59
2032-01-01,54.71,-104.29,-43.25,-39.55,-33.51,-43.55,-37.78,-35.01,-43.50,-38.36,-34.28
2033-01-01,54.71,-104.29,-41.23,-37.93,-36.16,-42.57,-38.46,-34.45,-41.44,-37.86,-33.92
2034-01-01,54.71,-104.29,-42.67,-38.61,-35.25,-42.44,-39.17,-34.57,-40.85,-37.70,-34.61
