time,lon,lat,rcp26_frost_free_season_p10,rcp26_frost_free_season_p50,rcp26_frost_free_season_p90,rcp45_frost_free_season_p10,rcp45_frost_free_season_p50,rcp45_frost_free_season_p90,rcp85_frost_free_season_p10,rcp85_frost_free_season_p50,rcp85_frost_free_season_p90
1950-01-01,-104.29,54.71,86.10,109.00,119.80,86.10,109.00,119.80,86.10,109.00,119.80
1951-01-01,-104.29,54.71,91.60,106.50,132.70,91.60,106.50,132.70,91.60,106.50,132.70
1952-01-01,-104.29,54.71,84.30,103.00,124.70,86.50,103.00,130.60,86.50,102.50,131.20
1953-01-01,-104.29,54.71,93.20,105.50,123.80,96.00,105.50,123.80,96.00,105.50,123.20
1954-01-01,-104.29,54.71,90.70,106.50,129.80,90.70,106.00,129.80,90.70,106.00,129.80
1955-01-01,-104.29,54.71,80.60,99.50,126.00,80.60,95.00,126.00,80.60,95.00,126.00
1956-01-01,-104.29,54.71,94.20,106.00,129.40,94.20,106.00,129.40,94.20,105.50,129.40
1957-01-01,-104.29,54.71,89.30,111.50,123.10,89.30,111.50,123.10,89.60,111.00,123.10
1958-01-01,-104.29,54.71,95.00,109.50,125.00,95.00,109.50,125.00,95.00,109.50,125.00
1959-01-01,-104.29,54.71,83.60,102.50,124.70,85.90,101.50,124.70,83.60,101.50,124.70
1960-01-01,-104.29,54.71,83.60,103.50,128.00,83.60,103.50,128.00,83.60,103.50,128.00
1961-01-01,-104.29,54.71,82.60,108.50,128.70,84.30,108.00,130.10,84.30,108.00,128.80
1962-01-01,-104.29,54.71,97.60,108.50,124.40,97.60,108.50,126.40,97.60,108.50,126.40
1963-01-01,-104.29,54.71,80.20,103.50,117.80,80.20,103.50,119.00,80.20,103.00,119.00
1964-01-01,-104.29,54.71,77.30,95.00,113.00,77.30,94.00,113.00,77.30,93.50,113.00
1965-01-01,-104.29,54.71,98.00,106.50,122.70,98.00,106.50,122.70,98.00,106.50,122.70
1966-01-01,-104.29,54.71,88.90,98.50,123.80,88.30,98.50,123.80,88.30,98.50,123.80
1967-01-01,-104.29,54.71,78.30,101.00,125.80,78.30,101.00,126.40,78.30,101.00,123.00
1968-01-01,-104.29,54.71,83.30,106.50,125.00,83.30,106.50,124.70,83.30,105.50,124.70
1969-01-01,-104.29,54.71,85.30,101.50,120.10,82.30,101.00,120.10,83.60,99.00,120.10
1970-01-01,-104.29,54.71,89.90,108.50,126.10,89.90,108.50,126.10,89.60,108.50,126.10
1971-01-01,-104.29,54.71,87.60,106.00,122.40,87.60,104.00,122.40,87.60,104.00,122.40
1972-01-01,-104.29,54.71,85.60,103.50,116.70,85.60,103.50,116.70,85.60,103.50,116.70
1973-01-01,-104.29,54.71,84.00,101.50,126.40,84.00,101.50,126.40,84.00,104.00,126.40
1974-01-01,-104.29,54.71,87.90,110.00,130.70,87.60,108.00,130.70,87.90,110.00,130.70
1975-01-01,-104.29,54.71,66.70,105.00,119.70,75.40,105.00,120.40,66.70,105.00,120.40
1976-01-01,-104.29,54.71,79.60,100.00,129.10,79.60,100.50,129.10,79.60,100.50,129.10
1977-01-01,-104.29,54.71,93.50,108.50,127.10,93.50,108.50,127.10,93.50,108.00,127.10
1978-01-01,-104.29,54.71,94.30,108.50,124.00,92.20,108.50,124.00,91.50,106.50,123.10
1979-01-01,-104.29,54.71,93.60,106.00,124.70,93.60,107.00,124.70,93.60,107.00,124.70
1980-01-01,-104.29,54.71,93.30,109.00,120.70,93.30,109.00,120.70,93.30,109.50,120.70
1981-01-01,-104.29,54.71,87.20,106.50,125.70,87.20,104.50,125.70,87.20,104.50,125.70
1982-01-01,-104.29,54.71,84.50,103.00,133.80,84.80,102.50,133.80,84.50,103.00,133.80
1983-01-01,-104.29,54.71,81.00,104.00,125.10,80.30,104.00,125.10,81.30,104.00,125.10
1984-01-01,-104.29,54.71,83.90,110.50,122.40,83.90,110.50,127.90,83.90,108.50,127.90
1985-01-01,-104.29,54.71,85.30,106.00,125.70,85.30,106.00,125.70,85.30,106.00,125.70
1986-01-01,-104.29,54.71,82.80,102.50,123.70,80.30,107.50,123.70,83.70,108.00,123.70
1987-01-01,-104.29,54.71,92.50,105.50,124.80,92.80,108.00,124.80,92.80,108.00,124.80
1988-01-01,-104.29,54.71,88.90,116.50,129.70,86.60,116.50,129.70,86.60,115.50,129.70
1989-01-01,-104.29,54.71,92.60,110.00,133.40,92.60,110.00,133.40,92.60,110.00,131.40
1990-01-01,-104.29,54.71,93.60,107.00,121.70,93.60,106.50,121.70,90.20,106.00,121.70
1991-01-01,-104.29,54.71,91.60,111.50,132.10,91.60,108.00,128.40,91.90,108.00,128.40
1992-01-01,-104.29,54.71,89.20,113.00,124.10,90.20,113.00,125.70,90.20,112.50,125.70
1993-01-01,-104.29,54.71,95.50,109.00,124.70,95.50,109.50,125.00,88.40,109.50,124.70
1994-01-01,-104.29,54.71,87.30,107.00,129.40,88.50,106.50,129.40,87.30,107.00,129.40
1995-01-01,-104.29,54.71,88.30,111.50,126.00,88.30,111.50,127.40,88.30,111.00,127.40
1996-01-01,-104.29,54.71,91.60,115.00,132.00,91.60,115.00,132.00,91.60,114.50,132.00
1997-01-01,-104.29,54.71,100.60,113.00,127.80,100.90,114.00,128.50,100.90,114.00,124.70
1998-01-01,-104.29,54.71,99.30,113.00,125.70,99.30,113.00,125.70,99.30,113.50,125.70
1999-01-01,-104.29,54.71,92.30,113.00,130.40,92.30,113.00,130.40,92.30,114.00,130.40
2000-01-01,-104.29,54.71,85.50,117.50,136.40,85.50,117.50,136.40,87.60,117.00,136.40
2001-01-01,-104.29,54.71,103.30,113.00,131.70,103.30,113.00,131.70,103.30,113.00,132.70
2002-01-01,-104.29,54.71,95.00,116.00,131.10,95.00,113.50,131.10,95.00,116.00,131.10
2003-01-01,-104.29,54.71,100.00,117.50,135.10,100.00,117.50,135.70,100.00,117.50,135.10
2004-01-01,-104.29,54.71,102.20,121.50,134.40,102.20,120.00,134.70,102.20,122.00,134.70
2005-01-01,-104.29,54.71,99.20,117.00,125.00,99.20,117.00,125.00,99.30,114.00,125.00
2006-01-01,-104.29,54.71,96.60,115.00,133.00,93.20,116.50,139.00,92.00,110.50,131.20
2007-01-01,-104.29,54.71,87.00,117.00,137.70,97.60,112.50,134.00,96.00,105.00,129.50
2008-01-01,-104.29,54.71,105.20,117.00,128.40,99.00,113.00,129.70,92.60,113.00,135.80
2009-01-01,-104.29,54.71,89.70,115.50,132.10,98.00,121.50,140.50,89.60,119.50,146.30
2010-01-01,-104.29,54.71,94.80,121.00,130.00,94.30,113.50,135.70,100.30,120.00,134.00
2011-01-01,-104.29,54.71,104.00,121.50,134.90,107.30,120.50,133.70,99.20,115.50,137.10
2012-01-01,-104.29,54.71,100.00,114.00,126.70,97.60,118.00,133.10,106.90,118.50,143.00
2013-01-01,-104.29,54.71,96.00,120.00,141.60,96.90,120.50,131.80,105.50,123.00,135.00
2014-01-01,-104.29,54.71,90.30,114.50,147.70,108.90,127.00,140.80,105.50,124.50,138.70
2015-01-01,-104.29,54.71,92.00,116.50,135.00,88.50,115.50,134.70,94.40,119.50,141.00
2016-01-01,-104.29,54.71,101.30,115.50,147.80,101.30,113.50,132.10,92.50,117.50,135.60
2017-01-01,-104.29,54.71,101.30,121.50,155.70,95.30,113.00,136.40,99.40,120.00,135.00
2018-01-01,-104.29,54.71,102.00,119.00,138.30,102.30,117.50,137.60,98.30,118.50,135.40
2019-01-01,-104.29,54.71,109.20,123.50,139.40,98.50,119.00,139.70,91.50,123.00,149.10
2020-01-01,-104.29,54.71,93.30,114.50,135.00,95.10,121.00,135.70,102.30,120.00,143.40
2021-01-01,-104.29,54.71,97.00,118.00,141.40,99.80,124.50,142.40,93.90,126.50,134.40
2022-01-01,-104.29,54.71,95.00,122.50,155.00,100.20,128.50,147.40,109.60,120.50,144.00
2023-01-01,-104.29,54.71,97.90,127.00,146.50,110.30,125.00,143.00,109.30,127.00,148.10
2024-01-01,-104.29,54.71,99.90,114.50,145.10,93.20,119.50,141.70,112.60,124.00,148.00
2025-01-01,-104.29,54.71,105.60,125.50,139.70,99.30,120.00,140.00,111.40,127.50,142.70
2026-01-01,-104.29,54.71,104.30,119.00,147.50,108.00,123.00,143.00,109.80,128.00,144.70
2027-01-01,-104.29,54.71,105.30,124.00,148.00,108.00,127.50,142.10,114.00,126.50,149.90
2028-01-01,-104.29,54.71,100.50,122.00,144.40,102.70,127.50,138.00,108.30,128.50,140.80
2029-01-01,-104.29,54.71,99.80,125.50,140.70,103.80,120.00,138.40,112.30,127.50,133.70
2030-01-01,-104.29,54.71,101.80,125.50,150.20,110.90,120.50,146.00,108.30,133.00,144.00
2031-01-01,-104.29,54.71,110.90,130.50,143.10,108.90,122.00,134.70,105.40,122.50,148.00
2032-01-01,-104.29,54.71,97.30,118.50,139.50,101.60,124.50,139.40,103.20,126.00,135.00
2033-01-01,-104.29,54.71,103.50,119.50,141.00,109.90,127.50,153.20,109.30,126.00,145.50
2034-01-01,-104.29,54.71,95.60,130.00,140.00,111.00,126.00,140.10,114.00,128.00,144.00
2035-01-01,-104.29,54.71,107.60,118.50,145.70,105.20,127.00,142.40,107.60,130.50,144.10
2036-01-01,-104.29,54.71,109.20,130.00,141.40,103.30,117.50,148.70,111.30,127.50,144.90
2037-01-01,-104.29,54.71,97.40,131.00,150.00,96.90,118.50,138.40,106.50,127.50,149.80
2038-01-01,-104.29,54.71,104.50,130.00,146.10,83.10,120.50,141.00,102.30,128.50,157.60
2039-01-01,-104.29,54.71,108.30,124.50,142.40,85.40,124.00,142.20,104.30,125.00,156.80
2040-01-01,-104.29,54.71,101.40,116.00,147.70,101.20,128.50,151.40,110.80,130.00,149.00
2041-01-01,-104.29,54.71,104.00,123.00,135.70,110.50,132.50,144.70,104.30,125.50,164.60
2042-01-01,-104.29,54.71,108.70,129.50,151.30,104.40,129.50,144.50,115.10,136.00,156.80
2043-01-01,-104.29,54.71,104.00,119.00,139.70,90.90,124.00,147.70,118.10,135.00,157.50
2044-01-01,-104.29,54.71,90.80,114.50,142.60,112.60,133.50,156.10,112.30,131.50,160.10
2045-01-01,-104.29,54.71,104.00,125.50,143.40,110.40,132.00,148.10,98.20,134.50,155.20
2046-01-01,-104.29,54.71,107.30,124.00,143.80,110.30,124.00,147.60,112.80,137.50,159.60
2047-01-01,-104.29,54.71,100.30,129.50,145.90,98.60,132.00,148.00,109.00,136.50,161.80
2048-01-01,-104.29,54.71,104.90,121.50,147.40,110.00,130.50,156.80,106.20,135.50,153.90
2049-01-01,-104.29,54.71,104.60,125.00,146.20,104.60,126.50,144.40,116.20,134.50,157.00
