time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
1950-01-01,-104.29,54.71,15.30,20.50,28.40,15.00,21.00,28.10,15.00,20.00,28.10
1951-01-01,-104.29,54.71,15.60,22.00,27.00,15.60,24.00,29.40,15.60,23.00,29.40
1952-01-01,-104.29,54.71,13.30,21.00,30.70,13.30,21.00,29.70,13.30,21.50,29.70
1953-01-01,-104.29,54.71,16.30,21.50,30.70,16.30,21.50,30.70,17.00,21.50,30.70
1954-01-01,-104.29,54.71,14.30,21.50,32.00,15.30,22.50,32.00,15.30,22.00,32.00
1955-01-01,-104.29,54.71,15.30,22.50,31.00,15.30,23.50,31.70,16.00,22.50,31.00
1956-01-01,-104.29,54.71,16.00,22.00,30.70,16.00,22.00,30.70,16.00,22.50,30.70
1957-01-01,-104.29,54.71,15.30,20.50,32.30,15.30,20.50,32.30,15.30,19.50,31.70
1958-01-01,-104.29,54.71,13.30,20.00,28.70,13.30,21.00,29.40,13.30,20.00,29.40
1959-01-01,-104.29,54.71,16.60,22.50,34.40,15.30,23.00,34.40,16.60,23.00,34.40
1960-01-01,-104.29,54.71,13.00,20.50,29.40,13.00,20.50,32.10,13.00,20.00,32.10
1961-01-01,-104.29,54.71,14.00,20.00,24.70,14.00,20.00,26.40,14.00,20.50,25.70
1962-01-01,-104.29,54.71,14.00,23.50,35.10,14.90,23.50,35.10,14.90,22.00,35.40
1963-01-01,-104.29,54.71,14.00,18.00,31.50,14.30,18.00,34.30,14.30,18.50,34.90
1964-01-01,-104.29,54.71,15.30,19.50,34.70,14.30,20.00,34.70,14.30,20.00,34.10
1965-01-01,-104.29,54.71,16.00,21.50,29.70,15.30,21.50,31.40,16.30,21.50,31.40
1966-01-01,-104.29,54.71,16.00,20.00,37.10,16.00,24.00,37.10,16.00,24.00,37.10
1967-01-01,-104.29,54.71,15.00,21.00,28.70,15.00,21.00,28.70,15.00,20.00,29.00
1968-01-01,-104.29,54.71,17.00,22.50,29.00,18.00,22.50,29.00,18.00,22.50,30.40
1969-01-01,-104.29,54.71,15.00,18.00,28.50,15.00,18.00,28.50,15.00,17.50,28.50
1970-01-01,-104.29,54.71,19.00,22.50,33.70,18.30,22.50,33.40,18.00,23.00,34.00
1971-01-01,-104.29,54.71,14.60,23.00,30.70,15.30,23.50,31.00,14.60,23.00,31.00
1972-01-01,-104.29,54.71,15.30,19.00,31.40,16.00,20.00,32.00,16.00,20.50,32.00
1973-01-01,-104.29,54.71,17.00,20.00,34.40,15.60,20.00,39.60,15.60,20.50,36.80
1974-01-01,-104.29,54.71,14.60,21.50,35.90,14.60,21.50,35.60,16.90,23.00,36.50
1975-01-01,-104.29,54.71,17.00,21.00,33.70,16.30,22.00,36.10,16.00,22.50,33.40
1976-01-01,-104.29,54.71,15.90,22.50,32.00,15.90,22.50,32.70,18.00,22.50,32.00
1977-01-01,-104.29,54.71,17.00,20.00,31.40,17.00,20.00,31.40,17.00,22.00,31.40
1978-01-01,-104.29,54.71,16.00,23.00,29.00,16.00,22.00,28.70,16.00,21.50,28.70
1979-01-01,-104.29,54.71,16.00,21.50,31.40,16.00,21.50,31.40,16.00,21.50,31.40
1980-01-01,-104.29,54.71,16.60,23.00,31.00,17.00,22.00,31.00,17.30,23.00,30.70
1981-01-01,-104.29,54.71,19.00,23.50,34.40,18.30,22.00,31.80,16.60,22.00,34.40
1982-01-01,-104.29,54.71,15.60,22.00,26.00,15.60,22.00,26.00,15.60,20.50,26.00
1983-01-01,-104.29,54.71,18.00,24.00,30.40,18.00,23.00,30.40,15.90,23.00,31.00
1984-01-01,-104.29,54.71,17.00,21.00,32.40,17.00,21.50,31.70,17.30,21.50,36.20
1985-01-01,-104.29,54.71,14.00,19.00,26.40,14.00,19.00,25.00,14.00,19.00,26.40
1986-01-01,-104.29,54.71,15.20,22.00,30.00,14.90,21.50,26.70,14.00,21.50,30.00
1987-01-01,-104.29,54.71,15.00,21.00,30.00,14.30,21.00,29.70,15.30,21.00,32.80
1988-01-01,-104.29,54.71,16.00,21.50,28.00,16.30,21.50,28.00,16.30,21.00,27.40
1989-01-01,-104.29,54.71,14.30,19.50,29.00,15.00,20.00,29.00,15.00,20.00,31.80
1990-01-01,-104.29,54.71,15.00,19.50,32.00,15.00,19.50,28.90,15.30,19.50,29.80
