time,lat,lon,rcp26_txgt_25_p10,rcp26_txgt_25_p50,rcp26_txgt_25_p90,rcp45_txgt_25_p10,rcp45_txgt_25_p50,rcp45_txgt_25_p90,rcp85_txgt_25_p10,rcp85_txgt_25_p50,rcp85_txgt_25_p90
1950-01-01,54.71,-104.29,7.90,16.50,29.40,7.90,16.50,29.40,7.90,16.50,29.40
1951-01-01,54.71,-104.29,5.90,16.50,26.40,5.90,16.50,26.40,5.90,16.50,26.40
1952-01-01,54.71,-104.29,8.00,18.50,28.70,8.00,18.50,28.70,8.00,18.50,28.70
1953-01-01,54.71,-104.29,3.30,12.00,29.10,3.30,12.00,29.10,3.30,12.00,29.10
1954-01-01,54.71,-104.29,6.90,16.50,26.00,6.90,16.50,26.00,6.90,16.50,26.00
1955-01-01,54.71,-104.29,5.30,12.00,27.70,5.30,12.00,27.70,5.30,12.00,27.70
1956-01-01,54.71,-104.29,5.30,19.00,32.70,5.30,19.00,32.70,5.30,19.00,32.70
1957-01-01,54.71,-104.29,9.30,14.50,34.10,9.30,14.50,34.10,9.30,14.50,34.10
1958-01-01,54.71,-104.29,7.30,14.00,22.10,7.30,14.00,22.10,7.30,14.00,22.10
1959-01-01,54.71,-104.29,6.00,16.00,29.40,6.00,16.00,29.40,6.00,16.00,29.40
1960-01-01,54.71,-104.29,6.00,21.50,31.70,6.00,21.50,31.70,6.00,21.50,31.70
1961-01-01,54.71,-104.29,5.20,16.50,27.50,5.20,16.50,27.50,5.20,16.50,27.50
1962-01-01,54.71,-104.29,6.00,10.50,19.00,6.00,10.50,19.00,6.00,10.50,19.00
1963-01-01,54.71,-104.29,5.50,12.50,22.00,5.50,12.50,22.00,5.50,12.50,22.00
1964-01-01,54.71,-104.29,6.00,12.50,21.70,6.00,12.50,21.70,6.00,12.50,21.70
1965-01-01,54.71,-104.29,5.00,17.00,28.70,5.00,17.00,28.70,5.00,17.00,28.70
1966-01-01,54.71,-104.29,4.60,10.50,39.90,4.60,10.50,39.90,4.60,10.50,39.90
1967-01-01,54.71,-104.29,6.30,11.50,22.10,6.30,11.50,22.10,6.30,11.50,22.10
1968-01-01,54.71,-104.29,3.90,17.00,26.00,3.90,17.00,26.00,3.90,17.00,26.00
1969-01-01,54.71,-104.29,2.30,10.50,19.70,2.30,10.50,19.70,2.30,10.50,19.70
1970-01-01,54.71,-104.29,8.60,20.50,26.70,8.60,20.50,26.70,8.60,20.50,26.70
1971-01-01,54.71,-104.29,6.00,16.50,35.80,6.00,16.50,35.80,6.00,16.50,35.80
1972-01-01,54.71,-104.29,3.30,12.00,28.80,3.30,12.00,28.80,3.30,12.00,28.80
1973-01-01,54.71,-104.29,4.30,12.50,27.70,4.30,12.50,27.70,4.30,12.50,27.70
1974-01-01,54.71,-104.29,5.30,11.50,23.70,5.30,11.50,23.70,5.30,11.50,23.70
1975-01-01,54.71,-104.29,6.90,16.50,36.70,6.90,16.50,36.70,6.90,16.50,36.70
1976-01-01,54.71,-104.29,6.30,18.50,39.50,6.30,18.50,39.50,6.30,18.50,39.50
1977-01-01,54.71,-104.29,2.90,15.50,30.00,2.90,15.50,30.00,2.90,15.50,30.00
1978-01-01,54.71,-104.29,11.60,20.00,31.40,11.60,20.00,31.40,11.60,20.00,31.40
1979-01-01,54.71,-104.29,11.00,17.00,32.70,11.00,17.00,32.70,11.00,17.00,32.70
