time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,54.71,-104.29,-2.36,-0.98,0.30,-2.36,-0.98,0.30,-2.36,-0.98,0.30
1951-01-01,54.71,-104.29,-2.55,-1.36,0.01,-2.55,-1.36,0.01,-2.55,-1.36,0.01
1952-01-01,54.71,-104.29,-2.33,-1.22,-0.05,-2.33,-1.22,-0.05,-2.33,-1.22,-0.05
1953-01-01,54.71,-104.29,-2.65,-1.42,-0.76,-2.65,-1.42,-0.76,-2.65,-1.42,-0.76
1954-01-01,54.71,-104.29,-2.26,-1.11,0.29,-2.26,-1.11,0.29,-2.26,-1.17,0.29
1955-01-01,54.71,-104.29,-2.34,-1.32,0.41,-2.34,-1.32,0.41,-2.34,-1.32,0.40
1956-01-01,54.71,-104.29,-2.76,-1.01,0.42,-2.76,-1.01,0.42,-2.76,-1.01,0.42
1957-01-01,54.71,-104.29,-2.97,-1.62,-0.14,-2.97,-1.62,-0.14,-2.97,-1.62,-0.14
1958-01-01,54.71,-104.29,-2.67,-1.56,-0.56,-2.67,-1.56,-0.56,-2.67,-1.56,-0.56
1959-01-01,54.71,-104.29,-2.99,-1.62,0.24,-2.99,-1.62,0.24,-2.99,-1.62,0.24
1960-01-01,54.71,-104.29,-2.53,-1.23,-0.42,-2.53,-1.23,-0.42,-2.53,-1.23,-0.42
1961-01-01,54.71,-104.29,-2.90,-0.77,0.41,-2.90,-0.77,0.41,-2.90,-0.85,0.41
1962-01-01,54.71,-104.29,-3.15,-1.54,-0.08,-3.15,-1.54,-0.08,-3.15,-1.54,-0.08
1963-01-01,54.71,-104.29,-2.48,-1.51,-0.43,-2.48,-1.51,-0.43,-2.48,-1.50,-0.43
1964-01-01,54.71,-104.29,-3.94,-1.71,-0.99,-3.94,-1.71,-0.99,-3.94,-1.71,-0.99
1965-01-01,54.71,-104.29,-2.61,-1.68,-0.64,-2.61,-1.68,-0.64,-2.61,-1.68,-0.64
1966-01-01,54.71,-104.29,-3.02,-1.55,-0.15,-3.02,-1.55,-0.15,-3.02,-1.55,-0.15
1967-01-01,54.71,-104.29,-2.56,-1.19,0.15,-2.56,-1.19,0.15,-2.56,-1.19,0.15
1968-01-01,54.71,-104.29,-2.56,-1.62,-0.24,-2.56,-1.62,-0.24,-2.56,-1.62,-0.33
1969-01-01,54.71,-104.29,-3.65,-1.78,-0.77,-3.65,-1.78,-0.77,-3.65,-1.78,-0.77
1970-01-01,54.71,-104.29,-2.44,-1.15,0.16,-2.44,-1.15,0.16,-2.44,-1.15,0.16
1971-01-01,54.71,-104.29,-2.61,-1.41,0.04,-2.61,-1.41,0.04,-2.61,-1.41,0.04
1972-01-01,54.71,-104.29,-2.23,-1.41,-0.44,-2.23,-1.41,-0.44,-2.23,-1.50,-0.44
