time,lat,lon,rcp26_tnlt_-15_p10,rcp26_tnlt_-15_p50,rcp26_tnlt_-15_p90,rcp45_tnlt_-15_p10,rcp45_tnlt_-15_p50,rcp45_tnlt_-15_p90,rcp85_tnlt_-15_p10,rcp85_tnlt_-15_p50,rcp85_tnlt_-15_p90
1950-01-01,54.71,-104.29,89.00,99.00,121.00,89.00,99.00,121.00,89.00,99.00,121.00
1951-01-01,54.71,-104.29,92.80,107.00,122.10,92.80,107.00,122.10,92.80,107.00,122.10
1952-01-01,54.71,-104.29,97.00,105.00,119.70,97.00,105.00,119.70,97.00,105.00,119.70
1953-01-01,54.71,-104.29,94.60,106.00,119.40,94.60,106.00,119.40,96.90,106.00,119.40
1954-01-01,54.71,-104.29,83.70,108.00,120.40,83.70,108.00,120.40,83.70,109.00,120.40
1955-01-01,54.71,-104.29,86.90,106.00,117.00,86.90,106.00,117.00,86.90,106.00,117.00
1956-01-01,54.71,-104.29,85.00,103.50,123.80,85.00,103.50,123.80,85.00,103.50,123.80
1957-01-01,54.71,-104.29,95.00,109.00,120.00,95.00,109.00,120.00,95.00,109.00,120.00
1958-01-01,54.71,-104.29,96.20,109.50,122.90,96.20,109.50,122.90,96.20,109.50,122.90
1959-01-01,54.71,-104.29,81.00,108.50,118.00,81.00,108.50,118.00,81.00,108.50,118.00
1960-01-01,54.71,-104.29,83.20,107.00,118.00,83.20,107.00,118.00,83.20,107.00,118.00
1961-01-01,54.71,-104.29,85.60,103.00,122.70,85.60,103.00,122.70,85.60,103.00,122.70
1962-01-01,54.71,-104.29,90.30,107.00,122.00,90.30,107.00,122.00,90.30,107.00,122.00
1963-01-01,54.71,-104.29,97.30,106.50,119.70,97.30,106.50,119.70,97.30,106.50,119.70
1964-01-01,54.71,-104.29,96.00,107.00,127.70,96.00,107.00,127.70,96.00,107.00,127.70
1965-01-01,54.71,-104.29,94.50,109.50,121.00,94.50,109.50,121.00,94.50,109.50,121.00
1966-01-01,54.71,-104.29,89.30,107.50,120.40,89.30,107.50,120.40,89.30,107.50,120.40
1967-01-01,54.71,-104.29,86.30,97.00,125.40,86.30,97.00,125.40,86.30,99.00,125.40
1968-01-01,54.71,-104.29,87.30,109.50,124.70,87.30,109.50,124.70,87.30,109.50,124.70
1969-01-01,54.71,-104.29,89.80,107.00,127.90,89.80,107.00,127.90,94.00,107.00,127.90
1970-01-01,54.71,-104.29,89.90,108.50,124.50,89.90,108.50,124.50,89.90,108.50,124.50
1971-01-01,54.71,-104.29,87.50,106.00,120.90,87.50,106.00,120.90,87.50,106.00,120.90
1972-01-01,54.71,-104.29,90.80,104.50,116.40,90.80,104.50,116.40,90.80,104.50,116.40
1973-01-01,54.71,-104.29,82.80,105.50,117.40,82.80,105.50,117.40,84.20,105.50,117.40
1974-01-01,54.71,-104.29,86.90,100.00,124.40,86.90,100.00,124.40,86.90,101.50,124.40
1975-01-01,54.71,-104.29,90.60,108.00,120.00,90.60,108.00,120.00,92.30,108.00,120.00
1976-01-01,54.71,-104.29,91.90,105.00,120.40,91.90,105.00,120.40,91.90,108.50,120.40
1977-01-01,54.71,-104.29,88.60,99.50,109.10,88.60,99.50,109.10,88.60,99.50,109.10
1978-01-01,54.71,-104.29,94.00,105.50,110.40,94.00,105.50,110.40,94.00,105.50,110.40
1979-01-01,54.71,-104.29,92.30,102.00,121.20,92.30,102.00,121.20,92.30,102.50,121.20
1980-01-01,54.71,-104.29,90.20,109.00,121.40,90.20,109.00,121.40,90.20,108.50,121.40
1981-01-01,54.71,-104.29,94.90,104.50,118.70,94.90,106.00,118.70,94.90,106.50,118.40
1982-01-01,54.71,-104.29,95.90,110.50,121.40,95.60,111.00,121.80,95.90,111.50,121.40
1983-01-01,54.71,-104.29,97.30,110.50,124.70,96.60,111.00,124.40,96.60,111.00,124.70
1984-01-01,54.71,-104.29,84.80,105.00,114.40,85.10,105.00,113.70,85.10,106.00,113.70
1985-01-01,54.71,-104.29,97.30,106.00,131.80,97.30,107.00,130.40,97.30,106.00,130.40
1986-01-01,54.71,-104.29,87.30,102.50,118.00,87.30,102.50,118.70,87.00,102.50,120.80
1987-01-01,54.71,-104.29,90.30,108.00,117.40,90.30,108.50,117.40,90.30,107.50,117.40
1988-01-01,54.71,-104.29,89.30,106.50,126.10,90.30,107.00,125.40,89.60,107.00,126.10
1989-01-01,54.71,-104.29,88.30,103.50,123.70,89.60,103.50,123.70,90.60,103.50,123.00
1990-01-01,54.71,-104.29,87.20,105.50,121.70,87.60,105.00,121.40,86.20,105.50,121.40
1991-01-01,54.71,-104.29,92.30,107.00,116.70,93.00,108.50,116.70,92.30,109.00,117.70
1992-01-01,54.71,-104.29,85.30,102.50,117.10,84.90,102.50,116.40,85.60,103.00,117.00
1993-01-01,54.71,-104.29,90.00,102.00,117.40,89.60,101.50,116.70,90.00,103.00,116.70
1994-01-01,54.71,-104.29,91.60,104.00,115.70,91.60,104.00,116.40,92.30,103.50,116.40
1995-01-01,54.71,-104.29,79.90,107.50,122.00,79.90,107.00,122.00,79.90,107.50,121.70
1996-01-01,54.71,-104.29,85.80,107.00,120.70,86.50,106.50,121.00,85.80,106.50,121.00
