time,lat,lon,rcp26_tn_min_p10,rcp26_tn_min_p50,rcp26_tn_min_p90,rcp45_tn_min_p10,rcp45_tn_min_p50,rcp45_tn_min_p90,rcp85_tn_min_p10,rcp85_tn_min_p50,rcp85_tn_min_p90
1950-01-01,50.04,-105.38,-37.25,-34.58,-31.00,-37.25,-34.58,-31.00,-37.25,-34.58,-31.00
1951-01-01,50.04,-105.38,-38.68,-35.57,-30.93,-38.68,-35.57,-30.93,-38.68,-35.57,-30.93
1952-01-01,50.04,-105.38,-38.97,-35.82,-31.94,-38.97,-35.82,-31.94,-38.97,-35.80,-31.94
1953-01-01,50.04,-105.38,-39.49,-35.87,-32.15,-39.49,-35.87,-32.15,-39.49,-35.87,-32.15
1954-01-01,50.04,-105.38,-38.21,-35.10,-31.47,-38.21,-35.10,-31.47,-38.61,-35.10,-31.41
1955-01-01,50.04,-105.38,-38.42,-36.37,-33.88,-38.42,-36.37,-33.88,-38.73,-36.37,-33.88
1956-01-01,50.04,-105.38,-38.86,-36.25,-32.17,-38.86,-36.25,-32.17,-38.86,-36.05,-32.17
1957-01-01,50.04,-105.38,-39.46,-35.25,-31.49,-39.46,-35.25,-31.49,-39.38,-35.25,-31.49
1958-01-01,50.04,-105.38,-42.60,-37.37,-33.13,-42.60,-37.37,-33.13,-42.60,-36.82,-33.13
1959-01-01,50.04,-105.38,-38.64,-36.43,-33.52,-38.64,-36.43,-33.52,-38.47,-36.43,-33.52
1960-01-01,50.04,-105.38,-40.28,-37.08,-31.03,-40.28,-37.08,-31.03,-40.28,-37.08,-31.03
1961-01-01,50.04,-105.38,-40.51,-35.17,-31.62,-40.51,-35.17,-31.62,-40.64,-35.17,-31.62
1962-01-01,50.04,-105.38,-41.09,-36.39,-32.08,-41.09,-36.39,-32.08,-41.09,-36.39,-32.08
1963-01-01,50.04,-105.38,-39.81,-35.66,-30.42,-39.81,-35.66,-30.42,-40.41,-35.66,-30.42
1964-01-01,50.04,-105.38,-41.49,-36.55,-32.25,-41.49,-36.55,-32.25,-40.58,-36.55,-32.25
1965-01-01,50.04,-105.38,-41.06,-36.40,-33.72,-41.06,-36.40,-33.72,-40.81,-36.40,-33.72
