time,lat,lon,rcp26_gddgrow_0_p10,rcp26_gddgrow_0_p50,rcp26_gddgrow_0_p90,rcp45_gddgrow_0_p10,rcp45_gddgrow_0_p50,rcp45_gddgrow_0_p90,rcp85_gddgrow_0_p10,rcp85_gddgrow_0_p50,rcp85_gddgrow_0_p90
1950-01-01,50.04,-105.54,2431.84,2722.23,2959.61,2431.84,2721.28,2959.61,2431.10,2721.86,2959.61
1951-01-01,50.04,-105.54,2497.21,2737.16,2971.85,2497.22,2737.74,2971.85,2497.22,2739.01,2971.85
1952-01-01,50.04,-105.54,2485.39,2689.57,3058.10,2484.03,2689.57,3058.10,2484.03,2689.57,3058.10
1953-01-01,50.04,-105.54,2338.50,2688.66,2908.87,2338.53,2688.37,2908.87,2338.14,2688.71,2908.87
1954-01-01,50.04,-105.54,2535.35,2712.95,2929.29,2535.65,2709.22,2928.90,2535.55,2709.78,2929.16
1955-01-01,50.04,-105.54,2498.85,2738.92,2934.94,2498.86,2738.92,2934.94,2498.86,2738.92,2934.90
1956-01-01,50.04,-105.54,2455.21,2659.77,2894.30,2455.21,2659.77,2894.48,2455.11,2659.77,2894.45
1957-01-01,50.04,-105.54,2331.41,2666.13,2940.29,2331.41,2666.13,2940.29,2330.73,2666.12,2940.29
1958-01-01,50.04,-105.54,2387.86,2593.05,2754.54,2385.03,2593.07,2754.54,2385.03,2592.75,2754.54
1959-01-01,50.04,-105.54,2241.59,2513.65,2878.51,2241.71,2513.48,2878.51,2241.52,2513.57,2878.51
1960-01-01,50.04,-105.54,2444.40,2688.60,2836.27,2444.40,2688.59,2836.19,2444.40,2688.60,2836.19
1961-01-01,50.04,-105.54,2422.63,2684.51,2899.98,2423.04,2684.50,2898.41,2421.78,2679.92,2899.44
1962-01-01,50.04,-105.54,2391.58,2641.27,2943.49,2391.97,2641.79,2943.74,2391.96,2640.71,2943.73
1963-01-01,50.04,-105.54,2314.53,2596.92,2828.92,2315.02,2597.07,2828.92,2314.75,2596.60,2828.92
1964-01-01,50.04,-105.54,2261.45,2440.61,2646.53,2262.35,2440.61,2646.53,2260.65,2440.61,2647.37
1965-01-01,50.04,-105.54,2289.37,2505.37,2689.04,2289.37,2505.50,2689.04,2289.37,2503.86,2689.04
1966-01-01,50.04,-105.54,2233.55,2524.34,2877.45,2233.55,2526.93,2877.35,2233.55,2526.25,2877.30
1967-01-01,50.04,-105.54,2391.74,2696.23,2834.09,2391.46,2696.23,2834.46,2392.58,2696.23,2834.12
1968-01-01,50.04,-105.54,2397.22,2561.54,2774.95,2397.22,2561.55,2774.95,2397.22,2561.54,2774.95
1969-01-01,50.04,-105.54,2159.45,2571.35,2749.42,2159.45,2571.35,2749.71,2159.45,2571.35,2749.97
1970-01-01,50.04,-105.54,2407.09,2653.98,2915.69,2407.09,2653.24,2915.34,2407.09,2652.99,2915.33
1971-01-01,50.04,-105.54,2338.06,2560.33,2970.55,2338.06,2560.48,2970.55,2338.06,2561.07,2970.55
1972-01-01,50.04,-105.54,2471.46,2690.57,2810.38,2471.46,2690.58,2810.43,2471.46,2689.40,2810.33
1973-01-01,50.04,-105.54,2450.83,2618.83,2882.61,2449.64,2619.30,2882.61,2449.49,2618.19,2882.61
1974-01-01,50.04,-105.54,2322.36,2618.82,2878.97,2322.36,2618.82,2879.51,2322.36,2618.82,2875.66
1975-01-01,50.04,-105.54,2346.86,2673.25,2895.55,2346.46,2674.72,2894.77,2346.05,2673.83,2894.92
1976-01-01,50.04,-105.54,2466.02,2689.29,2911.50,2465.85,2689.46,2911.51,2465.66,2689.46,2911.51
1977-01-01,50.04,-105.54,2423.96,2703.36,3064.90,2422.89,2703.36,3065.47,2422.89,2703.36,3065.78
1978-01-01,50.04,-105.54,2489.41,2698.82,2922.60,2489.42,2698.83,2921.76,2489.29,2698.05,2922.02
1979-01-01,50.04,-105.54,2461.54,2736.34,2994.00,2461.53,2736.34,2991.00,2461.54,2736.34,2991.00
1980-01-01,50.04,-105.54,2460.76,2655.95,2915.63,2465.30,2655.52,2913.69,2463.54,2655.35,2917.53
1981-01-01,50.04,-105.54,2396.88,2762.47,2984.41,2392.79,2763.19,2985.74,2393.69,2762.26,2986.22
1982-01-01,50.04,-105.54,2411.55,2634.42,3039.63,2412.87,2631.67,3041.27,2410.53,2636.17,3041.41
1983-01-01,50.04,-105.54,2408.18,2635.98,2773.92,2406.58,2636.01,2774.30,2405.67,2636.34,2779.99
1984-01-01,50.04,-105.54,2532.20,2710.64,2966.66,2532.36,2712.76,2967.26,2534.86,2710.65,2968.76
1985-01-01,50.04,-105.54,2398.47,2658.31,2981.56,2397.07,2656.50,2982.67,2398.23,2657.60,2983.15
1986-01-01,50.04,-105.54,2448.46,2647.41,3006.49,2447.91,2647.58,2999.77,2451.47,2648.59,3002.83
1987-01-01,50.04,-105.54,2381.79,2664.41,2913.85,2384.00,2662.33,2913.50,2384.49,2665.67,2911.50
1988-01-01,50.04,-105.54,2506.71,2727.02,3016.43,2508.64,2727.53,3015.34,2503.87,2728.27,3015.54
1989-01-01,50.04,-105.54,2541.47,2788.11,3065.12,2543.43,2786.83,3065.68,2541.22,2781.20,3067.65
1990-01-01,50.04,-105.54,2434.17,2648.92,3078.02,2437.36,2648.96,3078.53,2430.31,2647.44,3072.78
1991-01-01,50.04,-105.54,2355.67,2704.18,3024.67,2352.52,2704.25,3026.66,2354.41,2705.04,3026.29
1992-01-01,50.04,-105.54,2402.37,2630.91,2812.78,2402.92,2632.01,2814.56,2401.93,2628.57,2813.02
