time,lon,lat,rcp26_frost_free_season_p10,rcp26_frost_free_season_p50,rcp26_frost_free_season_p90,rcp45_frost_free_season_p10,rcp45_frost_free_season_p50,rcp45_frost_free_season_p90,rcp85_frost_free_season_p10,rcp85_frost_free_season_p50,rcp85_frost_free_season_p90
1950-01-01,-105.38,50.04,96.80,123.00,141.70,96.80,123.00,143.40,96.80,123.00,143.40
1951-01-01,-105.38,50.04,111.60,131.50,141.00,114.80,132.50,141.00,114.80,132.50,141.00
1952-01-01,-105.38,50.04,99.90,122.00,140.40,99.90,121.00,140.40,99.90,121.00,140.40
1953-01-01,-105.38,50.04,106.60,132.50,146.00,104.50,132.50,148.10,104.50,132.50,148.10
1954-01-01,-105.38,50.04,107.90,126.00,146.20,105.60,124.00,146.20,105.60,123.00,146.20
1955-01-01,-105.38,50.04,101.30,128.50,153.40,100.60,129.00,153.40,101.30,129.50,153.40
1956-01-01,-105.38,50.04,106.90,127.50,147.70,106.00,127.50,147.70,106.00,127.50,147.70
1957-01-01,-105.38,50.04,104.90,130.00,158.80,104.90,130.00,158.80,104.90,130.00,158.80
1958-01-01,-105.38,50.04,109.30,127.50,143.40,109.30,127.50,143.40,109.30,127.50,143.40
1959-01-01,-105.38,50.04,108.80,127.50,141.00,107.00,127.50,141.00,107.00,128.00,141.00
1960-01-01,-105.38,50.04,106.50,123.00,149.30,106.50,123.00,149.30,106.50,122.50,149.30
1961-01-01,-105.38,50.04,111.30,124.00,143.80,111.30,124.00,139.80,111.60,124.00,136.70
1962-01-01,-105.38,50.04,113.30,125.50,138.80,101.40,126.00,138.80,105.60,125.50,138.80
1963-01-01,-105.38,50.04,105.20,122.00,135.50,105.20,122.00,135.50,105.20,122.00,135.50
1964-01-01,-105.38,50.04,101.30,119.00,131.70,101.30,119.00,131.70,101.30,119.00,131.70
1965-01-01,-105.38,50.04,105.60,124.50,134.10,103.60,125.00,132.00,103.60,124.00,132.00
1966-01-01,-105.38,50.04,101.20,122.50,148.40,101.20,123.00,148.40,101.20,123.00,148.40
1967-01-01,-105.38,50.04,107.00,127.00,148.00,107.00,127.00,147.70,107.00,127.00,148.00
1968-01-01,-105.38,50.04,101.50,127.00,138.70,101.50,127.00,138.70,101.50,127.00,138.00
1969-01-01,-105.38,50.04,105.00,126.00,139.00,105.00,126.00,139.00,103.60,126.00,138.70
1970-01-01,-105.38,50.04,103.90,129.00,145.40,103.90,129.00,145.40,103.90,129.00,145.40
1971-01-01,-105.38,50.04,107.60,131.50,151.00,108.50,131.50,151.00,107.90,129.50,151.00
1972-01-01,-105.38,50.04,94.70,125.50,140.10,94.70,123.50,140.10,94.70,122.50,140.10
1973-01-01,-105.38,50.04,107.90,125.50,156.90,107.90,125.50,156.00,107.90,125.50,156.30
1974-01-01,-105.38,50.04,108.00,127.00,139.00,108.00,127.00,139.70,108.00,126.50,139.70
1975-01-01,-105.38,50.04,112.00,134.50,152.20,112.00,134.50,152.20,112.00,134.50,152.20
1976-01-01,-105.38,50.04,103.20,119.00,143.40,103.90,118.00,145.90,104.60,118.00,137.50
1977-01-01,-105.38,50.04,115.00,128.00,154.40,115.00,127.00,154.40,115.00,128.00,154.40
1978-01-01,-105.38,50.04,110.80,127.00,143.40,110.80,127.00,143.40,110.80,127.00,143.40
1979-01-01,-105.38,50.04,111.30,128.50,141.40,111.30,128.50,141.40,111.90,128.50,141.40
1980-01-01,-105.38,50.04,109.30,129.00,152.50,109.30,126.50,150.40,109.30,126.50,151.00
1981-01-01,-105.38,50.04,100.20,126.50,144.80,100.20,130.50,144.80,94.60,130.50,146.00
1982-01-01,-105.38,50.04,102.00,128.00,144.40,95.70,127.00,144.40,95.70,125.00,142.10
1983-01-01,-105.38,50.04,107.60,124.50,140.80,107.60,122.00,140.80,105.60,119.00,140.80
1984-01-01,-105.38,50.04,110.30,124.00,141.70,110.30,124.50,141.40,110.30,124.50,142.40
1985-01-01,-105.38,50.04,108.30,126.50,148.00,108.30,127.50,146.50,108.30,126.50,148.00
1986-01-01,-105.38,50.04,103.60,127.00,146.40,103.60,127.00,151.20,103.60,126.00,151.20
