time,lat,lon,rcp26_gddgrow_10_p10,rcp26_gddgrow_10_p50,rcp26_gddgrow_10_p90,rcp45_gddgrow_10_p10,rcp45_gddgrow_10_p50,rcp45_gddgrow_10_p90,rcp85_gddgrow_10_p10,rcp85_gddgrow_10_p50,rcp85_gddgrow_10_p90
1950-01-01,49.87,-105.71,795.07,945.53,1166.26,795.07,943.55,1166.90,795.90,945.54,1165.49
1951-01-01,49.87,-105.71,800.71,985.44,1140.36,800.71,984.82,1142.44,800.71,985.57,1142.44
1952-01-01,49.87,-105.71,812.34,975.34,1203.15,812.34,975.34,1203.15,812.34,975.34,1203.15
1953-01-01,49.87,-105.71,732.86,912.24,1155.17,732.86,912.24,1155.17,732.87,912.24,1155.17
1954-01-01,49.87,-105.71,805.91,967.47,1141.30,805.95,967.56,1141.30,806.00,964.91,1141.31
1955-01-01,49.87,-105.71,786.32,954.68,1068.10,786.13,954.68,1068.10,785.61,954.68,1068.10
1956-01-01,49.87,-105.71,714.55,972.04,1130.76,714.55,972.04,1130.76,714.55,972.04,1130.76
1957-01-01,49.87,-105.71,714.23,929.44,1077.83,714.23,929.44,1077.35,714.23,929.44,1077.60
1958-01-01,49.87,-105.71,751.81,909.44,990.22,751.55,909.43,990.22,751.41,910.40,990.41
1959-01-01,49.87,-105.71,662.91,844.74,985.75,663.17,844.74,985.75,663.34,844.74,985.75
1960-01-01,49.87,-105.71,839.27,936.74,1081.50,839.27,937.19,1081.50,838.79,935.42,1081.50
1961-01-01,49.87,-105.71,762.01,898.43,1105.37,762.01,898.43,1104.76,762.01,898.31,1104.46
1962-01-01,49.87,-105.71,709.02,878.16,1058.78,709.02,878.16,1059.40,708.73,878.16,1059.40
1963-01-01,49.87,-105.71,670.16,844.29,1071.88,670.15,844.79,1071.88,670.16,844.35,1071.88
1964-01-01,49.87,-105.71,686.99,778.51,930.34,686.98,777.51,930.34,686.99,778.92,929.89
1965-01-01,49.87,-105.71,687.92,797.64,1001.85,687.92,796.12,1001.09,687.92,796.45,1001.09
1966-01-01,49.87,-105.71,661.01,789.76,1031.79,660.64,789.76,1031.79,660.96,789.76,1031.79
1967-01-01,49.87,-105.71,737.92,905.79,1039.57,737.92,905.53,1039.57,737.92,904.39,1039.58
1968-01-01,49.87,-105.71,738.59,879.14,1022.66,738.59,878.78,1022.56,738.59,879.29,1022.56
1969-01-01,49.87,-105.71,640.35,852.62,1020.70,642.71,852.62,1020.71,642.71,852.62,1020.70
1970-01-01,49.87,-105.71,792.57,908.16,1132.21,792.58,908.16,1132.21,792.88,908.16,1132.21
1971-01-01,49.87,-105.71,677.16,873.77,1091.45,677.16,873.77,1091.45,677.16,873.78,1094.31
1972-01-01,49.87,-105.71,782.57,914.84,1072.89,782.57,914.84,1074.62,782.57,914.84,1075.01
1973-01-01,49.87,-105.71,717.69,861.74,1056.67,717.69,861.74,1056.67,717.69,861.74,1056.67
1974-01-01,49.87,-105.71,728.59,848.87,1080.96,728.59,848.87,1080.96,728.59,848.87,1080.96
1975-01-01,49.87,-105.71,691.51,925.61,1146.46,691.51,924.80,1146.32,691.51,924.52,1147.39
1976-01-01,49.87,-105.71,768.27,937.82,1154.46,768.27,937.82,1154.75,768.27,937.82,1154.47
1977-01-01,49.87,-105.71,739.33,993.64,1164.75,739.54,993.64,1164.75,739.30,993.64,1164.75
1978-01-01,49.87,-105.71,799.74,959.48,1095.05,799.80,959.49,1094.81,800.94,959.49,1094.81
1979-01-01,49.87,-105.71,809.45,944.53,1117.75,809.45,945.61,1117.75,809.45,945.14,1117.75
1980-01-01,49.87,-105.71,759.03,931.65,1053.85,758.52,932.24,1054.37,754.83,929.87,1056.18
1981-01-01,49.87,-105.71,785.63,1016.72,1195.07,787.27,1020.45,1197.10,783.50,1015.73,1197.56
1982-01-01,49.87,-105.71,740.81,914.31,1162.98,741.21,911.88,1164.96,740.32,914.69,1163.39
1983-01-01,49.87,-105.71,683.56,905.45,994.88,683.30,907.57,996.85,683.70,906.15,998.15
1984-01-01,49.87,-105.71,865.37,972.70,1122.31,861.65,971.62,1123.86,861.94,968.06,1124.55
1985-01-01,49.87,-105.71,748.62,910.78,1194.00,751.44,909.84,1193.50,750.21,906.29,1191.48
1986-01-01,49.87,-105.71,753.10,949.67,1095.14,752.78,948.82,1092.32,755.17,948.35,1093.30
1987-01-01,49.87,-105.71,773.57,966.90,1098.51,776.47,967.30,1097.10,775.20,968.79,1096.00
1988-01-01,49.87,-105.71,867.33,1001.70,1175.42,869.21,1000.17,1177.32,866.47,1004.21,1176.84
1989-01-01,49.87,-105.71,876.86,1015.52,1250.20,877.17,1014.57,1248.48,878.13,1015.30,1244.29
1990-01-01,49.87,-105.71,776.71,903.56,1227.29,778.96,899.19,1226.29,773.19,900.46,1225.43
1991-01-01,49.87,-105.71,728.43,973.38,1159.84,729.61,972.94,1161.55,729.09,971.87,1163.38
1992-01-01,49.87,-105.71,719.50,886.01,1031.51,718.55,884.03,1032.34,718.63,886.21,1032.02
1993-01-01,49.87,-105.71,714.86,854.19,1150.60,715.02,855.02,1151.38,715.02,852.70,1153.57
1994-01-01,49.87,-105.71,814.30,949.61,1182.83,816.07,950.50,1182.64,814.12,949.41,1185.69
1995-01-01,49.87,-105.71,831.59,974.93,1167.23,830.04,974.00,1168.57,828.36,974.49,1169.80
1996-01-01,49.87,-105.71,831.28,994.71,1145.85,831.16,997.15,1147.17,830.35,996.09,1142.03
1997-01-01,49.87,-105.71,792.09,951.02,1127.68,792.57,953.87,1127.31,792.75,952.27,1129.04
1998-01-01,49.87,-105.71,865.29,1032.93,1136.15,864.25,1032.18,1136.33,866.01,1031.07,1136.20
1999-01-01,49.87,-105.71,816.56,966.64,1151.69,816.64,966.15,1151.20,817.38,964.48,1156.13
2000-01-01,49.87,-105.71,913.13,1017.27,1307.33,912.53,1014.39,1306.23,913.71,1013.97,1306.22
2001-01-01,49.87,-105.71,885.22,1008.26,1197.77,883.44,1007.96,1197.73,882.49,1007.68,1194.90
2002-01-01,49.87,-105.71,893.36,1085.18,1248.25,891.77,1083.83,1248.87,891.92,1083.35,1253.99
2003-01-01,49.87,-105.71,828.40,1056.63,1216.36,829.90,1058.30,1217.69,828.67,1060.88,1218.00
2004-01-01,49.87,-105.71,817.04,1081.85,1314.85,818.14,1084.25,1314.59,815.35,1080.57,1315.34
2005-01-01,49.87,-105.71,877.14,984.44,1310.45,877.31,985.83,1311.23,877.90,986.78,1311.61
2006-01-01,49.87,-105.71,841.51,1045.35,1285.98,815.90,1041.70,1233.23,940.58,1064.46,1232.55
2007-01-01,49.87,-105.71,787.01,1018.81,1276.57,803.38,1121.36,1334.13,955.90,1076.02,1279.88
2008-01-01,49.87,-105.71,852.40,1006.95,1189.60,919.40,1078.34,1290.65,828.25,1089.59,1277.24
2009-01-01,49.87,-105.71,917.92,1053.77,1292.66,837.13,1123.85,1289.09,809.26,1084.88,1292.66
2010-01-01,49.87,-105.71,879.37,1038.75,1169.53,778.80,1050.99,1294.16,894.25,1102.62,1180.99
