time,lat,lon,rcp26_txgt_30_p10,rcp26_txgt_30_p50,rcp26_txgt_30_p90,rcp45_txgt_30_p10,rcp45_txgt_30_p50,rcp45_txgt_30_p90,rcp85_txgt_30_p10,rcp85_txgt_30_p50,rcp85_txgt_30_p90
1950-01-01,50.04,-105.38,6.50,19.50,38.10,6.50,19.50,38.10,6.50,19.50,38.10
1951-01-01,50.04,-105.38,8.00,19.00,36.70,8.00,19.00,36.70,8.00,19.00,36.70
1952-01-01,50.04,-105.38,9.30,19.50,38.60,9.30,19.50,38.60,9.30,19.50,38.60
1953-01-01,50.04,-105.38,5.60,13.00,37.10,5.60,13.00,37.10,5.60,13.00,37.10
1954-01-01,50.04,-105.38,8.60,20.00,34.80,8.60,20.00,34.80,8.60,20.00,34.80
1955-01-01,50.04,-105.38,8.30,18.50,30.40,8.30,18.50,30.40,8.30,18.50,30.40
1956-01-01,50.04,-105.38,3.60,17.50,30.70,3.60,17.50,30.70,3.60,17.50,30.70
1957-01-01,50.04,-105.38,5.60,16.50,32.70,5.60,16.50,32.70,5.60,16.50,32.70
1958-01-01,50.04,-105.38,6.60,15.50,25.10,6.60,15.50,25.10,6.60,15.50,25.10
1959-01-01,50.04,-105.38,4.30,13.50,24.80,4.30,13.50,24.80,4.30,13.50,24.80
1960-01-01,50.04,-105.38,9.90,17.50,27.70,9.90,17.50,27.70,9.90,17.50,27.70
1961-01-01,50.04,-105.38,4.00,13.00,27.70,4.00,13.00,27.70,4.00,13.00,27.70
1962-01-01,50.04,-105.38,6.30,13.50,24.70,6.30,13.50,24.70,6.30,13.50,24.70
1963-01-01,50.04,-105.38,3.00,13.50,29.50,3.00,13.50,29.50,3.00,13.50,29.50
1964-01-01,50.04,-105.38,2.30,10.00,24.00,2.30,10.00,24.00,2.30,10.00,24.00
1965-01-01,50.04,-105.38,3.00,12.00,25.40,3.00,12.00,25.40,3.00,12.00,25.40
1966-01-01,50.04,-105.38,3.60,9.50,21.50,3.60,9.50,21.50,3.60,9.50,21.50
