time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,50.04,-105.38,2.76,3.80,4.92,2.76,3.80,4.92,2.76,3.78,4.92
1951-01-01,50.04,-105.38,2.31,3.71,5.13,2.31,3.71,5.13,2.31,3.71,5.13
1952-01-01,50.04,-105.38,2.47,3.50,4.65,2.47,3.50,4.65,2.47,3.48,4.65
1953-01-01,50.04,-105.38,2.08,3.59,4.41,2.08,3.59,4.41,2.08,3.59,4.37
1954-01-01,50.04,-105.38,2.44,3.42,4.93,2.44,3.42,4.93,2.45,3.42,4.93
1955-01-01,50.04,-105.38,2.14,3.73,4.80,2.14,3.73,4.80,2.14,3.73,4.81
1956-01-01,50.04,-105.38,2.12,3.51,4.92,2.12,3.51,4.92,2.12,3.51,4.92
1957-01-01,50.04,-105.38,1.17,3.49,4.90,1.17,3.49,4.90,1.17,3.49,4.90
1958-01-01,50.04,-105.38,1.83,3.27,4.39,1.83,3.27,4.39,1.83,3.27,4.39
1959-01-01,50.04,-105.38,1.41,2.53,4.67,1.41,2.53,4.67,1.41,2.53,4.67
1960-01-01,50.04,-105.38,1.74,3.40,5.16,1.74,3.40,5.16,1.74,3.40,5.16
1961-01-01,50.04,-105.38,1.93,3.68,5.17,1.93,3.68,5.17,1.93,3.68,5.17
1962-01-01,50.04,-105.38,1.46,3.46,4.89,1.46,3.46,4.89,1.46,3.46,4.89
1963-01-01,50.04,-105.38,2.09,3.28,4.53,2.09,3.28,4.53,2.09,3.28,4.53
1964-01-01,50.04,-105.38,0.75,2.56,3.74,0.75,2.56,3.74,0.75,2.56,3.73
1965-01-01,50.04,-105.38,1.06,2.55,3.44,1.06,2.55,3.44,1.06,2.55,3.44
1966-01-01,50.04,-105.38,1.31,3.08,4.54,1.31,3.08,4.54,1.31,3.08,4.54
1967-01-01,50.04,-105.38,1.99,3.51,5.06,1.99,3.51,5.06,1.99,3.51,5.06
1968-01-01,50.04,-105.38,1.51,2.96,4.31,1.51,2.96,4.31,1.51,2.96,4.29
1969-01-01,50.04,-105.38,1.39,2.86,4.42,1.39,2.86,4.42,1.39,2.86,4.38
1970-01-01,50.04,-105.38,1.70,3.12,4.58,1.70,3.12,4.58,1.70,3.12,4.58
1971-01-01,50.04,-105.38,1.74,3.62,4.67,1.74,3.62,4.67,1.74,3.62,4.67
1972-01-01,50.04,-105.38,2.42,3.39,4.23,2.42,3.39,4.23,2.42,3.39,4.23
1973-01-01,50.04,-105.38,2.28,3.34,5.37,2.28,3.34,5.37,2.28,3.34,5.37
1974-01-01,50.04,-105.38,0.93,3.30,4.73,0.93,3.30,4.73,0.93,3.30,4.72
1975-01-01,50.04,-105.38,2.46,3.22,4.22,2.46,3.22,4.22,2.46,3.22,4.18
1976-01-01,50.04,-105.38,2.15,3.65,4.65,2.15,3.65,4.65,2.15,3.65,4.65
1977-01-01,50.04,-105.38,2.46,3.81,5.03,2.46,3.81,5.03,2.46,3.79,5.03
1978-01-01,50.04,-105.38,3.02,3.57,4.53,3.02,3.57,4.53,3.02,3.57,4.53
1979-01-01,50.04,-105.38,2.72,4.06,5.41,2.72,4.06,5.41,2.72,4.06,5.41
1980-01-01,50.04,-105.38,1.85,3.10,4.91,1.85,3.08,4.92,1.86,3.10,4.92
1981-01-01,50.04,-105.38,1.48,3.88,5.06,1.49,3.89,5.06,1.48,3.88,5.05
1982-01-01,50.04,-105.38,1.67,3.31,4.48,1.67,3.29,4.49,1.67,3.31,4.50
1983-01-01,50.04,-105.38,2.06,2.93,4.04,2.02,2.92,4.03,2.03,2.93,4.03
1984-01-01,50.04,-105.38,2.27,3.94,4.90,2.24,3.95,4.87,2.25,3.94,4.89
1985-01-01,50.04,-105.38,1.66,3.27,4.61,1.66,3.26,4.61,1.67,3.27,4.61
1986-01-01,50.04,-105.38,2.41,3.46,5.31,2.44,3.47,5.30,2.44,3.47,5.30
1987-01-01,50.04,-105.38,1.98,3.68,4.55,1.99,3.67,4.53,1.99,3.67,4.52
1988-01-01,50.04,-105.38,2.12,3.42,4.68,2.12,3.41,4.69,2.12,3.41,4.70
1989-01-01,50.04,-105.38,2.38,3.66,5.65,2.40,3.64,5.66,2.40,3.64,5.64
1990-01-01,50.04,-105.38,1.99,3.75,5.23,1.99,3.77,5.23,2.00,3.77,5.21
1991-01-01,50.04,-105.38,2.30,3.92,5.30,2.29,3.90,5.30,2.29,3.91,5.28
1992-01-01,50.04,-105.38,1.58,3.10,4.97,1.58,3.09,4.97,1.58,3.10,4.96
1993-01-01,50.04,-105.38,2.12,3.67,4.99,2.13,3.68,4.96,2.13,3.68,4.99
1994-01-01,50.04,-105.38,2.75,3.70,5.16,2.75,3.67,5.15,2.76,3.70,5.13
1995-01-01,50.04,-105.38,2.47,3.58,4.89,2.47,3.59,4.87,2.47,3.58,4.89
1996-01-01,50.04,-105.38,2.58,3.73,4.75,2.57,3.75,4.76,2.59,3.74,4.75
1997-01-01,50.04,-105.38,2.01,3.76,5.10,2.02,3.75,5.08,2.03,3.76,5.07
1998-01-01,50.04,-105.38,2.80,3.62,5.10,2.77,3.61,5.11,2.80,3.62,5.11
1999-01-01,50.04,-105.38,3.16,3.84,5.20,3.17,3.85,5.20,3.16,3.85,5.22
2000-01-01,50.04,-105.38,3.32,4.26,6.09,3.29,4.26,6.10,3.31,4.25,6.09
2001-01-01,50.04,-105.38,2.78,3.74,5.18,2.76,3.73,5.19,2.78,3.72,5.18
2002-01-01,50.04,-105.38,2.70,4.44,5.68,2.65,4.44,5.69,2.67,4.42,5.69
2003-01-01,50.04,-105.38,2.81,4.15,5.44,2.80,4.16,5.46,2.81,4.16,5.46
2004-01-01,50.04,-105.38,2.33,4.34,5.84,2.34,4.31,5.86,2.33,4.32,5.84
2005-01-01,50.04,-105.38,2.72,4.03,5.67,2.71,4.04,5.67,2.69,4.04,5.66
2006-01-01,50.04,-105.38,2.23,4.28,5.59,2.98,4.83,5.93,3.38,4.77,5.67
2007-01-01,50.04,-105.38,2.95,3.88,5.88,3.27,4.30,6.06,3.39,4.68,6.02
2008-01-01,50.04,-105.38,3.75,4.62,5.46,3.00,4.19,5.59,3.19,4.60,5.48
2009-01-01,50.04,-105.38,2.91,4.87,6.38,3.11,4.54,6.05,3.00,4.27,5.91
2010-01-01,50.04,-105.38,2.83,4.28,5.42,3.10,3.96,5.46,2.24,4.27,5.24
2011-01-01,50.04,-105.38,2.70,4.51,5.66,3.64,4.98,5.94,3.24,4.10,5.74
2012-01-01,50.04,-105.38,3.57,4.79,6.48,3.63,4.35,5.57,3.41,4.32,6.68
2013-01-01,50.04,-105.38,3.47,4.75,6.07,2.57,4.39,5.41,3.17,4.53,5.66
2014-01-01,50.04,-105.38,3.06,4.86,6.20,3.16,4.74,6.21,3.16,5.15,6.39
2015-01-01,50.04,-105.38,3.84,4.80,6.42,3.14,4.56,5.60,3.20,4.52,5.45
2016-01-01,50.04,-105.38,3.88,5.22,7.59,2.80,4.31,5.46,3.53,4.76,6.06
