time,lon,lat,rcp26_r1mm_p10,rcp26_r1mm_p50,rcp26_r1mm_p90,rcp45_r1mm_p10,rcp45_r1mm_p50,rcp45_r1mm_p90,rcp85_r1mm_p10,rcp85_r1mm_p50,rcp85_r1mm_p90
1950-01-01,-105.71,49.87,57.00,70.50,85.10,55.60,70.50,85.10,55.60,70.50,85.10
1951-01-01,-105.71,49.87,58.30,70.00,83.70,58.30,71.00,84.40,58.30,69.50,83.00
1952-01-01,-105.71,49.87,57.90,70.50,82.40,57.60,70.50,82.10,57.60,70.50,82.10
1953-01-01,-105.71,49.87,54.30,73.00,90.40,54.00,73.00,91.10,54.00,73.00,88.70
1954-01-01,-105.71,49.87,62.30,71.50,89.50,62.30,71.00,89.50,62.30,71.50,89.50
1955-01-01,-105.71,49.87,63.90,73.00,82.00,63.30,73.00,82.70,63.00,73.00,82.70
1956-01-01,-105.71,49.87,57.60,71.00,83.70,57.60,71.00,83.70,57.60,71.00,83.70
1957-01-01,-105.71,49.87,58.60,73.00,86.00,59.30,73.50,88.10,59.30,73.50,86.70
1958-01-01,-105.71,49.87,65.90,76.00,89.70,65.90,75.50,90.40,65.90,76.00,90.40
1959-01-01,-105.71,49.87,64.30,75.50,92.70,64.00,75.00,92.70,64.00,75.00,92.70
1960-01-01,-105.71,49.87,61.80,76.50,84.70,62.50,77.50,84.70,61.80,76.50,83.70
1961-01-01,-105.71,49.87,61.30,79.00,91.40,62.30,79.00,91.40,62.00,79.00,91.70
1962-01-01,-105.71,49.87,66.20,79.50,89.00,66.20,79.00,89.00,66.20,79.00,89.00
1963-01-01,-105.71,49.87,62.00,75.00,100.40,62.00,75.50,101.10,62.00,75.50,99.70
1964-01-01,-105.71,49.87,65.90,78.00,92.10,65.90,78.00,92.10,65.20,78.00,92.10
1965-01-01,-105.71,49.87,67.30,76.50,94.10,67.30,76.50,94.10,67.30,76.50,94.10
1966-01-01,-105.71,49.87,67.00,74.00,92.50,67.30,74.50,92.50,67.00,74.50,92.50
1967-01-01,-105.71,49.87,57.60,70.50,88.00,55.60,70.50,88.00,55.60,70.50,88.00
1968-01-01,-105.71,49.87,60.60,73.50,85.70,61.60,73.00,85.70,60.90,73.00,85.70
1969-01-01,-105.71,49.87,61.90,73.50,95.00,61.90,73.50,95.40,61.90,73.50,95.40
1970-01-01,-105.71,49.87,59.00,70.50,81.70,59.00,71.50,82.40,59.00,71.50,82.40
1971-01-01,-105.71,49.87,52.30,68.50,90.00,51.30,68.00,90.00,51.30,69.00,90.00
1972-01-01,-105.71,49.87,58.10,74.00,83.70,59.50,75.00,83.70,58.10,74.50,83.70
1973-01-01,-105.71,49.87,64.30,78.50,87.70,64.00,78.50,87.70,64.00,79.00,87.70
1974-01-01,-105.71,49.87,59.60,77.00,84.70,59.60,77.50,84.70,59.60,77.50,84.70
1975-01-01,-105.71,49.87,56.90,72.50,88.20,57.50,72.50,87.50,57.20,72.50,88.20
1976-01-01,-105.71,49.87,57.00,75.00,86.10,57.00,75.00,86.10,57.00,74.50,86.10
1977-01-01,-105.71,49.87,64.60,73.50,89.50,64.60,73.50,89.50,64.30,73.00,89.50
1978-01-01,-105.71,49.87,62.90,71.50,81.10,62.90,71.50,81.10,62.90,71.00,81.10
1979-01-01,-105.71,49.87,59.90,74.50,89.40,59.90,74.50,87.70,59.90,74.50,87.70
1980-01-01,-105.71,49.87,65.60,77.50,92.70,66.30,78.00,92.70,66.20,77.00,93.40
1981-01-01,-105.71,49.87,54.90,73.50,94.10,54.90,73.50,94.70,54.90,73.50,95.70
1982-01-01,-105.71,49.87,62.70,77.50,87.00,62.10,77.50,87.70,62.40,76.00,88.00
1983-01-01,-105.71,49.87,62.60,74.50,88.90,62.30,74.50,89.30,63.00,75.00,89.30
1984-01-01,-105.71,49.87,58.90,70.50,81.00,58.30,71.50,81.70,57.60,70.00,81.70
1985-01-01,-105.71,49.87,60.60,71.50,86.70,62.30,73.50,86.70,62.00,72.50,87.40
1986-01-01,-105.71,49.87,58.50,71.50,90.00,57.50,71.50,89.70,59.20,72.50,89.40
1987-01-01,-105.71,49.87,58.90,73.50,91.00,59.60,74.50,90.40,59.30,73.00,90.70
1988-01-01,-105.71,49.87,61.00,75.50,89.40,61.00,76.00,90.00,61.00,75.00,89.40
1989-01-01,-105.71,49.87,55.60,73.00,86.80,55.30,73.50,87.10,56.30,73.00,86.80
1990-01-01,-105.71,49.87,60.60,77.50,86.40,61.30,77.50,85.70,60.30,77.50,86.40
1991-01-01,-105.71,49.87,62.30,72.50,91.40,62.30,72.50,93.20,62.30,73.00,92.10
1992-01-01,-105.71,49.87,56.20,72.00,85.70,57.50,74.00,86.70,57.60,73.50,86.70
1993-01-01,-105.71,49.87,59.90,75.00,86.70,58.90,76.00,87.70,60.20,76.00,88.10
1994-01-01,-105.71,49.87,65.00,76.00,82.70,65.60,76.00,82.70,65.30,76.00,82.70
1995-01-01,-105.71,49.87,62.30,74.00,84.70,62.00,75.00,85.40,62.00,75.00,86.80
1996-01-01,-105.71,49.87,59.30,74.00,84.00,59.30,73.50,84.70,59.30,73.50,83.70
1997-01-01,-105.71,49.87,63.90,81.00,89.80,64.50,81.00,90.10,64.20,80.50,89.80
1998-01-01,-105.71,49.87,63.00,75.50,86.40,62.30,76.00,85.70,62.30,75.50,86.40
1999-01-01,-105.71,49.87,61.90,78.00,84.70,61.50,77.00,85.70,62.20,77.50,85.70
2000-01-01,-105.71,49.87,61.60,73.50,85.00,63.00,72.00,85.40,63.00,72.00,85.70
2001-01-01,-105.71,49.87,61.60,77.50,86.70,61.00,76.00,87.70,60.30,77.50,87.70
2002-01-01,-105.71,49.87,64.00,77.00,87.70,65.00,77.00,88.00,64.30,77.00,87.00
2003-01-01,-105.71,49.87,61.90,77.50,87.70,61.60,79.00,87.70,61.60,78.50,88.40
