time,lon,lat,rcp26_frost_free_season_p10,rcp26_frost_free_season_p50,rcp26_frost_free_season_p90,rcp45_frost_free_season_p10,rcp45_frost_free_season_p50,rcp45_frost_free_season_p90,rcp85_frost_free_season_p10,rcp85_frost_free_season_p50,rcp85_frost_free_season_p90
1950-01-01,-107.04,58.54,80.90,99.00,111.00,77.90,100.00,111.00,80.90,100.00,111.00
1951-01-01,-107.04,58.54,82.30,100.50,120.90,83.30,98.50,120.60,82.30,98.50,120.90
1952-01-01,-107.04,58.54,81.50,103.50,113.70,81.50,103.50,113.00,81.50,104.00,113.00
1953-01-01,-107.04,58.54,85.20,99.00,120.30,85.50,99.00,120.30,85.50,99.00,120.30
1954-01-01,-107.04,58.54,86.00,98.00,117.70,84.60,98.00,117.40,84.60,98.00,116.00
1955-01-01,-107.04,58.54,81.50,101.50,115.70,81.50,101.50,115.70,81.50,99.50,115.70
1956-01-01,-107.04,58.54,83.20,98.50,111.10,83.20,98.50,111.10,83.20,101.00,112.70
1957-01-01,-107.04,58.54,81.90,103.00,117.70,81.90,103.00,117.70,81.90,103.50,118.40
1958-01-01,-107.04,58.54,94.20,103.00,122.00,93.90,103.00,122.00,94.20,104.50,121.70
1959-01-01,-107.04,58.54,77.00,95.00,107.80,77.00,95.00,108.10,77.00,95.00,108.10
1960-01-01,-107.04,58.54,85.00,106.50,119.90,85.00,105.50,119.90,85.00,105.00,119.90
1961-01-01,-107.04,58.54,82.90,100.00,112.70,82.90,100.00,112.70,82.90,100.00,112.70
1962-01-01,-107.04,58.54,79.00,101.50,127.10,79.00,101.50,127.10,78.30,101.50,127.10
1963-01-01,-107.04,58.54,88.90,103.50,116.40,88.90,103.50,116.40,88.90,103.50,115.70
1964-01-01,-107.04,58.54,81.30,97.00,108.20,81.00,97.00,108.20,81.60,96.50,108.20
1965-01-01,-107.04,58.54,86.90,101.00,112.00,86.90,101.00,111.70,86.90,101.00,111.70
1966-01-01,-107.04,58.54,87.30,99.50,119.00,88.00,99.50,118.70,87.30,99.00,118.00
1967-01-01,-107.04,58.54,82.60,99.50,114.00,82.60,99.50,114.00,82.90,98.50,114.00
1968-01-01,-107.04,58.54,84.20,103.00,113.00,84.50,103.00,113.00,84.50,104.50,113.00
1969-01-01,-107.04,58.54,84.00,97.00,112.40,83.30,96.00,112.40,84.00,96.00,112.40
1970-01-01,-107.04,58.54,83.30,104.50,117.40,83.30,106.00,117.40,83.30,106.00,117.40
1971-01-01,-107.04,58.54,85.50,100.00,111.40,87.60,100.00,111.40,86.20,100.00,111.40
