time,lat,lon,rcp26_gddgrow_10_p10,rcp26_gddgrow_10_p50,rcp26_gddgrow_10_p90,rcp45_gddgrow_10_p10,rcp45_gddgrow_10_p50,rcp45_gddgrow_10_p90,rcp85_gddgrow_10_p10,rcp85_gddgrow_10_p50,rcp85_gddgrow_10_p90
1950-01-01,58.54,-107.04,340.52,422.25,542.67,340.19,422.01,542.85,339.30,421.97,542.71
1951-01-01,58.54,-107.04,271.19,385.87,500.77,271.19,385.87,501.06,271.19,385.87,501.23
1952-01-01,58.54,-107.04,308.06,408.48,563.36,308.54,408.48,563.42,307.34,408.48,563.43
1953-01-01,58.54,-107.04,268.21,341.03,549.65,268.04,340.92,549.02,268.02,341.01,548.84
1954-01-01,58.54,-107.04,300.14,413.69,544.16,299.62,413.66,544.16,299.74,413.84,544.16
1955-01-01,58.54,-107.04,287.72,404.49,540.27,289.02,404.60,540.27,289.03,404.43,540.27
1956-01-01,58.54,-107.04,249.08,440.46,559.73,248.52,440.74,559.73,248.52,442.33,559.73
1957-01-01,58.54,-107.04,292.09,434.39,553.30,292.10,434.15,553.64,288.91,434.57,553.64
1958-01-01,58.54,-107.04,321.09,395.79,550.58,321.09,395.62,550.59,321.09,395.69,550.58
1959-01-01,58.54,-107.04,249.77,348.02,497.35,249.77,348.02,497.30,249.77,340.77,497.05
1960-01-01,58.54,-107.04,314.36,438.05,589.61,314.39,438.05,589.61,314.28,438.05,589.61
1961-01-01,58.54,-107.04,318.51,413.80,531.59,318.36,413.80,531.59,318.36,413.80,531.59
1962-01-01,58.54,-107.04,294.14,374.73,444.93,294.14,374.74,444.93,294.14,375.27,444.93
1963-01-01,58.54,-107.04,296.29,408.83,483.09,296.08,408.83,483.09,296.38,408.96,483.09
1964-01-01,58.54,-107.04,252.66,394.39,491.16,252.66,394.67,491.09,252.66,394.67,491.16
1965-01-01,58.54,-107.04,305.09,414.89,506.53,305.14,414.89,506.53,305.06,414.89,506.53
1966-01-01,58.54,-107.04,303.56,409.01,638.27,304.54,409.01,638.26,303.82,409.01,630.40
1967-01-01,58.54,-107.04,287.59,379.09,465.67,287.59,379.05,465.67,287.59,379.45,465.67
1968-01-01,58.54,-107.04,324.92,400.03,509.00,324.58,400.03,509.00,324.84,400.03,509.00
1969-01-01,58.54,-107.04,268.73,353.35,453.60,268.41,353.35,453.18,268.13,353.35,453.24
1970-01-01,58.54,-107.04,300.25,437.12,538.46,299.72,436.49,538.47,300.17,436.32,526.65
1971-01-01,58.54,-107.04,322.30,407.13,566.40,321.77,407.22,566.40,321.71,407.17,566.40
1972-01-01,58.54,-107.04,307.47,383.73,578.05,307.85,383.70,578.05,307.84,377.20,578.05
1973-01-01,58.54,-107.04,292.31,406.80,491.92,292.31,406.80,491.92,292.31,406.80,487.79
1974-01-01,58.54,-107.04,287.68,375.95,523.30,287.24,375.95,523.30,287.90,375.95,523.30
1975-01-01,58.54,-107.04,316.94,418.04,581.17,316.94,418.04,581.17,316.93,418.04,581.17
1976-01-01,58.54,-107.04,288.89,447.43,570.24,289.25,447.43,570.24,288.89,447.43,570.24
1977-01-01,58.54,-107.04,287.86,428.86,530.59,287.88,428.86,530.46,289.12,428.86,530.44
1978-01-01,58.54,-107.04,352.84,441.68,549.65,352.85,441.63,549.96,352.85,436.02,550.38
1979-01-01,58.54,-107.04,370.52,412.33,602.24,370.63,412.33,602.38,370.91,410.87,602.45
1980-01-01,58.54,-107.04,364.24,445.01,527.30,362.89,443.66,526.91,362.77,445.12,526.14
1981-01-01,58.54,-107.04,319.92,459.80,566.81,319.42,462.88,565.26,320.29,457.16,565.22
1982-01-01,58.54,-107.04,307.66,408.26,502.87,308.19,408.01,501.18,307.93,407.15,500.71
1983-01-01,58.54,-107.04,328.81,404.54,530.74,328.80,404.63,530.47,328.55,404.83,529.14
1984-01-01,58.54,-107.04,348.51,466.62,584.05,347.99,468.04,586.26,347.23,467.19,586.11
1985-01-01,58.54,-107.04,327.37,441.90,568.72,326.90,441.46,569.42,326.67,441.43,569.33
1986-01-01,58.54,-107.04,279.33,386.52,532.16,278.88,386.31,533.00,278.83,386.45,535.09
1987-01-01,58.54,-107.04,327.85,418.74,522.92,328.09,418.39,520.59,326.86,416.21,519.33
1988-01-01,58.54,-107.04,378.89,442.14,506.27,379.63,442.62,507.31,381.13,444.00,505.91
1989-01-01,58.54,-107.04,338.44,494.65,631.93,339.36,494.30,629.70,340.14,494.91,627.38
1990-01-01,58.54,-107.04,326.85,471.86,547.16,327.25,474.22,546.06,326.14,472.39,547.28
1991-01-01,58.54,-107.04,326.86,427.95,564.35,327.29,427.42,565.79,326.63,428.40,563.11
