time,lat,lon,rcp26_tx_max_p10,rcp26_tx_max_p50,rcp26_tx_max_p90,rcp45_tx_max_p10,rcp45_tx_max_p50,rcp45_tx_max_p90,rcp85_tx_max_p10,rcp85_tx_max_p50,rcp85_tx_max_p90
1950-01-01,58.54,-107.04,27.28,29.41,33.99,27.28,29.41,33.99,27.28,29.41,33.99
1951-01-01,58.54,-107.04,25.66,28.24,30.84,25.66,28.24,30.84,25.66,28.24,30.84
1952-01-01,58.54,-107.04,27.04,29.23,32.33,27.04,29.23,32.33,27.04,29.23,32.33
1953-01-01,58.54,-107.04,24.40,27.30,29.95,24.40,27.30,29.95,24.40,27.30,29.95
1954-01-01,58.54,-107.04,26.76,29.56,33.99,26.76,29.56,33.99,26.76,29.56,33.99
1955-01-01,58.54,-107.04,25.51,28.82,34.33,25.51,28.82,34.33,25.51,28.82,34.33
1956-01-01,58.54,-107.04,26.19,29.56,34.25,26.19,29.56,34.25,26.19,29.56,34.25
1957-01-01,58.54,-107.04,27.36,29.73,32.09,27.36,29.73,32.10,27.36,29.73,32.09
1958-01-01,58.54,-107.04,26.28,29.52,33.20,26.28,29.52,33.20,26.28,29.52,33.20
1959-01-01,58.54,-107.04,25.82,28.48,31.63,25.82,28.48,31.63,25.82,28.48,31.63
1960-01-01,58.54,-107.04,27.41,29.19,33.98,27.41,29.19,33.98,27.41,29.19,33.98
1961-01-01,58.54,-107.04,27.31,28.80,31.38,27.31,28.80,31.38,27.31,28.80,31.38
1962-01-01,58.54,-107.04,26.04,27.99,31.17,26.04,27.99,31.17,26.04,27.99,31.17
1963-01-01,58.54,-107.04,26.65,28.04,31.98,26.65,28.04,31.98,26.65,28.04,31.98
1964-01-01,58.54,-107.04,27.03,29.30,35.42,27.03,29.30,35.42,27.03,29.30,35.42
1965-01-01,58.54,-107.04,26.33,29.46,31.36,26.33,29.46,31.36,26.33,29.46,31.36
1966-01-01,58.54,-107.04,26.85,28.45,34.17,26.85,28.45,34.17,26.85,28.45,34.17
1967-01-01,58.54,-107.04,25.54,28.15,30.99,25.54,28.15,30.99,25.54,28.15,30.99
1968-01-01,58.54,-107.04,26.40,28.75,32.26,26.40,28.75,32.26,26.40,28.75,32.26
1969-01-01,58.54,-107.04,25.53,27.88,30.29,25.53,27.88,30.29,25.53,27.88,30.29
1970-01-01,58.54,-107.04,26.61,29.84,34.36,26.61,29.84,34.36,26.61,29.84,34.36
1971-01-01,58.54,-107.04,26.21,28.82,33.81,26.21,28.82,33.81,26.21,28.82,33.81
1972-01-01,58.54,-107.04,25.41,28.58,33.97,25.41,28.58,33.97,25.41,28.58,33.97
1973-01-01,58.54,-107.04,25.65,29.14,32.67,25.65,29.14,32.67,25.65,29.14,32.67
1974-01-01,58.54,-107.04,25.88,28.64,31.33,25.88,28.64,31.33,25.88,28.64,31.33
1975-01-01,58.54,-107.04,27.39,29.04,31.62,27.39,29.04,31.62,27.39,29.04,31.62
1976-01-01,58.54,-107.04,25.60,29.89,32.88,25.60,29.89,32.88,25.60,29.89,32.88
1977-01-01,58.54,-107.04,25.31,29.58,33.38,25.31,29.58,33.38,25.31,29.58,33.38
1978-01-01,58.54,-107.04,28.69,30.26,33.33,28.69,30.26,33.33,28.69,30.26,33.33
1979-01-01,58.54,-107.04,26.86,29.64,31.61,26.86,29.64,31.61,26.86,29.64,31.61
1980-01-01,58.54,-107.04,27.98,29.51,32.68,27.94,29.47,32.82,27.96,29.45,32.80
1981-01-01,58.54,-107.04,27.19,29.02,35.56,27.29,29.08,35.52,27.14,29.16,35.43
1982-01-01,58.54,-107.04,26.70,28.82,31.23,26.70,28.89,31.36,26.50,28.81,31.23
1983-01-01,58.54,-107.04,27.01,28.99,33.10,26.91,29.01,33.12,27.00,29.02,32.92
1984-01-01,58.54,-107.04,26.81,30.06,35.27,26.89,29.89,35.27,26.83,29.33,35.27
1985-01-01,58.54,-107.04,27.14,30.11,31.99,27.20,29.96,32.14,27.18,30.08,31.90
1986-01-01,58.54,-107.04,25.93,28.72,33.28,25.89,28.74,33.35,25.91,28.74,33.22
1987-01-01,58.54,-107.04,26.66,30.02,31.64,26.65,29.64,31.75,26.67,30.06,31.66
1988-01-01,58.54,-107.04,27.49,28.82,35.06,27.48,28.82,35.13,26.76,28.77,34.53
1989-01-01,58.54,-107.04,26.58,30.31,33.63,26.58,30.25,33.07,26.58,30.30,33.63
1990-01-01,58.54,-107.04,27.13,29.29,32.38,27.18,29.19,33.43,27.09,29.29,33.44
1991-01-01,58.54,-107.04,27.19,29.35,31.89,27.23,29.26,32.17,27.22,29.26,31.92
1992-01-01,58.54,-107.04,26.40,28.40,32.32,25.85,28.39,32.29,25.59,28.33,32.96
1993-01-01,58.54,-107.04,26.06,29.10,32.00,26.07,29.24,32.08,26.02,29.30,32.13
1994-01-01,58.54,-107.04,25.31,29.32,32.93,25.29,29.27,33.44,25.29,29.31,33.44
1995-01-01,58.54,-107.04,26.15,29.97,32.46,26.16,30.04,32.50,26.11,30.08,32.50
1996-01-01,58.54,-107.04,26.65,29.07,31.59,26.65,28.74,31.63,26.74,28.75,31.86
1997-01-01,58.54,-107.04,26.73,30.02,33.72,26.80,30.07,34.18,26.70,30.02,34.18
1998-01-01,58.54,-107.04,27.84,29.49,31.48,27.78,29.61,31.49,27.74,29.72,31.52
1999-01-01,58.54,-107.04,27.29,30.13,32.10,27.15,29.95,32.35,27.31,29.78,32.22
2000-01-01,58.54,-107.04,27.94,29.12,31.75,27.92,29.50,31.51,27.97,29.51,31.80
2001-01-01,58.54,-107.04,25.56,30.26,34.60,25.75,30.07,34.52,25.78,30.16,33.45
2002-01-01,58.54,-107.04,27.48,29.63,31.33,27.44,29.69,31.09,27.44,29.67,31.06
2003-01-01,58.54,-107.04,25.90,29.47,34.14,25.95,29.84,34.18,25.96,29.67,33.68
2004-01-01,58.54,-107.04,26.50,29.94,32.16,26.49,29.96,31.84,26.51,29.91,31.86
2005-01-01,58.54,-107.04,27.03,29.85,33.27,27.10,29.90,32.53,26.87,29.89,32.54
2006-01-01,58.54,-107.04,27.23,29.27,31.99,27.71,31.18,34.17,26.68,30.31,32.65
2007-01-01,58.54,-107.04,27.28,29.17,32.24,26.49,30.45,34.87,27.78,30.39,34.32
2008-01-01,58.54,-107.04,26.22,29.55,34.53,27.16,30.99,34.18,27.76,29.51,32.56
2009-01-01,58.54,-107.04,27.42,29.94,34.07,26.85,29.54,33.85,28.19,30.28,34.45
2010-01-01,58.54,-107.04,27.03,29.14,32.50,27.68,30.35,31.81,26.14,28.68,33.47
2011-01-01,58.54,-107.04,27.05,29.89,32.65,28.44,30.78,33.79,27.72,30.58,33.10
2012-01-01,58.54,-107.04,27.24,30.61,34.08,27.71,29.63,31.65,27.78,29.90,32.62
2013-01-01,58.54,-107.04,26.70,29.21,32.07,25.56,29.87,35.28,27.34,30.48,32.62
2014-01-01,58.54,-107.04,27.84,30.27,32.79,28.09,30.39,33.74,27.98,29.87,32.69
2015-01-01,58.54,-107.04,27.68,30.08,33.17,27.87,29.82,33.66,28.10,30.08,35.05
2016-01-01,58.54,-107.04,27.62,31.11,34.81,26.37,29.75,33.29,28.09,30.06,33.15
2017-01-01,58.54,-107.04,27.13,31.24,33.80,27.79,30.28,33.10,27.93,30.86,34.27
2018-01-01,58.54,-107.04,28.39,30.37,34.64,28.11,31.67,34.87,27.71,30.21,32.36
2019-01-01,58.54,-107.04,27.44,30.40,33.62,27.62,30.61,32.74,27.28,30.67,34.39
2020-01-01,58.54,-107.04,26.78,29.74,36.09,26.65,28.95,34.19,27.46,30.16,34.40
2021-01-01,58.54,-107.04,27.33,31.24,34.65,27.95,30.72,34.76,28.23,30.62,33.96
2022-01-01,58.54,-107.04,29.00,30.85,35.18,26.07,29.79,33.84,29.22,31.24,34.79
2023-01-01,58.54,-107.04,27.84,30.20,33.91,27.72,30.50,33.41,28.48,31.31,34.82
2024-01-01,58.54,-107.04,27.65,30.64,34.30,27.33,31.69,35.42,26.86,30.31,34.92
2025-01-01,58.54,-107.04,28.17,31.04,33.79,28.38,30.93,33.84,28.11,30.50,34.57
2026-01-01,58.54,-107.04,28.13,31.50,35.83,28.54,31.78,35.68,28.82,31.05,36.54
2027-01-01,58.54,-107.04,28.59,30.66,33.93,28.22,30.78,33.18,27.96,32.31,36.50
2028-01-01,58.54,-107.04,28.01,30.18,33.82,27.90,31.68,34.12,26.52,31.32,35.29
2029-01-01,58.54,-107.04,27.05,31.32,34.32,27.20,31.27,35.71,27.91,30.59,35.79
2030-01-01,58.54,-107.04,28.27,30.90,34.82,28.22,31.88,33.88,27.81,30.26,32.18
2031-01-01,58.54,-107.04,28.05,32.20,36.68,27.80,31.01,35.13,27.07,30.70,36.36
2032-01-01,58.54,-107.04,27.92,30.37,33.32,28.19,31.11,33.60,29.13,31.51,33.55
2033-01-01,58.54,-107.04,27.31,30.92,33.92,27.90,31.71,34.81,27.34,30.55,35.98
2034-01-01,58.54,-107.04,28.55,32.67,36.39,28.37,31.34,35.31,27.52,31.39,38.12
2035-01-01,58.54,-107.04,28.11,30.73,33.64,28.66,30.73,34.42,29.16,32.50,35.46
2036-01-01,58.54,-107.04,29.06,32.17,35.42,26.94,32.16,35.09,28.72,31.26,34.16
2037-01-01,58.54,-107.04,27.60,29.68,32.41,27.47,29.91,35.23,28.22,31.82,35.35
2038-01-01,58.54,-107.04,27.84,30.20,32.76,28.48,30.57,36.13,29.77,32.13,36.45
2039-01-01,58.54,-107.04,28.42,31.18,34.56,27.41,30.28,34.88,28.61,30.67,33.94
2040-01-01,58.54,-107.04,28.05,30.55,32.27,28.35,31.20,33.06,27.49,31.38,36.63
2041-01-01,58.54,-107.04,28.60,31.43,34.85,28.18,31.52,35.68,29.34,31.36,35.56
2042-01-01,58.54,-107.04,28.29,30.86,36.02,27.27,30.14,35.13,27.62,30.65,33.40
2043-01-01,58.54,-107.04,27.36,30.30,33.76,28.68,32.34,35.90,28.57,31.56,36.39
2044-01-01,58.54,-107.04,27.19,30.74,34.29,29.30,32.30,35.91,28.22,31.77,37.76
2045-01-01,58.54,-107.04,27.84,30.60,33.46,27.63,30.68,35.48,28.81,31.46,35.20
2046-01-01,58.54,-107.04,28.25,30.18,34.85,28.73,32.09,35.18,29.12,31.47,35.81
2047-01-01,58.54,-107.04,26.63,31.13,36.60,28.39,31.42,34.73,28.63,32.89,35.55
2048-01-01,58.54,-107.04,26.89,30.98,34.71,28.98,30.95,35.04,28.94,32.10,34.95
2049-01-01,58.54,-107.04,28.24,31.27,34.14,28.42,32.01,36.40,29.19,31.85,35.14
2050-01-01,58.54,-107.04,27.15,31.74,34.83,28.19,31.74,38.67,29.34,33.48,36.51
2051-01-01,58.54,-107.04,28.13,30.81,32.76,29.27,30.86,33.62,28.88,31.75,34.60
2052-01-01,58.54,-107.04,27.32,31.03,33.43,28.89,31.28,35.04,31.64,32.57,34.58
2053-01-01,58.54,-107.04,28.99,30.66,33.44,27.76,30.81,35.13,30.37,33.46,37.82
2054-01-01,58.54,-107.04,28.83,31.58,35.58,27.87,30.80,33.91,28.83,32.62,35.72
2055-01-01,58.54,-107.04,27.39,32.28,35.62,28.67,32.21,36.16,28.63,33.93,36.84
2056-01-01,58.54,-107.04,27.78,30.20,33.35,29.09,31.75,35.54,29.29,33.66,37.27
2057-01-01,58.54,-107.04,28.60,30.89,33.92,27.22,30.69,35.22,28.66,33.91,37.31
2058-01-01,58.54,-107.04,28.41,30.51,36.70,28.11,32.20,34.61,31.37,33.50,37.03
2059-01-01,58.54,-107.04,26.86,30.53,35.68,29.11,31.60,34.42,30.18,34.13,36.92
2060-01-01,58.54,-107.04,27.89,31.02,33.39,28.80,32.58,34.46,30.74,33.13,37.24
2061-01-01,58.54,-107.04,27.28,32.03,34.49,28.94,31.65,36.03,29.14,34.43,38.04
2062-01-01,58.54,-107.04,30.11,32.23,35.11,29.06,31.17,35.12,30.89,34.58,37.38
