time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-107.04,58.54,322.66,401.31,461.54,322.69,400.82,461.54,322.51,400.05,461.54
1951-01-01,-107.04,58.54,321.94,413.42,476.33,321.92,413.44,476.33,321.92,413.44,476.33
1952-01-01,-107.04,58.54,322.38,405.12,476.57,322.38,405.14,475.43,322.38,405.14,475.04
1953-01-01,-107.04,58.54,359.50,418.40,487.38,360.25,418.41,489.00,360.35,418.41,489.00
1954-01-01,-107.04,58.54,325.71,394.67,479.92,325.71,393.16,481.34,325.70,393.12,480.52
1955-01-01,-107.04,58.54,337.54,424.08,511.46,337.75,424.08,510.71,338.52,424.08,509.36
1956-01-01,-107.04,58.54,352.16,403.47,466.01,352.17,403.47,466.00,352.17,403.47,466.01
1957-01-01,-107.04,58.54,347.19,398.67,471.54,347.19,398.67,471.54,347.19,398.67,471.54
1958-01-01,-107.04,58.54,357.94,413.50,484.42,357.59,413.49,483.94,357.70,413.50,484.28
1959-01-01,-107.04,58.54,363.99,409.90,511.64,366.19,410.93,511.65,366.50,411.53,511.64
1960-01-01,-107.04,58.54,330.26,405.18,476.30,330.26,404.72,476.15,330.26,404.71,476.88
1961-01-01,-107.04,58.54,350.96,400.16,514.26,350.96,400.17,512.43,350.96,400.17,512.43
1962-01-01,-107.04,58.54,364.10,438.75,489.92,364.10,438.75,490.71,363.77,438.75,490.72
1963-01-01,-107.04,58.54,314.79,427.82,498.44,314.79,426.41,498.44,314.79,426.86,498.44
1964-01-01,-107.04,58.54,327.71,379.70,501.34,327.92,380.07,502.71,327.84,380.07,503.46
1965-01-01,-107.04,58.54,310.07,388.59,484.46,310.07,388.59,481.69,310.06,388.60,481.69
1966-01-01,-107.04,58.54,327.34,394.56,478.05,327.34,394.57,477.07,327.35,394.56,476.80
1967-01-01,-107.04,58.54,348.46,411.25,464.96,348.46,415.58,464.87,348.47,413.17,465.05
1968-01-01,-107.04,58.54,344.25,401.82,488.75,344.29,402.50,489.09,344.28,401.08,489.69
1969-01-01,-107.04,58.54,332.14,393.70,459.35,332.14,394.05,459.42,332.14,394.06,460.66
1970-01-01,-107.04,58.54,326.45,388.23,474.45,326.92,388.43,474.45,326.92,388.06,474.45
1971-01-01,-107.04,58.54,360.53,421.94,479.63,358.92,422.54,479.63,358.56,422.76,479.63
1972-01-01,-107.04,58.54,337.43,407.02,467.48,337.43,407.02,467.48,337.43,407.02,467.50
1973-01-01,-107.04,58.54,336.27,393.91,440.72,335.18,394.81,440.71,334.82,394.82,440.72
1974-01-01,-107.04,58.54,335.33,393.51,485.69,334.63,395.62,485.69,334.85,394.85,485.68
1975-01-01,-107.04,58.54,319.17,397.41,471.72,318.89,399.58,471.72,319.60,399.25,471.72
1976-01-01,-107.04,58.54,346.01,403.35,469.78,345.02,403.74,469.07,345.02,402.43,469.06
1977-01-01,-107.04,58.54,339.06,410.38,467.08,338.88,410.38,467.08,338.89,410.37,467.08
1978-01-01,-107.04,58.54,324.93,401.35,469.07,324.92,401.41,469.07,324.92,401.45,469.07
1979-01-01,-107.04,58.54,329.42,400.65,466.97,329.42,400.65,466.96,329.42,400.65,466.96
1980-01-01,-107.04,58.54,327.43,379.15,478.84,326.99,379.17,477.10,327.71,380.75,477.24
1981-01-01,-107.04,58.54,333.00,399.93,453.35,332.32,401.95,451.60,333.43,401.44,453.54
