time,lon,lat,rcp26_r1mm_p10,rcp26_r1mm_p50,rcp26_r1mm_p90,rcp45_r1mm_p10,rcp45_r1mm_p50,rcp45_r1mm_p90,rcp85_r1mm_p10,rcp85_r1mm_p50,rcp85_r1mm_p90
1950-01-01,-107.04,58.54,94.30,103.50,117.00,95.00,103.50,117.70,94.30,103.50,117.70
1951-01-01,-107.04,58.54,94.30,106.00,120.00,94.30,106.00,119.40,94.30,106.00,119.70
1952-01-01,-107.04,58.54,89.90,112.50,122.40,89.90,112.50,122.70,89.90,112.00,122.70
1953-01-01,-107.04,58.54,98.30,109.50,126.90,99.00,109.50,127.60,99.00,109.50,127.60
1954-01-01,-107.04,58.54,89.50,103.50,123.40,88.60,104.00,122.70,88.60,103.50,122.00
1955-01-01,-107.04,58.54,96.30,114.00,123.40,96.30,114.00,122.70,96.30,114.00,122.00
1956-01-01,-107.04,58.54,99.60,112.50,122.70,97.50,112.50,124.10,96.80,112.00,122.00
1957-01-01,-107.04,58.54,94.90,108.00,123.00,94.90,107.50,123.00,94.90,107.50,123.00
1958-01-01,-107.04,58.54,92.10,113.00,126.10,92.10,113.00,126.10,92.10,113.00,126.10
1959-01-01,-107.04,58.54,97.90,111.00,130.40,97.90,111.00,130.40,97.90,111.00,130.40
1960-01-01,-107.04,58.54,94.90,107.50,120.00,94.90,107.50,120.70,94.90,107.50,119.40
1961-01-01,-107.04,58.54,98.30,104.50,122.10,98.00,104.00,121.10,98.00,105.00,122.10
1962-01-01,-107.04,58.54,96.50,114.50,127.50,96.50,115.50,127.50,96.50,114.00,127.50
1963-01-01,-107.04,58.54,93.60,110.50,130.70,93.00,112.00,130.70,93.00,112.00,130.70
1964-01-01,-107.04,58.54,90.30,103.50,120.70,90.30,103.00,120.40,90.30,102.50,120.40
1965-01-01,-107.04,58.54,94.30,106.00,118.00,94.30,105.50,117.40,94.30,105.50,117.70
1966-01-01,-107.04,58.54,92.60,105.00,114.40,92.30,105.00,115.00,92.30,105.50,115.00
1967-01-01,-107.04,58.54,95.60,109.00,120.80,94.90,109.50,121.40,94.90,109.00,121.40
1968-01-01,-107.04,58.54,94.90,109.00,124.10,94.60,109.00,123.80,94.60,109.00,123.80
1969-01-01,-107.04,58.54,98.30,106.50,118.40,98.30,107.00,116.70,99.00,107.00,116.70
1970-01-01,-107.04,58.54,92.60,109.00,117.00,92.90,108.50,117.70,92.90,109.50,118.40
1971-01-01,-107.04,58.54,95.30,109.00,123.70,95.30,109.00,125.40,95.00,109.00,124.00
1972-01-01,-107.04,58.54,92.00,108.50,123.00,92.00,109.00,124.40,92.00,109.00,124.40
1973-01-01,-107.04,58.54,93.00,107.00,125.40,92.30,105.50,125.40,92.30,106.00,125.40
1974-01-01,-107.04,58.54,91.60,107.50,123.40,93.00,107.50,124.00,93.00,107.50,124.00
1975-01-01,-107.04,58.54,83.60,110.00,120.70,83.90,110.00,121.70,83.90,110.00,121.00
1976-01-01,-107.04,58.54,91.20,105.00,119.00,91.20,105.50,119.00,91.20,105.50,119.00
1977-01-01,-107.04,58.54,93.10,110.00,120.20,93.40,110.50,120.20,93.40,110.50,119.50
1978-01-01,-107.04,58.54,95.60,109.00,124.80,95.30,107.50,124.10,95.60,107.50,124.70
1979-01-01,-107.04,58.54,92.20,104.50,115.00,92.20,104.50,114.70,92.20,104.50,115.00
1980-01-01,-107.04,58.54,89.90,105.00,118.70,90.60,105.50,120.10,91.30,106.00,119.70
1981-01-01,-107.04,58.54,88.50,107.50,117.70,88.80,106.50,117.70,89.20,107.00,117.70
1982-01-01,-107.04,58.54,94.30,110.00,119.00,93.60,110.50,121.00,94.30,110.00,120.00
1983-01-01,-107.04,58.54,93.20,102.50,114.40,91.90,103.50,114.10,92.90,103.00,114.10
1984-01-01,-107.04,58.54,90.90,104.50,115.70,91.60,105.00,115.70,91.20,105.00,115.70
1985-01-01,-107.04,58.54,93.00,104.50,116.00,94.00,105.00,118.50,94.00,104.50,117.70
1986-01-01,-107.04,58.54,90.90,107.00,128.80,90.90,109.00,130.50,92.30,108.00,129.80
1987-01-01,-107.04,58.54,91.50,107.50,122.00,91.60,108.50,122.00,92.20,109.00,122.70
1988-01-01,-107.04,58.54,95.00,104.50,113.10,94.30,103.50,113.70,94.30,103.50,113.10
1989-01-01,-107.04,58.54,91.40,109.00,128.10,91.70,110.00,128.10,91.40,109.00,128.10
1990-01-01,-107.04,58.54,96.30,113.00,120.70,96.30,114.50,121.70,96.30,113.50,120.70
1991-01-01,-107.04,58.54,96.80,111.00,122.00,97.90,111.50,121.70,98.20,111.00,122.70
1992-01-01,-107.04,58.54,92.60,104.50,118.50,94.00,105.50,119.50,94.00,105.00,118.20
1993-01-01,-107.04,58.54,95.60,103.50,128.50,94.60,104.00,127.90,94.60,104.00,126.50
1994-01-01,-107.04,58.54,101.90,109.50,123.70,100.60,109.50,124.00,101.20,110.00,124.40
1995-01-01,-107.04,58.54,99.30,110.00,124.70,100.00,111.50,124.00,100.30,111.00,125.00
1996-01-01,-107.04,58.54,94.30,104.00,120.00,95.00,103.50,119.70,94.00,104.00,119.00
1997-01-01,-107.04,58.54,96.60,108.00,121.40,96.30,107.50,121.40,96.30,108.00,122.80
1998-01-01,-107.04,58.54,95.00,103.00,122.20,94.30,102.50,120.80,93.90,102.50,121.50
1999-01-01,-107.04,58.54,96.90,107.00,122.00,96.60,107.50,122.00,96.90,108.00,122.00
2000-01-01,-107.04,58.54,101.00,110.00,119.40,100.30,110.50,120.00,100.30,110.00,119.70
2001-01-01,-107.04,58.54,93.80,110.50,122.50,94.50,110.00,122.80,92.40,110.00,123.20
2002-01-01,-107.04,58.54,92.80,112.50,119.40,93.10,111.50,120.40,93.10,112.00,120.40
2003-01-01,-107.04,58.54,104.00,114.00,123.40,104.30,113.50,124.10,101.90,114.50,123.40
2004-01-01,-107.04,58.54,94.80,111.00,126.10,95.50,111.00,126.10,94.80,110.50,125.20
2005-01-01,-107.04,58.54,98.20,110.00,131.20,98.20,109.00,131.20,98.30,107.50,130.30
2006-01-01,-107.04,58.54,90.30,111.00,124.20,98.90,111.50,125.60,102.00,115.00,123.00
2007-01-01,-107.04,58.54,97.60,105.00,124.40,96.90,108.00,124.50,99.20,113.50,127.70
2008-01-01,-107.04,58.54,97.60,110.00,126.80,99.30,113.00,130.90,96.60,108.50,124.70
2009-01-01,-107.04,58.54,98.60,116.50,125.70,98.60,116.00,131.10,88.50,111.50,125.50
2010-01-01,-107.04,58.54,103.00,110.00,124.00,95.60,108.50,125.00,101.30,110.00,124.70
2011-01-01,-107.04,58.54,99.90,112.50,121.70,98.30,109.50,124.80,95.30,111.50,122.80
2012-01-01,-107.04,58.54,98.00,111.50,121.40,93.00,111.50,129.00,96.30,110.00,123.50
2013-01-01,-107.04,58.54,101.90,108.00,124.70,92.90,112.50,129.40,96.60,109.00,127.00
2014-01-01,-107.04,58.54,100.30,108.50,127.10,99.90,108.00,119.40,102.90,115.50,125.70
2015-01-01,-107.04,58.54,96.50,113.50,129.10,94.10,109.50,121.00,92.00,109.00,120.40
2016-01-01,-107.04,58.54,97.90,108.50,128.50,101.00,109.00,125.70,95.30,110.00,125.40
2017-01-01,-107.04,58.54,99.30,114.00,125.40,95.30,106.00,120.00,88.20,111.00,130.80
2018-01-01,-107.04,58.54,100.00,110.00,119.70,91.00,110.00,126.40,93.30,109.00,125.40
2019-01-01,-107.04,58.54,91.10,107.50,130.10,96.80,107.50,116.70,93.60,109.00,126.80
2020-01-01,-107.04,58.54,98.60,112.50,131.70,96.50,116.50,130.40,97.60,112.50,126.40
2021-01-01,-107.04,58.54,97.00,109.00,124.00,90.30,114.00,122.70,96.30,113.00,127.00
2022-01-01,-107.04,58.54,93.90,111.00,126.10,96.90,109.50,122.10,93.90,108.50,128.30
2023-01-01,-107.04,58.54,97.90,111.00,124.70,103.30,113.50,126.40,100.60,106.00,120.40
2024-01-01,-107.04,58.54,96.00,108.00,123.40,97.20,110.00,127.80,102.00,117.00,130.00
2025-01-01,-107.04,58.54,94.30,112.00,121.70,95.60,111.00,124.40,94.90,112.00,126.10
2026-01-01,-107.04,58.54,89.80,111.50,122.70,93.60,106.50,118.00,96.90,111.00,128.50
2027-01-01,-107.04,58.54,101.00,113.50,125.20,93.00,112.00,120.00,94.60,109.50,129.80
2028-01-01,-107.04,58.54,96.30,112.00,134.00,93.00,112.50,130.80,90.90,107.50,132.50
2029-01-01,-107.04,58.54,94.10,110.50,121.90,101.50,115.00,125.80,94.30,115.00,128.00
2030-01-01,-107.04,58.54,89.50,112.50,127.00,94.00,115.50,130.50,104.90,115.00,135.30
2031-01-01,-107.04,58.54,100.90,116.00,135.00,91.30,114.00,126.70,95.30,119.00,130.40
2032-01-01,-107.04,58.54,95.60,109.50,130.50,100.00,109.50,130.10,94.60,112.00,127.00
2033-01-01,-107.04,58.54,89.60,109.50,128.80,96.60,116.50,128.50,84.50,111.50,125.70
2034-01-01,-107.04,58.54,97.50,110.50,125.50,100.30,112.50,126.00,99.60,113.00,130.90
2035-01-01,-107.04,58.54,94.90,117.00,131.00,96.60,111.00,125.40,99.30,113.00,124.10
2036-01-01,-107.04,58.54,96.30,114.00,125.70,100.30,118.00,133.10,96.30,105.50,128.00
2037-01-01,-107.04,58.54,102.80,118.50,131.40,91.60,112.00,126.40,103.20,119.00,133.40
2038-01-01,-107.04,58.54,101.50,113.50,125.50,97.00,113.00,134.00,102.90,118.00,133.80
2039-01-01,-107.04,58.54,97.50,113.50,121.40,98.60,116.50,125.00,102.30,116.00,125.70
2040-01-01,-107.04,58.54,101.60,110.00,124.00,95.30,110.00,129.50,92.60,113.50,126.10
2041-01-01,-107.04,58.54,94.30,109.00,127.80,99.20,114.50,125.70,99.60,112.00,123.00
2042-01-01,-107.04,58.54,98.30,111.00,121.00,97.30,114.00,136.90,98.30,114.50,127.70
2043-01-01,-107.04,58.54,95.90,114.50,125.70,102.20,114.00,122.10,98.90,110.50,123.70
2044-01-01,-107.04,58.54,101.60,114.50,132.50,99.60,113.50,128.40,96.50,110.50,133.70
2045-01-01,-107.04,58.54,98.40,117.00,131.00,102.30,110.00,134.70,97.10,118.50,137.40
2046-01-01,-107.04,58.54,96.30,111.50,127.00,100.00,114.50,133.40,101.50,113.50,131.50
2047-01-01,-107.04,58.54,95.00,115.00,133.00,97.20,113.00,129.70,99.90,113.00,127.40
2048-01-01,-107.04,58.54,99.30,113.50,134.50,98.20,110.50,126.50,100.00,113.00,131.70
2049-01-01,-107.04,58.54,91.60,111.00,128.50,97.30,111.50,127.10,96.20,112.00,128.20
2050-01-01,-107.04,58.54,99.00,115.00,126.10,99.30,115.00,125.40,94.20,110.00,136.00
2051-01-01,-107.04,58.54,93.90,115.00,141.40,98.20,113.00,133.70,94.30,117.00,130.00
2052-01-01,-107.04,58.54,98.20,110.50,130.00,99.90,119.00,124.40,91.90,117.00,131.50
2053-01-01,-107.04,58.54,98.30,109.00,128.40,102.20,115.00,131.80,103.30,116.50,127.00
2054-01-01,-107.04,58.54,98.30,114.00,130.00,104.60,120.50,132.00,102.30,118.00,132.00
2055-01-01,-107.04,58.54,98.60,111.00,124.80,101.50,111.50,122.40,98.20,110.50,135.00
2056-01-01,-107.04,58.54,107.30,114.50,132.00,94.30,118.00,130.60,96.60,115.00,130.70
2057-01-01,-107.04,58.54,105.80,115.00,125.00,98.30,116.00,130.00,101.30,111.00,126.50
