time,lat,lon,rcp26_r20mm_p10,rcp26_r20mm_p50,rcp26_r20mm_p90,rcp45_r20mm_p10,rcp45_r20mm_p50,rcp45_r20mm_p90,rcp85_r20mm_p10,rcp85_r20mm_p50,rcp85_r20mm_p90
1950-01-01,58.54,-107.04,0.00,0.50,2.00,0.00,0.50,2.00,0.00,0.50,2.00
1951-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,1.70,0.00,0.00,1.70
1952-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1953-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,2.00,0.00,0.00,2.00
1954-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.50,1.70,0.00,0.50,1.70
1955-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,2.00
1956-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1957-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1958-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,1.70,0.00,0.50,1.70
1959-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,0.50,2.00,0.00,0.50,2.00
1960-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00
1961-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,1.70,0.00,0.00,1.70
1962-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,1.70,0.00,0.00,1.70
1963-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1964-01-01,58.54,-107.04,0.00,1.00,1.80,0.00,1.00,1.70,0.00,1.00,1.70
1965-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00
1966-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,1.70,0.00,0.00,1.70
1967-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1968-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1969-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,2.00,0.00,0.00,2.00
1970-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,1.70,0.00,0.00,1.70
1971-01-01,58.54,-107.04,0.00,1.00,1.80,0.00,1.00,1.70,0.00,1.00,1.70
1972-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,1.70,0.00,0.00,1.70
1973-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1974-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00
1975-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1976-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1977-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.70
1978-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1979-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1980-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00
1981-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1982-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00
1983-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1984-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,2.70
1985-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.50,1.00,0.00,0.50,1.00
1986-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,0.00,1.70,0.00,0.00,1.00
1987-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,2.00,0.00,0.00,2.00
1988-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,0.50,1.00,0.00,1.00,1.00
1989-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1990-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,1.70,0.00,0.00,1.70
1991-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1992-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00
1993-01-01,58.54,-107.04,0.00,1.00,2.80,0.00,1.00,2.70,0.00,1.00,2.70
1994-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,1.70,0.00,0.00,1.70
1995-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00
1996-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1997-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00
1998-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,0.50,1.00,0.00,0.50,1.00
1999-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
2000-01-01,58.54,-107.04,0.00,0.00,2.80,0.00,0.00,2.40,0.00,0.00,2.40
2001-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
2002-01-01,58.54,-107.04,0.00,1.00,1.80,0.00,1.00,2.00,0.00,1.00,2.00
2003-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
2004-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,1.00,2.00,0.00,1.00,2.00
2005-01-01,58.54,-107.04,0.00,1.00,1.80,0.00,0.50,1.70,0.00,0.50,1.70
2006-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,1.00,1.70,0.00,0.00,1.00
2007-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,1.00,2.00,0.00,0.50,1.00
2008-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,1.00,2.00,0.00,0.50,2.00
2009-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,1.70,0.00,1.00,2.00
2010-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
2011-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,1.00,0.00,0.00,1.00
2012-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,1.70,0.00,0.00,1.00
2013-01-01,58.54,-107.04,0.00,1.00,2.00,0.00,1.00,1.00,0.00,0.00,1.00
2014-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.70,0.00,1.00,2.70
2015-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,1.00,1.70,0.00,0.00,2.00
2016-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,1.70,0.00,0.00,1.70
2017-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,2.70
2018-01-01,58.54,-107.04,0.00,0.00,1.80,0.00,0.00,1.00,0.00,0.00,1.00
2019-01-01,58.54,-107.04,0.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,1.70
2020-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,1.00,1.70,0.00,0.00,1.00
2021-01-01,58.54,-107.04,0.00,0.00,1.00,0.00,0.00,1.70,0.00,0.00,2.00
2022-01-01,58.54,-107.04,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00
