time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
1950-01-01,-136.46,60.54,13.60,21.50,33.60,14.90,22.50,33.60,14.60,22.50,33.60
1951-01-01,-136.46,60.54,13.60,21.50,28.00,15.60,23.00,28.00,15.60,21.50,28.00
1952-01-01,-136.46,60.54,15.00,20.50,35.10,15.00,19.50,35.10,15.00,19.50,33.70
1953-01-01,-136.46,60.54,13.30,18.00,36.00,14.00,18.00,32.10,13.30,18.00,31.80
1954-01-01,-136.46,60.54,17.00,20.00,27.00,15.60,20.00,28.40,17.00,20.00,28.40
1955-01-01,-136.46,60.54,14.30,20.00,27.10,13.30,19.00,27.10,13.30,21.00,27.10
1956-01-01,-136.46,60.54,15.30,23.50,29.70,15.30,22.50,28.70,15.30,23.00,28.70
1957-01-01,-136.46,60.54,19.30,25.00,33.80,18.60,25.00,33.80,18.00,25.00,33.80
1958-01-01,-136.46,60.54,14.30,22.00,35.40,14.30,21.00,35.40,14.30,22.00,35.40
1959-01-01,-136.46,60.54,14.00,20.50,33.70,14.00,21.00,33.70,14.30,21.00,33.70
1960-01-01,-136.46,60.54,15.90,24.00,36.70,16.60,24.00,36.70,18.00,24.00,36.70
1961-01-01,-136.46,60.54,16.30,20.00,27.10,16.30,20.00,30.80,16.30,21.00,31.70
1962-01-01,-136.46,60.54,14.00,21.00,34.70,14.00,21.00,34.70,14.00,23.00,34.70
1963-01-01,-136.46,60.54,13.60,21.00,32.50,13.60,21.00,32.50,13.60,20.50,33.40
1964-01-01,-136.46,60.54,15.00,18.00,25.70,15.00,18.00,25.70,15.00,19.50,26.00
1965-01-01,-136.46,60.54,16.00,19.00,32.80,16.30,20.00,33.10,17.00,20.00,32.80
1966-01-01,-136.46,60.54,14.00,20.50,27.70,14.00,20.50,28.70,14.00,20.50,30.10
1967-01-01,-136.46,60.54,13.30,19.00,27.00,13.00,20.00,27.00,14.00,20.00,27.00
1968-01-01,-136.46,60.54,15.30,23.00,33.40,15.30,21.50,33.40,15.30,21.50,33.40
1969-01-01,-136.46,60.54,16.00,25.00,35.70,16.00,24.00,35.70,16.00,24.00,35.70
1970-01-01,-136.46,60.54,15.00,20.00,29.70,14.30,20.50,31.40,14.30,20.00,34.20
1971-01-01,-136.46,60.54,17.00,19.00,31.40,17.00,19.00,30.20,16.30,19.00,30.20
1972-01-01,-136.46,60.54,16.30,23.00,36.50,17.30,23.00,36.50,17.30,23.00,36.50
1973-01-01,-136.46,60.54,15.30,21.00,28.40,15.60,21.00,29.70,15.90,21.00,31.40
1974-01-01,-136.46,60.54,16.00,21.50,33.90,14.30,21.50,33.90,15.00,20.50,33.90
1975-01-01,-136.46,60.54,15.30,20.00,40.80,15.30,19.50,37.70,15.30,19.50,34.70
1976-01-01,-136.46,60.54,17.00,21.50,38.40,17.30,22.00,38.40,17.30,22.00,36.10
1977-01-01,-136.46,60.54,13.30,23.00,33.10,13.30,23.00,33.10,13.30,23.00,34.50
1978-01-01,-136.46,60.54,14.30,19.50,27.00,14.30,20.50,27.00,15.60,21.00,27.00
1979-01-01,-136.46,60.54,14.00,19.00,33.20,14.30,19.50,33.50,14.30,18.50,29.70
1980-01-01,-136.46,60.54,15.00,19.50,32.40,15.00,19.50,30.70,15.00,19.50,35.70
1981-01-01,-136.46,60.54,13.30,23.00,32.70,12.30,23.00,32.70,13.30,23.00,31.10
1982-01-01,-136.46,60.54,16.30,20.50,34.20,16.30,21.00,34.20,16.30,21.00,36.70
1983-01-01,-136.46,60.54,15.30,19.50,31.40,15.30,19.00,36.30,15.30,20.00,30.70
1984-01-01,-136.46,60.54,14.60,19.00,34.70,14.60,19.00,34.70,14.60,19.00,32.30
1985-01-01,-136.46,60.54,17.00,21.00,29.00,17.00,20.50,28.70,16.30,20.50,28.70
1986-01-01,-136.46,60.54,15.00,23.50,33.10,15.00,24.50,33.80,15.00,25.00,35.00
1987-01-01,-136.46,60.54,17.30,22.00,31.90,18.30,22.00,31.90,15.20,21.50,31.90
