time,lat,lon,rcp26_tn_mean_p10,rcp26_tn_mean_p50,rcp26_tn_mean_p90,rcp45_tn_mean_p10,rcp45_tn_mean_p50,rcp45_tn_mean_p90,rcp85_tn_mean_p10,rcp85_tn_mean_p50,rcp85_tn_mean_p90
1950-01-01,60.54,-136.46,-11.67,-10.14,-8.73,-11.67,-10.14,-8.73,-11.67,-10.14,-8.73
1951-01-01,60.54,-136.46,-11.31,-10.41,-8.92,-11.31,-10.41,-8.92,-11.31,-10.51,-8.92
1952-01-01,60.54,-136.46,-12.36,-10.52,-8.87,-12.36,-10.52,-8.87,-12.36,-10.52,-8.87
1953-01-01,60.54,-136.46,-12.66,-10.44,-9.26,-12.66,-10.44,-9.26,-12.66,-10.44,-9.26
1954-01-01,60.54,-136.46,-11.69,-10.31,-9.09,-11.69,-10.31,-9.09,-11.71,-10.31,-9.09
1955-01-01,60.54,-136.46,-12.49,-10.93,-9.00,-12.49,-10.93,-9.00,-12.49,-10.93,-9.04
1956-01-01,60.54,-136.46,-11.75,-10.20,-8.78,-11.75,-10.20,-8.78,-11.75,-10.20,-8.79
1957-01-01,60.54,-136.46,-12.12,-10.88,-8.86,-12.12,-10.88,-8.86,-12.12,-10.89,-8.86
1958-01-01,60.54,-136.46,-11.75,-10.69,-9.04,-11.75,-10.69,-9.04,-11.94,-10.69,-9.04
1959-01-01,60.54,-136.46,-12.00,-10.48,-8.69,-12.00,-10.48,-8.69,-12.00,-10.54,-8.69
1960-01-01,60.54,-136.46,-11.83,-10.91,-8.62,-11.83,-10.91,-8.62,-11.83,-10.94,-8.62
1961-01-01,60.54,-136.46,-12.45,-10.29,-8.85,-12.45,-10.29,-8.85,-12.45,-10.29,-8.90
1962-01-01,60.54,-136.46,-11.92,-10.68,-8.65,-11.92,-10.68,-8.65,-11.92,-10.68,-8.65
1963-01-01,60.54,-136.46,-12.37,-10.55,-9.37,-12.37,-10.55,-9.37,-12.37,-10.61,-9.37
1964-01-01,60.54,-136.46,-12.54,-10.81,-9.44,-12.54,-10.81,-9.44,-12.54,-10.81,-9.44
1965-01-01,60.54,-136.46,-11.67,-10.69,-8.82,-11.67,-10.69,-8.81,-11.67,-10.69,-8.81
1966-01-01,60.54,-136.46,-12.17,-10.81,-9.63,-12.17,-10.81,-9.63,-12.17,-10.81,-9.63
1967-01-01,60.54,-136.46,-12.26,-10.41,-8.74,-12.26,-10.41,-8.74,-12.26,-10.43,-8.74
1968-01-01,60.54,-136.46,-12.13,-10.88,-9.96,-12.13,-10.88,-9.96,-12.13,-10.88,-9.96
