time,lat,lon,rcp26_tn_min_p10,rcp26_tn_min_p50,rcp26_tn_min_p90,rcp45_tn_min_p10,rcp45_tn_min_p50,rcp45_tn_min_p90,rcp85_tn_min_p10,rcp85_tn_min_p50,rcp85_tn_min_p90
1950-01-01,53.21,-114.46,-41.47,-36.30,-31.35,-41.47,-36.30,-31.35,-41.47,-36.19,-31.35
1951-01-01,53.21,-114.46,-41.06,-36.92,-30.86,-41.06,-36.92,-30.86,-41.06,-36.92,-31.22
1952-01-01,53.21,-114.46,-41.18,-38.16,-33.41,-41.18,-38.16,-33.41,-41.18,-38.16,-33.41
1953-01-01,53.21,-114.46,-42.36,-36.89,-33.00,-42.36,-36.89,-33.00,-42.36,-36.89,-33.00
1954-01-01,53.21,-114.46,-42.09,-37.54,-31.26,-42.09,-37.54,-31.26,-42.09,-37.54,-31.26
1955-01-01,53.21,-114.46,-42.72,-37.24,-32.45,-42.72,-37.24,-32.45,-42.72,-37.24,-32.45
1956-01-01,53.21,-114.46,-41.90,-35.84,-32.37,-41.90,-35.84,-32.37,-41.90,-35.84,-32.46
1957-01-01,53.21,-114.46,-39.93,-36.42,-30.37,-39.93,-36.42,-30.37,-40.08,-36.42,-30.37
1958-01-01,53.21,-114.46,-42.92,-38.07,-33.42,-42.92,-38.07,-33.42,-42.92,-38.09,-33.42
1959-01-01,53.21,-114.46,-41.67,-38.68,-32.79,-41.67,-38.68,-32.79,-41.67,-38.40,-32.79
1960-01-01,53.21,-114.46,-42.31,-37.17,-32.94,-42.31,-37.17,-32.94,-42.31,-37.23,-32.94
1961-01-01,53.21,-114.46,-41.41,-36.17,-32.73,-41.41,-36.17,-32.73,-41.41,-36.17,-32.73
1962-01-01,53.21,-114.46,-42.17,-37.18,-31.74,-42.17,-37.18,-31.74,-42.17,-37.18,-31.96
1963-01-01,53.21,-114.46,-40.09,-35.23,-31.54,-40.09,-35.23,-31.54,-40.09,-35.23,-31.43
1964-01-01,53.21,-114.46,-42.54,-37.63,-33.16,-42.54,-37.63,-33.16,-42.54,-37.63,-33.16
1965-01-01,53.21,-114.46,-43.12,-37.65,-32.78,-43.12,-37.65,-32.78,-42.72,-37.65,-32.78
1966-01-01,53.21,-114.46,-40.00,-36.88,-30.98,-40.00,-36.88,-30.98,-39.74,-36.88,-30.98
1967-01-01,53.21,-114.46,-42.37,-36.56,-32.15,-42.37,-36.56,-32.15,-42.37,-36.56,-32.15
1968-01-01,53.21,-114.46,-42.29,-37.85,-30.39,-42.29,-37.85,-30.39,-42.29,-37.85,-30.61
1969-01-01,53.21,-114.46,-40.76,-36.76,-30.01,-40.76,-36.76,-30.01,-40.76,-36.76,-30.20
1970-01-01,53.21,-114.46,-42.48,-37.52,-32.32,-42.48,-37.52,-32.32,-42.48,-37.52,-32.43
1971-01-01,53.21,-114.46,-41.04,-36.20,-32.41,-41.04,-36.20,-32.41,-41.14,-36.20,-32.41
1972-01-01,53.21,-114.46,-42.72,-36.45,-32.88,-42.72,-36.45,-32.88,-42.72,-36.45,-33.31
1973-01-01,53.21,-114.46,-41.28,-37.25,-32.56,-41.28,-37.25,-32.56,-41.28,-37.25,-32.84
1974-01-01,53.21,-114.46,-42.45,-37.43,-33.95,-42.45,-37.43,-33.95,-42.45,-37.43,-33.99
1975-01-01,53.21,-114.46,-40.46,-37.82,-30.48,-40.46,-37.82,-30.48,-40.46,-37.82,-31.05
1976-01-01,53.21,-114.46,-41.46,-36.20,-31.57,-41.46,-36.20,-31.57,-41.46,-36.20,-31.93
1977-01-01,53.21,-114.46,-41.20,-36.24,-30.53,-41.20,-36.24,-30.53,-41.20,-36.24,-30.53
1978-01-01,53.21,-114.46,-40.84,-37.15,-32.22,-40.84,-37.15,-32.22,-40.84,-37.15,-32.35
1979-01-01,53.21,-114.46,-40.29,-37.02,-32.20,-40.29,-37.02,-32.20,-40.29,-37.02,-32.20
1980-01-01,53.21,-114.46,-41.16,-38.56,-31.79,-41.16,-38.55,-31.87,-41.16,-38.55,-31.92
1981-01-01,53.21,-114.46,-43.48,-37.79,-32.32,-43.48,-37.77,-32.25,-43.49,-37.79,-32.31
1982-01-01,53.21,-114.46,-41.13,-37.29,-33.21,-41.13,-37.29,-33.22,-41.13,-37.33,-33.11
1983-01-01,53.21,-114.46,-40.89,-36.18,-30.25,-40.89,-36.15,-29.72,-40.89,-36.20,-30.00
1984-01-01,53.21,-114.46,-42.29,-34.87,-28.52,-42.29,-34.88,-28.36,-42.29,-34.86,-28.45
1985-01-01,53.21,-114.46,-41.00,-37.45,-32.80,-40.98,-37.48,-32.83,-41.00,-37.48,-33.13
1986-01-01,53.21,-114.46,-41.95,-38.10,-30.60,-41.95,-37.99,-30.66,-41.87,-38.13,-30.63
1987-01-01,53.21,-114.46,-41.98,-35.94,-32.82,-41.99,-36.22,-32.90,-41.86,-36.16,-32.89
1988-01-01,53.21,-114.46,-44.44,-37.32,-32.37,-44.44,-37.29,-32.34,-44.44,-37.32,-32.32
1989-01-01,53.21,-114.46,-42.51,-37.85,-31.05,-42.57,-37.82,-31.01,-42.55,-37.85,-31.01
1990-01-01,53.21,-114.46,-41.00,-35.45,-28.83,-41.00,-35.35,-28.93,-41.00,-35.32,-28.95
1991-01-01,53.21,-114.46,-40.57,-36.40,-32.18,-40.57,-36.50,-32.20,-40.57,-36.47,-32.11
1992-01-01,53.21,-114.46,-40.03,-35.74,-31.76,-39.79,-35.74,-31.70,-39.68,-35.77,-32.02
1993-01-01,53.21,-114.46,-40.53,-35.36,-28.89,-40.55,-35.53,-28.82,-40.53,-35.65,-28.82
1994-01-01,53.21,-114.46,-42.16,-35.71,-30.62,-42.16,-35.72,-30.62,-42.16,-35.52,-30.62
1995-01-01,53.21,-114.46,-42.89,-37.15,-32.92,-42.90,-37.13,-32.94,-42.90,-37.14,-32.93
1996-01-01,53.21,-114.46,-41.94,-36.71,-31.62,-41.94,-36.70,-31.62,-41.06,-36.68,-31.75
1997-01-01,53.21,-114.46,-40.14,-34.52,-30.03,-40.08,-34.46,-30.12,-40.14,-34.44,-30.09
1998-01-01,53.21,-114.46,-40.77,-35.87,-30.18,-40.78,-36.02,-30.17,-40.77,-35.95,-30.45
1999-01-01,53.21,-114.46,-39.12,-34.66,-28.50,-39.17,-34.44,-28.60,-39.12,-34.80,-28.55
2000-01-01,53.21,-114.46,-40.44,-34.54,-29.15,-40.36,-34.54,-29.15,-40.44,-34.67,-29.15
2001-01-01,53.21,-114.46,-39.74,-35.49,-33.21,-39.66,-35.40,-33.36,-39.68,-35.54,-33.37
2002-01-01,53.21,-114.46,-38.91,-34.93,-31.88,-38.91,-34.96,-31.79,-38.91,-34.93,-31.89
2003-01-01,53.21,-114.46,-40.17,-36.64,-29.99,-40.17,-36.60,-30.05,-40.17,-36.62,-30.08
2004-01-01,53.21,-114.46,-40.18,-36.92,-30.65,-40.24,-36.94,-30.71,-40.18,-36.92,-30.80
2005-01-01,53.21,-114.46,-39.18,-35.35,-31.42,-39.18,-35.39,-31.42,-39.16,-35.59,-31.57
2006-01-01,53.21,-114.46,-39.61,-35.89,-31.36,-39.75,-34.44,-29.45,-39.03,-35.93,-29.94
2007-01-01,53.21,-114.46,-40.12,-35.52,-27.99,-42.52,-35.73,-28.33,-37.91,-33.95,-31.42
2008-01-01,53.21,-114.46,-41.96,-34.59,-29.75,-41.08,-36.23,-29.87,-40.03,-35.03,-32.61
2009-01-01,53.21,-114.46,-38.84,-34.61,-27.39,-40.05,-34.96,-31.19,-39.44,-34.61,-31.99
