time,lat,lon,rcp26_gddgrow_0_p10,rcp26_gddgrow_0_p50,rcp26_gddgrow_0_p90,rcp45_gddgrow_0_p10,rcp45_gddgrow_0_p50,rcp45_gddgrow_0_p90,rcp85_gddgrow_0_p10,rcp85_gddgrow_0_p50,rcp85_gddgrow_0_p90
1950-01-01,53.21,-114.46,2171.07,2485.77,2677.02,2171.33,2485.77,2677.02,2171.02,2476.07,2677.02
1951-01-01,53.21,-114.46,2216.19,2460.36,2703.36,2216.19,2460.36,2703.36,2216.19,2460.02,2703.36
1952-01-01,53.21,-114.46,2151.85,2364.00,2673.22,2152.39,2362.80,2673.22,2139.85,2362.10,2673.22
1953-01-01,53.21,-114.46,2138.06,2275.34,2553.90,2138.06,2275.34,2553.90,2138.06,2275.34,2544.77
1954-01-01,53.21,-114.46,2157.68,2363.90,2652.17,2156.87,2361.52,2653.31,2156.50,2361.98,2652.51
1955-01-01,53.21,-114.46,2214.76,2419.72,2578.72,2215.40,2420.14,2579.45,2215.40,2403.95,2579.21
1956-01-01,53.21,-114.46,2075.46,2419.43,2574.68,2076.32,2419.43,2574.68,2076.65,2419.44,2574.68
1957-01-01,53.21,-114.46,2062.84,2335.71,2667.99,2063.99,2335.71,2667.99,2063.39,2335.71,2667.98
1958-01-01,53.21,-114.46,2122.75,2275.13,2547.05,2122.80,2275.13,2547.04,2122.06,2274.60,2547.05
1959-01-01,53.21,-114.46,2097.75,2321.85,2512.07,2097.92,2321.85,2512.06,2097.83,2321.85,2512.07
1960-01-01,53.21,-114.46,2159.98,2364.61,2651.63,2159.84,2364.32,2651.63,2159.75,2356.49,2651.63
1961-01-01,53.21,-114.46,2171.45,2360.13,2612.00,2170.03,2360.30,2612.00,2169.82,2357.44,2612.00
1962-01-01,53.21,-114.46,2120.79,2323.51,2525.52,2120.84,2323.51,2525.76,2111.84,2323.52,2525.76
1963-01-01,53.21,-114.46,2150.53,2305.59,2515.60,2150.94,2305.59,2515.60,2150.86,2305.59,2505.73
1964-01-01,53.21,-114.46,2037.57,2273.93,2435.15,2037.66,2273.94,2435.81,2037.57,2273.93,2436.23
1965-01-01,53.21,-114.46,2098.93,2292.03,2461.57,2098.93,2292.56,2461.57,2098.93,2276.32,2461.57
1966-01-01,53.21,-114.46,2038.92,2242.68,2623.47,2038.92,2243.88,2624.74,2038.92,2243.32,2623.56
1967-01-01,53.21,-114.46,2141.64,2332.40,2530.51,2142.05,2332.43,2530.80,2142.06,2333.39,2530.15
1968-01-01,53.21,-114.46,2065.44,2290.16,2466.75,2067.16,2290.34,2466.75,2064.98,2290.37,2466.75
1969-01-01,53.21,-114.46,1994.83,2255.82,2472.99,1994.84,2255.82,2473.17,1994.84,2255.82,2449.06
1970-01-01,53.21,-114.46,2155.47,2371.66,2655.77,2155.47,2371.66,2655.78,2155.47,2371.66,2655.77
1971-01-01,53.21,-114.46,2111.16,2395.17,2623.74,2110.67,2396.97,2623.74,2109.21,2397.07,2603.05
1972-01-01,53.21,-114.46,2101.47,2369.22,2512.33,2101.48,2369.22,2512.34,2101.48,2367.74,2512.34
1973-01-01,53.21,-114.46,2038.63,2325.87,2498.24,2038.64,2326.32,2498.78,2038.67,2326.64,2498.38
1974-01-01,53.21,-114.46,2073.71,2340.14,2512.78,2073.71,2340.14,2512.86,2073.71,2340.14,2509.51
1975-01-01,53.21,-114.46,2146.74,2355.91,2592.98,2146.74,2355.91,2592.98,2146.74,2355.91,2592.98
1976-01-01,53.21,-114.46,2177.57,2390.59,2478.55,2177.62,2390.58,2478.81,2178.01,2390.58,2477.26
1977-01-01,53.21,-114.46,2137.37,2358.86,2602.20,2136.99,2358.86,2602.04,2136.91,2358.86,2602.27
1978-01-01,53.21,-114.46,2271.30,2408.31,2525.08,2272.22,2407.92,2525.07,2272.06,2408.44,2519.79
1979-01-01,53.21,-114.46,2168.28,2428.67,2720.84,2168.29,2428.94,2723.75,2168.29,2428.36,2723.74
1980-01-01,53.21,-114.46,2184.18,2318.49,2662.14,2183.27,2320.62,2657.73,2184.10,2321.91,2664.38
1981-01-01,53.21,-114.46,2153.07,2379.24,2622.44,2153.88,2382.58,2618.68,2151.64,2384.38,2620.74
1982-01-01,53.21,-114.46,2065.56,2327.20,2562.37,2066.25,2324.61,2560.70,2066.54,2320.48,2561.50
1983-01-01,53.21,-114.46,2134.49,2321.31,2602.26,2133.36,2322.72,2602.11,2129.04,2324.47,2608.52
1984-01-01,53.21,-114.46,2235.19,2445.56,2656.18,2236.60,2449.45,2655.49,2223.43,2444.96,2657.42
1985-01-01,53.21,-114.46,2166.53,2362.97,2531.81,2164.77,2363.25,2530.77,2165.82,2359.49,2530.93
1986-01-01,53.21,-114.46,2224.34,2359.01,2584.49,2221.43,2360.43,2586.70,2215.63,2355.56,2585.96
1987-01-01,53.21,-114.46,2210.19,2353.91,2568.95,2206.45,2353.52,2570.22,2207.75,2354.53,2569.23
1988-01-01,53.21,-114.46,2234.68,2444.47,2613.86,2236.73,2442.09,2609.61,2237.35,2443.97,2612.35
1989-01-01,53.21,-114.46,2214.10,2459.12,2637.18,2214.31,2456.03,2641.17,2214.44,2461.81,2642.36
1990-01-01,53.21,-114.46,2205.33,2403.12,2641.57,2202.95,2404.65,2641.22,2203.06,2403.81,2643.24
1991-01-01,53.21,-114.46,2104.40,2408.36,2586.77,2108.19,2406.47,2587.03,2098.30,2407.62,2590.90
1992-01-01,53.21,-114.46,2105.02,2377.11,2499.02,2098.96,2376.80,2499.26,2099.35,2375.11,2500.42
1993-01-01,53.21,-114.46,2223.95,2419.36,2596.09,2227.39,2418.94,2594.12,2226.43,2420.04,2596.25
1994-01-01,53.21,-114.46,2219.28,2411.43,2654.55,2221.35,2410.23,2655.97,2216.41,2409.75,2659.22
1995-01-01,53.21,-114.46,2167.81,2446.88,2553.02,2172.24,2448.64,2549.80,2172.24,2447.35,2553.63
1996-01-01,53.21,-114.46,2267.38,2436.06,2668.61,2268.29,2431.17,2670.15,2265.23,2423.73,2671.45
1997-01-01,53.21,-114.46,2222.25,2469.69,2699.14,2225.82,2469.08,2701.57,2226.29,2467.03,2697.92
1998-01-01,53.21,-114.46,2276.71,2501.80,2691.86,2275.04,2497.62,2697.67,2276.51,2499.29,2692.08
1999-01-01,53.21,-114.46,2352.89,2443.24,2614.64,2345.85,2442.43,2616.56,2348.67,2441.39,2616.34
2000-01-01,53.21,-114.46,2323.46,2493.69,2710.25,2321.37,2492.27,2714.79,2321.49,2495.16,2715.09
2001-01-01,53.21,-114.46,2280.79,2498.60,2812.03,2278.59,2496.13,2809.22,2279.52,2498.03,2810.04
2002-01-01,53.21,-114.46,2415.36,2526.35,2838.09,2415.06,2529.12,2841.99,2414.66,2526.17,2840.14
2003-01-01,53.21,-114.46,2303.92,2533.31,2785.88,2303.83,2532.40,2783.10,2305.57,2535.46,2782.97
2004-01-01,53.21,-114.46,2306.45,2589.66,2828.24,2303.22,2587.30,2828.34,2306.25,2584.49,2826.28
