time,lat,lon,rcp26_txgt_25_p10,rcp26_txgt_25_p50,rcp26_txgt_25_p90,rcp45_txgt_25_p10,rcp45_txgt_25_p50,rcp45_txgt_25_p90,rcp85_txgt_25_p10,rcp85_txgt_25_p50,rcp85_txgt_25_p90
1950-01-01,53.21,-114.46,14.30,31.50,43.40,14.30,31.50,43.40,14.30,31.50,43.40
1951-01-01,53.21,-114.46,17.30,27.50,45.70,17.30,27.50,45.70,17.30,27.50,45.70
1952-01-01,53.21,-114.46,9.30,22.00,38.70,9.30,22.00,38.70,9.30,22.00,38.70
1953-01-01,53.21,-114.46,9.90,18.50,34.20,9.90,18.50,34.20,9.90,18.50,34.20
1954-01-01,53.21,-114.46,13.30,23.00,42.10,13.30,23.00,42.10,13.30,23.00,42.10
1955-01-01,53.21,-114.46,11.30,22.00,38.40,11.30,22.00,38.40,11.30,22.00,38.40
1956-01-01,53.21,-114.46,6.30,25.00,43.80,6.30,25.00,43.80,6.30,25.00,43.80
1957-01-01,53.21,-114.46,12.30,20.50,31.70,12.30,20.50,31.70,12.30,20.50,31.70
1958-01-01,53.21,-114.46,8.90,20.00,31.50,8.90,20.00,31.50,8.90,20.00,31.50
1959-01-01,53.21,-114.46,9.00,20.50,35.70,9.00,20.50,35.70,9.00,20.50,35.70
1960-01-01,53.21,-114.46,11.60,22.50,37.80,11.60,22.50,37.80,11.60,22.50,37.80
1961-01-01,53.21,-114.46,10.30,21.50,36.10,10.30,21.50,36.10,10.30,21.50,36.10
1962-01-01,53.21,-114.46,7.60,18.00,30.70,7.60,18.00,30.70,7.60,18.00,30.70
1963-01-01,53.21,-114.46,9.30,19.50,39.80,9.30,19.50,39.80,9.30,19.50,39.80
1964-01-01,53.21,-114.46,10.00,19.50,36.80,10.00,19.50,36.80,10.00,19.50,36.80
1965-01-01,53.21,-114.46,6.90,21.50,35.70,6.90,21.50,35.70,6.90,21.50,35.70
1966-01-01,53.21,-114.46,10.00,18.50,39.20,10.00,18.50,39.20,10.00,18.50,39.20
1967-01-01,53.21,-114.46,13.20,19.50,30.40,13.20,19.50,30.40,13.20,19.50,30.40
1968-01-01,53.21,-114.46,10.30,22.00,34.40,10.30,22.00,34.40,10.30,22.00,34.40
1969-01-01,53.21,-114.46,7.60,18.50,32.70,7.60,18.50,32.70,7.60,18.50,32.70
1970-01-01,53.21,-114.46,15.00,24.50,41.60,15.00,24.50,41.60,15.00,24.50,41.60
1971-01-01,53.21,-114.46,13.30,21.50,35.40,13.30,21.50,35.40,13.30,21.50,35.40
1972-01-01,53.21,-114.46,9.30,20.50,30.00,9.30,20.50,30.00,9.30,20.50,30.00
1973-01-01,53.21,-114.46,8.00,19.50,36.60,8.00,19.50,36.60,8.00,19.50,36.60
1974-01-01,53.21,-114.46,9.60,15.50,31.80,9.60,15.50,31.80,9.60,15.50,31.80
1975-01-01,53.21,-114.46,8.20,20.00,37.40,8.20,20.00,37.40,8.20,20.00,37.40
1976-01-01,53.21,-114.46,16.60,25.50,40.00,16.60,25.50,40.00,16.60,25.50,40.00
1977-01-01,53.21,-114.46,10.30,19.50,39.50,10.30,19.50,39.50,10.30,19.50,39.50
1978-01-01,53.21,-114.46,18.00,30.00,38.70,18.00,30.00,38.70,18.00,30.00,38.70
1979-01-01,53.21,-114.46,17.30,23.50,47.10,17.30,23.50,47.10,17.30,23.50,47.10
1980-01-01,53.21,-114.46,13.30,23.00,35.70,13.30,23.50,36.00,13.30,23.50,36.70
1981-01-01,53.21,-114.46,9.30,27.50,45.80,9.30,27.50,45.80,9.00,27.00,45.80
1982-01-01,53.21,-114.46,8.30,18.00,32.00,7.60,18.50,33.40,9.00,18.50,32.70
1983-01-01,53.21,-114.46,8.60,17.00,35.00,8.60,17.00,35.70,8.60,17.00,35.00
1984-01-01,53.21,-114.46,14.30,23.50,35.70,14.00,24.00,35.70,14.30,23.50,35.70
1985-01-01,53.21,-114.46,10.30,25.50,37.00,11.00,26.00,37.70,10.30,25.50,37.00
1986-01-01,53.21,-114.46,11.00,21.50,35.40,10.30,22.00,34.70,11.00,21.00,36.10
1987-01-01,53.21,-114.46,9.60,22.00,31.00,10.30,22.00,31.70,9.60,21.50,30.70
1988-01-01,53.21,-114.46,15.50,23.50,33.40,16.20,23.50,33.40,15.50,23.50,33.40
1989-01-01,53.21,-114.46,14.60,27.50,45.80,14.60,27.50,45.50,14.60,26.50,46.90
1990-01-01,53.21,-114.46,8.90,25.50,35.80,8.90,25.00,37.10,8.90,25.50,35.10
1991-01-01,53.21,-114.46,5.30,21.50,38.70,5.30,21.50,38.40,5.30,22.00,38.40
1992-01-01,53.21,-114.46,6.60,18.00,38.00,6.30,17.50,37.30,6.30,18.00,38.00
1993-01-01,53.21,-114.46,7.30,24.50,36.00,7.30,25.50,36.00,7.30,24.50,36.00
1994-01-01,53.21,-114.46,11.30,23.00,35.00,11.00,24.00,34.70,11.00,23.50,35.00
1995-01-01,53.21,-114.46,13.90,26.50,44.40,13.90,26.00,44.40,13.60,26.50,44.40
1996-01-01,53.21,-114.46,13.90,27.50,42.00,14.90,27.50,43.10,14.20,27.00,43.70
1997-01-01,53.21,-114.46,12.60,28.00,48.00,12.90,28.00,48.70,12.60,28.00,48.40
1998-01-01,53.21,-114.46,13.40,32.00,46.00,13.40,32.00,47.70,13.40,31.00,47.00
1999-01-01,53.21,-114.46,17.00,23.00,36.40,17.00,23.50,37.10,17.00,23.50,37.40
2000-01-01,53.21,-114.46,16.20,28.50,44.50,16.90,28.50,44.50,16.50,28.50,44.50
2001-01-01,53.21,-114.46,13.00,27.50,51.50,13.30,28.00,50.50,13.00,27.50,51.50
2002-01-01,53.21,-114.46,16.50,29.50,47.50,15.60,30.00,47.50,16.50,30.00,46.80
2003-01-01,53.21,-114.46,13.60,27.00,44.10,13.20,27.50,44.10,13.60,27.50,44.10
2004-01-01,53.21,-114.46,18.30,31.50,52.90,17.60,31.50,52.50,18.30,31.50,52.20
2005-01-01,53.21,-114.46,20.60,28.50,48.40,20.60,29.00,48.40,19.90,28.00,48.40
2006-01-01,53.21,-114.46,13.60,25.50,43.50,14.30,29.00,56.40,18.90,29.50,44.50
2007-01-01,53.21,-114.46,15.70,32.00,45.70,20.30,30.00,50.70,20.60,34.00,55.10
2008-01-01,53.21,-114.46,10.50,23.00,37.80,16.00,28.00,46.80,16.00,29.50,45.70
2009-01-01,53.21,-114.46,15.20,28.50,45.00,18.90,30.00,48.70,15.30,31.00,50.10
2010-01-01,53.21,-114.46,16.50,28.00,38.70,14.00,27.50,51.00,13.30,34.00,59.10
2011-01-01,53.21,-114.46,18.90,31.50,48.80,23.30,32.50,56.40,13.30,31.00,44.00
2012-01-01,53.21,-114.46,18.00,36.00,54.00,18.90,33.00,48.50,21.30,35.00,50.70
2013-01-01,53.21,-114.46,17.90,29.00,43.70,17.00,30.00,46.00,17.90,34.50,43.00
2014-01-01,53.21,-114.46,14.00,33.00,58.50,18.60,35.00,54.70,18.30,34.00,46.40
2015-01-01,53.21,-114.46,20.30,34.50,58.10,26.00,37.00,60.10,19.20,36.00,57.70
2016-01-01,53.21,-114.46,17.60,31.50,61.20,12.30,28.00,48.40,20.30,34.50,61.20
2017-01-01,53.21,-114.46,14.30,30.50,57.10,23.30,39.00,52.70,17.20,33.00,52.50
2018-01-01,53.21,-114.46,18.30,28.00,51.70,27.60,40.00,51.40,18.50,31.50,60.90
2019-01-01,53.21,-114.46,18.90,30.50,53.20,23.30,37.50,59.90,23.30,35.50,49.70
2020-01-01,53.21,-114.46,23.30,30.50,50.60,18.00,29.00,54.20,23.90,41.00,61.80
2021-01-01,53.21,-114.46,20.60,36.00,49.10,27.30,39.00,58.80,14.60,34.00,52.80
2022-01-01,53.21,-114.46,25.60,40.50,51.40,24.00,39.50,53.40,23.20,41.00,65.40
2023-01-01,53.21,-114.46,18.60,39.00,58.40,20.90,29.00,57.70,26.30,42.00,75.70
2024-01-01,53.21,-114.46,23.20,44.00,54.70,19.20,31.00,55.00,23.00,41.50,53.40
2025-01-01,53.21,-114.46,23.20,33.00,56.40,22.50,37.50,61.40,22.00,45.00,61.70
2026-01-01,53.21,-114.46,22.80,42.00,59.80,27.20,41.50,61.40,28.90,42.50,60.40
2027-01-01,53.21,-114.46,19.60,42.50,60.70,25.30,36.00,51.70,31.10,43.50,55.00
2028-01-01,53.21,-114.46,21.30,44.50,58.70,20.20,38.50,61.70,21.90,39.00,65.40
2029-01-01,53.21,-114.46,21.50,38.00,55.00,28.00,43.00,62.70,19.20,34.50,61.80
2030-01-01,53.21,-114.46,25.20,43.00,66.10,23.00,44.50,64.40,22.30,38.50,56.00
2031-01-01,53.21,-114.46,26.90,41.00,53.00,27.90,42.50,54.40,22.20,41.50,59.70
2032-01-01,53.21,-114.46,21.00,36.50,50.40,23.30,41.50,60.70,21.20,46.00,73.70
2033-01-01,53.21,-114.46,23.90,37.00,63.50,29.10,44.00,67.90,32.30,47.50,65.00
2034-01-01,53.21,-114.46,25.20,44.50,59.40,21.80,48.00,63.40,27.30,45.50,65.70
2035-01-01,53.21,-114.46,23.60,41.50,69.10,29.60,43.00,63.50,30.60,44.50,69.80
2036-01-01,53.21,-114.46,33.30,42.00,58.10,26.10,45.50,70.80,28.90,44.50,67.20
2037-01-01,53.21,-114.46,17.80,39.00,49.00,20.80,43.00,70.40,33.30,46.00,65.30
2038-01-01,53.21,-114.46,22.30,37.00,56.40,27.30,45.50,62.90,39.30,52.50,75.00
2039-01-01,53.21,-114.46,22.30,37.00,65.90,29.00,46.00,59.10,35.30,47.00,61.70
2040-01-01,53.21,-114.46,22.30,41.50,64.80,23.20,38.50,66.20,30.50,47.00,69.50
2041-01-01,53.21,-114.46,25.90,41.00,72.30,21.30,49.50,74.10,31.60,51.50,72.40
2042-01-01,53.21,-114.46,18.90,41.00,67.80,21.70,48.50,58.70,30.00,50.50,59.10
2043-01-01,53.21,-114.46,21.80,40.50,54.10,28.20,44.00,70.70,22.60,55.00,80.00
2044-01-01,53.21,-114.46,25.90,40.50,57.70,33.30,46.50,78.70,27.20,46.00,63.20
2045-01-01,53.21,-114.46,28.30,42.50,64.70,26.90,40.00,69.50,25.30,46.00,72.10
2046-01-01,53.21,-114.46,28.60,42.00,62.50,24.50,44.50,74.70,38.30,52.00,64.10
2047-01-01,53.21,-114.46,28.20,43.00,68.70,29.60,45.00,76.50,39.60,51.50,71.80
2048-01-01,53.21,-114.46,21.20,40.00,56.20,35.90,54.00,71.70,36.50,55.00,73.80
2049-01-01,53.21,-114.46,28.60,43.00,63.70,27.50,44.00,73.20,40.30,57.50,74.10
2050-01-01,53.21,-114.46,20.90,40.00,64.20,33.20,50.00,66.00,26.60,53.00,80.40
2051-01-01,53.21,-114.46,19.50,47.00,64.70,35.50,51.50,76.20,40.00,56.50,74.00
2052-01-01,53.21,-114.46,23.50,44.50,72.80,31.30,51.00,74.70,37.30,59.50,76.70
2053-01-01,53.21,-114.46,19.60,42.00,60.80,28.70,51.00,68.50,39.70,64.00,81.00
2054-01-01,53.21,-114.46,26.90,45.50,61.00,21.90,48.00,68.40,42.00,70.00,80.70
2055-01-01,53.21,-114.46,29.90,51.50,70.20,32.20,53.50,75.90,46.00,60.50,82.80
